* Measurement data measured by REW V5.30.9
* Source: Headset (JA3 HIFI AUDIO(CX31993)), MICROPHONE (Master Volume), L, volume: 0.230
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 21, 2024 4:47:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Anonymous L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.241 35.9463
1.015000 72.438 35.4306
1.030000 72.633 34.9056
1.044000 72.814 34.4064
1.060000 73.020 33.8244
1.075000 73.213 33.2669
1.090000 73.405 32.6979
1.106000 73.609 32.0813
1.120000 73.786 31.5397
1.138000 74.011 30.8454
1.150000 74.160 30.3842
1.172000 74.430 29.5428
1.180000 74.527 29.2380
1.206000 74.839 28.2523
1.220000 75.005 27.7243
1.241000 75.251 26.9359
1.250000 75.355 26.5992
1.265000 75.528 26.0396
1.280000 75.700 25.4817
1.315000 76.094 24.1859
1.320000 76.150 24.0013
1.340000 76.372 23.2642
1.360000 76.591 22.5285
1.380000 76.809 21.7936
1.400000 77.024 21.0590
1.430000 77.343 19.9566
1.450000 77.554 19.2208
1.475000 77.815 18.3029
1.500000 78.072 17.3958
1.525000 78.326 16.5027
1.550000 78.575 15.6220
1.575000 78.821 14.7516
1.600000 79.064 13.8893
1.625000 79.303 13.0330
1.650000 79.539 12.1806
1.675000 79.771 11.3301
1.700000 80.001 10.4795
1.725000 80.228 9.6268
1.750000 80.451 8.7703
1.775000 80.672 7.9082
1.800000 80.891 7.0389
1.825000 81.107 6.1614
1.850000 81.320 5.2775
1.875000 81.530 4.3915
1.900000 81.737 3.5062
1.925000 81.940 2.6231
1.950000 82.141 1.7432
1.975000 82.339 0.8674
2.000000 82.533 -0.0039
2.030000 82.764 -1.0431
2.060000 82.990 -2.0752
2.090000 83.213 -3.1005
2.120000 83.433 -4.1194
2.140000 83.577 -4.7955
2.180000 83.862 -6.1418
2.200000 84.002 -6.8131
2.240000 84.277 -8.1552
2.270000 84.479 -9.1611
2.300000 84.678 -10.1641
2.330000 84.872 -11.1623
2.360000 85.063 -12.1543
2.400000 85.313 -13.4651
2.430000 85.497 -14.4384
2.470000 85.737 -15.7219
2.500000 85.914 -16.6738
2.540000 86.145 -17.9290
2.580000 86.372 -19.1727
2.620000 86.593 -20.4129
2.650000 86.755 -21.3414
2.690000 86.967 -22.5743
2.720000 87.122 -23.4929
2.760000 87.324 -24.7071
2.800000 87.522 -25.9064
2.850000 87.764 -27.3816
2.900000 87.999 -28.8279
2.950000 88.229 -30.2501
3.000000 88.451 -31.6625
3.040000 88.624 -32.7872
3.070000 88.751 -33.6257
3.110000 88.916 -34.7344
3.150000 89.078 -35.8298
3.200000 89.275 -37.1765
3.250000 89.467 -38.4943
3.300000 89.656 -39.7834
3.350000 89.838 -41.0535
3.400000 90.016 -42.3120
3.450000 90.188 -43.5570
3.500000 90.355 -44.7848
3.550000 90.518 -45.9919
3.600000 90.678 -47.1751
3.650000 90.834 -48.3332
3.700000 90.986 -49.4703
3.750000 91.135 -50.5935
3.820000 91.336 -52.1436
3.870000 91.476 -53.2323
3.950000 91.693 -54.9363
4.000000 91.825 -55.9751
4.060000 91.980 -57.1968
4.120000 92.132 -58.3981
4.180000 92.279 -59.5812
4.250000 92.446 -60.9373
4.310000 92.585 -62.0772
4.370000 92.722 -63.1954
4.440000 92.877 -64.4753
4.500000 93.007 -65.5555
4.550000 93.113 -66.4445
4.620000 93.258 -67.6709
4.680000 93.379 -68.7042
4.750000 93.517 -69.8884
4.820000 93.651 -71.0529
4.870000 93.745 -71.8750
4.940000 93.873 -73.0120
5.000000 93.980 -73.9722
5.080000 94.118 -75.2298
5.150000 94.236 -76.3095
5.220000 94.350 -77.3742
5.300000 94.476 -78.5741
5.380000 94.597 -79.7524
5.450000 94.700 -80.7626
5.520000 94.800 -81.7535
5.600000 94.910 -82.8673
5.700000 95.042 -84.2325
5.800000 95.168 -85.5613
5.900000 95.289 -86.8501
6.000000 95.404 -88.1051
6.080000 95.493 -89.0860
6.150000 95.568 -89.9258
6.220000 95.642 -90.7475
6.300000 95.723 -91.6653
6.400000 95.822 -92.7843
6.500000 95.918 -93.8734
6.600000 96.011 -94.9333
6.700000 96.101 -95.9650
6.800000 96.189 -96.9713
6.900000 96.275 -97.9555
7.000000 96.358 -98.9198
7.100000 96.440 -99.8654
7.200000 96.519 -100.7937
7.300000 96.597 -101.7069
7.400000 96.671 -102.6071
7.500000 96.744 -103.4949
7.620000 96.827 -104.5426
7.750000 96.912 -105.6562
7.880000 96.992 -106.7500
8.000000 97.062 -107.7375
8.120000 97.127 -108.7008
8.250000 97.192 -109.7189
8.380000 97.253 -110.7057
8.500000 97.305 -111.5849
8.620000 97.353 -112.4352
8.750000 97.403 -113.3224
8.850000 97.439 -113.9795
9.000000 97.492 -114.9256
9.120000 97.532 -115.6517
9.250000 97.576 -116.4089
9.380000 97.619 -117.1377
9.500000 97.659 -117.7909
9.620000 97.700 -118.4281
9.750000 97.744 -119.1021
9.880000 97.784 -119.7645
10.000000 97.814 -120.3685
10.150000 97.844 -121.1144
10.300000 97.869 -121.8533
10.440000 97.888 -122.5380
10.600000 97.906 -123.3131
10.750000 97.922 -124.0317
10.900000 97.936 -124.7411
11.060000 97.948 -125.4843
11.200000 97.957 -126.1222
11.380000 97.967 -126.9227
11.500000 97.972 -127.4431
11.720000 97.979 -128.3700
11.800000 97.982 -128.6981
12.060000 97.988 -129.7338
12.200000 97.990 -130.2734
12.410000 97.998 -131.0613
12.500000 98.004 -131.3919
12.650000 98.021 -131.9342
12.800000 98.040 -132.4665
13.150000 98.087 -133.6741
13.200000 98.094 -133.8431
13.400000 98.121 -134.5106
13.600000 98.146 -135.1657
13.800000 98.171 -135.8089
14.000000 98.194 -136.4401
14.300000 98.227 -137.3637
14.500000 98.247 -137.9625
14.750000 98.270 -138.6898
15.000000 98.291 -139.3919
15.250000 98.311 -140.0681
15.500000 98.330 -140.7193
15.750000 98.349 -141.3477
16.000000 98.368 -141.9559
16.250000 98.390 -142.5465
16.500000 98.412 -143.1211
16.750000 98.433 -143.6806
17.000000 98.454 -144.2260
17.250000 98.473 -144.7581
17.500000 98.492 -145.2779
17.750000 98.509 -145.7858
18.000000 98.524 -146.2805
18.250000 98.537 -146.7587
18.500000 98.548 -147.2148
18.750000 98.558 -147.6439
19.000000 98.568 -148.0440
19.250000 98.581 -148.4185
19.500000 98.597 -148.7776
19.750000 98.617 -149.1360
20.000000 98.641 -149.5096
20.299999 98.671 -149.9923
20.600000 98.697 -150.5123
20.900000 98.716 -151.0486
21.200001 98.725 -151.5662
21.400000 98.727 -151.8836
21.799999 98.730 -152.4305
22.000000 98.734 -152.6646
22.400000 98.754 -153.0997
22.700001 98.778 -153.4445
23.000000 98.805 -153.8359
23.299999 98.828 -154.2743
23.600000 98.842 -154.7351
24.000000 98.844 -155.3173
24.299999 98.838 -155.6884
24.700001 98.830 -156.0771
25.000000 98.830 -156.3099
25.400000 98.841 -156.6003
25.799999 98.861 -156.9261
26.200001 98.878 -157.3072
26.500000 98.886 -157.6112
26.900000 98.886 -157.9947
27.200001 98.883 -158.2395
27.600000 98.883 -158.5056
28.000000 98.896 -158.7553
28.500000 98.927 -159.1827
29.000000 98.947 -159.8175
29.500000 98.922 -160.5100
30.000000 98.858 -160.9514
30.400000 98.813 -161.0062
30.700001 98.803 -160.9235
31.100000 98.833 -160.8201
31.500000 98.899 -160.9182
32.000000 98.981 -161.4285
32.500000 99.016 -162.1687
33.000000 99.006 -162.8139
33.500000 98.986 -163.2244
34.000000 98.984 -163.5005
34.500000 98.996 -163.7864
35.000000 99.006 -164.1078
35.500000 99.010 -164.4112
36.000000 99.013 -164.6752
36.500000 99.020 -164.9279
37.000000 99.024 -165.1875
37.500000 99.026 -165.4383
38.200001 99.029 -165.7592
38.700001 99.035 -165.9989
39.500000 99.041 -166.4440
40.000000 99.037 -166.7241
40.599998 99.028 -167.0016
41.200001 99.025 -167.2052
41.799999 99.036 -167.3922
42.500000 99.058 -167.6819
43.099998 99.069 -167.9847
43.700001 99.071 -168.2662
44.400002 99.069 -168.5157
45.000000 99.071 -168.6825
45.500000 99.077 -168.8124
46.200001 99.091 -169.0260
46.799999 99.104 -169.2872
47.500000 99.105 -169.6694
48.200001 99.087 -170.0048
48.700001 99.073 -170.1672
49.400002 99.067 -170.3393
50.000000 99.072 -170.5046
50.799999 99.083 -170.7636
51.500000 99.094 -170.9946
52.200001 99.104 -171.2223
53.000000 99.114 -171.4574
53.799999 99.125 -171.6505
54.500000 99.136 -171.8189
55.200001 99.142 -172.0018
56.000000 99.142 -172.1840
57.000000 99.144 -172.3511
58.000000 99.154 -172.5549
59.000000 99.159 -172.8105
60.000000 99.163 -173.0478
60.799999 99.171 -173.2597
61.500000 99.177 -173.4935
62.200001 99.176 -173.7609
63.000000 99.164 -174.0867
64.000000 99.129 -174.4596
65.000000 99.083 -174.6703
66.000000 99.052 -174.7253
67.000000 99.051 -174.7554
68.000000 99.073 -174.9127
69.000000 99.091 -175.1786
70.000000 99.105 -175.3947
71.000000 99.127 -175.6029
72.000000 99.145 -175.8249
73.000000 99.160 -175.9953
74.000000 99.175 -176.1633
75.000000 99.185 -176.3465
76.199997 99.190 -176.5608
77.500000 99.187 -176.8211
78.800003 99.182 -177.0306
80.000000 99.188 -177.2825
81.199997 99.181 -177.5540
82.500000 99.182 -177.6441
83.800003 99.196 -177.7954
85.000000 99.188 -177.9080
86.199997 99.176 -177.9854
87.500000 99.158 -178.1299
88.500000 99.155 -178.3232
90.000000 99.156 -178.8338
91.199997 99.169 -179.1256
92.500000 99.218 -179.3017
93.800003 99.254 -179.4017
95.000000 99.238 -179.0376
96.199997 99.201 -177.9210
97.500000 99.395 -175.6545
98.800003 99.729 -176.8894
100.000000 99.538 -179.4106
101.500000 99.243 -179.9044
103.000000 99.179 179.7533
104.400002 99.213 179.3069
106.000000 99.245 178.9778
107.500000 99.253 178.9976
109.000000 99.239 179.0804
110.599998 99.205 179.0172
112.000000 99.180 178.8325
113.800003 99.174 178.4110
115.000000 99.176 178.1159
117.199997 99.186 177.7280
118.000000 99.188 177.6053
120.599998 99.186 177.3517
122.000000 99.199 177.2371
124.099998 99.227 177.0301
125.000000 99.239 176.9479
126.500000 99.254 176.7995
128.000000 99.258 176.6640
131.500000 99.265 176.3849
132.000000 99.266 176.3517
134.000000 99.276 176.2217
136.000000 99.273 176.0562
138.000000 99.260 175.9581
140.000000 99.259 175.7650
143.000000 99.299 175.2885
145.000000 99.346 174.8760
147.500000 99.355 174.4515
150.000000 99.355 174.4099
152.500000 99.352 174.3385
155.000000 99.344 174.1802
157.500000 99.332 173.9367
160.000000 99.340 173.5455
162.500000 99.356 173.1105
165.000000 99.361 172.9142
167.500000 99.344 172.8266
170.000000 99.323 172.6591
172.500000 99.318 172.3831
175.000000 99.333 172.0691
177.500000 99.330 171.7039
180.000000 99.299 171.4321
182.500000 99.281 171.2174
185.000000 99.284 171.0141
187.500000 99.295 170.8931
190.000000 99.269 170.7579
192.500000 99.203 170.3857
195.000000 99.095 169.8152
197.500000 99.064 170.1200
200.000000 99.188 170.0513
203.000000 99.274 169.5056
206.000000 99.303 169.1620
209.000000 99.325 168.8504
212.000000 99.344 168.5664
214.000000 99.351 168.4012
218.000000 99.359 168.1093
220.000000 99.361 167.9346
224.000000 99.371 167.5511
227.000000 99.383 167.2338
230.000000 99.393 166.8825
233.000000 99.398 166.6026
236.000000 99.405 166.3640
240.000000 99.409 165.9152
243.000000 99.403 165.6189
247.000000 99.387 165.3286
250.000000 99.387 164.9233
254.000000 99.393 164.3319
258.000000 99.364 164.0494
262.000000 99.336 163.8708
265.000000 99.358 163.7885
269.000000 99.408 163.6408
272.000000 99.436 163.3528
276.000000 99.458 162.8628
280.000000 99.465 162.3813
285.000000 99.460 161.7919
290.000000 99.438 161.1329
295.000000 99.435 160.5372
300.000000 99.447 160.1501
304.000000 99.447 159.6272
