* Measurement data measured by REW V5.30.2
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 6, 2024 2:09:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Binary Chopin R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 100.211 -101.8568
20.600000 100.218 -102.6012
20.900000 100.231 -103.9260
21.200001 100.248 -105.1423
21.400000 100.272 -105.8259
21.799999 100.358 -106.9056
22.000000 100.413 -107.3379
22.400000 100.520 -108.1355
22.700001 100.569 -108.8605
23.000000 100.578 -109.8450
23.299999 100.557 -111.1053
23.600000 100.529 -112.5626
24.000000 100.517 -114.5926
24.299999 100.546 -115.9891
24.700001 100.624 -117.5288
25.000000 100.689 -118.4311
25.400000 100.747 -119.3736
25.799999 100.763 -120.1363
26.200001 100.758 -120.8191
26.500000 100.763 -121.3378
26.900000 100.800 -122.1243
27.200001 100.843 -122.8455
27.600000 100.896 -124.0142
28.000000 100.912 -125.3453
28.500000 100.861 -126.9800
29.000000 100.779 -128.3420
29.500000 100.741 -129.4777
30.000000 100.785 -130.6215
30.400000 100.859 -131.6075
30.700001 100.915 -132.3472
31.100000 100.967 -133.2496
31.500000 100.981 -134.0277
32.000000 100.961 -134.9226
32.500000 100.935 -135.9315
33.000000 100.938 -137.1715
33.500000 100.977 -138.5794
34.000000 101.027 -139.9968
34.500000 101.055 -141.2817
35.000000 101.035 -142.3666
35.500000 100.974 -143.2790
36.000000 100.911 -144.1396
36.500000 100.888 -145.0717
37.000000 100.916 -146.0888
37.500000 100.960 -147.0805
38.200001 100.976 -148.2407
38.700001 100.949 -148.9604
39.500000 100.905 -150.2755
40.000000 100.892 -151.2389
40.599998 100.880 -152.3738
41.200001 100.877 -153.3329
41.799999 100.886 -154.1715
42.500000 100.875 -155.2146
43.099998 100.817 -156.2114
43.700001 100.743 -157.1900
44.400002 100.710 -158.2370
45.000000 100.733 -159.1083
45.500000 100.755 -159.8425
46.200001 100.761 -160.8406
46.799999 100.752 -161.6336
47.500000 100.748 -162.5140
48.200001 100.746 -163.4268
48.700001 100.733 -164.1407
49.400002 100.689 -165.1935
50.000000 100.642 -166.0204
50.799999 100.600 -166.9327
51.500000 100.583 -167.7023
52.200001 100.555 -168.4719
53.000000 100.516 -169.1622
53.799999 100.495 -169.7991
54.500000 100.468 -170.5767
55.200001 100.416 -171.4601
56.000000 100.376 -172.3781
57.000000 100.377 -173.5234
58.000000 100.334 -174.7081
59.000000 100.260 -175.7959
60.000000 100.196 -176.8500
60.799999 100.141 -177.6116
61.500000 100.101 -178.2281
62.200001 100.067 -178.8577
63.000000 100.018 -179.6263
64.000000 99.936 179.3628
65.000000 99.872 178.4139
66.000000 99.860 177.6291
67.000000 99.848 176.9529
68.000000 99.788 176.2807
69.000000 99.715 175.5131
70.000000 99.645 174.6394
71.000000 99.583 173.8043
72.000000 99.530 173.0899
73.000000 99.462 172.4188
74.000000 99.382 171.7089
75.000000 99.297 171.0091
76.199997 99.191 170.1794
77.500000 99.095 169.3215
78.800003 99.011 168.5963
80.000000 98.950 167.8840
81.199997 98.891 167.2237
82.500000 98.818 166.5110
83.800003 98.734 165.7496
85.000000 98.651 165.0850
86.199997 98.568 164.4766
87.500000 98.488 163.8250
88.500000 98.450 163.1921
90.000000 98.405 162.1931
91.199997 98.300 161.7679
92.500000 98.181 161.3422
93.800003 98.096 160.8049
95.000000 98.017 160.3210
96.199997 97.938 159.8805
97.500000 97.858 159.4311
98.800003 97.776 158.9508
100.000000 97.696 158.4284
101.500000 97.595 157.8068
103.000000 97.497 157.2846
104.400002 97.404 156.8428
106.000000 97.301 156.3456
107.500000 97.215 155.9235
109.000000 97.105 155.5770
110.599998 96.971 155.2027
112.000000 96.876 154.8965
113.800003 96.767 154.5315
115.000000 96.691 154.2191
117.199997 96.535 153.6897
118.000000 96.471 153.5274
120.599998 96.281 152.9418
122.000000 96.198 152.7087
124.099998 96.078 152.4349
125.000000 96.030 152.3112
126.500000 95.947 152.1041
128.000000 95.853 151.9596
131.500000 95.613 151.6213
132.000000 95.578 151.5529
134.000000 95.437 151.3522
136.000000 95.335 151.2675
138.000000 95.252 151.0593
140.000000 95.128 150.7809
143.000000 94.945 150.6366
145.000000 94.838 150.6387
147.500000 94.630 150.8113
150.000000 94.440 150.8455
152.500000 94.309 150.7666
155.000000 94.191 150.6043
157.500000 94.110 150.6566
160.000000 93.989 151.3242
162.500000 93.805 151.7518
165.000000 93.631 151.9959
167.500000 93.466 152.1088
170.000000 93.326 152.2543
172.500000 93.205 152.5224
175.000000 93.071 152.7322
177.500000 92.928 153.0297
180.000000 92.833 153.5658
182.500000 92.740 154.3542
185.000000 92.595 154.8015
187.500000 92.454 154.6190
190.000000 92.380 154.4286
192.500000 92.338 154.7597
195.000000 92.300 155.1697
197.500000 92.212 155.6347
200.000000 92.136 156.4630
203.000000 92.050 156.7106
206.000000 91.845 156.9130
209.000000 91.688 157.9338
212.000000 91.644 158.8611
214.000000 91.640 159.3102
218.000000 91.595 160.0394
220.000000 91.549 160.3337
224.000000 91.437 160.9133
227.000000 91.357 161.3680
230.000000 91.291 161.8710
233.000000 91.243 162.4150
236.000000 91.211 163.0368
240.000000 91.148 163.9174
243.000000 91.092 164.4873
247.000000 91.030 165.2336
250.000000 90.993 165.7981
254.000000 90.950 166.4865
258.000000 90.905 167.1605
262.000000 90.853 167.8194
265.000000 90.820 168.3588
269.000000 90.779 169.1379
272.000000 90.752 169.6922
276.000000 90.732 170.3797
280.000000 90.718 171.0947
285.000000 90.707 171.9893
290.000000 90.689 172.8380
295.000000 90.675 173.6776
300.000000 90.672 174.4272
304.000000 90.669 174.9412
307.000000 90.666 175.3180
311.000000 90.663 175.8387
315.000000 90.663 176.3446
320.000000 90.666 177.0053
325.000000 90.670 177.6798
330.000000 90.674 178.2849
335.000000 90.679 178.8384
340.000000 90.688 179.3985
345.000000 90.698 179.9602
350.000000 90.707 -179.4613
355.000000 90.720 -178.9212
360.000000 90.741 -178.4265
365.000000 90.756 -177.9788
370.000000 90.759 -177.5415
375.000000 90.768 -177.0832
382.000000 90.793 -176.4545
387.000000 90.815 -176.0305
395.000000 90.843 -175.3766
400.000000 90.859 -174.9556
406.000000 90.875 -174.4678
412.000000 90.893 -174.0180
418.000000 90.913 -173.5823
425.000000 90.936 -173.0696
431.000000 90.953 -172.6473
437.000000 90.969 -172.2359
444.000000 90.988 -171.7579
450.000000 91.004 -171.3595
455.000000 91.019 -171.0466
462.000000 91.043 -170.6227
468.000000 91.062 -170.2203
475.000000 91.083 -169.7652
482.000000 91.099 -169.3675
487.000000 91.108 -169.0626
494.000000 91.125 -168.6148
500.000000 91.142 -168.2730
508.000000 91.167 -167.8743
515.000000 91.194 -167.5023
522.000000 91.215 -167.1263
530.000000 91.230 -166.7209
538.000000 91.247 -166.3022
545.000000 91.259 -165.9181
552.000000 91.273 -165.5522
560.000000 91.291 -165.1555
570.000000 91.309 -164.6549
580.000000 91.331 -164.1262
590.000000 91.355 -163.6237
600.000000 91.371 -163.1292
608.000000 91.381 -162.6911
615.000000 91.392 -162.2830
622.000000 91.405 -161.9048
630.000000 91.420 -161.5227
640.000000 91.438 -161.0290
650.000000 91.456 -160.4952
660.000000 91.473 -159.9492
670.000000 91.490 -159.4039
680.000000 91.512 -158.8704
690.000000 91.536 -158.3435
700.000000 91.560 -157.7980
710.000000 91.583 -157.2374
720.000000 91.607 -156.6721
730.000000 91.630 -156.1118
740.000000 91.656 -155.5447
750.000000 91.682 -154.9695
762.000000 91.717 -154.2868
775.000000 91.760 -153.5483
788.000000 91.802 -152.7896
800.000000 91.840 -152.0721
812.000000 91.875 -151.3571
825.000000 91.917 -150.5778
838.000000 91.967 -149.8118
850.000000 92.015 -149.1110
862.000000 92.066 -148.4232
875.000000 92.124 -147.6793
885.000000 92.170 -147.1078
900.000000 92.246 -146.2717
912.000000 92.313 -145.6203
925.000000 92.391 -144.9384
938.000000 92.472 -144.2720
950.000000 92.551 -143.6752
962.000000 92.633 -143.1054
975.000000 92.724 -142.5149
988.000000 92.817 -141.9577
1000.000000 92.904 -141.4784
1015.000000 93.011 -140.9121
1030.000000 93.119 -140.3924
1044.000000 93.219 -139.9563
1060.000000 93.332 -139.5088
1075.000000 93.435 -139.1337
1090.000000 93.541 -138.8060
1106.000000 93.652 -138.5004
1120.000000 93.746 -138.2595
1138.000000 93.864 -137.9937
1150.000000 93.942 -137.8485
1172.000000 94.078 -137.6329
1180.000000 94.124 -137.5635
1206.000000 94.268 -137.3714
1220.000000 94.344 -137.2986
1241.000000 94.455 -137.2004
1250.000000 94.501 -137.1606
1265.000000 94.580 -137.0977
1280.000000 94.658 -137.0455
1315.000000 94.834 -136.9339
1320.000000 94.858 -136.9178
1340.000000 94.949 -136.8481
1360.000000 95.037 -136.7633
1380.000000 95.121 -136.6816
1400.000000 95.201 -136.6048
1430.000000 95.315 -136.4350
1450.000000 95.391 -136.3033
1475.000000 95.487 -136.1413
1500.000000 95.579 -135.9610
1525.000000 95.670 -135.7586
1550.000000 95.766 -135.5555
1575.000000 95.862 -135.3463
1600.000000 95.956 -135.1218
1625.000000 96.052 -134.8925
1650.000000 96.154 -134.6662
1675.000000 96.259 -134.4417
1700.000000 96.363 -134.2133
1725.000000 96.468 -133.9821
1750.000000 96.577 -133.7616
1775.000000 96.690 -133.5538
1800.000000 96.805 -133.3557
1825.000000 96.921 -133.1613
1850.000000 97.038 -132.9760
1875.000000 97.158 -132.8056
1900.000000 97.278 -132.6445
1925.000000 97.399 -132.4970
1950.000000 97.524 -132.3658
1975.000000 97.651 -132.2386
2000.000000 97.781 -132.1111
2030.000000 97.947 -131.9691
2060.000000 98.127 -131.8659
2090.000000 98.316 -131.8478
2120.000000 98.507 -131.9472
2140.000000 98.632 -132.0758
2180.000000 98.875 -132.4333
2200.000000 98.994 -132.6472
2240.000000 99.226 -133.1367
2270.000000 99.395 -133.5575
2300.000000 99.560 -134.0300
2330.000000 99.722 -134.5558
2360.000000 99.880 -135.1372
2400.000000 100.087 -135.9987
2430.000000 100.235 -136.7059
2470.000000 100.422 -137.7296
2500.000000 100.555 -138.5596
2540.000000 100.720 -139.7435
2580.000000 100.870 -141.0103
2620.000000 101.002 -142.3481
2650.000000 101.087 -143.3877
2690.000000 101.180 -144.8094
2720.000000 101.234 -145.8944
2760.000000 101.283 -147.3474
2800.000000 101.307 -148.7914
2850.000000 101.304 -150.5544
2900.000000 101.267 -152.2332
2950.000000 101.195 -153.7890
3000.000000 101.089 -155.1786
3040.000000 100.983 -156.1376
3070.000000 100.893 -156.7508
3110.000000 100.765 -157.4060
3150.000000 100.630 -157.8470
3200.000000 100.464 -158.0469
3250.000000 100.328 -157.8527
3300.000000 100.257 -157.4098
3350.000000 100.267 -157.0640
3400.000000 100.322 -157.1564
3450.000000 100.361 -157.7172
3500.000000 100.347 -158.4798
3550.000000 100.281 -159.1661
3600.000000 100.186 -159.6487
3650.000000 100.080 -159.9133
3700.000000 99.976 -159.9935
3750.000000 99.877 -159.9264
3820.000000 99.758 -159.6400
3870.000000 99.689 -159.3260
3950.000000 99.608 -158.6859
4000.000000 99.574 -158.2189
4060.000000 99.556 -157.6298
4120.000000 99.564 -157.0633
4180.000000 99.599 -156.5745
4250.000000 99.666 -156.1640
4310.000000 99.737 -155.9754
4370.000000 99.818 -155.9489
4440.000000 99.919 -156.1212
4500.000000 100.002 -156.4443
4550.000000 100.068 -156.8472
4620.000000 100.149 -157.6219
4680.000000 100.200 -158.4757
4750.000000 100.224 -159.6560
4820.000000 100.202 -160.9507
4870.000000 100.157 -161.8854
4940.000000 100.059 -163.1497
5000.000000 99.948 -164.1761
5080.000000 99.761 -165.4580
5150.000000 99.562 -166.4820
5220.000000 99.330 -167.3710
5300.000000 99.027 -168.1405
5380.000000 98.692 -168.5588
