* Measurement data measured by REW V5.30.2
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 13, 2024 12:54:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Brownie Stellaris FML 300 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 100.353 -129.4426
20.600000 100.346 -129.9859
20.900000 100.332 -131.0687
21.200001 100.318 -132.3691
21.400000 100.305 -133.2709
21.799999 100.273 -134.9723
22.000000 100.255 -135.6944
22.400000 100.225 -136.8179
22.700001 100.215 -137.4722
23.000000 100.214 -138.1047
23.299999 100.214 -138.8092
23.600000 100.212 -139.6059
24.000000 100.202 -140.7604
24.299999 100.193 -141.6167
24.700001 100.181 -142.6854
25.000000 100.169 -143.4554
25.400000 100.141 -144.5185
25.799999 100.100 -145.6487
26.200001 100.059 -146.7007
26.500000 100.036 -147.2942
26.900000 100.014 -147.7343
27.200001 99.989 -147.8867
27.600000 99.923 -148.1489
28.000000 99.815 -148.8656
28.500000 99.670 -150.5485
29.000000 99.578 -152.4589
29.500000 99.529 -153.8141
30.000000 99.460 -154.6229
30.400000 99.387 -155.3387
30.700001 99.349 -156.0812
31.100000 99.356 -157.2315
31.500000 99.421 -158.2436
32.000000 99.499 -158.9469
32.500000 99.473 -159.2394
33.000000 99.345 -159.7124
33.500000 99.208 -160.5241
34.000000 99.136 -161.3110
34.500000 99.097 -161.8677
35.000000 99.034 -162.4961
35.500000 98.941 -163.4932
36.000000 98.849 -164.5501
36.500000 98.763 -165.0794
37.000000 98.667 -164.9912
37.500000 98.582 -164.8543
38.200001 98.568 -165.4652
38.700001 98.618 -166.2134
39.500000 98.597 -166.9641
40.000000 98.497 -167.3615
40.599998 98.396 -168.1387
41.200001 98.382 -169.0890
41.799999 98.375 -169.9763
42.500000 98.276 -171.0325
43.099998 98.150 -172.0038
43.700001 98.058 -172.8702
44.400002 98.011 -173.7182
45.000000 98.007 -174.3743
45.500000 98.017 -174.8094
46.200001 98.015 -175.1755
46.799999 97.972 -175.4127
47.500000 97.891 -175.8652
48.200001 97.820 -176.5337
48.700001 97.776 -177.0554
49.400002 97.708 -177.6991
50.000000 97.643 -178.1086
50.799999 97.573 -178.5508
51.500000 97.536 -178.9685
52.200001 97.505 -179.4012
53.000000 97.444 -179.8218
53.799999 97.354 179.8654
54.500000 97.286 179.5727
55.200001 97.258 179.1088
56.000000 97.249 178.3981
57.000000 97.192 177.5757
58.000000 97.067 177.0183
59.000000 96.960 176.6229
60.000000 96.910 176.1121
60.799999 96.853 175.6627
61.500000 96.781 175.3293
62.200001 96.714 175.0544
63.000000 96.645 174.8034
64.000000 96.567 174.4650
65.000000 96.525 173.9896
66.000000 96.498 173.6694
67.000000 96.441 173.4971
68.000000 96.354 173.1946
69.000000 96.270 172.8723
70.000000 96.217 172.5591
71.000000 96.181 172.2294
72.000000 96.126 171.9604
73.000000 96.042 171.7145
74.000000 95.951 171.4726
75.000000 95.862 171.2365
76.199997 95.767 170.9745
77.500000 95.690 170.6741
78.800003 95.624 170.3623
80.000000 95.573 170.1588
81.199997 95.522 169.9915
82.500000 95.448 169.7897
83.800003 95.382 169.3978
85.000000 95.332 169.1755
86.199997 95.280 169.1040
87.500000 95.219 169.4072
88.500000 95.137 170.8328
90.000000 94.991 173.3092
91.199997 95.020 171.4448
92.500000 95.049 169.0500
93.800003 95.002 168.2254
95.000000 94.937 167.9338
96.199997 94.875 167.8120
97.500000 94.818 167.7668
98.800003 94.767 167.6621
100.000000 94.724 167.5558
101.500000 94.670 167.4791
103.000000 94.609 167.3914
104.400002 94.559 167.2814
106.000000 94.503 167.1795
107.500000 94.445 167.1060
109.000000 94.389 166.9728
110.599998 94.329 166.8788
112.000000 94.275 166.9167
113.800003 94.220 166.8954
115.000000 94.184 166.7909
117.199997 94.083 166.7307
118.000000 94.036 166.8211
120.599998 93.928 167.1743
122.000000 93.914 167.1804
124.099998 93.886 167.0685
125.000000 93.872 167.0238
126.500000 93.849 166.9745
128.000000 93.819 166.9584
131.500000 93.712 167.1670
132.000000 93.690 167.2204
134.000000 93.592 167.4312
136.000000 93.483 167.5157
138.000000 93.388 167.3911
140.000000 93.352 167.2369
143.000000 93.321 167.9156
145.000000 93.251 168.4261
147.500000 93.221 168.7209
150.000000 93.235 169.4497
152.500000 93.246 169.9645
155.000000 93.295 170.0753
157.500000 93.333 169.9108
160.000000 93.365 169.6498
162.500000 93.356 169.3232
165.000000 93.311 169.0765
167.500000 93.253 168.9102
170.000000 93.192 168.8110
172.500000 93.132 168.7204
175.000000 93.071 168.6615
177.500000 93.008 168.6605
180.000000 92.947 168.7029
182.500000 92.891 168.7785
185.000000 92.839 168.8638
187.500000 92.787 168.9540
190.000000 92.735 169.0532
192.500000 92.685 169.1363
195.000000 92.638 169.2186
197.500000 92.594 169.3434
200.000000 92.553 169.4776
203.000000 92.509 169.6404
206.000000 92.469 169.8141
209.000000 92.430 169.9947
212.000000 92.392 170.1807
214.000000 92.367 170.3003
218.000000 92.326 170.5322
220.000000 92.309 170.6569
224.000000 92.274 170.9088
227.000000 92.245 171.0999
230.000000 92.218 171.2792
233.000000 92.194 171.4340
236.000000 92.170 171.5829
240.000000 92.137 171.8044
243.000000 92.113 171.9825
247.000000 92.079 172.2167
250.000000 92.052 172.3913
254.000000 92.017 172.6320
258.000000 91.985 172.8707
262.000000 91.951 173.1072
265.000000 91.925 173.2871
269.000000 91.892 173.5316
272.000000 91.868 173.7170
276.000000 91.837 173.9639
280.000000 91.808 174.2148
285.000000 91.776 174.5456
290.000000 91.747 174.8629
295.000000 91.717 175.1758
300.000000 91.685 175.5081
304.000000 91.665 175.7647
307.000000 91.651 175.9507
311.000000 91.635 176.1904
315.000000 91.621 176.4163
320.000000 91.597 176.7112
325.000000 91.570 177.0222
330.000000 91.548 177.3158
335.000000 91.528 177.5967
340.000000 91.509 177.8841
345.000000 91.490 178.1733
350.000000 91.472 178.4648
355.000000 91.455 178.7574
360.000000 91.438 179.0515
365.000000 91.421 179.3476
370.000000 91.406 179.6412
375.000000 91.392 179.9348
382.000000 91.373 -179.6560
387.000000 91.360 -179.3642
395.000000 91.341 -178.9026
400.000000 91.331 -178.6127
406.000000 91.320 -178.2641
412.000000 91.309 -177.9166
418.000000 91.300 -177.5719
425.000000 91.288 -177.1762
431.000000 91.278 -176.8356
437.000000 91.270 -176.4937
444.000000 91.264 -176.1040
450.000000 91.259 -175.7764
455.000000 91.255 -175.5006
462.000000 91.250 -175.1105
468.000000 91.246 -174.7733
475.000000 91.242 -174.3864
482.000000 91.238 -174.0023
487.000000 91.237 -173.7254
494.000000 91.237 -173.3430
500.000000 91.237 -173.0237
508.000000 91.236 -172.5951
515.000000 91.237 -172.2172
522.000000 91.238 -171.8419
530.000000 91.242 -171.4161
538.000000 91.247 -170.9938
545.000000 91.252 -170.6274
552.000000 91.256 -170.2612
560.000000 91.262 -169.8388
570.000000 91.271 -169.3094
580.000000 91.283 -168.7867
590.000000 91.296 -168.2705
600.000000 91.309 -167.7446
608.000000 91.319 -167.3260
615.000000 91.330 -166.9698
622.000000 91.341 -166.6152
630.000000 91.355 -166.2006
640.000000 91.373 -165.6743
650.000000 91.392 -165.1572
660.000000 91.414 -164.6493
670.000000 91.438 -164.1440
680.000000 91.463 -163.6348
690.000000 91.489 -163.1217
700.000000 91.514 -162.6069
710.000000 91.543 -162.0975
720.000000 91.573 -161.5974
730.000000 91.605 -161.0959
740.000000 91.638 -160.5866
750.000000 91.673 -160.0797
762.000000 91.716 -159.4787
775.000000 91.766 -158.8321
788.000000 91.818 -158.1830
800.000000 91.866 -157.5923
812.000000 91.915 -157.0119
825.000000 91.968 -156.3882
838.000000 92.024 -155.7661
850.000000 92.078 -155.2025
862.000000 92.136 -154.6530
875.000000 92.202 -154.0710
885.000000 92.255 -153.6304
900.000000 92.338 -152.9890
912.000000 92.409 -152.5000
925.000000 92.489 -151.9840
938.000000 92.570 -151.4809
950.000000 92.647 -151.0421
962.000000 92.728 -150.6305
975.000000 92.818 -150.2097
988.000000 92.911 -149.8116
1000.000000 92.996 -149.4694
1015.000000 93.100 -149.0765
1030.000000 93.202 -148.7155
1044.000000 93.296 -148.4114
1060.000000 93.405 -148.1084
1075.000000 93.511 -147.8731
1090.000000 93.615 -147.6744
1106.000000 93.723 -147.4889
1120.000000 93.817 -147.3587
1138.000000 93.939 -147.2426
1150.000000 94.020 -147.1871
1172.000000 94.161 -147.1190
1180.000000 94.211 -147.1081
1206.000000 94.372 -147.1272
1220.000000 94.457 -147.1648
1241.000000 94.580 -147.2415
1250.000000 94.634 -147.2853
1265.000000 94.727 -147.3772
1280.000000 94.822 -147.4880
1315.000000 95.036 -147.7825
1320.000000 95.066 -147.8293
1340.000000 95.185 -148.0351
1360.000000 95.301 -148.2672
1380.000000 95.411 -148.5073
1400.000000 95.515 -148.7580
1430.000000 95.672 -149.1886
1450.000000 95.775 -149.5017
1475.000000 95.896 -149.9047
1500.000000 96.012 -150.3367
1525.000000 96.124 -150.8013
1550.000000 96.232 -151.2887
1575.000000 96.336 -151.8018
1600.000000 96.438 -152.3495
1625.000000 96.535 -152.9182
1650.000000 96.625 -153.5017
1675.000000 96.710 -154.1109
1700.000000 96.793 -154.7504
1725.000000 96.869 -155.4084
1750.000000 96.936 -156.0791
1775.000000 96.997 -156.7691
1800.000000 97.052 -157.4763
1825.000000 97.101 -158.1913
1850.000000 97.143 -158.9129
1875.000000 97.178 -159.6419
1900.000000 97.207 -160.3762
1925.000000 97.228 -161.1119
1950.000000 97.242 -161.8437
1975.000000 97.247 -162.5642
2000.000000 97.246 -163.2771
2030.000000 97.241 -164.1255
2060.000000 97.228 -164.9543
2090.000000 97.205 -165.7532
2120.000000 97.172 -166.5233
2140.000000 97.147 -167.0205
2180.000000 97.085 -167.9680
2200.000000 97.048 -168.4148
2240.000000 96.968 -169.2529
2270.000000 96.905 -169.8364
2300.000000 96.837 -170.3779
2330.000000 96.761 -170.8722
2360.000000 96.678 -171.3188
2400.000000 96.564 -171.8441
2430.000000 96.478 -172.1869
2470.000000 96.361 -172.5724
2500.000000 96.272 -172.8087
2540.000000 96.156 -173.0582
2580.000000 96.040 -173.2323
2620.000000 95.922 -173.3395
2650.000000 95.834 -173.3816
2690.000000 95.720 -173.3845
2720.000000 95.634 -173.3372
2760.000000 95.520 -173.1895
2800.000000 95.410 -172.9612
2850.000000 95.285 -172.6339
2900.000000 95.170 -172.2763
2950.000000 95.058 -171.8710
3000.000000 94.949 -171.4080
3040.000000 94.864 -170.9940
3070.000000 94.803 -170.6573
3110.000000 94.724 -170.1756
3150.000000 94.649 -169.6603
3200.000000 94.563 -168.9723
3250.000000 94.484 -168.2359
3300.000000 94.412 -167.4521
3350.000000 94.349 -166.6325
3400.000000 94.299 -165.7896
3450.000000 94.263 -164.9350
3500.000000 94.237 -164.0867
3550.000000 94.221 -163.2613
3600.000000 94.210 -162.4606
3650.000000 94.200 -161.6805
3700.000000 94.193 -160.9006
3750.000000 94.188 -160.1065
3820.000000 94.190 -158.9635
3870.000000 94.196 -158.1109
3950.000000 94.217 -156.6587
4000.000000 94.238 -155.6855
4060.000000 94.276 -154.4355
4120.000000 94.341 -153.0908
4180.000000 94.443 -151.6730
4250.000000 94.629 -150.0200
4310.000000 94.854 -148.7539
4370.000000 95.138 -147.8015
4440.000000 95.517 -147.3016
4500.000000 95.851 -147.4929
4550.000000 96.113 -148.0706
4620.000000 96.429 -149.3944
4680.000000 96.641 -150.8628
4750.000000 96.822 -152.8103
4820.000000 96.935 -154.9094
4870.000000 96.977 -156.4581
4940.000000 96.982 -158.6451
5000.000000 96.937 -160.4986
5080.000000 96.808 -162.8798
5150.000000 96.636 -164.8249
5220.000000 96.416 -166.5917
5300.000000 96.114 -168.3416
5380.000000 95.767 -169.7512
5450.000000 95.435 -170.6645
