* Measurement data measured by REW V5.30.9
* Source: Headset (JA3 HIFI AUDIO(CX31993)), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Feb 25, 2024 9:40:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FAKG Buds L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 77.149 152.4281
1.015000 77.384 151.8062
1.030000 77.618 151.1837
1.044000 77.836 150.6010
1.060000 78.088 149.9312
1.075000 78.326 149.2980
1.090000 78.569 148.6586
1.106000 78.831 147.9696
1.120000 79.056 147.3629
1.138000 79.338 146.5810
1.150000 79.520 146.0598
1.172000 79.844 145.1071
1.180000 79.959 144.7620
1.206000 80.320 143.6483
1.220000 80.508 143.0544
1.241000 80.782 142.1728
1.250000 80.897 141.7985
1.265000 81.085 141.1799
1.280000 81.268 140.5680
1.315000 81.683 139.1673
1.320000 81.740 138.9704
1.340000 81.968 138.1907
1.360000 82.192 137.4237
1.380000 82.411 136.6694
1.400000 82.628 135.9273
1.430000 82.948 134.8364
1.450000 83.160 134.1230
1.475000 83.422 133.2435
1.500000 83.677 132.3715
1.525000 83.923 131.5051
1.550000 84.161 130.6450
1.575000 84.392 129.7921
1.600000 84.615 128.9471
1.625000 84.832 128.1104
1.650000 85.042 127.2823
1.675000 85.247 126.4628
1.700000 85.447 125.6519
1.725000 85.643 124.8494
1.750000 85.834 124.0550
1.775000 86.022 123.2683
1.800000 86.207 122.4887
1.825000 86.390 121.7147
1.850000 86.569 120.9417
1.875000 86.743 120.1650
1.900000 86.912 119.3850
1.925000 87.076 118.6039
1.950000 87.235 117.8239
1.975000 87.391 117.0473
2.000000 87.542 116.2758
2.030000 87.718 115.3590
2.060000 87.889 114.4545
2.090000 88.056 113.5643
2.120000 88.219 112.6903
2.140000 88.326 112.1174
2.180000 88.535 110.9954
2.200000 88.637 110.4446
2.240000 88.837 109.3503
2.270000 88.980 108.5306
2.300000 89.119 107.7130
2.330000 89.254 106.8998
2.360000 89.384 106.0931
2.400000 89.553 105.0313
2.430000 89.675 104.2478
2.470000 89.833 103.2234
2.500000 89.949 102.4724
2.540000 90.100 101.4962
2.580000 90.246 100.5452
2.620000 90.388 99.6069
2.650000 90.490 98.9081
2.690000 90.621 97.9843
2.720000 90.716 97.2989
2.760000 90.839 96.3969
2.800000 90.957 95.5110
2.850000 91.101 94.4304
2.900000 91.240 93.3831
2.950000 91.374 92.3681
3.000000 91.503 91.3733
3.040000 91.602 90.5884
3.070000 91.674 90.0067
3.110000 91.767 89.2413
3.150000 91.858 88.4890
3.200000 91.967 87.5691
3.250000 92.074 86.6747
3.300000 92.178 85.8068
3.350000 92.278 84.9613
3.400000 92.375 84.1334
3.450000 92.469 83.3218
3.500000 92.559 82.5264
3.550000 92.647 81.7473
3.600000 92.732 80.9848
3.650000 92.816 80.2388
3.700000 92.898 79.5084
3.750000 92.978 78.7917
3.820000 93.086 77.8091
3.870000 93.161 77.1217
3.950000 93.277 76.0461
4.000000 93.348 75.3886
4.060000 93.431 74.6139
4.120000 93.512 73.8535
4.180000 93.590 73.1062
4.250000 93.679 72.2501
4.310000 93.753 71.5291
4.370000 93.825 70.8192
4.440000 93.907 70.0038
4.500000 93.975 69.3144
4.550000 94.030 68.7467
4.620000 94.105 67.9626
4.680000 94.167 67.3011
4.750000 94.238 66.5417
4.820000 94.306 65.7943
4.870000 94.354 65.2666
4.940000 94.418 64.5367
5.000000 94.471 63.9202
5.080000 94.539 63.1129
5.150000 94.597 62.4203
5.220000 94.652 61.7388
5.300000 94.713 60.9725
5.380000 94.771 60.2211
5.450000 94.820 59.5771
5.520000 94.868 58.9460
5.600000 94.920 58.2387
5.700000 94.982 57.3746
5.800000 95.042 56.5345
5.900000 95.099 55.7197
6.000000 95.153 54.9282
6.080000 95.195 54.3110
6.150000 95.230 53.7832
6.220000 95.265 53.2668
6.300000 95.304 52.6904
6.400000 95.351 51.9894
6.500000 95.396 51.3100
6.600000 95.440 50.6526
6.700000 95.484 50.0169
6.800000 95.526 49.4019
6.900000 95.568 48.8067
7.000000 95.610 48.2311
7.100000 95.651 47.6750
7.200000 95.692 47.1367
7.300000 95.734 46.6135
7.400000 95.777 46.1052
7.500000 95.820 45.6117
7.620000 95.872 45.0331
7.750000 95.930 44.4173
7.880000 95.990 43.8126
8.000000 96.046 43.2579
8.120000 96.102 42.7004
8.250000 96.164 42.0930
8.380000 96.224 41.4798
8.500000 96.277 40.9045
8.620000 96.329 40.3211
8.750000 96.381 39.6855
8.850000 96.417 39.1953
9.000000 96.465 38.4591
9.120000 96.498 37.8817
9.250000 96.527 37.2753
9.380000 96.550 36.6915
9.500000 96.566 36.1856
9.620000 96.578 35.7188
9.750000 96.585 35.2575
9.880000 96.586 34.8494
10.000000 96.580 34.5244
10.150000 96.567 34.1825
10.300000 96.553 33.9020
10.440000 96.544 33.6913
10.600000 96.540 33.4840
10.750000 96.546 33.3011
10.900000 96.561 33.1130
11.060000 96.585 32.8744
11.200000 96.611 32.6248
11.380000 96.645 32.2336
11.500000 96.666 31.9235
11.720000 96.695 31.2703
11.800000 96.702 31.0096
12.060000 96.702 30.1118
12.200000 96.687 29.6252
12.410000 96.650 28.9245
12.500000 96.633 28.6482
12.650000 96.601 28.2267
12.800000 96.567 27.8611
13.150000 96.484 27.2496
13.200000 96.473 27.1871
13.400000 96.431 26.9899
13.600000 96.398 26.8516
13.800000 96.375 26.7461
14.000000 96.360 26.6477
14.300000 96.352 26.4808
14.500000 96.353 26.3449
14.750000 96.361 26.1417
15.000000 96.377 25.8929
15.250000 96.399 25.5814
15.500000 96.427 25.1824
15.750000 96.456 24.6797
16.000000 96.478 24.0739
16.250000 96.488 23.4010
16.500000 96.479 22.7217
16.750000 96.451 22.1149
17.000000 96.413 21.6516
17.250000 96.379 21.3619
17.500000 96.365 21.2249
17.750000 96.384 21.1534
18.000000 96.438 21.0296
18.250000 96.517 20.7411
18.500000 96.604 20.2230
18.750000 96.675 19.4890
19.000000 96.712 18.6155
19.250000 96.706 17.7386
19.500000 96.659 17.0029
19.750000 96.585 16.5304
20.000000 96.506 16.3895
20.299999 96.443 16.6204
20.600000 96.445 17.0966
20.900000 96.516 17.5286
21.200001 96.634 17.6658
21.400000 96.718 17.5370
21.799999 96.848 16.8253
22.000000 96.878 16.3392
22.400000 96.862 15.4093
22.700001 96.799 14.9526
23.000000 96.722 14.7986
23.299999 96.656 14.9197
23.600000 96.620 15.2025
24.000000 96.623 15.5764
24.299999 96.648 15.7173
24.700001 96.683 15.6689
25.000000 96.696 15.5107
25.400000 96.691 15.2633
25.799999 96.675 15.0662
26.200001 96.663 14.9191
26.500000 96.662 14.7998
26.900000 96.666 14.5837
27.200001 96.668 14.3825
27.600000 96.663 14.1142
28.000000 96.659 13.9039
28.500000 96.671 13.7180
29.000000 96.709 13.4888
29.500000 96.753 13.1246
30.000000 96.777 12.7214
30.400000 96.785 12.4818
30.700001 96.793 12.3694
31.100000 96.811 12.2684
31.500000 96.837 12.1602
32.000000 96.861 11.9965
32.500000 96.872 11.9052
33.000000 96.888 11.9465
33.500000 96.932 11.9617
34.000000 96.985 11.7296
34.500000 97.001 11.2673
35.000000 96.962 10.8576
35.500000 96.901 10.7398
36.000000 96.870 10.8432
36.500000 96.877 10.8826
37.000000 96.889 10.7070
37.500000 96.878 10.4411
38.200001 96.842 10.2671
38.700001 96.839 10.2621
39.500000 96.871 10.0704
40.000000 96.880 9.8223
40.599998 96.872 9.5819
41.200001 96.864 9.4738
41.799999 96.868 9.4003
42.500000 96.872 9.2861
43.099998 96.869 9.2474
43.700001 96.879 9.2781
44.400002 96.917 9.1974
45.000000 96.943 8.9037
45.500000 96.938 8.5928
46.200001 96.901 8.3219
46.799999 96.875 8.2958
47.500000 96.870 8.3231
48.200001 96.874 8.3236
48.700001 96.881 8.3407
49.400002 96.905 8.3555
50.000000 96.931 8.2888
50.799999 96.953 8.1222
51.500000 96.961 7.9724
52.200001 96.958 7.8118
53.000000 96.933 7.7409
53.799999 96.927 7.8715
54.500000 96.956 7.8876
55.200001 96.978 7.6598
56.000000 96.965 7.3820
57.000000 96.950 7.3199
58.000000 96.969 7.2477
59.000000 96.981 7.0812
60.000000 96.987 6.9940
60.799999 96.996 6.9821
61.500000 97.012 6.9592
62.200001 97.029 6.8492
63.000000 97.028 6.6415
64.000000 96.998 6.5636
65.000000 96.995 6.6892
66.000000 97.018 6.6428
67.000000 97.025 6.4866
68.000000 97.025 6.3924
69.000000 97.029 6.3410
70.000000 97.036 6.3076
71.000000 97.050 6.2697
72.000000 97.066 6.1761
73.000000 97.075 6.0461
74.000000 97.078 5.9569
75.000000 97.087 5.8918
76.199997 97.096 5.8076
77.500000 97.105 5.7924
78.800003 97.127 5.8284
80.000000 97.155 5.7651
81.199997 97.164 5.5765
82.500000 97.151 5.5009
83.800003 97.155 5.4933
85.000000 97.163 5.4453
86.199997 97.177 5.3926
87.500000 97.192 5.2809
88.500000 97.197 5.2017
90.000000 97.205 5.1113
91.199997 97.207 5.0464
92.500000 97.216 5.0285
93.800003 97.236 4.9644
95.000000 97.254 4.8625
96.199997 97.266 4.7500
97.500000 97.272 4.7034
98.800003 97.284 4.7241
100.000000 97.299 4.6930
101.500000 97.308 4.6268
103.000000 97.313 4.5768
104.400002 97.320 4.5820
106.000000 97.344 4.6141
107.500000 97.370 4.5123
109.000000 97.373 4.3695
110.599998 97.368 4.3575
112.000000 97.384 4.3905
113.800003 97.415 4.2878
115.000000 97.429 4.2247
117.199997 97.445 4.1837
118.000000 97.445 4.1888
120.599998 97.449 4.3687
122.000000 97.472 4.2997
124.099998 97.495 4.0126
125.000000 97.504 3.9130
126.500000 97.525 3.8525
128.000000 97.558 3.8662
131.500000 97.619 3.8246
132.000000 97.624 3.8081
134.000000 97.636 3.6849
136.000000 97.645 3.5583
138.000000 97.677 3.5297
140.000000 97.726 3.4681
143.000000 97.777 3.3914
145.000000 97.802 3.3883
147.500000 97.832 3.3129
150.000000 97.868 3.1382
152.500000 97.905 2.9792
155.000000 97.946 2.8137
157.500000 97.980 2.6875
160.000000 98.013 2.6261
162.500000 98.042 2.5901
165.000000 98.070 2.5193
167.500000 98.096 2.3877
170.000000 98.122 2.2761
172.500000 98.145 2.1844
175.000000 98.165 2.0949
177.500000 98.191 1.9879
180.000000 98.225 1.8281
182.500000 98.260 1.6542
185.000000 98.292 1.5105
187.500000 98.323 1.3835
190.000000 98.357 1.2480
192.500000 98.390 1.1171
195.000000 98.424 0.9761
197.500000 98.458 0.8174
200.000000 98.497 0.6411
203.000000 98.548 0.4135
206.000000 98.604 0.1997
209.000000 98.661 -0.0178
212.000000 98.711 -0.2075
214.000000 98.744 -0.3137
218.000000 98.811 -0.6522
220.000000 98.843 -0.8616
224.000000 98.922 -1.2267
227.000000 98.987 -1.4655
230.000000 99.050 -1.6923
233.000000 99.111 -1.9772
236.000000 99.169 -2.2876
240.000000 99.246 -2.7181
243.000000 99.302 -3.0246
247.000000 99.381 -3.4521
250.000000 99.441 -3.7991
254.000000 99.520 -4.3077
258.000000 99.601 -4.8500
262.000000 99.682 -5.3696
265.000000 99.739 -5.7668
269.000000 99.814 -6.3436
272.000000 99.870 -6.7848
276.000000 99.945 -7.4147
280.000000 100.024 -8.0950
285.000000 100.118 -8.9852
290.000000 100.210 -9.8953
295.000000 100.300 -10.8257
300.000000 100.386 -11.8355
304.000000 100.452 -12.6994
307.000000 100.500 -13.3732
311.000000 100.566 -14.2946
315.000000 100.632 -15.2260
320.000000 100.707 -16.4396
325.000000 100.775 -17.7182
330.000000 100.839 -19.0597
335.000000 100.897 -20.4403
340.000000 100.946 -21.8712
345.000000 100.986 -23.3607
350.000000 101.017 -24.8884
355.000000 101.038 -26.4602
360.000000 101.049 -28.0657
365.000000 101.047 -29.7107
370.000000 101.033 -31.3889
375.000000 101.006 -33.1053
382.000000 100.948 -35.4873
