* Measurement data measured by REW V5.30.9
* Source: Headset (JA3 HIFI AUDIO(CX31993)), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Feb 25, 2024 9:36:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FAKG Buds R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 73.714 1.6429
1.015000 73.984 0.8273
1.030000 74.251 0.0191
1.044000 74.496 -0.7305
1.060000 74.773 -1.5835
1.075000 75.029 -2.3816
1.090000 75.281 -3.1796
1.106000 75.546 -4.0298
1.120000 75.773 -4.7690
1.138000 76.059 -5.7090
1.150000 76.245 -6.3285
1.172000 76.579 -7.4483
1.180000 76.698 -7.8502
1.206000 77.077 -9.1369
1.220000 77.275 -9.8171
1.241000 77.567 -10.8211
1.250000 77.690 -11.2455
1.265000 77.892 -11.9449
1.280000 78.091 -12.6348
1.315000 78.543 -14.2091
1.320000 78.607 -14.4302
1.340000 78.857 -15.3051
1.360000 79.104 -16.1660
1.380000 79.347 -17.0140
1.400000 79.587 -17.8499
1.430000 79.943 -19.0834
1.450000 80.177 -19.8937
1.475000 80.466 -20.8936
1.500000 80.749 -21.8773
1.525000 81.025 -22.8442
1.550000 81.293 -23.7953
1.575000 81.554 -24.7319
1.600000 81.809 -25.6553
1.625000 82.058 -26.5670
1.650000 82.301 -27.4686
1.675000 82.539 -28.3616
1.700000 82.772 -29.2477
1.725000 83.001 -30.1284
1.750000 83.226 -31.0054
1.775000 83.447 -31.8804
1.800000 83.666 -32.7550
1.825000 83.881 -33.6308
1.850000 84.092 -34.5095
1.875000 84.299 -35.3910
1.900000 84.501 -36.2733
1.925000 84.698 -37.1544
1.950000 84.891 -38.0324
1.975000 85.080 -38.9056
2.000000 85.264 -39.7728
2.030000 85.481 -40.8044
2.060000 85.692 -41.8248
2.090000 85.898 -42.8335
2.120000 86.100 -43.8299
2.140000 86.233 -44.4876
2.180000 86.493 -45.7879
2.200000 86.620 -46.4325
2.240000 86.869 -47.7215
2.270000 87.050 -48.6906
2.300000 87.225 -49.6592
2.330000 87.396 -50.6245
2.360000 87.562 -51.5840
2.400000 87.778 -52.8503
2.430000 87.935 -53.7881
2.470000 88.138 -55.0198
2.500000 88.287 -55.9282
2.540000 88.481 -57.1181
2.580000 88.669 -58.2896
2.620000 88.850 -59.4580
2.650000 88.982 -60.3350
2.690000 89.151 -61.5014
2.720000 89.274 -62.3712
2.760000 89.433 -63.5200
2.800000 89.586 -64.6521
2.850000 89.771 -66.0378
2.900000 89.949 -67.3852
2.950000 90.120 -68.6991
3.000000 90.283 -70.0012
3.040000 90.407 -71.0387
3.070000 90.497 -71.8122
3.110000 90.613 -72.8338
3.150000 90.725 -73.8407
3.200000 90.859 -75.0726
3.250000 90.989 -76.2684
3.300000 91.113 -77.4260
3.350000 91.232 -78.5576
3.400000 91.345 -79.6741
3.450000 91.452 -80.7743
3.500000 91.555 -81.8543
3.550000 91.653 -82.9098
3.600000 91.747 -83.9363
3.650000 91.839 -84.9310
3.700000 91.927 -85.8973
3.750000 92.012 -86.8427
3.820000 92.124 -88.1352
3.870000 92.200 -89.0351
3.950000 92.317 -90.4306
4.000000 92.388 -91.2727
4.060000 92.472 -92.2523
4.120000 92.552 -93.2021
4.180000 92.629 -94.1260
4.250000 92.717 -95.1743
4.310000 92.790 -96.0494
4.370000 92.861 -96.9040
4.440000 92.944 -97.8754
4.500000 93.013 -98.6863
4.550000 93.070 -99.3482
4.620000 93.148 -100.2566
4.680000 93.213 -101.0210
4.750000 93.288 -101.8987
4.820000 93.362 -102.7621
4.870000 93.414 -103.3698
4.940000 93.485 -104.2085
5.000000 93.545 -104.9175
5.080000 93.623 -105.8505
5.150000 93.690 -106.6572
5.220000 93.754 -107.4564
5.300000 93.826 -108.3600
5.380000 93.895 -109.2512
5.450000 93.953 -110.0199
5.520000 94.009 -110.7785
5.600000 94.070 -111.6362
5.700000 94.143 -112.6930
5.800000 94.211 -113.7266
5.900000 94.275 -114.7330
6.000000 94.335 -115.7166
6.080000 94.381 -116.4868
6.150000 94.419 -117.1466
6.220000 94.456 -117.7916
6.300000 94.496 -118.5114
6.400000 94.544 -119.3874
6.500000 94.590 -120.2378
6.600000 94.634 -121.0620
6.700000 94.677 -121.8600
6.800000 94.719 -122.6340
6.900000 94.759 -123.3870
7.000000 94.800 -124.1207
7.100000 94.839 -124.8353
7.200000 94.878 -125.5323
7.300000 94.917 -126.2142
7.400000 94.954 -126.8824
7.500000 94.991 -127.5370
7.620000 95.034 -128.3046
7.750000 95.078 -129.1152
7.880000 95.121 -129.9047
8.000000 95.159 -130.6128
8.120000 95.195 -131.2997
8.250000 95.232 -132.0205
8.380000 95.267 -132.7155
8.500000 95.298 -133.3325
8.620000 95.329 -133.9267
8.750000 95.361 -134.5454
8.850000 95.385 -135.0038
9.000000 95.422 -135.6637
9.120000 95.451 -136.1702
9.250000 95.482 -136.6994
9.380000 95.514 -137.2093
9.500000 95.544 -137.6655
9.620000 95.575 -138.1095
9.750000 95.608 -138.5774
9.880000 95.636 -139.0341
10.000000 95.655 -139.4469
10.150000 95.673 -139.9524
10.300000 95.686 -140.4488
10.440000 95.695 -140.9051
10.600000 95.703 -141.4209
10.750000 95.711 -141.9011
10.900000 95.718 -142.3789
11.060000 95.724 -142.8876
11.200000 95.727 -143.3320
11.380000 95.728 -143.8989
11.500000 95.726 -144.2732
11.720000 95.717 -144.9427
11.800000 95.711 -145.1782
12.060000 95.688 -145.9041
12.200000 95.672 -146.2618
12.410000 95.649 -146.7507
12.500000 95.643 -146.9416
12.650000 95.638 -147.2359
12.800000 95.639 -147.5061
13.150000 95.657 -148.0778
13.200000 95.661 -148.1581
13.400000 95.681 -148.4864
13.600000 95.705 -148.8409
13.800000 95.731 -149.2324
14.000000 95.753 -149.6600
14.300000 95.778 -150.3494
14.500000 95.786 -150.8155
14.750000 95.788 -151.3737
15.000000 95.785 -151.8841
15.250000 95.783 -152.3426
15.500000 95.786 -152.7701
15.750000 95.796 -153.1962
16.000000 95.812 -153.6499
16.250000 95.828 -154.1385
16.500000 95.839 -154.6456
16.750000 95.841 -155.1341
17.000000 95.836 -155.5603
17.250000 95.832 -155.8997
17.500000 95.837 -156.1561
17.750000 95.858 -156.3752
18.000000 95.899 -156.6259
18.250000 95.954 -156.9783
18.500000 96.010 -157.4766
18.750000 96.054 -158.1140
19.000000 96.072 -158.8403
19.250000 96.058 -159.5613
19.500000 96.014 -160.1751
19.750000 95.949 -160.5966
20.000000 95.880 -160.7792
20.299999 95.817 -160.7097
20.600000 95.796 -160.4508
20.900000 95.820 -160.1859
21.200001 95.876 -160.0691
21.400000 95.919 -160.1066
21.799999 95.992 -160.4135
22.000000 96.014 -160.6295
22.400000 96.032 -161.0445
22.700001 96.033 -161.2755
23.000000 96.034 -161.4358
23.299999 96.041 -161.5629
23.600000 96.054 -161.6977
24.000000 96.070 -161.9166
24.299999 96.078 -162.0943
24.700001 96.085 -162.3107
25.000000 96.092 -162.4526
25.400000 96.109 -162.6515
25.799999 96.131 -162.9154
26.200001 96.147 -163.2567
26.500000 96.149 -163.5322
26.900000 96.141 -163.8632
27.200001 96.131 -164.0574
27.600000 96.123 -164.2503
28.000000 96.124 -164.4139
28.500000 96.133 -164.6417
29.000000 96.139 -164.8890
29.500000 96.143 -165.0997
30.000000 96.154 -165.2749
30.400000 96.170 -165.4377
30.700001 96.182 -165.5934
31.100000 96.191 -165.8358
31.500000 96.189 -166.0697
32.000000 96.176 -166.2625
32.500000 96.170 -166.3291
33.000000 96.187 -166.3788
33.500000 96.215 -166.5419
34.000000 96.233 -166.8242
34.500000 96.230 -167.1051
35.000000 96.219 -167.2751
35.500000 96.218 -167.3544
36.000000 96.234 -167.4565
36.500000 96.253 -167.6533
37.000000 96.261 -167.9121
37.500000 96.256 -168.1561
38.200001 96.243 -168.4121
38.700001 96.235 -168.5455
39.500000 96.228 -168.6986
40.000000 96.233 -168.7969
40.599998 96.241 -168.9751
41.200001 96.241 -169.1810
41.799999 96.237 -169.3292
42.500000 96.248 -169.4882
43.099998 96.257 -169.7211
43.700001 96.245 -169.9415
44.400002 96.225 -169.9560
45.000000 96.243 -169.8658
45.500000 96.277 -169.9040
46.200001 96.309 -170.1596
46.799999 96.311 -170.3651
47.500000 96.311 -170.4752
48.200001 96.322 -170.5835
48.700001 96.327 -170.6974
49.400002 96.325 -170.8493
50.000000 96.323 -170.9394
50.799999 96.326 -171.0319
51.500000 96.339 -171.1503
52.200001 96.351 -171.3619
53.000000 96.343 -171.6320
53.799999 96.323 -171.7194
54.500000 96.327 -171.6695
55.200001 96.352 -171.7058
56.000000 96.370 -171.8897
57.000000 96.368 -172.0136
58.000000 96.384 -172.0369
59.000000 96.402 -172.1895
60.000000 96.403 -172.3968
60.799999 96.389 -172.5196
61.500000 96.378 -172.5192
62.200001 96.384 -172.5001
63.000000 96.398 -172.6011
64.000000 96.393 -172.7280
65.000000 96.404 -172.6905
66.000000 96.439 -172.8083
67.000000 96.450 -173.0687
68.000000 96.443 -173.1781
69.000000 96.455 -173.2164
70.000000 96.466 -173.3643
71.000000 96.464 -173.4581
72.000000 96.467 -173.5006
73.000000 96.471 -173.5067
74.000000 96.493 -173.4665
75.000000 96.527 -173.6389
76.199997 96.519 -173.9260
77.500000 96.506 -173.9389
78.800003 96.508 -173.9832
80.000000 96.507 -173.9963
81.199997 96.520 -173.9982
82.500000 96.545 -174.0617
83.800003 96.566 -174.2059
85.000000 96.572 -174.2866
86.199997 96.579 -174.2551
87.500000 96.596 -174.2480
88.500000 96.604 -174.3479
90.000000 96.597 -174.5834
91.199997 96.590 -174.7881
92.500000 96.588 -175.0563
93.800003 96.586 -175.2189
95.000000 96.602 -175.1953
96.199997 96.635 -175.1298
97.500000 96.669 -175.1013
98.800003 96.684 -175.1170
100.000000 96.686 -175.1427
101.500000 96.691 -175.2126
103.000000 96.710 -175.3614
104.400002 96.737 -175.5101
106.000000 96.773 -175.6000
107.500000 96.800 -175.6169
109.000000 96.813 -175.6393
110.599998 96.811 -175.6930
112.000000 96.814 -175.7494
113.800003 96.836 -175.9026
115.000000 96.855 -176.0029
117.199997 96.885 -176.0746
118.000000 96.894 -176.0513
120.599998 96.927 -176.0628
122.000000 96.940 -176.1968
124.099998 96.960 -176.4056
125.000000 96.970 -176.4721
126.500000 96.992 -176.5460
128.000000 97.012 -176.5909
131.500000 97.058 -176.6270
132.000000 97.066 -176.6471
134.000000 97.095 -176.7663
136.000000 97.121 -176.8374
138.000000 97.156 -176.8886
140.000000 97.189 -176.9861
143.000000 97.222 -177.1628
145.000000 97.241 -177.2664
147.500000 97.276 -177.4442
150.000000 97.314 -177.6106
152.500000 97.359 -177.7129
155.000000 97.408 -177.8059
157.500000 97.451 -177.9188
160.000000 97.484 -178.0109
162.500000 97.513 -178.1251
165.000000 97.540 -178.3090
167.500000 97.566 -178.4566
170.000000 97.595 -178.5571
172.500000 97.627 -178.7040
175.000000 97.656 -178.9550
177.500000 97.677 -179.1726
180.000000 97.707 -179.2780
182.500000 97.745 -179.4261
185.000000 97.775 -179.5897
187.500000 97.806 -179.7450
190.000000 97.839 -179.9422
192.500000 97.873 179.8447
195.000000 97.909 179.6379
197.500000 97.944 179.4548
200.000000 97.984 179.2799
203.000000 98.038 179.0294
206.000000 98.094 178.7408
209.000000 98.148 178.4299
212.000000 98.205 178.1444
214.000000 98.245 177.9509
218.000000 98.327 177.5440
220.000000 98.368 177.3395
224.000000 98.447 176.9455
227.000000 98.504 176.6012
230.000000 98.561 176.2256
233.000000 98.621 175.8511
236.000000 98.682 175.4766
240.000000 98.760 174.9556
243.000000 98.820 174.5333
247.000000 98.902 173.9479
250.000000 98.962 173.4874
254.000000 99.035 172.8724
258.000000 99.108 172.2521
262.000000 99.180 171.5970
265.000000 99.229 171.0903
269.000000 99.300 170.3515
272.000000 99.361 169.7880
276.000000 99.440 169.0464
