* Measurement data measured by REW V5.30.9
* Source: Headset (JA3 HIFI AUDIO(CX31993)), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Feb 24, 2024 12:04:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FitEar SP-IEM7 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 71.501 -174.5707
1.015000 71.754 -175.3877
1.030000 72.004 -176.1997
1.044000 72.235 -176.9548
1.060000 72.496 -177.8163
1.075000 72.738 -178.6237
1.090000 72.977 -179.4310
1.106000 73.229 179.7094
1.120000 73.446 178.9610
1.138000 73.720 178.0073
1.150000 73.900 177.3779
1.172000 74.223 176.2390
1.180000 74.338 175.8299
1.206000 74.706 174.5189
1.220000 74.900 173.8249
1.241000 75.186 172.7996
1.250000 75.306 172.3657
1.265000 75.505 171.6500
1.280000 75.701 170.9433
1.315000 76.147 169.3276
1.320000 76.210 169.1004
1.340000 76.458 168.2000
1.360000 76.703 167.3124
1.380000 76.944 166.4367
1.400000 77.183 165.5719
1.430000 77.535 164.2929
1.450000 77.767 163.4515
1.475000 78.053 162.4126
1.500000 78.333 161.3893
1.525000 78.607 160.3825
1.550000 78.874 159.3918
1.575000 79.135 158.4160
1.600000 79.390 157.4536
1.625000 79.640 156.5029
1.650000 79.885 155.5623
1.675000 80.125 154.6300
1.700000 80.360 153.7041
1.725000 80.591 152.7828
1.750000 80.818 151.8644
1.775000 81.042 150.9469
1.800000 81.262 150.0287
1.825000 81.479 149.1085
1.850000 81.692 148.1855
1.875000 81.901 147.2605
1.900000 82.105 146.3350
1.925000 82.305 145.4111
1.950000 82.501 144.4905
1.975000 82.693 143.5750
2.000000 82.880 142.6656
2.030000 83.101 141.5839
2.060000 83.317 140.5136
2.090000 83.527 139.4552
2.120000 83.734 138.4088
2.140000 83.869 137.7173
2.180000 84.134 136.3463
2.200000 84.264 135.6648
2.240000 84.517 134.3041
2.270000 84.702 133.2839
2.300000 84.881 132.2652
2.330000 85.056 131.2505
2.360000 85.227 130.2421
2.400000 85.448 128.9116
2.430000 85.609 127.9266
2.470000 85.818 126.6330
2.500000 85.970 125.6782
2.540000 86.169 124.4240
2.580000 86.361 123.1853
2.620000 86.546 121.9537
2.650000 86.681 121.0324
2.690000 86.854 119.8088
2.720000 86.980 118.8972
2.760000 87.143 117.6943
2.800000 87.300 116.5102
2.850000 87.490 115.0623
2.900000 87.671 113.6525
2.950000 87.845 112.2744
3.000000 88.011 110.9156
3.040000 88.138 109.8387
3.070000 88.229 109.0378
3.110000 88.347 107.9821
3.150000 88.461 106.9440
3.200000 88.598 105.6774
3.250000 88.729 104.4500
3.300000 88.855 103.2611
3.350000 88.974 102.1040
3.400000 89.088 100.9720
3.450000 89.197 99.8636
3.500000 89.300 98.7814
3.550000 89.400 97.7293
3.600000 89.496 96.7112
3.650000 89.588 95.7284
3.700000 89.678 94.7792
3.750000 89.765 93.8597
3.820000 89.880 92.6172
3.870000 89.960 91.7603
3.950000 90.083 90.4433
4.000000 90.159 89.6548
4.060000 90.249 88.7443
4.120000 90.337 87.8709
4.180000 90.424 87.0306
4.250000 90.524 86.0853
4.310000 90.609 85.3003
4.370000 90.694 84.5359
4.440000 90.795 83.6692
4.500000 90.881 82.9476
4.550000 90.953 82.3594
4.620000 91.054 81.5507
4.680000 91.140 80.8662
4.750000 91.241 80.0730
4.820000 91.342 79.2843
4.870000 91.414 78.7238
4.940000 91.514 77.9423
5.000000 91.599 77.2733
5.080000 91.711 76.3788
5.150000 91.807 75.5908
5.220000 91.900 74.7973
5.300000 92.005 73.8856
5.380000 92.105 72.9714
5.450000 92.189 72.1708
5.520000 92.269 71.3692
5.600000 92.356 70.4515
5.700000 92.458 69.3073
5.800000 92.551 68.1765
5.900000 92.635 67.0662
6.000000 92.711 65.9773
6.080000 92.765 65.1252
6.150000 92.809 64.3979
6.220000 92.850 63.6905
6.300000 92.892 62.9073
6.400000 92.939 61.9659
6.500000 92.982 61.0686
6.600000 93.021 60.2189
6.700000 93.057 59.4174
6.800000 93.091 58.6614
6.900000 93.125 57.9472
7.000000 93.159 57.2722
7.100000 93.193 56.6337
7.200000 93.229 56.0258
7.300000 93.266 55.4422
7.400000 93.305 54.8781
7.500000 93.345 54.3300
7.620000 93.396 53.6864
7.750000 93.452 52.9979
7.880000 93.510 52.3137
8.000000 93.564 51.6830
8.120000 93.617 51.0509
8.250000 93.672 50.3643
8.380000 93.726 49.6779
8.500000 93.774 49.0460
8.620000 93.819 48.4176
8.750000 93.865 47.7433
8.850000 93.899 47.2307
9.000000 93.946 46.4738
9.120000 93.982 45.8794
9.250000 94.019 45.2479
9.380000 94.053 44.6294
9.500000 94.083 44.0702
9.620000 94.111 43.5222
9.750000 94.138 42.9413
9.880000 94.159 42.3742
10.000000 94.173 41.8633
10.150000 94.183 41.2425
10.300000 94.186 40.6428
10.440000 94.185 40.1028
10.600000 94.181 39.5093
10.750000 94.177 38.9753
10.900000 94.173 38.4609
11.060000 94.169 37.9305
11.200000 94.167 37.4787
11.380000 94.166 36.9088
11.500000 94.166 36.5328
11.720000 94.165 35.8470
11.800000 94.165 35.5981
12.060000 94.161 34.7929
12.200000 94.157 34.3658
12.410000 94.152 33.7429
12.500000 94.151 33.4856
12.650000 94.149 33.0735
12.800000 94.150 32.6860
13.150000 94.154 31.8890
13.200000 94.155 31.7872
13.400000 94.162 31.4059
13.600000 94.174 31.0562
13.800000 94.192 30.7229
14.000000 94.214 30.3895
14.300000 94.255 29.8589
14.500000 94.284 29.4714
14.750000 94.319 28.9439
15.000000 94.348 28.3745
15.250000 94.368 27.7793
15.500000 94.378 27.1814
15.750000 94.379 26.6067
16.000000 94.373 26.0796
16.250000 94.365 25.6160
16.500000 94.358 25.2187
16.750000 94.358 24.8729
17.000000 94.367 24.5492
17.250000 94.384 24.2123
17.500000 94.407 23.8347
17.750000 94.428 23.4086
18.000000 94.444 22.9515
18.250000 94.450 22.5008
18.500000 94.449 22.0979
18.750000 94.447 21.7697
19.000000 94.452 21.5135
19.250000 94.470 21.2938
19.500000 94.503 21.0555
19.750000 94.544 20.7524
20.000000 94.585 20.3694
20.299999 94.617 19.8475
20.600000 94.626 19.3650
20.900000 94.620 19.0345
21.200001 94.622 18.8899
21.400000 94.638 18.8578
21.799999 94.712 18.7260
22.000000 94.760 18.5350
22.400000 94.831 17.8584
22.700001 94.829 17.2577
23.000000 94.776 16.8293
23.299999 94.703 16.7471
23.600000 94.658 16.9907
24.000000 94.693 17.3420
24.299999 94.770 17.1722
24.700001 94.816 16.1234
25.000000 94.724 15.0496
25.400000 94.392 14.3113
25.799999 93.960 15.6628
26.200001 93.776 19.3234
26.500000 93.971 22.3389
26.900000 94.581 24.3758
27.200001 95.086 23.7797
27.600000 95.555 20.8064
28.000000 95.670 16.8138
28.500000 95.377 12.6816
29.000000 94.912 11.0587
29.500000 94.664 11.4225
30.000000 94.710 11.7499
30.400000 94.812 11.2758
30.700001 94.857 10.6525
31.100000 94.861 9.8844
31.500000 94.842 9.5032
32.000000 94.866 9.5510
32.500000 94.968 9.7328
33.000000 95.103 9.6909
33.500000 95.220 9.4218
34.000000 95.299 9.0549
34.500000 95.338 8.6626
35.000000 95.332 8.2799
35.500000 95.278 7.9763
36.000000 95.187 7.8292
36.500000 95.080 7.8301
37.000000 94.970 7.8743
37.500000 94.849 7.9015
38.200001 94.648 8.1832
38.700001 94.532 8.8221
39.500000 94.571 10.0365
40.000000 94.729 10.0717
40.599998 94.909 9.0464
41.200001 94.968 7.5204
41.799999 94.926 6.3799
42.500000 94.882 5.9196
43.099998 94.912 5.8994
43.700001 94.980 5.8672
44.400002 95.060 5.7526
45.000000 95.117 5.6516
45.500000 95.155 5.5577
46.200001 95.187 5.3711
46.799999 95.188 5.1742
47.500000 95.163 4.9658
48.200001 95.126 4.8248
48.700001 95.105 4.7476
49.400002 95.095 4.5690
50.000000 95.097 4.2600
50.799999 95.086 3.6987
51.500000 95.066 3.2815
52.200001 95.064 2.9482
53.000000 95.078 2.4640
53.799999 95.065 1.9336
54.500000 95.034 1.6475
55.200001 95.010 1.5396
56.000000 94.997 1.4817
57.000000 94.983 1.4506
58.000000 94.985 1.5988
59.000000 95.041 1.7083
60.000000 95.105 1.4062
60.799999 95.117 1.0371
61.500000 95.106 0.7950
62.200001 95.087 0.6293
63.000000 95.058 0.5122
64.000000 95.029 0.4794
65.000000 95.029 0.3821
66.000000 95.038 0.0031
67.000000 95.027 -0.5211
68.000000 95.009 -0.9113
69.000000 95.020 -1.1680
70.000000 95.054 -1.4879
71.000000 95.073 -1.8590
72.000000 95.067 -2.1234
73.000000 95.045 -2.2373
74.000000 95.021 -2.2841
75.000000 94.994 -2.3679
76.199997 94.963 -2.5447
77.500000 94.953 -2.8103
78.800003 94.977 -3.2155
80.000000 95.012 -3.6538
81.199997 95.040 -3.9979
82.500000 95.055 -4.1696
83.800003 95.047 -4.1835
85.000000 95.017 -4.1799
86.199997 94.969 -4.3021
87.500000 94.896 -4.6859
88.500000 94.824 -5.0531
90.000000 94.743 -5.3672
91.199997 94.755 -5.5482
92.500000 94.810 -5.9297
93.800003 94.860 -6.3322
95.000000 94.892 -6.5974
96.199997 94.908 -6.7656
97.500000 94.912 -6.9080
98.800003 94.904 -7.0604
100.000000 94.891 -7.2236
101.500000 94.876 -7.4498
103.000000 94.865 -7.6833
104.400002 94.860 -7.9091
106.000000 94.854 -8.1749
107.500000 94.847 -8.4137
109.000000 94.840 -8.6315
110.599998 94.834 -8.8519
112.000000 94.827 -9.0471
113.800003 94.815 -9.3112
115.000000 94.806 -9.4970
117.199997 94.789 -9.8469
118.000000 94.783 -9.9720
120.599998 94.766 -10.3544
122.000000 94.755 -10.5381
124.099998 94.737 -10.7882
125.000000 94.730 -10.8929
126.500000 94.720 -11.0723
128.000000 94.711 -11.2551
131.500000 94.682 -11.6564
132.000000 94.677 -11.7122
134.000000 94.658 -11.9471
136.000000 94.639 -12.2043
138.000000 94.622 -12.4595
140.000000 94.612 -12.7058
143.000000 94.600 -13.0844
145.000000 94.586 -13.3326
147.500000 94.562 -13.6141
150.000000 94.536 -13.8868
152.500000 94.515 -14.1768
155.000000 94.496 -14.4502
157.500000 94.475 -14.6780
160.000000 94.449 -14.9069
162.500000 94.421 -15.1516
165.000000 94.392 -15.4132
167.500000 94.352 -15.6495
170.000000 94.303 -15.8656
172.500000 94.251 -16.1518
175.000000 94.189 -16.4799
177.500000 94.118 -16.7270
180.000000 94.058 -16.8948
182.500000 94.021 -17.0865
185.000000 93.999 -17.3153
187.500000 93.982 -17.5596
190.000000 93.977 -17.8649
192.500000 93.990 -18.1561
195.000000 94.006 -18.2538
197.500000 93.999 -18.1860
200.000000 93.965 -18.1776
203.000000 93.927 -18.3778
206.000000 93.913 -18.6104
209.000000 93.901 -18.7823
212.000000 93.877 -19.0428
214.000000 93.859 -19.2560
218.000000 93.824 -19.6509
220.000000 93.799 -19.8325
224.000000 93.734 -20.1310
227.000000 93.689 -20.2549
230.000000 93.655 -20.3533
233.000000 93.630 -20.5027
236.000000 93.609 -20.7127
240.000000 93.581 -21.0546
243.000000 93.555 -21.3014
247.000000 93.511 -21.5104
250.000000 93.473 -21.6184
254.000000 93.427 -21.7977
258.000000 93.387 -22.0410
262.000000 93.339 -22.3101
265.000000 93.293 -22.4631
269.000000 93.231 -22.5833
272.000000 93.194 -22.6498
276.000000 93.156 -22.7769
280.000000 93.113 -22.9888
285.000000 93.046 -23.3211
290.000000 92.983 -23.6312
295.000000 92.930 -23.8647
300.000000 92.872 -24.0493
304.000000 92.825 -24.2037
307.000000 92.791 -24.3169
311.000000 92.746 -24.4515
315.000000 92.699 -24.5669
320.000000 92.639 -24.6971
325.000000 92.580 -24.8396
330.000000 92.529 -24.9952
335.000000 92.482 -25.1315
340.000000 92.436 -25.2366
345.000000 92.389 -25.3331
350.000000 92.343 -25.4404
