* Measurement data measured by REW V5.20.13
* Source: Flat @ 0 Filtered
* Format: 
* Dated: Aug 6, 2023 12:00:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/griff/Desktop/REW/Targets/Flat @ 0.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  LSQ      Fc   160.0 Hz  Gain   1.00 dB Q  0.650 LSQ      Fc   25.00 Hz  Gain   1.30 dB Q  0.707 PK       Fc    1000 Hz  Gain   0.70 dB  Q  2.000 HSQ      Fc    1200 Hz  Gain  -0.20 dB Q   2.60 PK       Fc   555.0 Hz  Gain  -0.10 dB  Q  1.414 HSQ      Fc    6000 Hz  Gain   3.80 dB Q  0.600 PK       Fc   11425 Hz  Gain   7.00 dB  Q  2.700 PK       Fc    2555 Hz  Gain  -0.80 dB  Q  2.000 PK       Fc    2270 Hz  Gain   0.30 dB  Q  5.000 PK       Fc    4333 Hz  Gain   0.60 dB  Q  4.000 PK       Fc    5100 Hz  Gain  -0.60 dB  Q  4.000 PK       Fc    9150 Hz  Gain  -1.40 dB  Q  3.000 LPQ      Fc   18800 Hz  Q  0.750
* Measurement: EQ Flat @ 0
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	1.914
20.299999	1.902
20.600000	1.886
20.900000	1.870
21.200001	1.853
21.400000	1.842
21.799999	1.820
22.000000	1.809
22.400000	1.786
22.700001	1.770
23.000000	1.753
23.299999	1.737
23.600000	1.720
24.000000	1.698
24.299999	1.682
24.700001	1.661
25.000000	1.645
25.400000	1.624
25.799999	1.604
26.200001	1.584
26.500000	1.569
26.900000	1.550
27.200001	1.536
27.600000	1.517
28.000000	1.499
28.500000	1.477
29.000000	1.456
29.500000	1.436
30.000000	1.416
30.400000	1.401
30.700001	1.390
31.100000	1.375
31.500000	1.361
32.000000	1.345
32.500000	1.329
33.000000	1.313
33.500000	1.299
34.000000	1.285
34.500000	1.271
35.000000	1.258
35.500000	1.246
36.000000	1.234
36.500000	1.223
37.000000	1.213
37.500000	1.202
38.200001	1.189
38.700001	1.180
39.500000	1.166
40.000000	1.158
40.599998	1.149
41.200001	1.140
41.799999	1.132
42.500000	1.122
43.099998	1.115
43.700001	1.108
44.400002	1.100
45.000000	1.094
45.500000	1.089
46.200001	1.082
46.799999	1.076
47.500000	1.070
48.200001	1.065
48.700001	1.061
49.400002	1.055
50.000000	1.051
50.799999	1.045
51.500000	1.041
52.200001	1.036
53.000000	1.031
53.799999	1.027
54.500000	1.023
55.200001	1.019
56.000000	1.015
57.000000	1.010
58.000000	1.005
59.000000	1.001
60.000000	0.996
60.799999	0.993
61.500000	0.990
62.200001	0.987
63.000000	0.984
64.000000	0.980
65.000000	0.976
66.000000	0.972
67.000000	0.968
68.000000	0.964
69.000000	0.960
70.000000	0.957
71.000000	0.953
72.000000	0.949
73.000000	0.946
74.000000	0.942
75.000000	0.938
76.199997	0.934
77.500000	0.929
78.800003	0.924
80.000000	0.919
81.199997	0.915
82.500000	0.910
83.800003	0.904
85.000000	0.900
86.199997	0.895
87.500000	0.889
88.500000	0.885
90.000000	0.879
91.199997	0.874
92.500000	0.868
93.800003	0.862
95.000000	0.857
96.199997	0.851
97.500000	0.845
98.800003	0.839
100.000000	0.833
101.500000	0.826
103.000000	0.819
104.400002	0.812
106.000000	0.804
107.500000	0.796
109.000000	0.788
110.599998	0.780
112.000000	0.773
113.800003	0.763
115.000000	0.756
117.199997	0.744
118.000000	0.740
120.599998	0.726
122.000000	0.718
124.099998	0.706
125.000000	0.701
126.500000	0.692
128.000000	0.684
131.500000	0.664
132.000000	0.661
134.000000	0.649
136.000000	0.638
138.000000	0.626
140.000000	0.615
143.000000	0.598
145.000000	0.586
147.500000	0.572
150.000000	0.559
152.500000	0.545
155.000000	0.531
157.500000	0.518
