* Measurement data measured by REW V5.30.9
* Source: Headset (JA3 HIFI AUDIO(CX31993)), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Feb 24, 2024 1:46:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Plutus Beast R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.798 24.1036
1.015000 73.070 23.5424
1.030000 73.338 22.9662
1.044000 73.587 22.4142
1.060000 73.869 21.7664
1.075000 74.131 21.1432
1.090000 74.391 20.5075
1.106000 74.666 19.8224
1.120000 74.903 19.2244
1.138000 75.205 18.4648
1.150000 75.403 17.9659
1.172000 75.761 17.0671
1.180000 75.889 16.7450
1.206000 76.301 15.7137
1.220000 76.519 15.1668
1.241000 76.842 14.3555
1.250000 76.978 14.0106
1.265000 77.204 13.4386
1.280000 77.427 12.8695
1.315000 77.937 11.5482
1.320000 78.009 11.3597
1.340000 78.294 10.6056
1.360000 78.576 9.8496
1.380000 78.854 9.0901
1.400000 79.128 8.3258
1.430000 79.534 7.1681
1.450000 79.800 6.3897
1.475000 80.128 5.4150
1.500000 80.450 4.4478
1.525000 80.766 3.4945
1.550000 81.075 2.5559
1.575000 81.378 1.6301
1.600000 81.674 0.7145
1.625000 81.965 -0.1938
1.650000 82.251 -1.0974
1.675000 82.531 -1.9993
1.700000 82.807 -2.9019
1.725000 83.078 -3.8079
1.750000 83.345 -4.7196
1.775000 83.607 -5.6391
1.800000 83.866 -6.5679
1.825000 84.120 -7.5061
1.850000 84.371 -8.4518
1.875000 84.616 -9.4015
1.900000 84.857 -10.3518
1.925000 85.093 -11.3001
1.950000 85.324 -12.2445
1.975000 85.551 -13.1839
2.000000 85.773 -14.1174
2.030000 86.034 -15.2293
2.060000 86.290 -16.3322
2.090000 86.541 -17.4263
2.120000 86.787 -18.5128
2.140000 86.948 -19.2337
2.180000 87.265 -20.6698
2.200000 87.420 -21.3866
2.240000 87.724 -22.8208
2.270000 87.945 -23.8965
2.300000 88.161 -24.9703
2.330000 88.372 -26.0396
2.360000 88.578 -27.1020
2.400000 88.846 -28.5045
2.430000 89.042 -29.5442
2.470000 89.297 -30.9126
2.500000 89.483 -31.9255
2.540000 89.727 -33.2605
2.580000 89.964 -34.5832
2.620000 90.194 -35.9002
2.650000 90.361 -36.8856
2.690000 90.578 -38.1940
2.720000 90.737 -39.1689
2.760000 90.942 -40.4562
2.800000 91.142 -41.7255
2.850000 91.384 -43.2824
2.900000 91.619 -44.8052
2.950000 91.845 -46.3007
3.000000 92.064 -47.7793
3.040000 92.232 -48.9530
3.070000 92.355 -49.8269
3.110000 92.514 -50.9811
3.150000 92.669 -52.1194
3.200000 92.857 -53.5156
3.250000 93.040 -54.8790
3.300000 93.216 -56.2115
3.350000 93.387 -57.5197
3.400000 93.551 -58.8093
3.450000 93.709 -60.0808
3.500000 93.862 -61.3315
3.550000 94.011 -62.5575
3.600000 94.155 -63.7564
3.650000 94.295 -64.9277
3.700000 94.430 -66.0747
3.750000 94.562 -67.2014
3.820000 94.739 -68.7477
3.870000 94.861 -69.8291
3.950000 95.050 -71.5150
4.000000 95.164 -72.5396
4.060000 95.297 -73.7412
4.120000 95.426 -74.9162
4.180000 95.550 -76.0668
4.250000 95.691 -77.3785
4.310000 95.808 -78.4755
4.370000 95.921 -79.5471
4.440000 96.050 -80.7671
4.500000 96.157 -81.7892
4.550000 96.243 -82.6253
4.620000 96.361 -83.7717
4.680000 96.460 -84.7313
4.750000 96.571 -85.8239
4.820000 96.679 -86.8891
4.870000 96.755 -87.6343
4.940000 96.857 -88.6564
5.000000 96.943 -89.5126
5.080000 97.055 -90.6253
5.150000 97.149 -91.5719
5.220000 97.242 -92.4947
5.300000 97.345 -93.5219
5.380000 97.445 -94.5209
5.450000 97.532 -95.3724
5.520000 97.617 -96.2031
5.600000 97.712 -97.1284
5.700000 97.830 -98.2524
5.800000 97.946 -99.3454
5.900000 98.061 -100.4109
6.000000 98.174 -101.4518
6.080000 98.265 -102.2706
6.150000 98.343 -102.9799
6.220000 98.422 -103.6847
6.300000 98.510 -104.4857
6.400000 98.620 -105.4824
6.500000 98.728 -106.4777
6.600000 98.834 -107.4762
6.700000 98.937 -108.4800
6.800000 99.037 -109.4891
6.900000 99.132 -110.5029
7.000000 99.222 -111.5217
7.100000 99.307 -112.5448
7.200000 99.386 -113.5682
7.300000 99.458 -114.5871
7.400000 99.524 -115.5986
7.500000 99.583 -116.5997
7.620000 99.644 -117.7785
7.750000 99.700 -119.0170
7.880000 99.745 -120.2083
8.000000 99.779 -121.2576
8.120000 99.805 -122.2508
8.250000 99.828 -123.2599
8.380000 99.846 -124.1975
8.500000 99.862 -124.9981
8.620000 99.876 -125.7390
8.750000 99.894 -126.4809
8.850000 99.910 -127.0133
9.000000 99.938 -127.7597
9.120000 99.966 -128.3239
9.250000 100.002 -128.9147
9.380000 100.043 -129.4955
9.500000 100.085 -130.0338
9.620000 100.130 -130.5829
9.750000 100.180 -131.1965
9.880000 100.227 -131.8356
10.000000 100.266 -132.4511
10.150000 100.308 -133.2548
10.300000 100.340 -134.0930
10.440000 100.362 -134.9004
10.600000 100.377 -135.8403
10.750000 100.381 -136.7245
10.900000 100.377 -137.5974
11.060000 100.363 -138.4983
11.200000 100.344 -139.2489
11.380000 100.312 -140.1462
11.500000 100.288 -140.6956
11.720000 100.244 -141.5952
11.800000 100.229 -141.8882
12.060000 100.190 -142.7324
12.200000 100.179 -143.1346
12.410000 100.181 -143.7041
12.500000 100.189 -143.9460
12.650000 100.213 -144.3597
12.800000 100.247 -144.7987
13.150000 100.344 -145.9721
13.200000 100.359 -146.1584
13.400000 100.413 -146.9455
13.600000 100.458 -147.7831
13.800000 100.492 -148.6430
14.000000 100.513 -149.4933
14.300000 100.526 -150.6903
14.500000 100.527 -151.4101
14.750000 100.525 -152.2156
15.000000 100.527 -152.9345
15.250000 100.535 -153.5999
15.500000 100.546 -154.2425
15.750000 100.558 -154.8748
16.000000 100.565 -155.4850
16.250000 100.567 -156.0424
16.500000 100.566 -156.5129
16.750000 100.568 -156.8779
17.000000 100.582 -157.1515
17.250000 100.614 -157.3841
17.500000 100.668 -157.6516
17.750000 100.738 -158.0316
18.000000 100.811 -158.5753
18.250000 100.873 -159.2892
18.500000 100.910 -160.1313
18.750000 100.914 -161.0207
19.000000 100.883 -161.8584
19.250000 100.824 -162.5499
19.500000 100.751 -163.0338
19.750000 100.683 -163.2994
20.000000 100.635 -163.3925
20.299999 100.618 -163.4099
20.600000 100.646 -163.5036
20.900000 100.700 -163.8175
21.200001 100.757 -164.3987
21.400000 100.786 -164.9132
21.799999 100.802 -166.1089
22.000000 100.790 -166.7225
22.400000 100.737 -167.8607
22.700001 100.687 -168.6031
23.000000 100.637 -169.2665
23.299999 100.590 -169.8807
23.600000 100.544 -170.4604
24.000000 100.481 -171.1558
24.299999 100.436 -171.5870
24.700001 100.394 -172.0372
25.000000 100.385 -172.3365
25.400000 100.402 -172.8217
25.799999 100.431 -173.5145
26.200001 100.438 -174.3789
26.500000 100.415 -175.0262
26.900000 100.355 -175.7049
27.200001 100.306 -176.0053
27.600000 100.265 -176.1707
28.000000 100.268 -176.2565
28.500000 100.312 -176.5480
29.000000 100.347 -177.0853
29.500000 100.353 -177.6401
30.000000 100.358 -178.0958
30.400000 100.379 -178.5015
30.700001 100.396 -178.9093
31.100000 100.399 -179.5931
31.500000 100.361 179.6909
32.000000 100.263 179.0600
32.500000 100.169 178.8840
33.000000 100.136 178.9345
33.500000 100.158 178.8237
34.000000 100.186 178.4289
34.500000 100.193 177.9163
35.000000 100.194 177.4280
35.500000 100.205 176.9028
36.000000 100.210 176.2411
36.500000 100.184 175.5282
37.000000 100.127 174.9852
37.500000 100.075 174.7132
38.200001 100.072 174.4546
38.700001 100.099 174.0359
39.500000 100.102 172.9510
40.000000 100.065 172.2461
40.599998 100.000 171.5154
41.200001 99.924 170.9031
41.799999 99.840 170.4220
42.500000 99.747 170.0806
43.099998 99.692 169.9287
43.700001 99.666 169.7784
44.400002 99.658 169.4717
45.000000 99.650 169.0791
45.500000 99.634 168.7091
46.200001 99.592 168.2494
46.799999 99.554 167.9834
47.500000 99.527 167.7772
48.200001 99.522 167.5187
48.700001 99.521 167.2405
49.400002 99.504 166.7706
50.000000 99.473 166.3945
50.799999 99.425 165.9980
51.500000 99.385 165.6949
52.200001 99.339 165.4232
53.000000 99.283 165.2159
53.799999 99.240 165.0732
54.500000 99.209 164.9066
55.200001 99.172 164.7077
56.000000 99.125 164.5190
57.000000 99.085 164.2698
58.000000 99.048 163.7642
59.000000 98.973 163.1621
60.000000 98.890 162.7156
60.799999 98.833 162.3845
61.500000 98.784 162.1008
62.200001 98.739 161.8526
63.000000 98.695 161.5800
64.000000 98.644 161.2173
65.000000 98.592 160.8566
66.000000 98.534 160.4763
67.000000 98.464 160.1524
68.000000 98.396 159.9271
69.000000 98.338 159.7256
70.000000 98.289 159.5022
71.000000 98.243 159.2314
72.000000 98.195 158.9437
73.000000 98.147 158.6688
74.000000 98.101 158.3806
75.000000 98.050 158.0983
76.199997 97.985 157.8304
77.500000 97.919 157.6230
78.800003 97.857 157.4260
80.000000 97.795 157.2256
81.199997 97.723 157.0250
82.500000 97.635 156.8475
83.800003 97.554 156.7049
85.000000 97.492 156.5180
86.199997 97.437 156.2735
87.500000 97.386 155.9778
88.500000 97.350 155.7210
90.000000 97.284 155.3521
91.199997 97.220 155.1830
92.500000 97.154 155.0884
93.800003 97.087 154.9607
95.000000 97.017 154.8463
96.199997 96.949 154.7528
97.500000 96.885 154.6436
98.800003 96.831 154.5231
100.000000 96.790 154.4196
101.500000 96.747 154.3379
103.000000 96.714 154.2805
104.400002 96.680 154.1857
106.000000 96.625 154.0569
107.500000 96.560 153.9450
109.000000 96.482 153.7646
110.599998 96.378 153.5062
112.000000 96.270 153.3474
113.800003 96.150 153.3466
115.000000 96.095 153.3799
117.199997 96.018 153.4215
118.000000 95.992 153.4631
120.599998 95.910 153.5941
122.000000 95.860 153.5725
124.099998 95.775 153.4637
125.000000 95.738 153.4188
126.500000 95.679 153.3594
128.000000 95.620 153.3197
131.500000 95.480 153.4072
132.000000 95.465 153.4554
134.000000 95.425 153.7149
136.000000 95.393 154.0601
138.000000 95.338 154.4771
140.000000 95.263 154.7494
143.000000 95.151 154.4998
145.000000 95.088 154.2008
147.500000 95.027 154.1313
150.000000 94.969 154.3325
152.500000 94.933 154.7046
155.000000 94.947 155.0942
157.500000 95.003 155.5995
160.000000 95.182 156.2190
162.500000 95.539 155.8245
165.000000 95.882 153.2300
167.500000 95.814 148.8912
170.000000 95.187 146.1940
172.500000 94.446 146.6622
175.000000 93.916 147.8862
177.500000 93.538 148.6319
180.000000 93.246 149.3755
182.500000 93.030 150.8572
185.000000 92.919 153.1963
187.500000 92.957 155.6173
190.000000 93.113 157.1169
192.500000 93.258 157.5595
195.000000 93.325 157.4028
197.500000 93.322 157.1233
200.000000 93.309 157.3416
203.000000 93.293 158.1184
206.000000 93.210 158.7496
209.000000 93.084 158.6967
212.000000 92.982 158.2766
214.000000 92.935 158.1219
218.000000 92.880 158.2185
220.000000 92.871 158.2699
224.000000 92.862 158.2993
227.000000 92.850 158.3400
230.000000 92.832 158.4539
233.000000 92.815 158.7860
236.000000 92.811 159.3638
240.000000 92.845 160.0444
243.000000 92.858 160.2962
247.000000 92.783 160.3598
250.000000 92.678 160.2227
254.000000 92.542 159.9521
258.000000 92.472 159.9338
262.000000 92.465 160.2772
265.000000 92.447 160.7521
269.000000 92.378 161.4086
272.000000 92.309 161.7390
276.000000 92.208 161.9686
280.000000 92.103 161.9996
285.000000 91.967 161.8484
290.000000 91.837 161.7271
295.000000 91.791 162.0310
300.000000 91.805 163.0590
304.000000 91.777 163.9074
307.000000 91.733 164.4143
311.000000 91.660 164.9618
315.000000 91.592 165.4431
320.000000 91.535 166.0309
325.000000 91.491 166.5674
