* Measurement data measured by REW V5.30.2
* Source: Headset (JA3 HIFI AUDIO(CX31993)), no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 15, 2024 6:30:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing 2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 58.316 -142.1751
1.015000 58.653 -143.1477
1.030000 58.984 -144.1132
1.044000 59.288 -145.0104
1.060000 59.627 -146.0332
1.075000 59.937 -146.9919
1.090000 60.239 -147.9508
1.106000 60.552 -148.9675
1.120000 60.821 -149.8388
1.138000 61.160 -150.9255
1.150000 61.383 -151.6293
1.172000 61.785 -152.8796
1.180000 61.929 -153.3223
1.206000 62.390 -154.7214
1.220000 62.633 -155.4518
1.241000 62.992 -156.5210
1.250000 63.144 -156.9705
1.265000 63.395 -157.7092
1.280000 63.642 -158.4360
1.315000 64.208 -160.0941
1.320000 64.287 -160.3273
1.340000 64.602 -161.2530
1.360000 64.912 -162.1693
1.380000 65.218 -163.0786
1.400000 65.521 -163.9834
1.430000 65.967 -165.3371
1.450000 66.260 -166.2394
1.475000 66.621 -167.3623
1.500000 66.974 -168.4617
1.525000 67.319 -169.5308
1.550000 67.656 -170.5728
1.575000 67.985 -171.5916
1.600000 68.307 -172.5916
1.625000 68.621 -173.5765
1.650000 68.929 -174.5502
1.675000 69.232 -175.5163
1.700000 69.528 -176.4783
1.725000 69.820 -177.4393
1.750000 70.106 -178.4024
1.775000 70.388 -179.3705
1.800000 70.666 179.6538
1.825000 70.941 178.6691
1.850000 71.211 177.6781
1.875000 71.475 176.6874
1.900000 71.733 175.7011
1.925000 71.986 174.7211
1.950000 72.234 173.7487
1.975000 72.476 172.7847
2.000000 72.714 171.8293
2.030000 72.993 170.6945
2.060000 73.266 169.5717
2.090000 73.533 168.4599
2.120000 73.795 167.3578
2.140000 73.967 166.6275
2.180000 74.305 165.1749
2.200000 74.470 164.4505
2.240000 74.795 163.0006
2.270000 75.031 161.9130
2.300000 75.261 160.8286
2.330000 75.485 159.7504
2.360000 75.704 158.6808
2.400000 75.988 157.2710
2.430000 76.196 156.2274
2.470000 76.466 154.8557
2.500000 76.664 153.8419
2.540000 76.923 152.5093
2.580000 77.175 151.1915
2.620000 77.418 149.8752
2.650000 77.596 148.8876
2.690000 77.826 147.5754
2.720000 77.993 146.5981
2.760000 78.210 145.3085
2.800000 78.421 144.0387
2.850000 78.676 142.4846
2.900000 78.923 140.9715
2.950000 79.162 139.4926
3.000000 79.392 138.0250
3.040000 79.568 136.8557
3.070000 79.697 135.9842
3.110000 79.864 134.8337
3.150000 80.026 133.7002
3.200000 80.222 132.3135
3.250000 80.412 130.9664
3.300000 80.597 129.6596
3.350000 80.775 128.3792
3.400000 80.946 127.1135
3.450000 81.111 125.8647
3.500000 81.269 124.6379
3.550000 81.423 123.4383
3.600000 81.572 122.2707
3.650000 81.718 121.1379
3.700000 81.861 120.0353
3.750000 81.998 118.9542
3.820000 82.184 117.4723
3.870000 82.312 116.4380
3.950000 82.510 114.8295
4.000000 82.632 113.8557
4.060000 82.775 112.7190
4.120000 82.915 111.6119
4.180000 83.051 110.5301
4.250000 83.206 109.2967
4.310000 83.336 108.2620
4.370000 83.465 107.2469
4.440000 83.612 106.0864
4.500000 83.737 105.1117
4.550000 83.839 104.3118
4.620000 83.980 103.2077
4.680000 84.098 102.2733
4.750000 84.234 101.1936
4.820000 84.367 100.1237
4.870000 84.461 99.3655
4.940000 84.590 98.3124
5.000000 84.698 97.4172
5.080000 84.839 96.2332
5.150000 84.957 95.2031
5.220000 85.073 94.1752
5.300000 85.200 93.0045
5.380000 85.323 91.8442
5.450000 85.425 90.8412
5.520000 85.523 89.8488
5.600000 85.630 88.7205
5.700000 85.756 87.3227
5.800000 85.872 85.9561
5.900000 85.981 84.6298
6.000000 86.080 83.3323
6.080000 86.154 82.3172
6.150000 86.214 81.4526
6.220000 86.272 80.6147
6.300000 86.335 79.6879
6.400000 86.407 78.5685
6.500000 86.475 77.4948
6.600000 86.540 76.4724
6.700000 86.603 75.5027
6.800000 86.664 74.5789
6.900000 86.725 73.6937
7.000000 86.786 72.8447
7.100000 86.848 72.0330
7.200000 86.912 71.2502
7.300000 86.976 70.4840
7.400000 87.043 69.7303
7.500000 87.111 68.9904
7.620000 87.194 68.1097
7.750000 87.284 67.1496
7.880000 87.375 66.1831
8.000000 87.457 65.2847
8.120000 87.536 64.3758
8.250000 87.619 63.3795
8.380000 87.696 62.3795
8.500000 87.763 61.4568
8.620000 87.825 60.5341
8.750000 87.886 59.5429
8.850000 87.930 58.7907
9.000000 87.990 57.6775
9.120000 88.034 56.8020
9.250000 88.078 55.8712
9.380000 88.118 54.9565
9.500000 88.152 54.1237
9.620000 88.184 53.3002
9.750000 88.215 52.4176
9.880000 88.243 51.5435
10.000000 88.264 50.7421
10.150000 88.285 49.7515
10.300000 88.297 48.7835
10.440000 88.300 47.9030
10.600000 88.294 46.9449
10.750000 88.279 46.1107
10.900000 88.257 45.3488
11.060000 88.229 44.6413
11.200000 88.202 44.1169
11.380000 88.172 43.5726
11.500000 88.159 43.2922
11.720000 88.154 42.9045
11.800000 88.161 42.7916
12.060000 88.218 42.4579
12.200000 88.269 42.2421
12.410000 88.370 41.8151
12.500000 88.418 41.5748
12.650000 88.502 41.0918
12.800000 88.585 40.5079
13.150000 88.748 38.7940
13.200000 88.766 38.5227
13.400000 88.819 37.4019
13.600000 88.846 36.2896
13.800000 88.848 35.2459
14.000000 88.833 34.3226
14.300000 88.798 33.2072
14.500000 88.781 32.6335
14.750000 88.777 32.0386
15.000000 88.796 31.4955
15.250000 88.832 30.9129
15.500000 88.874 30.2498
15.750000 88.910 29.5121
16.000000 88.930 28.7467
16.250000 88.935 28.0194
16.500000 88.930 27.3796
16.750000 88.923 26.8516
17.000000 88.923 26.4163
17.250000 88.936 26.0297
17.500000 88.961 25.6382
17.750000 88.992 25.2015
18.000000 89.024 24.7086
18.250000 89.048 24.1726
18.500000 89.063 23.6255
18.750000 89.070 23.0969
19.000000 89.072 22.6045
19.250000 89.073 22.1465
19.500000 89.075 21.7061
19.750000 89.079 21.2639
20.000000 89.081 20.8082
20.299999 89.076 20.2516
20.600000 89.060 19.7179
20.900000 89.036 19.2491
21.200001 89.012 18.8687
21.400000 89.000 18.6584
21.799999 88.993 18.2866
22.000000 88.998 18.0944
22.400000 89.018 17.6464
22.700001 89.035 17.2512
23.000000 89.051 16.8239
23.299999 89.067 16.3793
23.600000 89.085 15.9139
24.000000 89.113 15.2234
24.299999 89.130 14.6311
24.700001 89.134 13.7695
25.000000 89.117 13.1359
25.400000 89.072 12.4296
25.799999 89.023 11.9554
26.200001 88.994 11.6673
26.500000 88.992 11.4889
26.900000 89.007 11.2007
27.200001 89.021 10.9265
27.600000 89.036 10.5203
28.000000 89.046 10.1212
28.500000 89.062 9.6323
29.000000 89.081 9.0678
29.500000 89.080 8.4232
30.000000 89.048 7.8589
30.400000 89.016 7.5636
30.700001 88.999 7.4217
31.100000 88.996 7.2541
31.500000 89.007 7.0110
32.000000 89.016 6.5554
32.500000 89.000 6.0505
33.000000 88.970 5.6532
33.500000 88.949 5.3767
34.000000 88.947 5.0996
34.500000 88.952 4.7220
35.000000 88.947 4.2667
35.500000 88.927 3.8306
36.000000 88.904 3.4745
36.500000 88.887 3.1740
37.000000 88.878 2.8677
37.500000 88.869 2.5320
38.200001 88.848 2.0707
38.700001 88.833 1.7772
39.500000 88.814 1.3093
40.000000 88.798 1.0035
40.599998 88.773 0.6775
41.200001 88.753 0.4226
41.799999 88.745 0.1766
42.500000 88.744 -0.2041
43.099998 88.735 -0.6099
43.700001 88.712 -1.0115
44.400002 88.679 -1.3885
45.000000 88.657 -1.6613
45.500000 88.643 -1.9048
46.200001 88.617 -2.2468
46.799999 88.594 -2.4559
47.500000 88.590 -2.6746
48.200001 88.593 -3.0583
48.700001 88.579 -3.3728
49.400002 88.549 -3.6733
50.000000 88.545 -3.8855
50.799999 88.542 -4.4544
51.500000 88.479 -4.9845
52.200001 88.401 -5.1121
53.000000 88.381 -5.1062
53.799999 88.380 -5.5226
54.500000 88.332 -5.9784
55.200001 88.274 -6.1692
56.000000 88.255 -6.2562
57.000000 88.272 -6.6937
58.000000 88.261 -7.3790
59.000000 88.215 -7.8861
60.000000 88.173 -8.0214
60.799999 88.173 -7.9305
61.500000 88.205 -7.8990
62.200001 88.246 -8.0806
63.000000 88.264 -8.5322
64.000000 88.221 -9.1158
65.000000 88.143 -9.5209
66.000000 88.054 -9.7845
67.000000 87.977 -9.9112
68.000000 87.933 -10.0596
69.000000 87.905 -10.3394
70.000000 87.882 -10.6834
71.000000 87.858 -11.0480
72.000000 87.826 -11.3546
73.000000 87.795 -11.5336
74.000000 87.774 -11.6477
75.000000 87.755 -11.7555
76.199997 87.740 -11.8658
77.500000 87.732 -12.1938
78.800003 87.684 -12.6663
80.000000 87.623 -12.9620
81.199997 87.572 -13.1564
82.500000 87.537 -13.3865
83.800003 87.502 -13.6783
85.000000 87.464 -13.8849
86.199997 87.430 -14.0486
87.500000 87.392 -14.2244
88.500000 87.360 -14.3690
90.000000 87.309 -14.5898
91.199997 87.271 -14.8041
92.500000 87.228 -15.0671
93.800003 87.187 -15.2900
95.000000 87.152 -15.4652
96.199997 87.120 -15.6163
97.500000 87.084 -15.8009
98.800003 87.042 -15.9921
100.000000 87.002 -16.1663
101.500000 86.955 -16.3865
103.000000 86.912 -16.5899
104.400002 86.872 -16.7397
106.000000 86.824 -16.8438
107.500000 86.779 -16.9357
109.000000 86.733 -17.0976
110.599998 86.683 -17.3434
112.000000 86.637 -17.5389
113.800003 86.582 -17.6914
115.000000 86.543 -17.7474
117.199997 86.462 -17.7106
118.000000 86.442 -17.6870
120.599998 86.380 -18.0504
122.000000 86.335 -18.2516
124.099998 86.284 -18.4154
125.000000 86.264 -18.4878
126.500000 86.227 -18.6187
128.000000 86.183 -18.7626
131.500000 86.077 -18.9800
132.000000 86.064 -19.0051
134.000000 86.012 -19.0892
136.000000 85.952 -19.1733
138.000000 85.892 -19.2628
140.000000 85.835 -19.3986
143.000000 85.755 -19.5559
145.000000 85.701 -19.5734
147.500000 85.626 -19.6536
150.000000 85.552 -19.6554
152.500000 85.497 -19.7577
155.000000 85.409 -19.9171
157.500000 85.325 -19.7513
160.000000 85.277 -19.7454
162.500000 85.215 -19.8370
165.000000 85.155 -19.7729
167.500000 85.095 -19.6562
170.000000 85.020 -19.4597
172.500000 84.944 -19.2131
175.000000 84.895 -19.1645
177.500000 84.862 -19.2374
180.000000 84.823 -19.1760
182.500000 84.762 -18.9862
185.000000 84.698 -18.8988
187.500000 84.662 -18.9924
190.000000 84.641 -19.1255
192.500000 84.601 -19.0842
195.000000 84.556 -18.9420
197.500000 84.511 -18.8878
200.000000 84.480 -18.7692
203.000000 84.428 -18.7250
206.000000 84.393 -18.5566
209.000000 84.375 -18.7854
212.000000 84.318 -19.0310
214.000000 84.273 -19.0873
218.000000 84.204 -18.9465
220.000000 84.177 -18.7827
224.000000 84.094 -18.4319
227.000000 84.009 -18.2455
230.000000 83.937 -18.1732
233.000000 83.877 -18.1311
236.000000 83.825 -17.9953
240.000000 83.772 -17.7927
243.000000 83.734 -17.6827
247.000000 83.668 -17.4732
250.000000 83.612 -17.3257
254.000000 83.549 -17.2026
258.000000 83.501 -17.0085
262.000000 83.439 -16.7631
265.000000 83.391 -16.6606
269.000000 83.332 -16.4883
272.000000 83.288 -16.3062
276.000000 83.234 -16.1401
280.000000 83.181 -15.9618
285.000000 83.111 -15.6484
290.000000 83.045 -15.3665
295.000000 82.989 -15.0884
300.000000 82.934 -14.8221
304.000000 82.882 -14.6260
307.000000 82.846 -14.4576
311.000000 82.801 -14.2045
315.000000 82.752 -13.9343
320.000000 82.694 -13.6143
325.000000 82.642 -13.2832
330.000000 82.590 -12.9678
335.000000 82.547 -12.6912
