* Measurement data measured by REW V5.30.2
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 12, 2024 8:08:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.724 40.1758
1.015000 75.958 38.7341
1.030000 76.190 37.3461
1.044000 76.404 36.1040
1.060000 76.645 34.7536
1.075000 76.867 33.5601
1.090000 77.085 32.4426
1.106000 77.313 31.3407
1.120000 77.510 30.4552
1.138000 77.760 29.4178
1.150000 77.924 28.7846
1.172000 78.221 27.7337
1.180000 78.328 27.3840
1.206000 78.671 26.3519
1.220000 78.853 25.8547
1.241000 79.122 25.1723
1.250000 79.236 24.8998
1.265000 79.424 24.4672
1.280000 79.611 24.0567
1.315000 80.039 23.1513
1.320000 80.099 23.0247
1.340000 80.339 22.5166
1.360000 80.576 21.9948
1.380000 80.811 21.4455
1.400000 81.042 20.8544
1.430000 81.386 19.8590
1.450000 81.613 19.1023
1.475000 81.893 18.0341
1.500000 82.169 16.8808
1.525000 82.440 15.6661
1.550000 82.706 14.4008
1.575000 82.968 13.0955
1.600000 83.225 11.7609
1.625000 83.479 10.4076
1.650000 83.728 9.0465
1.675000 83.973 7.6880
1.700000 84.214 6.3430
1.725000 84.451 5.0220
1.750000 84.685 3.7358
1.775000 84.916 2.4951
1.800000 85.143 1.3105
1.825000 85.367 0.1927
1.850000 85.588 -0.8561
1.875000 85.804 -1.8535
1.900000 86.017 -2.8057
1.925000 86.225 -3.7183
1.950000 86.429 -4.5968
1.975000 86.630 -5.4467
2.000000 86.828 -6.2734
2.030000 87.060 -7.2428
2.060000 87.288 -8.1964
2.090000 87.511 -9.1436
2.120000 87.730 -10.0941
2.140000 87.874 -10.7343
2.180000 88.158 -12.0428
2.200000 88.297 -12.7167
2.240000 88.570 -14.0828
2.270000 88.769 -15.1127
2.300000 88.963 -16.1447
2.330000 89.153 -17.1767
2.360000 89.339 -18.2064
2.400000 89.580 -19.5720
2.430000 89.757 -20.5879
2.470000 89.988 -21.9271
2.500000 90.157 -22.9172
2.540000 90.378 -24.2140
2.580000 90.594 -25.4815
2.620000 90.803 -26.7333
2.650000 90.956 -27.6628
2.690000 91.154 -28.8878
2.720000 91.298 -29.7944
2.760000 91.486 -30.9848
2.800000 91.669 -32.1518
2.850000 91.891 -33.5738
2.900000 92.106 -34.9503
2.950000 92.316 -36.2754
3.000000 92.518 -37.5414
3.040000 92.674 -38.5165
3.070000 92.788 -39.2293
3.110000 92.936 -40.1590
3.150000 93.080 -41.0697
3.200000 93.256 -42.1893
3.250000 93.427 -43.2973
3.300000 93.595 -44.4038
3.350000 93.758 -45.5128
3.400000 93.915 -46.6167
3.450000 94.067 -47.7069
3.500000 94.215 -48.7748
3.550000 94.360 -49.8118
3.600000 94.502 -50.8095
3.650000 94.642 -51.7591
3.700000 94.781 -52.6516
3.750000 94.916 -53.4873
3.820000 95.100 -54.5832
3.870000 95.228 -55.3288
3.950000 95.431 -56.4892
4.000000 95.556 -57.2118
4.060000 95.706 -58.0905
4.120000 95.854 -58.9642
4.180000 96.000 -59.8257
4.250000 96.169 -60.8106
4.310000 96.312 -61.6333
4.370000 96.454 -62.4321
4.440000 96.620 -63.3260
4.500000 96.761 -64.0548
4.550000 96.878 -64.6430
4.620000 97.040 -65.4496
4.680000 97.178 -66.1368
4.750000 97.337 -66.9486
4.820000 97.494 -67.7761
4.870000 97.606 -68.3689
4.940000 97.761 -69.1991
5.000000 97.892 -69.9091
5.080000 98.063 -70.8509
5.150000 98.210 -71.6680
5.220000 98.354 -72.4795
5.300000 98.516 -73.4014
5.380000 98.674 -74.3183
5.450000 98.809 -75.1170
5.520000 98.940 -75.9131
5.600000 99.085 -76.8220
5.700000 99.261 -77.9525
5.800000 99.431 -79.0695
5.900000 99.593 -80.1668
6.000000 99.749 -81.2506
6.080000 99.869 -82.1052
6.150000 99.971 -82.8409
6.220000 100.071 -83.5626
6.300000 100.181 -84.3694
6.400000 100.315 -85.3543
6.500000 100.443 -86.3154
6.600000 100.568 -87.2554
6.700000 100.690 -88.1741
6.800000 100.807 -89.0707
6.900000 100.921 -89.9460
7.000000 101.033 -90.8000
7.100000 101.143 -91.6304
7.200000 101.249 -92.4406
7.300000 101.353 -93.2358
7.400000 101.455 -94.0188
7.500000 101.554 -94.7870
7.620000 101.670 -95.6892
7.750000 101.793 -96.6420
7.880000 101.911 -97.5692
8.000000 102.018 -98.4029
8.120000 102.122 -99.2155
8.250000 102.232 -100.0716
8.380000 102.340 -100.9039
8.500000 102.438 -101.6511
8.620000 102.535 -102.3764
8.750000 102.640 -103.1456
8.850000 102.720 -103.7290
9.000000 102.841 -104.5843
9.120000 102.938 -105.2641
9.250000 103.044 -106.0041
9.380000 103.151 -106.7431
9.500000 103.249 -107.4338
9.620000 103.343 -108.1379
9.750000 103.443 -108.9119
9.880000 103.537 -109.6991
10.000000 103.614 -110.4413
10.150000 103.702 -111.3850
10.300000 103.779 -112.3313
10.440000 103.840 -113.2218
10.600000 103.900 -114.2285
10.750000 103.949 -115.1486
10.900000 103.991 -116.0469
11.060000 104.032 -116.9584
11.200000 104.064 -117.7178
11.380000 104.103 -118.6419
11.500000 104.130 -119.2204
11.720000 104.181 -120.2268
11.800000 104.201 -120.5799
12.060000 104.274 -121.6896
12.200000 104.320 -122.2927
12.410000 104.398 -123.2079
12.500000 104.434 -123.6164
12.650000 104.500 -124.3164
12.800000 104.566 -125.0390
13.150000 104.715 -126.8169
13.200000 104.734 -127.0737
13.400000 104.803 -128.1133
13.600000 104.863 -129.1277
13.800000 104.911 -130.1026
14.000000 104.955 -131.0128
14.300000 105.017 -132.2517
14.500000 105.062 -132.9959
14.750000 105.126 -133.8814
15.000000 105.202 -134.7454
15.250000 105.287 -135.6510
15.500000 105.374 -136.6245
15.750000 105.459 -137.6740
16.000000 105.534 -138.7898
16.250000 105.595 -139.9236
16.500000 105.642 -141.0427
16.750000 105.674 -142.0999
17.000000 105.697 -143.0652
17.250000 105.716 -143.9369
17.500000 105.738 -144.7170
17.750000 105.765 -145.4421
18.000000 105.800 -146.1388
18.250000 105.842 -146.8363
18.500000 105.887 -147.5634
18.750000 105.931 -148.3231
19.000000 105.972 -149.1180
19.250000 106.006 -149.9319
19.500000 106.033 -150.7460
19.750000 106.053 -151.5447
20.000000 106.065 -152.3042
20.299999 106.064 -153.1541
20.600000 106.038 -153.9390
20.900000 105.988 -154.6789
21.200001 105.924 -155.4126
21.400000 105.883 -155.9223
21.799999 105.809 -157.0083
22.000000 105.776 -157.5804
22.400000 105.711 -158.7350
22.700001 105.657 -159.5459
23.000000 105.597 -160.2605
23.299999 105.538 -160.8870
23.600000 105.487 -161.4760
24.000000 105.439 -162.3083
24.299999 105.413 -163.0232
24.700001 105.378 -164.0672
25.000000 105.341 -164.8277
25.400000 105.276 -165.6940
25.799999 105.211 -166.4005
26.200001 105.165 -167.1472
26.500000 105.140 -167.8711
26.900000 105.098 -169.0780
27.200001 105.038 -170.0198
27.600000 104.910 -171.0010
28.000000 104.755 -171.3736
28.500000 104.619 -171.1414
29.000000 104.623 -171.0867
29.500000 104.714 -172.0054
30.000000 104.762 -173.6988
30.400000 104.724 -175.0239
30.700001 104.659 -175.7688
31.100000 104.558 -176.4157
31.500000 104.474 -176.8773
32.000000 104.405 -177.5756
32.500000 104.342 -178.5064
33.000000 104.254 -179.4197
33.500000 104.147 179.8742
34.000000 104.045 179.3076
34.500000 103.965 178.7222
35.000000 103.904 178.0664
35.500000 103.858 177.3589
36.000000 103.815 176.6066
36.500000 103.763 175.8296
37.000000 103.696 175.1053
37.500000 103.623 174.4900
38.200001 103.530 173.6962
38.700001 103.472 173.0438
39.500000 103.365 171.9095
40.000000 103.293 171.2874
40.599998 103.214 170.6502
41.200001 103.146 170.0508
41.799999 103.080 169.4944
42.500000 103.000 168.9694
43.099998 102.942 168.5601
43.700001 102.894 168.0641
44.400002 102.839 167.3644
45.000000 102.787 166.7168
45.500000 102.734 166.1475
46.200001 102.622 165.3772
46.799999 102.497 164.9439
47.500000 102.381 164.7577
48.200001 102.337 164.4349
48.700001 102.309 163.9180
49.400002 102.206 163.0826
50.000000 102.086 162.6229
50.799999 101.977 162.2605
51.500000 101.930 161.8638
52.200001 101.887 161.4610
53.000000 101.860 160.9941
53.799999 101.848 160.3322
54.500000 101.812 159.7390
55.200001 101.759 159.2458
56.000000 101.699 158.7462
57.000000 101.642 158.2367
58.000000 101.583 157.4259
59.000000 101.422 156.4470
60.000000 101.243 156.1034
60.799999 101.159 155.8562
61.500000 101.089 155.4673
62.200001 101.011 155.1130
63.000000 100.933 154.8294
64.000000 100.854 154.4170
65.000000 100.789 153.7855
66.000000 100.710 153.1684
67.000000 100.601 152.8876
68.000000 100.497 152.7692
69.000000 100.408 152.5510
70.000000 100.335 152.2145
71.000000 100.263 151.7836
72.000000 100.176 151.3656
73.000000 100.070 151.0289
74.000000 99.950 150.7930
75.000000 99.840 150.5981
76.199997 99.722 150.2734
77.500000 99.597 150.0436
78.800003 99.490 149.8786
80.000000 99.378 149.7143
81.199997 99.280 149.6533
82.500000 99.210 149.4244
83.800003 99.152 148.9435
85.000000 99.094 148.4003
86.199997 99.034 147.8526
87.500000 98.954 147.2714
88.500000 98.884 146.8264
90.000000 98.726 146.2885
91.199997 98.629 146.2696
92.500000 98.590 146.0311
93.800003 98.539 145.7504
95.000000 98.485 145.8505
96.199997 98.443 146.4892
97.500000 98.479 147.5493
98.800003 98.595 147.8666
100.000000 98.583 146.9368
101.500000 98.310 145.9646
103.000000 98.068 145.7268
104.400002 97.935 145.3370
106.000000 97.827 144.9267
107.500000 97.750 144.7519
109.000000 97.664 144.7456
110.599998 97.567 144.7770
112.000000 97.486 144.7707
113.800003 97.422 144.4781
115.000000 97.355 144.1667
117.199997 97.194 144.2068
118.000000 97.147 144.3320
120.599998 97.020 144.3539
122.000000 96.957 144.1324
124.099998 96.866 143.7994
125.000000 96.826 143.7626
126.500000 96.759 143.8481
128.000000 96.686 143.9596
131.500000 96.485 143.8189
132.000000 96.459 143.7531
134.000000 96.369 143.4980
136.000000 96.300 143.4223
138.000000 96.239 143.4361
140.000000 96.152 143.4086
143.000000 96.019 143.3911
145.000000 95.953 143.2578
147.500000 95.849 143.0593
150.000000 95.721 143.1874
152.500000 95.637 143.4448
155.000000 95.552 143.3745
157.500000 95.440 143.4361
160.000000 95.356 143.6677
162.500000 95.275 143.7935
165.000000 95.174 143.8541
167.500000 95.069 143.8528
170.000000 94.966 143.9410
172.500000 94.873 144.1806
175.000000 94.766 144.4944
177.500000 94.660 144.7711
180.000000 94.571 144.8111
182.500000 94.474 144.7074
185.000000 94.370 144.7715
187.500000 94.282 144.9702
190.000000 94.200 145.1263
192.500000 94.111 145.1797
195.000000 94.019 145.1504
197.500000 93.926 145.1447
200.000000 93.831 145.4936
203.000000 93.746 146.2064
206.000000 93.649 146.7715
209.000000 93.559 147.2804
212.000000 93.487 147.7476
214.000000 93.454 148.0601
218.000000 93.426 148.4700
220.000000 93.424 148.6345
224.000000 93.418 148.7966
227.000000 93.392 148.7942
230.000000 93.354 148.8233
233.000000 93.303 148.9148
236.000000 93.246 148.9222
240.000000 93.154 148.8710
243.000000 93.078 148.9511
247.000000 92.976 149.1263
250.000000 92.905 149.2797
254.000000 92.812 149.5084
258.000000 92.718 149.7173
262.000000 92.628 149.9405
265.000000 92.560 150.1214
269.000000 92.468 150.3794
272.000000 92.404 150.6190
276.000000 92.325 150.9702
280.000000 92.243 151.2797
285.000000 92.136 151.6184
290.000000 92.035 151.9928
295.000000 91.961 152.4174
300.000000 91.884 152.8094
304.000000 91.779 153.1433
307.000000 91.702 153.4141
311.000000 91.618 153.8201
315.000000 91.542 154.2925
320.000000 91.463 154.9418
325.000000 91.399 155.5976
