* Measurement data measured by REW V5.30.2
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 6, 2024 12:42:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TangZu Fudu L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 101.176 -118.6705
20.600000 101.175 -119.5619
20.900000 101.160 -121.0747
21.200001 101.122 -122.2761
21.400000 101.097 -122.8609
21.799999 101.072 -123.6528
22.000000 101.076 -123.9513
22.400000 101.111 -124.5655
22.700001 101.141 -125.2177
23.000000 101.159 -126.1351
23.299999 101.158 -127.2676
23.600000 101.141 -128.5028
24.000000 101.103 -130.1019
24.299999 101.073 -131.1460
24.700001 101.040 -132.3038
25.000000 101.018 -133.0554
25.400000 100.983 -134.0060
25.799999 100.934 -134.9649
26.200001 100.879 -135.9294
26.500000 100.852 -136.6460
26.900000 100.852 -137.6065
27.200001 100.882 -138.3573
27.600000 100.939 -139.4252
28.000000 100.968 -140.5488
28.500000 100.916 -141.9306
29.000000 100.797 -143.1931
29.500000 100.717 -144.3429
30.000000 100.746 -145.4051
30.400000 100.807 -146.1515
30.700001 100.836 -146.6180
31.100000 100.821 -147.1158
31.500000 100.753 -147.5490
32.000000 100.661 -148.2127
32.500000 100.623 -149.1949
33.000000 100.625 -150.4368
33.500000 100.609 -151.6853
34.000000 100.556 -152.7195
34.500000 100.503 -153.5266
35.000000 100.479 -154.2394
35.500000 100.473 -154.9814
36.000000 100.462 -155.7667
36.500000 100.450 -156.5564
37.000000 100.448 -157.3571
37.500000 100.450 -158.2271
38.200001 100.416 -159.5516
38.700001 100.363 -160.4008
39.500000 100.290 -161.3124
40.000000 100.261 -161.7897
40.599998 100.216 -162.5711
41.200001 100.156 -163.5398
41.799999 100.110 -164.4072
42.500000 100.101 -165.2059
43.099998 100.106 -165.9044
43.700001 100.082 -166.5796
44.400002 100.018 -167.1314
45.000000 99.972 -167.5787
45.500000 99.951 -168.2034
46.200001 99.926 -169.3988
46.799999 99.901 -170.2596
47.500000 99.887 -170.8098
48.200001 99.873 -171.3280
48.700001 99.839 -171.8993
49.400002 99.763 -172.8281
50.000000 99.708 -173.4828
50.799999 99.655 -174.0999
51.500000 99.602 -174.6412
52.200001 99.551 -175.3531
53.000000 99.499 -176.2160
53.799999 99.450 -176.8138
54.500000 99.423 -177.2294
55.200001 99.401 -177.7769
56.000000 99.355 -178.4123
57.000000 99.311 -179.0292
58.000000 99.283 -179.8497
59.000000 99.204 179.3677
60.000000 99.131 178.6940
60.799999 99.105 178.1756
61.500000 99.075 177.7990
62.200001 99.026 177.3741
63.000000 98.947 176.7430
64.000000 98.823 175.9867
65.000000 98.753 175.4623
66.000000 98.762 175.0136
67.000000 98.728 174.4439
68.000000 98.675 173.8600
69.000000 98.633 173.3135
70.000000 98.569 172.8214
71.000000 98.510 172.4374
72.000000 98.447 171.9196
73.000000 98.360 171.2426
74.000000 98.257 170.6614
75.000000 98.144 170.2543
76.199997 98.045 169.9270
77.500000 97.988 169.6836
78.800003 97.927 169.3626
80.000000 97.854 168.8956
81.199997 97.777 168.3220
82.500000 97.720 167.6782
83.800003 97.672 167.1647
85.000000 97.604 166.7694
86.199997 97.533 166.2117
87.500000 97.491 165.4756
88.500000 97.442 165.1179
90.000000 97.314 165.0397
91.199997 97.287 164.9466
92.500000 97.257 164.5905
93.800003 97.208 164.0366
95.000000 97.178 163.6613
96.199997 97.121 163.5201
97.500000 97.020 163.2149
98.800003 96.955 162.6727
100.000000 96.928 162.3005
101.500000 96.865 162.0073
103.000000 96.772 161.6927
104.400002 96.717 161.4124
106.000000 96.657 161.1745
107.500000 96.591 160.9060
109.000000 96.519 160.6826
110.599998 96.441 160.3832
112.000000 96.378 160.1573
113.800003 96.304 159.8484
115.000000 96.250 159.6476
117.199997 96.144 159.3308
118.000000 96.112 159.2190
120.599998 96.020 158.9577
122.000000 95.965 158.7899
124.099998 95.895 158.4811
125.000000 95.859 158.3622
126.500000 95.792 158.1978
128.000000 95.732 158.0682
131.500000 95.603 157.7463
132.000000 95.583 157.6825
134.000000 95.506 157.4307
136.000000 95.431 157.2113
138.000000 95.353 157.1229
140.000000 95.295 157.0812
143.000000 95.196 156.9222
145.000000 95.132 156.8431
147.500000 95.053 156.8212
150.000000 94.964 156.7927
152.500000 94.871 156.7044
155.000000 94.791 156.5391
157.500000 94.720 156.4735
160.000000 94.640 156.4908
162.500000 94.548 156.4455
165.000000 94.457 156.3771
167.500000 94.379 156.3278
170.000000 94.301 156.3157
172.500000 94.220 156.2638
175.000000 94.132 156.2755
177.500000 94.041 156.3318
180.000000 93.967 156.4423
182.500000 93.907 156.4829
185.000000 93.818 156.6120
187.500000 93.735 156.8175
190.000000 93.665 156.6906
192.500000 93.575 156.5439
195.000000 93.485 156.7820
197.500000 93.417 157.2363
200.000000 93.357 157.4843
203.000000 93.289 157.4874
206.000000 93.241 157.5216
209.000000 93.193 157.6443
212.000000 93.118 157.9003
214.000000 93.062 158.0533
218.000000 92.949 158.1746
220.000000 92.912 158.1886
224.000000 92.879 158.4761
227.000000 92.839 158.6621
230.000000 92.802 158.7151
233.000000 92.758 158.8202
236.000000 92.698 158.8804
240.000000 92.624 158.9517
243.000000 92.567 159.0541
247.000000 92.498 159.2301
250.000000 92.456 159.3262
254.000000 92.395 159.4841
258.000000 92.319 159.7149
262.000000 92.236 159.9202
265.000000 92.177 160.0467
269.000000 92.116 160.2059
272.000000 92.066 160.3424
276.000000 91.992 160.6845
280.000000 91.931 161.0753
285.000000 91.864 161.3267
290.000000 91.794 161.5771
295.000000 91.719 161.9181
300.000000 91.641 162.2407
304.000000 91.585 162.5792
307.000000 91.544 162.8168
311.000000 91.489 163.0391
315.000000 91.452 163.2142
320.000000 91.403 163.5323
325.000000 91.330 163.9560
330.000000 91.267 164.3630
335.000000 91.209 164.7693
340.000000 91.148 165.1534
345.000000 91.091 165.4932
350.000000 91.042 165.8534
355.000000 90.990 166.2172
360.000000 90.943 166.5813
365.000000 90.898 166.9666
370.000000 90.855 167.3715
375.000000 90.809 167.7531
382.000000 90.747 168.2578
387.000000 90.709 168.6146
395.000000 90.649 169.2133
400.000000 90.613 169.5960
406.000000 90.568 170.0695
412.000000 90.524 170.5445
418.000000 90.485 170.9975
425.000000 90.444 171.5092
431.000000 90.411 171.9541
437.000000 90.377 172.4111
444.000000 90.337 172.9407
450.000000 90.304 173.3922
455.000000 90.278 173.7675
462.000000 90.244 174.3103
468.000000 90.217 174.7505
475.000000 90.186 175.2147
482.000000 90.158 175.7134
487.000000 90.139 176.1090
494.000000 90.113 176.6904
500.000000 90.087 177.1435
508.000000 90.052 177.7207
515.000000 90.027 178.2260
522.000000 90.006 178.6943
530.000000 89.986 179.2776
538.000000 89.981 179.9743
545.000000 89.964 -179.5242
552.000000 89.943 -179.0673
560.000000 89.925 -178.4868
570.000000 89.914 -177.7337
580.000000 89.905 -176.9814
590.000000 89.890 -176.2342
600.000000 89.879 -175.4982
608.000000 89.882 -174.8909
615.000000 89.880 -174.3757
622.000000 89.868 -173.8835
630.000000 89.863 -173.3042
640.000000 89.880 -172.5819
650.000000 89.887 -171.8678
660.000000 89.874 -171.1226
670.000000 89.872 -170.3604
680.000000 89.881 -169.6495
690.000000 89.887 -168.9336
700.000000 89.891 -168.1759
710.000000 89.920 -167.4675
720.000000 89.955 -166.7722
730.000000 89.982 -166.0608
740.000000 90.005 -165.3532
750.000000 90.030 -164.6542
762.000000 90.067 -163.8079
775.000000 90.112 -162.8701
788.000000 90.162 -161.9330
800.000000 90.208 -161.0797
812.000000 90.253 -160.2400
825.000000 90.305 -159.3424
838.000000 90.363 -158.4584
850.000000 90.421 -157.6599
862.000000 90.486 -156.8794
875.000000 90.560 -156.0552
885.000000 90.620 -155.4336
900.000000 90.711 -154.5110
912.000000 90.787 -153.7878
925.000000 90.876 -153.0359
938.000000 90.973 -152.3314
950.000000 91.064 -151.7096
962.000000 91.157 -151.1069
975.000000 91.258 -150.4813
988.000000 91.360 -149.8796
1000.000000 91.453 -149.3356
1015.000000 91.570 -148.6756
1030.000000 91.689 -148.0533
1044.000000 91.804 -147.4917
1060.000000 91.943 -146.9046
1075.000000 92.079 -146.4259
1090.000000 92.216 -146.0084
1106.000000 92.362 -145.6229
1120.000000 92.490 -145.3388
1138.000000 92.654 -145.0346
1150.000000 92.762 -144.8624
1172.000000 92.956 -144.6061
1180.000000 93.025 -144.5346
1206.000000 93.244 -144.3728
1220.000000 93.360 -144.3232
1241.000000 93.535 -144.2811
1250.000000 93.611 -144.2790
1265.000000 93.738 -144.3014
1280.000000 93.867 -144.3479
1315.000000 94.159 -144.5283
1320.000000 94.200 -144.5624
1340.000000 94.362 -144.7194
1360.000000 94.520 -144.9072
1380.000000 94.674 -145.1256
1400.000000 94.824 -145.3732
1430.000000 95.044 -145.8084
1450.000000 95.188 -146.1382
1475.000000 95.363 -146.5939
1500.000000 95.532 -147.0959
1525.000000 95.692 -147.6353
1550.000000 95.846 -148.2181
1575.000000 95.995 -148.8514
1600.000000 96.138 -149.5275
1625.000000 96.276 -150.2380
1650.000000 96.405 -150.9810
1675.000000 96.525 -151.7572
1700.000000 96.635 -152.5634
1725.000000 96.735 -153.3929
1750.000000 96.826 -154.2409
1775.000000 96.908 -155.1049
1800.000000 96.982 -155.9816
1825.000000 97.045 -156.8593
1850.000000 97.095 -157.7280
1875.000000 97.136 -158.5877
1900.000000 97.168 -159.4406
1925.000000 97.191 -160.2815
1950.000000 97.205 -161.0983
1975.000000 97.210 -161.8882
2000.000000 97.208 -162.6518
2030.000000 97.197 -163.5250
2060.000000 97.177 -164.3423
2090.000000 97.148 -165.1025
2120.000000 97.112 -165.8005
2140.000000 97.085 -166.2310
2180.000000 97.022 -167.0064
2200.000000 96.987 -167.3482
2240.000000 96.910 -167.9328
2270.000000 96.850 -168.2848
2300.000000 96.791 -168.5710
2330.000000 96.734 -168.7937
2360.000000 96.679 -168.9566
2400.000000 96.610 -169.1044
2430.000000 96.562 -169.1753
2470.000000 96.500 -169.2116
2500.000000 96.454 -169.1947
2540.000000 96.400 -169.1138
2580.000000 96.353 -168.9645
2620.000000 96.312 -168.7476
2650.000000 96.286 -168.5419
2690.000000 96.256 -168.2159
2720.000000 96.238 -167.9373
2760.000000 96.222 -167.5290
2800.000000 96.217 -167.0826
2850.000000 96.225 -166.4800
2900.000000 96.249 -165.8385
2950.000000 96.290 -165.1712
3000.000000 96.348 -164.4864
3040.000000 96.409 -163.9464
3070.000000 96.463 -163.5506
3110.000000 96.545 -163.0414
3150.000000 96.637 -162.5631
3200.000000 96.764 -162.0203
3250.000000 96.902 -161.5409
3300.000000 97.053 -161.1350
3350.000000 97.224 -160.8150
3400.000000 97.412 -160.5980
3450.000000 97.615 -160.5088
3500.000000 97.827 -160.5640
3550.000000 98.048 -160.7854
3600.000000 98.279 -161.1987
3650.000000 98.516 -161.8303
3700.000000 98.754 -162.7008
3750.000000 98.984 -163.8246
3820.000000 99.281 -165.8545
3870.000000 99.464 -167.6398
3950.000000 99.682 -171.0473
4000.000000 99.757 -173.4706
4060.000000 99.769 -176.5848
4120.000000 99.682 -179.7895
4180.000000 99.493 177.0825
4250.000000 99.143 173.7628
4310.000000 98.744 171.3947
4370.000000 98.275 169.6180
4440.000000 97.671 168.4265
4500.000000 97.133 168.2415
4550.000000 96.691 168.6948
4620.000000 96.121 170.2146
4680.000000 95.721 172.2247
4750.000000 95.406 175.0900
4820.000000 95.287 178.0040
4870.000000 95.317 179.7703
4940.000000 95.465 -178.6241
5000.000000 95.612 -178.2155
5080.000000 95.713 -178.8381
5150.000000 95.657 -179.9500
5220.000000 95.465 178.9486
5300.000000 95.118 178.1332
5380.000000 94.688 178.0190
5450.000000 94.277 178.5500
5520.000000 93.867 179.6475
5600.000000 93.432 -178.4863
5700.000000 92.978 -175.4389
