* Measurement data measured by REW V5.30.9
* Source: Headset (JA3 HIFI AUDIO(CX31993)), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Feb 24, 2024 2:37:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ThieAudio Oracle R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 77.379 -16.0132
1.015000 77.589 -16.8507
1.030000 77.797 -17.6844
1.044000 77.989 -18.4608
1.060000 78.206 -19.3478
1.075000 78.409 -20.1810
1.090000 78.609 -21.0175
1.106000 78.821 -21.9147
1.120000 79.004 -22.7042
1.138000 79.235 -23.7240
1.150000 79.385 -24.4055
1.172000 79.656 -25.6547
1.180000 79.752 -26.1081
1.206000 80.060 -27.5743
1.220000 80.221 -28.3576
1.241000 80.459 -29.5217
1.250000 80.559 -30.0162
1.265000 80.723 -30.8336
1.280000 80.885 -31.6422
1.315000 81.253 -33.4919
1.320000 81.305 -33.7517
1.340000 81.509 -34.7794
1.360000 81.709 -35.7886
1.380000 81.906 -36.7791
1.400000 82.101 -37.7511
1.430000 82.387 -39.1762
1.450000 82.575 -40.1065
1.475000 82.806 -41.2528
1.500000 83.031 -42.3874
1.525000 83.250 -43.5139
1.550000 83.463 -44.6323
1.575000 83.671 -45.7415
1.600000 83.872 -46.8399
1.625000 84.069 -47.9265
1.650000 84.260 -49.0003
1.675000 84.447 -50.0608
1.700000 84.629 -51.1078
1.725000 84.808 -52.1412
1.750000 84.982 -53.1612
1.775000 85.154 -54.1686
1.800000 85.322 -55.1652
1.825000 85.487 -56.1543
1.850000 85.648 -57.1407
1.875000 85.805 -58.1286
1.900000 85.958 -59.1189
1.925000 86.107 -60.1102
1.950000 86.251 -61.0997
1.975000 86.392 -62.0847
2.000000 86.529 -63.0623
2.030000 86.689 -64.2221
2.060000 86.844 -65.3639
2.090000 86.995 -66.4844
2.120000 87.142 -67.5812
2.140000 87.238 -68.2986
2.180000 87.426 -69.7026
2.200000 87.517 -70.3920
2.240000 87.693 -71.7566
2.270000 87.820 -72.7733
2.300000 87.943 -73.7852
2.330000 88.062 -74.7901
2.360000 88.176 -75.7853
2.400000 88.324 -77.0915
2.430000 88.430 -78.0518
2.470000 88.568 -79.3012
2.500000 88.668 -80.2126
2.540000 88.797 -81.3928
2.580000 88.921 -82.5382
2.620000 89.041 -83.6586
2.650000 89.126 -84.4867
2.690000 89.236 -85.5755
2.720000 89.315 -86.3795
2.760000 89.416 -87.4319
2.800000 89.514 -88.4583
2.850000 89.631 -89.6990
2.900000 89.745 -90.8883
2.950000 89.854 -92.0276
3.000000 89.959 -93.1249
3.040000 90.039 -93.9772
3.070000 90.097 -94.6024
3.110000 90.172 -95.4173
3.150000 90.246 -96.2101
3.200000 90.336 -97.1686
3.250000 90.424 -98.0888
3.300000 90.512 -98.9693
3.350000 90.598 -99.8106
3.400000 90.683 -100.6161
3.450000 90.766 -101.3904
3.500000 90.848 -102.1383
3.550000 90.931 -102.8638
3.600000 91.013 -103.5700
3.650000 91.097 -104.2578
3.700000 91.181 -104.9265
3.750000 91.266 -105.5753
3.820000 91.385 -106.4545
3.870000 91.471 -107.0678
3.950000 91.610 -108.0367
4.000000 91.697 -108.6400
4.060000 91.802 -109.3629
4.120000 91.907 -110.0832
4.180000 92.014 -110.8008
4.250000 92.137 -111.6389
4.310000 92.242 -112.3633
4.370000 92.344 -113.0974
4.440000 92.462 -113.9689
4.500000 92.561 -114.7278
4.550000 92.642 -115.3667
4.620000 92.752 -116.2684
4.680000 92.843 -117.0466
4.750000 92.943 -117.9608
4.820000 93.038 -118.8839
4.870000 93.102 -119.5488
4.940000 93.187 -120.4829
5.000000 93.255 -121.2810
5.080000 93.338 -122.3334
5.150000 93.403 -123.2409
5.220000 93.462 -124.1374
5.300000 93.521 -125.1459
5.380000 93.571 -126.1274
5.450000 93.610 -126.9550
5.520000 93.643 -127.7495
5.600000 93.674 -128.6175
5.700000 93.705 -129.6417
5.800000 93.730 -130.5894
5.900000 93.750 -131.4506
6.000000 93.768 -132.2257
6.080000 93.781 -132.7886
6.150000 93.793 -133.2427
6.220000 93.808 -133.6622
6.300000 93.827 -134.1005
6.400000 93.857 -134.5939
6.500000 93.892 -135.0437
6.600000 93.936 -135.4670
6.700000 93.988 -135.8736
6.800000 94.048 -136.2748
6.900000 94.115 -136.6879
7.000000 94.188 -137.1269
7.100000 94.265 -137.5976
7.200000 94.346 -138.1044
7.300000 94.428 -138.6528
7.400000 94.508 -139.2459
7.500000 94.587 -139.8815
7.620000 94.678 -140.6929
7.750000 94.767 -141.6229
7.880000 94.846 -142.5952
8.000000 94.909 -143.5143
8.120000 94.963 -144.4402
8.250000 95.010 -145.4400
8.380000 95.047 -146.4229
8.500000 95.074 -147.3044
8.620000 95.094 -148.1564
8.750000 95.110 -149.0421
8.850000 95.119 -149.6951
9.000000 95.130 -150.6292
9.120000 95.136 -151.3402
9.250000 95.142 -152.0773
9.380000 95.148 -152.7838
9.500000 95.153 -153.4124
9.620000 95.156 -154.0212
9.750000 95.158 -154.6597
9.880000 95.156 -155.2771
10.000000 95.148 -155.8280
10.150000 95.132 -156.4891
10.300000 95.110 -157.1165
10.440000 95.087 -157.6696
10.600000 95.059 -158.2618
10.750000 95.035 -158.7787
10.900000 95.014 -159.2623
11.060000 94.996 -159.7479
11.200000 94.985 -160.1541
11.380000 94.976 -160.6631
11.500000 94.974 -161.0005
11.720000 94.974 -161.6274
11.800000 94.976 -161.8604
12.060000 94.982 -162.6384
12.200000 94.985 -163.0683
12.410000 94.991 -163.7191
12.500000 94.994 -163.9973
12.650000 95.001 -164.4560
12.800000 95.008 -164.9051
13.150000 95.022 -165.9006
13.200000 95.023 -166.0362
13.400000 95.027 -166.5612
13.600000 95.028 -167.0580
13.800000 95.025 -167.5234
14.000000 95.019 -167.9503
14.300000 95.004 -168.4978
14.500000 94.994 -168.7892
14.750000 94.989 -169.0724
15.000000 94.999 -169.2971
15.250000 95.030 -169.5296
15.500000 95.082 -169.8579
15.750000 95.147 -170.3625
16.000000 95.209 -171.0863
16.250000 95.250 -172.0140
16.500000 95.255 -173.0707
16.750000 95.215 -174.1370
17.000000 95.133 -175.0771
17.250000 95.023 -175.7745
17.500000 94.908 -176.1690
17.750000 94.814 -176.2846
18.000000 94.763 -176.2333
18.250000 94.763 -176.1826
18.500000 94.805 -176.2981
18.750000 94.870 -176.6858
19.000000 94.930 -177.3638
19.250000 94.965 -178.2654
19.500000 94.960 -179.2681
19.750000 94.915 179.7692
20.000000 94.838 178.9734
20.299999 94.730 178.3547
20.600000 94.638 178.1233
20.900000 94.593 178.1742
21.200001 94.610 178.3165
21.400000 94.653 178.3623
21.799999 94.787 178.1517
22.000000 94.864 177.8634
22.400000 95.002 176.9664
22.700001 95.076 176.1166
23.000000 95.117 175.2325
23.299999 95.127 174.4125
23.600000 95.116 173.7302
24.000000 95.087 173.0950
24.299999 95.070 172.8124
24.700001 95.070 172.6025
25.000000 95.089 172.4835
25.400000 95.137 172.2581
25.799999 95.193 171.8774
26.200001 95.243 171.3187
26.500000 95.267 170.7976
26.900000 95.276 170.0071
27.200001 95.262 169.3775
27.600000 95.216 168.5485
28.000000 95.143 167.7979
28.500000 95.029 167.0474
29.000000 94.917 166.5113
29.500000 94.826 166.1014
30.000000 94.758 165.7097
30.400000 94.716 165.3823
30.700001 94.690 165.1404
31.100000 94.664 164.8450
31.500000 94.657 164.5776
32.000000 94.684 164.1915
32.500000 94.739 163.5859
33.000000 94.784 162.7054
33.500000 94.781 161.7490
34.000000 94.734 161.0477
34.500000 94.698 160.7387
35.000000 94.717 160.5662
35.500000 94.777 160.1243
36.000000 94.809 159.3153
36.500000 94.769 158.4539
37.000000 94.686 157.9072
37.500000 94.624 157.6852
38.200001 94.619 157.2380
38.700001 94.612 156.5305
39.500000 94.508 155.3163
40.000000 94.431 154.8602
40.599998 94.394 154.4297
41.200001 94.393 153.7611
41.799999 94.371 152.9113
42.500000 94.314 152.1539
43.099998 94.290 151.8136
43.700001 94.310 151.5273
44.400002 94.356 150.9976
45.000000 94.377 150.3684
45.500000 94.366 149.8035
46.200001 94.307 149.1005
46.799999 94.231 148.6342
47.500000 94.128 148.1835
48.200001 94.007 147.8052
48.700001 93.915 147.6317
49.400002 93.815 147.4840
50.000000 93.768 147.2370
50.799999 93.718 146.5279
51.500000 93.651 145.8043
52.200001 93.591 145.2749
53.000000 93.581 144.7647
53.799999 93.611 144.0185
54.500000 93.623 143.2191
55.200001 93.616 142.4877
56.000000 93.607 141.7073
57.000000 93.558 140.6505
58.000000 93.450 140.0125
59.000000 93.415 139.7711
60.000000 93.443 139.0071
60.799999 93.429 138.1137
61.500000 93.391 137.4526
62.200001 93.362 136.9810
63.000000 93.359 136.5352
64.000000 93.374 135.8500
65.000000 93.363 135.1804
66.000000 93.351 134.7169
67.000000 93.347 134.1927
68.000000 93.320 133.6010
69.000000 93.281 133.0409
70.000000 93.233 132.4041
71.000000 93.164 131.7390
72.000000 93.090 131.1010
73.000000 93.021 130.4045
74.000000 92.952 129.6022
75.000000 92.874 128.7247
76.199997 92.762 127.8133
77.500000 92.669 127.3172
78.800003 92.663 127.0650
80.000000 92.700 126.6584
81.199997 92.716 126.0761
82.500000 92.684 125.4921
83.800003 92.625 124.9877
85.000000 92.547 124.5005
86.199997 92.464 124.1263
87.500000 92.430 123.7627
88.500000 92.456 123.1515
90.000000 92.473 121.2869
91.199997 92.386 119.5250
92.500000 92.223 117.9977
93.800003 92.042 117.0467
95.000000 91.895 116.6884
96.199997 91.793 116.6706
97.500000 91.741 116.7317
98.800003 91.729 116.5487
100.000000 91.719 116.0840
101.500000 91.680 115.3134
103.000000 91.618 114.7202
104.400002 91.574 114.4189
106.000000 91.538 113.9305
107.500000 91.467 113.1512
109.000000 91.383 112.1840
110.599998 91.341 110.7494
112.000000 91.324 109.2328
113.800003 91.310 107.8379
115.000000 91.318 107.4477
117.199997 91.308 107.4040
118.000000 91.282 107.4960
120.599998 91.154 107.5192
122.000000 91.079 107.0490
124.099998 90.949 106.0222
125.000000 90.890 105.6616
126.500000 90.788 105.2480
128.000000 90.680 104.9812
131.500000 90.470 103.6914
132.000000 90.458 103.3234
134.000000 90.491 101.5029
136.000000 90.633 99.5793
138.000000 90.753 98.3622
140.000000 90.747 98.4635
143.000000 90.542 100.2191
145.000000 90.389 100.9344
147.500000 90.253 100.5496
150.000000 90.137 99.8300
152.500000 89.980 99.8202
155.000000 89.776 99.9191
157.500000 89.573 99.0676
160.000000 89.400 97.1656
162.500000 89.297 95.3728
165.000000 89.287 94.1821
167.500000 89.272 93.2350
170.000000 89.182 92.2357
172.500000 89.050 91.2191
175.000000 88.941 90.7278
177.500000 88.855 90.8719
180.000000 88.763 91.6705
182.500000 88.764 92.6292
185.000000 88.879 92.6453
187.500000 88.974 91.6726
190.000000 88.974 90.6670
192.500000 88.920 90.1846
195.000000 88.821 90.1910
197.500000 88.651 90.5047
200.000000 88.476 90.8692
203.000000 88.416 90.6740
206.000000 88.435 89.2436
209.000000 88.356 87.9435
212.000000 88.260 87.5540
214.000000 88.236 87.5194
218.000000 88.285 87.3914
220.000000 88.341 87.1212
224.000000 88.436 86.2629
227.000000 88.450 85.7445
230.000000 88.391 85.3824
233.000000 88.273 84.8864
236.000000 88.118 84.0253
240.000000 87.945 83.1048
243.000000 87.899 83.0783
247.000000 87.854 83.6006
250.000000 87.807 83.7256
254.000000 87.765 83.2903
258.000000 87.736 82.6063
262.000000 87.753 81.5851
265.000000 87.779 80.7996
269.000000 87.716 80.0989
272.000000 87.624 79.8391
276.000000 87.603 79.9923
280.000000 87.710 80.2342
285.000000 87.812 79.9819
290.000000 87.811 79.4122
295.000000 87.805 79.0010
300.000000 87.782 78.5642
304.000000 87.739 78.0605
307.000000 87.698 77.7186
311.000000 87.638 77.5910
315.000000 87.586 77.6559
320.000000 87.534 77.3581
325.000000 87.510 76.6290
