* Measurement data measured by REW V5.30.2
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 6, 2024 12:54:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Zero L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 96.193 -79.3194
20.600000 96.216 -80.1630
20.900000 96.275 -81.7426
21.200001 96.358 -83.3839
21.400000 96.427 -84.3884
21.799999 96.585 -86.0903
22.000000 96.670 -86.7813
22.400000 96.851 -87.9541
22.700001 96.992 -88.8037
23.000000 97.131 -89.7318
23.299999 97.251 -90.7493
23.600000 97.338 -91.8424
24.000000 97.391 -93.3961
24.299999 97.391 -94.6263
24.700001 97.370 -96.3237
25.000000 97.367 -97.5664
25.400000 97.402 -99.0318
25.799999 97.471 -100.1400
26.200001 97.542 -100.9181
26.500000 97.582 -101.4029
26.900000 97.617 -102.0804
27.200001 97.637 -102.6737
27.600000 97.663 -103.5648
28.000000 97.687 -104.5070
28.500000 97.707 -105.7799
29.000000 97.727 -107.3405
29.500000 97.779 -109.1913
30.000000 97.869 -110.9202
30.400000 97.950 -111.9050
30.700001 98.008 -112.3809
31.100000 98.092 -112.8336
31.500000 98.197 -113.3239
32.000000 98.359 -114.2347
32.500000 98.501 -115.3861
33.000000 98.560 -116.4637
33.500000 98.545 -117.3012
34.000000 98.529 -117.9850
34.500000 98.558 -118.7299
35.000000 98.610 -119.6949
35.500000 98.647 -120.8995
36.000000 98.680 -122.1952
36.500000 98.746 -123.3698
37.000000 98.841 -124.3162
37.500000 98.924 -125.1235
38.200001 98.961 -126.2896
38.700001 98.946 -127.1750
39.500000 98.930 -128.6047
40.000000 98.952 -129.6029
40.599998 99.012 -130.9138
41.200001 99.073 -132.1103
41.799999 99.107 -133.1480
42.500000 99.149 -134.5645
43.099998 99.237 -136.0192
43.700001 99.329 -137.1654
44.400002 99.346 -137.7651
45.000000 99.302 -138.0982
45.500000 99.284 -138.6388
46.200001 99.312 -139.7731
46.799999 99.340 -140.7853
47.500000 99.351 -141.8355
48.200001 99.377 -142.7807
48.700001 99.412 -143.4095
49.400002 99.452 -144.3088
50.000000 99.458 -145.1979
50.799999 99.439 -146.5135
51.500000 99.428 -147.5985
52.200001 99.437 -148.5101
53.000000 99.459 -149.3923
53.799999 99.466 -150.3027
54.500000 99.464 -151.2031
55.200001 99.475 -152.0964
56.000000 99.502 -152.9743
57.000000 99.501 -153.9842
58.000000 99.477 -155.2846
59.000000 99.488 -156.6505
60.000000 99.467 -157.6349
60.799999 99.455 -158.4762
61.500000 99.482 -159.3550
62.200001 99.488 -160.1268
63.000000 99.445 -160.7337
64.000000 99.448 -161.5381
65.000000 99.484 -162.6482
66.000000 99.461 -163.6159
67.000000 99.470 -164.7974
68.000000 99.432 -166.1169
69.000000 99.363 -166.8848
70.000000 99.371 -167.6812
71.000000 99.362 -168.8662
72.000000 99.289 -170.0222
73.000000 99.232 -170.8212
74.000000 99.221 -171.3412
75.000000 99.209 -172.1030
76.199997 99.159 -173.3589
77.500000 99.077 -174.5110
78.800003 99.019 -175.6323
80.000000 98.954 -176.6157
81.199997 98.902 -177.4784
82.500000 98.872 -178.3554
83.800003 98.836 -179.2787
85.000000 98.796 179.8536
86.199997 98.770 179.0280
87.500000 98.718 178.1203
88.500000 98.651 177.6116
90.000000 98.580 176.7412
91.199997 98.564 175.6613
92.500000 98.534 174.6984
93.800003 98.467 173.8615
95.000000 98.387 173.2413
96.199997 98.329 172.8449
97.500000 98.292 172.2946
98.800003 98.236 171.2692
100.000000 98.123 170.2056
101.500000 97.973 169.6745
103.000000 97.991 169.4434
104.400002 98.010 168.4180
106.000000 97.925 167.2451
107.500000 97.835 166.4954
109.000000 97.755 165.2254
110.599998 97.570 163.7044
112.000000 97.368 163.1965
113.800003 97.224 163.4914
115.000000 97.221 163.8237
117.199997 97.338 163.2551
118.000000 97.366 162.6799
120.599998 97.271 162.0061
122.000000 97.126 162.1898
124.099998 96.865 161.1308
125.000000 96.778 160.2734
126.500000 96.690 159.1801
128.000000 96.581 159.1122
131.500000 96.006 158.3342
132.000000 95.967 157.8826
134.000000 95.952 156.8528
136.000000 95.887 157.2015
138.000000 95.734 157.1158
140.000000 95.574 156.1798
143.000000 95.460 155.4960
145.000000 95.322 155.6379
147.500000 95.162 155.4771
150.000000 94.974 154.9620
152.500000 94.783 154.8951
155.000000 94.609 154.4869
157.500000 94.425 154.1222
160.000000 94.238 153.8748
162.500000 94.158 153.9005
165.000000 93.997 154.1262
167.500000 93.823 154.6785
170.000000 93.572 154.7354
172.500000 93.261 155.3076
175.000000 93.220 155.9564
177.500000 93.161 154.6891
180.000000 92.697 152.2623
182.500000 91.915 151.3574
185.000000 91.371 154.5543
187.500000 91.246 160.1710
190.000000 91.377 162.8617
192.500000 91.529 162.9853
195.000000 91.527 161.4262
197.500000 91.497 159.8921
200.000000 91.670 159.4996
203.000000 91.839 160.1075
206.000000 91.868 162.2722
209.000000 91.883 163.2234
212.000000 91.741 162.7070
214.000000 91.628 163.0333
218.000000 91.565 164.5076
220.000000 91.545 164.9718
224.000000 91.529 165.4998
227.000000 91.493 165.9677
230.000000 91.445 166.6639
233.000000 91.410 167.3650
236.000000 91.368 167.9209
240.000000 91.314 168.6348
243.000000 91.282 169.2208
247.000000 91.258 169.9293
250.000000 91.242 170.4788
254.000000 91.219 171.0986
258.000000 91.215 171.7802
262.000000 91.198 172.4669
265.000000 91.162 172.9072
269.000000 91.134 173.4047
272.000000 91.142 173.7848
276.000000 91.138 174.2773
280.000000 91.129 174.7697
285.000000 91.144 175.3910
290.000000 91.141 175.9102
295.000000 91.116 176.3814
300.000000 91.096 176.6884
304.000000 91.069 177.0222
307.000000 91.053 177.3325
311.000000 91.049 177.7822
315.000000 91.068 178.1436
320.000000 91.095 178.5020
325.000000 91.096 178.8754
330.000000 91.080 179.2282
335.000000 91.069 179.5882
340.000000 91.055 179.9871
345.000000 91.034 -179.6584
350.000000 91.019 -179.4008
355.000000 91.007 -179.0603
360.000000 90.993 -178.6356
365.000000 90.987 -178.2514
370.000000 90.984 -177.8914
375.000000 90.968 -177.5046
382.000000 90.954 -176.9460
387.000000 90.968 -176.6769
395.000000 90.964 -176.1269
400.000000 90.932 -175.7733
406.000000 90.881 -175.4586
412.000000 90.845 -175.0699
418.000000 90.835 -174.6256
425.000000 90.834 -174.1008
431.000000 90.822 -173.6435
437.000000 90.793 -173.2267
444.000000 90.767 -172.8114
450.000000 90.759 -172.3675
455.000000 90.752 -171.9760
462.000000 90.739 -171.5110
468.000000 90.728 -171.0930
475.000000 90.712 -170.4627
482.000000 90.686 -169.8286
487.000000 90.670 -169.4306
494.000000 90.656 -168.9092
500.000000 90.645 -168.4387
508.000000 90.638 -167.8200
515.000000 90.631 -167.2519
522.000000 90.626 -166.6772
530.000000 90.613 -166.1211
538.000000 90.592 -165.4994
545.000000 90.589 -164.8666
552.000000 90.600 -164.2158
560.000000 90.605 -163.4563
570.000000 90.609 -162.5573
580.000000 90.620 -161.6353
590.000000 90.634 -160.7345
600.000000 90.655 -159.9026
608.000000 90.672 -159.2415
615.000000 90.689 -158.5954
622.000000 90.708 -157.9326
630.000000 90.739 -157.2398
640.000000 90.784 -156.4100
650.000000 90.826 -155.5895
660.000000 90.878 -154.7960
670.000000 90.947 -153.9807
680.000000 91.014 -153.1815
690.000000 91.074 -152.4113
700.000000 91.136 -151.6649
710.000000 91.204 -150.9839
720.000000 91.277 -150.3600
730.000000 91.352 -149.7532
740.000000 91.423 -149.1915
750.000000 91.491 -148.6667
762.000000 91.576 -148.0516
775.000000 91.665 -147.4353
788.000000 91.736 -146.9290
800.000000 91.805 -146.3773
812.000000 91.876 -145.7738
825.000000 91.934 -145.1755
838.000000 92.000 -144.5880
850.000000 92.070 -144.0363
862.000000 92.127 -143.4687
875.000000 92.173 -142.8616
885.000000 92.210 -142.3903
900.000000 92.275 -141.6541
912.000000 92.336 -141.1080
925.000000 92.408 -140.4982
938.000000 92.478 -139.8649
950.000000 92.546 -139.2962
962.000000 92.617 -138.7463
975.000000 92.699 -138.1610
988.000000 92.784 -137.5929
1000.000000 92.862 -137.0947
1015.000000 92.958 -136.4979
1030.000000 93.056 -135.9340
1044.000000 93.148 -135.4487
1060.000000 93.255 -134.9380
1075.000000 93.355 -134.4968
1090.000000 93.455 -134.0952
1106.000000 93.563 -133.7147
1120.000000 93.657 -133.4180
1138.000000 93.772 -133.0732
1150.000000 93.845 -132.8663
1172.000000 93.975 -132.5269
1180.000000 94.020 -132.4180
1206.000000 94.160 -132.1181
1220.000000 94.230 -131.9643
1241.000000 94.330 -131.7227
1250.000000 94.373 -131.6209
1265.000000 94.446 -131.4535
1280.000000 94.518 -131.2742
1315.000000 94.679 -130.7976
1320.000000 94.702 -130.7269
1340.000000 94.797 -130.4340
1360.000000 94.892 -130.1227
1380.000000 94.985 -129.8036
1400.000000 95.078 -129.4849
1430.000000 95.217 -129.0092
1450.000000 95.312 -128.6949
1475.000000 95.433 -128.3004
1500.000000 95.556 -127.9145
1525.000000 95.677 -127.5346
1550.000000 95.799 -127.1639
1575.000000 95.924 -126.8036
1600.000000 96.051 -126.4504
1625.000000 96.179 -126.0976
1650.000000 96.310 -125.7537
1675.000000 96.445 -125.4272
1700.000000 96.581 -125.1153
1725.000000 96.718 -124.8095
1750.000000 96.855 -124.5137
1775.000000 96.996 -124.2390
1800.000000 97.141 -123.9884
1825.000000 97.286 -123.7595
1850.000000 97.434 -123.5576
1875.000000 97.582 -123.3843
1900.000000 97.731 -123.2334
1925.000000 97.879 -123.1067
1950.000000 98.029 -123.0067
1975.000000 98.182 -122.9382
2000.000000 98.338 -122.9002
2030.000000 98.525 -122.8945
2060.000000 98.711 -122.9286
2090.000000 98.897 -123.0105
2120.000000 99.085 -123.1494
2140.000000 99.211 -123.2704
2180.000000 99.460 -123.5771
2200.000000 99.583 -123.7668
2240.000000 99.825 -124.2217
2270.000000 100.000 -124.6189
2300.000000 100.170 -125.0645
2330.000000 100.339 -125.5637
2360.000000 100.504 -126.1173
2400.000000 100.715 -126.9357
2430.000000 100.864 -127.6023
2470.000000 101.051 -128.5590
2500.000000 101.182 -129.3249
2540.000000 101.345 -130.3960
2580.000000 101.493 -131.5119
2620.000000 101.629 -132.6646
2650.000000 101.721 -133.5502
2690.000000 101.828 -134.7491
2720.000000 101.893 -135.6488
2760.000000 101.962 -136.8376
2800.000000 102.018 -138.0034
2850.000000 102.068 -139.3932
2900.000000 102.097 -140.6733
2950.000000 102.116 -141.8492
3000.000000 102.132 -142.9817
3040.000000 102.139 -143.9012
3070.000000 102.138 -144.6077
3110.000000 102.124 -145.5530
3150.000000 102.092 -146.4603
3200.000000 102.027 -147.4687
3250.000000 101.942 -148.2896
3300.000000 101.854 -148.9375
3350.000000 101.771 -149.4512
3400.000000 101.694 -149.8543
3450.000000 101.623 -150.1592
3500.000000 101.560 -150.3796
3550.000000 101.505 -150.5327
3600.000000 101.458 -150.6429
3650.000000 101.417 -150.7266
3700.000000 101.384 -150.7928
3750.000000 101.359 -150.8469
3820.000000 101.332 -150.8954
3870.000000 101.314 -150.9104
3950.000000 101.297 -150.9154
4000.000000 101.294 -150.9111
4060.000000 101.291 -150.8996
4120.000000 101.290 -150.8915
4180.000000 101.300 -150.8895
4250.000000 101.324 -150.9005
4310.000000 101.357 -150.9461
4370.000000 101.401 -151.0664
4440.000000 101.462 -151.3439
4500.000000 101.517 -151.7139
4550.000000 101.559 -152.1136
4620.000000 101.604 -152.7863
4680.000000 101.630 -153.4380
4750.000000 101.648 -154.2469
4820.000000 101.653 -155.0867
4870.000000 101.649 -155.7099
4940.000000 101.637 -156.6299
5000.000000 101.616 -157.4737
5080.000000 101.564 -158.6808
5150.000000 101.492 -159.7913
5220.000000 101.393 -160.9191
5300.000000 101.251 -162.1819
