* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.310. Timing signal peak level -17.0 dBFS, measurement signal peak level -12.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 7, 2024 12:39:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1234 ms (-42 mm, -1.67 in) using estimated IR delay relative to Acoustic reference played from USB-C to 3.5mm Headphone Jack Adapter R with no timing offset Clock adjustment: 1.2 ppm
* Measurement: DUNU x Gizaudio DaVinci R
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
19.995176, 104.092, -165.5388
20.140070, 104.106, -165.6255
20.286013, 104.124, -165.7389
20.433014, 104.142, -165.8815
20.581080, 104.160, -166.0527
20.730219, 104.176, -166.2485
20.880438, 104.190, -166.4626
21.031747, 104.200, -166.6874
21.184151, 104.207, -166.9150
21.337660, 104.210, -167.1384
21.492282, 104.211, -167.3522
21.648024, 104.210, -167.5531
21.804894, 104.209, -167.7402
21.962902, 104.208, -167.9149
22.122054, 104.208, -168.0804
22.282359, 104.210, -168.2406
22.443827, 104.212, -168.3999
22.606464, 104.215, -168.5622
22.770280, 104.219, -168.7301
22.935282, 104.223, -168.9052
23.101481, 104.227, -169.0874
23.268884, 104.230, -169.2758
23.437500, 104.232, -169.4691
23.607337, 104.233, -169.6657
23.778406, 104.234, -169.8646
23.950714, 104.233, -170.0652
24.124271, 104.233, -170.2678
24.299085, 104.231, -170.4728
24.475166, 104.230, -170.6808
24.652524, 104.227, -170.8918
24.831166, 104.224, -171.1048
25.011103, 104.220, -171.3181
25.192344, 104.214, -171.5291
25.374898, 104.208, -171.7349
25.558775, 104.201, -171.9330
25.743984, 104.194, -172.1218
25.930536, 104.188, -172.3017
26.118439, 104.184, -172.4749
26.307704, 104.182, -172.6458
26.498340, 104.183, -172.8200
26.690358, 104.186, -173.0036
26.883768, 104.191, -173.2021
27.078578, 104.197, -173.4190
27.274801, 104.202, -173.6552
27.472445, 104.206, -173.9086
27.671522, 104.207, -174.1743
27.872041, 104.205, -174.4453
28.074014, 104.200, -174.7135
28.277450, 104.192, -174.9708
28.482360, 104.181, -175.2106
28.688755, 104.170, -175.4286
28.896645, 104.158, -175.6234
29.106042, 104.147, -175.7968
29.316956, 104.139, -175.9529
29.529399, 104.134, -176.0982
29.743381, 104.131, -176.2399
29.958914, 104.131, -176.3854
30.176009, 104.133, -176.5406
30.394677, 104.136, -176.7098
30.614929, 104.139, -176.8944
30.836777, 104.141, -177.0933
31.060233, 104.140, -177.3027
31.285309, 104.137, -177.5175
31.512015, 104.132, -177.7312
31.740364, 104.124, -177.9384
31.970368, 104.114, -178.1349
32.202038, 104.104, -178.3192
32.435387, 104.095, -178.4925
32.670428, 104.086, -178.6587
32.907171, 104.079, -178.8229
33.145630, 104.073, -178.9906
33.385817, 104.069, -179.1662
33.627744, 104.066, -179.3522
33.871425, 104.063, -179.5499
34.116871, 104.061, -179.7594
34.364096, 104.059, -179.9813
34.613112, 104.058, 179.7825
34.863933, 104.057, 179.5289
35.116572, 104.055, 179.2545
35.371041, 104.052, 178.9578
35.627354, 104.045, 178.6417
35.885524, 104.034, 178.3148
36.145566, 104.017, 177.9918
