Freq[Hz]     dBSPL  Phase[Deg]
5.00000      2.959     4.846
5.07273      2.964     4.832
5.14651      2.971     4.814
5.22137      2.979     4.789
5.29732      2.989     4.763
5.37437      2.998     4.733
5.45254      3.008     4.703
5.53185      3.017     4.672
5.61231      3.027     4.641
5.69394      3.036     4.610
5.77676      3.045     4.578
5.86079      3.055     4.546
5.94604      3.064     4.513
6.03252      3.074     4.479
6.12027      3.083     4.446
6.20929      3.093     4.411
6.29961      3.102     4.377
6.39124      3.112     4.341
6.48420      3.121     4.306
6.57851      3.130     4.269
6.67420      3.140     4.232
6.77128      3.149     4.195
6.86977      3.159     4.157
6.96969      3.168     4.119
7.07107      3.178     4.080
7.17392      3.187     4.040
7.27827      3.197     4.000
7.38413      3.206     3.959
7.49154      3.215     3.917
7.60050      3.225     3.875
7.71105      3.234     3.832
7.82321      3.244     3.789
7.93701      3.253     3.745
8.05245      3.263     3.700
8.16958      3.272     3.655
8.28841      3.282     3.609
8.40896      3.291     3.562
8.53128      3.300     3.514
8.65537      3.310     3.466
8.78126      3.319     3.417
8.90899      3.329     3.368
9.03857      3.338     3.317
9.17004      3.348     3.266
9.30342      3.357     3.214
9.43874      3.367     3.161
9.57603      3.376     3.107
9.71532      3.385     3.053
9.85663      3.395     2.998
10.0000      3.404     2.941
10.1455      3.414     2.884
10.2930      3.423     2.826
10.4427      3.433     2.768
10.5946      3.442     2.708
10.7487      3.452     2.647
10.9051      3.461     2.585
11.0637      3.470     2.523
11.2246      3.480     2.459
11.3879      3.489     2.395
11.5535      3.499     2.329
11.7216      3.508     2.262
11.8921      3.518     2.195
12.0650      3.527     2.126
12.2405      3.537     2.056
12.4186      3.546     1.985
12.5992      3.555     1.913
12.7825      3.565     1.839
12.9684      3.574     1.765
13.1570      3.584     1.689
13.3484      3.593     1.612
13.5426      3.603     1.534
13.7395      3.612     1.454
13.9394      3.622     1.373
14.1421      3.631     1.291
14.3478      3.640     1.208
14.5565      3.650     1.123
14.7683      3.659     1.037
14.9831      3.669     0.949
15.2010      3.678     0.860
15.4221      3.688     0.769
15.6464      3.697     0.677
15.8740      3.707     0.583
16.1049      3.716     0.488
16.3392      3.725     0.391
16.5768      3.735     0.293
16.8179      3.744     0.193
17.0626      3.754     0.092
17.3107      3.763    -0.011
17.5625      3.773    -0.115
17.8180      3.782    -0.220
18.0771      3.792    -0.327
18.3401      3.801    -0.434
18.6068      3.810    -0.541
18.8775      3.820    -0.648
19.1521      3.829    -0.753
19.4306      3.839    -0.853
19.7133      3.849    -0.950
20.0000      3.862    -1.046
20.2909      3.880    -1.154
20.5860      3.901    -1.279
20.8855      3.923    -1.424
21.1893      3.943    -1.590
21.4975      3.961    -1.778
21.8102      3.979    -1.984
22.1274      3.997    -2.208
22.4492      4.012    -2.446
22.7758      4.020    -2.691
23.1071      4.023    -2.935
23.4432      4.024    -3.166
23.7841      4.024    -3.382
24.1301      4.024    -3.582
24.4811      4.025    -3.768
24.8372      4.028    -3.948
25.1984      4.037    -4.135
25.5649      4.053    -4.346
25.9368      4.072    -4.593
26.3141      4.088    -4.881
26.6968      4.098    -5.204
27.0851      4.100    -5.548
27.4791      4.092    -5.890
27.8788      4.079    -6.218
28.2843      4.061    -6.524
28.6957      4.044    -6.809
29.1131      4.029    -7.081
29.5365      4.014    -7.345
29.9661      4.000    -7.610
30.4020      3.983    -7.879
30.8442      3.966    -8.153
31.2929      3.948    -8.431
31.7480      3.925    -8.707
32.2098      3.899    -8.976
32.6783      3.866    -9.233
33.1536      3.831    -9.465
33.6359      3.794    -9.669
34.1251      3.755    -9.842
34.6215      3.717    -9.985
35.1250      3.680   -10.098
35.6359      3.647   -10.183
36.1543      3.615   -10.243
36.6802      3.588   -10.281
37.2137      3.567   -10.307
37.7550      3.553   -10.335
38.3041      3.547   -10.374
38.8613      3.546   -10.438
39.4265      3.546   -10.530
40.0000      3.546   -10.647
40.5818      3.546   -10.787
41.1721      3.546   -10.948
41.7710      3.546   -11.128
42.3785      3.546   -11.330
42.9949      3.546   -11.557
43.6203      3.544   -11.808
44.2548      3.538   -12.080
44.8985      3.527   -12.364
45.5515      3.510   -12.651
46.2141      3.488   -12.933
46.8863      3.464   -13.205
47.5683      3.439   -13.465
48.2602      3.413   -13.715
48.9621      3.386   -13.959
49.6743      3.359   -14.196
50.3968      3.332   -14.431
51.1299      3.304   -14.665
51.8736      3.276   -14.901
52.6281      3.249   -15.141
53.3936      3.218   -15.384
54.1702      3.184   -15.622
54.9581      3.146   -15.851
55.7575      3.106   -16.064
56.5685      3.067   -16.260
57.3914      3.030   -16.444
58.2261      2.994   -16.622
59.0730      2.959   -16.797
59.9323      2.923   -16.969
60.8040      2.886   -17.136
61.6884      2.851   -17.300
62.5857      2.815   -17.459
63.4960      2.782   -17.616
64.4196      2.750   -17.776
65.3566      2.719   -17.942
66.3073      2.690   -18.119
67.2717      2.660   -18.307
68.2502      2.629   -18.504
69.2429      2.597   -18.710
70.2501      2.563   -18.921
71.2719      2.529   -19.135
72.3086      2.494   -19.354
73.3603      2.460   -19.580
74.4274      2.426   -19.818
75.5099      2.393   -20.074
76.6083      2.360   -20.357
77.7226      2.324   -20.668
78.8531      2.284   -21.006
80.0000      2.236   -21.365
81.1636      2.180   -21.734
82.3442      2.114   -22.099
83.5419      2.039   -22.445
84.7570      1.956   -22.759
85.9899      1.866   -23.034
87.2406      1.774   -23.266
88.5096      1.681   -23.457
89.7970      1.588   -23.610
91.1031      1.492   -23.726
92.4282      1.395   -23.802
93.7726      1.298   -23.839
95.1366      1.204   -23.839
96.5204      1.113   -23.808
97.9243      1.027   -23.754
99.3486      0.945   -23.687
100.794      0.865   -23.613
102.260      0.788   -23.535
103.747      0.712   -23.455
105.256      0.637   -23.373
106.787      0.562   -23.289
108.340      0.487   -23.201
109.916      0.411   -23.103
111.515      0.334   -22.995
113.137      0.258   -22.876
114.783      0.182   -22.745
116.452      0.108   -22.603
118.146      0.035   -22.456
119.865     -0.037   -22.306
121.608     -0.108   -22.156
123.377     -0.178   -22.007
125.171     -0.252   -21.858
126.992     -0.329   -21.699
128.839     -0.410   -21.522
130.713     -0.492   -21.321
132.615     -0.574   -21.094
134.543     -0.655   -20.843
136.500     -0.735   -20.571
138.486     -0.814   -20.278
140.500     -0.894   -19.964
142.544     -0.974   -19.622
144.617     -1.054   -19.250
146.721     -1.133   -18.840
148.855     -1.210   -18.389
151.020     -1.283   -17.898
153.217     -1.346   -17.382
155.445     -1.397   -16.859
157.706     -1.439   -16.348
160.000     -1.476   -15.857
162.327     -1.513   -15.389
164.688     -1.553   -14.930
167.084     -1.592   -14.472
169.514     -1.629   -14.007
171.980     -1.664   -13.536
174.481     -1.694   -13.065
177.019     -1.722   -12.599
179.594     -1.747   -12.138
182.206     -1.771   -11.684
184.856     -1.795   -11.231
187.545     -1.819   -10.774
190.273     -1.841   -10.314
193.041     -1.857    -9.860
195.849     -1.869    -9.419
198.697     -1.880    -8.991
201.587     -1.896    -8.565
204.520     -1.915    -8.131
207.494     -1.933    -7.683
210.512     -1.946    -7.221
213.574     -1.951    -6.755
216.681     -1.952    -6.300
219.833     -1.952    -5.860
223.030     -1.952    -5.430
226.274     -1.952    -5.003
229.565     -1.951    -4.574
232.905     -1.947    -4.146
236.292     -1.937    -3.730
239.729     -1.921    -3.339
243.216     -1.902    -2.979
246.754     -1.886    -2.646
250.343     -1.876    -2.326
253.984     -1.872    -2.005
257.678     -1.867    -1.676
261.426     -1.854    -1.350
265.229     -1.836    -1.043
269.087     -1.817    -0.762
273.001     -1.803    -0.506
276.972     -1.795    -0.266
281.000     -1.793    -0.024
285.088     -1.793     0.230
289.234     -1.793     0.497
293.441     -1.793     0.775
297.709     -1.793     1.063
302.040     -1.793     1.359
306.433     -1.793     1.663
310.890     -1.793     1.975
315.412     -1.793     2.298
320.000     -1.793     2.632
324.655     -1.793     2.983
329.377     -1.793     3.355
334.168     -1.791     3.750
339.028     -1.784     4.162
343.959     -1.767     4.575
348.962     -1.746     4.979
354.038     -1.719     5.367
359.188     -1.691     5.729
364.412     -1.665     6.072
369.713     -1.636     6.404
375.090     -1.607     6.721
380.546     -1.578     7.028
386.081     -1.546     7.321
391.697     -1.516     7.598
397.394     -1.485     7.862
403.175     -1.451     8.104
409.039     -1.426     8.336
414.989     -1.403     8.574
421.025     -1.383     8.816
427.149     -1.365     9.073
433.362     -1.344     9.347
439.665     -1.321     9.632
446.060     -1.294     9.917
452.548     -1.270    10.202
459.131     -1.241    10.491
465.809     -1.210    10.772
472.584     -1.183    11.054
479.458     -1.153    11.340
486.432     -1.122    11.627
493.507     -1.094    11.925
500.686     -1.060    12.231
507.968     -1.025    12.541
515.357     -0.986    12.855
522.853     -0.944    13.168
530.458     -0.896    13.472
538.174     -0.847    13.764
546.002     -0.794    14.046
553.943     -0.737    14.309
562.001     -0.680    14.555
570.175     -0.619    14.788
578.469     -0.556    15.000
586.883     -0.493    15.193
595.419     -0.421    15.357
604.080     -0.346    15.476
612.866     -0.269    15.546
621.780     -0.192    15.564
630.824     -0.122    15.534
640.000     -0.060    15.472
649.309     -0.002    15.388
658.753      0.053    15.284
668.335      0.104    15.165
678.056      0.152    15.032
687.919      0.195    14.883
697.925      0.233    14.720
708.077      0.269    14.543
718.376      0.302    14.348
728.825      0.328    14.134
739.426      0.346    13.910
750.181      0.354    13.684
761.093      0.351    13.469
772.163      0.338    13.287
783.394      0.317    13.146
794.789      0.288    13.052
806.349      0.256    13.013
818.078      0.225    13.024
829.977      0.190    13.081
842.050      0.153    13.188
854.298      0.113    13.346
866.724      0.071    13.565
879.330      0.026    13.856
892.120     -0.018    14.227
905.097     -0.060    14.681
918.262     -0.090    15.210
931.618     -0.110    15.800
945.169     -0.118    16.445
958.917     -0.118    17.137
972.864     -0.109    17.876
987.015     -0.083    18.646
1001.37     -0.034    19.422
1015.94      0.036    20.176
1030.71      0.123    20.882
1045.71      0.221    21.515
1060.92      0.331    22.061
1076.35      0.449    22.516
1092.00      0.577    22.867
1107.89      0.700    23.114
1124.00      0.817    23.271
1140.35      0.929    23.347
1156.94      1.030    23.361
1173.77      1.124    23.330
1190.84      1.206    23.266
1208.16      1.275    23.190
1225.73      1.332    23.121
1243.56      1.377    23.077
1261.65      1.417    23.067
1280.00      1.446    23.109
1298.62      1.471    23.215
1317.51      1.493    23.387
1336.67      1.512    23.639
1356.11      1.534    23.980
1375.84      1.560    24.407
1395.85      1.598    24.913
1416.15      1.649    25.484
1436.75      1.717    26.106
1457.65      1.805    26.754
1478.85      1.913    27.398
1500.36      2.036    28.021
1522.19      2.186    28.593
1544.33      2.357    29.065
1566.79      2.537    29.427
1589.58      2.733    29.655
1612.70      2.933    29.723
1636.16      3.124    29.652
1659.95      3.305    29.468
1684.10      3.464    29.202
1708.60      3.603    28.901
1733.45      3.725    28.605
1758.66      3.834    28.354
1784.24      3.936    28.172
1810.19      4.034    28.068
1836.52      4.139    28.039
1863.24      4.263    28.053
1890.34      4.407    28.073
1917.83      4.569    28.063
1945.73      4.743    27.989
1974.03      4.927    27.827
2002.74      5.120    27.554
2031.87      5.320    27.156
2061.43      5.524    26.613
2091.41      5.710    25.940
2121.83      5.868    25.191
2152.69      5.995    24.424
2184.01      6.091    23.709
2215.77      6.169    23.119
2248.00      6.243    22.689
2280.70      6.320    22.433
2313.87      6.428    22.312
2347.53      6.583    22.233
2381.68      6.787    22.100
2416.32      7.035    21.812
2451.46      7.303    21.295
2487.12      7.570    20.539
2523.30      7.832    19.563
2560.00      8.077    18.399
2597.24      8.301    17.092
2635.01      8.515    15.660
2673.34      8.716    14.111
2712.23      8.901    12.469
2751.68      9.070    10.742
2791.70      9.217     8.935
2832.31      9.344     7.059
2873.50      9.462     5.109
2915.30      9.565     3.081
2957.70      9.637     1.006
3000.72      9.667    -1.061
3044.37      9.646    -3.054
3088.65      9.588    -4.903
3133.58      9.525    -6.589
