* Measurement data measured by REW V5.31.3
* Source: Mic In (Elgato Wave:XLR), MICROPHONE (Master Volume), R, volume: 0.660
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 5, 2024 7:20:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Floaudio Bluelover L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.000000, 98.650, -125.1956
20.299999, 98.718, -126.3929
20.600000, 98.784, -127.6403
20.900000, 98.839, -128.9234
21.200001, 98.881, -130.2033
21.400000, 98.900, -131.0304
21.799999, 98.928, -132.5724
22.000000, 98.940, -133.2786
22.400000, 98.971, -134.5847
22.700001, 99.005, -135.5182
23.000000, 99.046, -136.4593
23.299999, 99.089, -137.4332
23.600000, 99.129, -138.4402
24.000000, 99.168, -139.7953
24.299999, 99.188, -140.7831
24.700001, 99.207, -142.0272
25.000000, 99.221, -142.9083
25.400000, 99.243, -144.0491
25.799999, 99.267, -145.1926
26.200001, 99.285, -146.3506
26.500000, 99.292, -147.2109
26.900000, 99.293, -148.3115
27.200001, 99.291, -149.0884
27.600000, 99.293, -150.0701
28.000000, 99.302, -151.0313
28.500000, 99.319, -152.2682
29.000000, 99.330, -153.5549
29.500000, 99.330, -154.8382
30.000000, 99.323, -156.0717
30.400000, 99.318, -157.0234
30.700001, 99.314, -157.7252
31.100000, 99.307, -158.6492
31.500000, 99.299, -159.5558
32.000000, 99.287, -160.6538
32.500000, 99.274, -161.7145
33.000000, 99.259, -162.7473
33.500000, 99.240, -163.7411
34.000000, 99.215, -164.6620
34.500000, 99.193, -165.4900
35.000000, 99.184, -166.2644
35.500000, 99.188, -167.0812
36.000000, 99.193, -168.0210
36.500000, 99.178, -169.0560
37.000000, 99.134, -170.0445
37.500000, 99.079, -170.8599
38.200001, 99.037, -171.8557
38.700001, 99.025, -172.7520
39.500000, 98.928, -174.4342
40.000000, 98.810, -175.1239
40.599998, 98.712, -175.3124
41.200001, 98.745, -175.4337
41.799999, 98.844, -176.2628
42.500000, 98.869, -177.9521
43.099998, 98.792, -179.2155
43.700001, 98.709, -179.9885
44.400002, 98.672, 179.2985
45.000000, 98.659, 178.4767
45.500000, 98.627, 177.6808
46.200001, 98.543, 176.6722
46.799999, 98.465, 176.0231
47.500000, 98.398, 175.3822
48.200001, 98.350, 174.6423
48.700001, 98.311, 174.0359
49.400002, 98.240, 173.1957
50.000000, 98.175, 172.5573
50.799999, 98.098, 171.8002
51.500000, 98.041, 171.1647
52.200001, 97.990, 170.4949
53.000000, 97.917, 169.7059
53.799999, 97.830, 169.0385
54.500000, 97.760, 168.5139
55.200001, 97.689, 167.9229
56.000000, 97.590, 167.2582
57.000000, 97.476, 166.3201
58.000000, 97.288, 165.1755
59.000000, 97.075, 165.0163
60.000000, 97.065, 164.9549
60.799999, 97.075, 164.1109
61.500000, 97.026, 163.3318
62.200001, 96.970, 162.7693
63.000000, 96.918, 162.2008
64.000000, 96.836, 161.5635
65.000000, 96.752, 161.0551
66.000000, 96.657, 160.5287
67.000000, 96.543, 160.0457
68.000000, 96.428, 159.6105
69.000000, 96.320, 159.1559
70.000000, 96.215, 158.6633
71.000000, 96.112, 158.1927
72.000000, 96.015, 157.7647
73.000000, 95.922, 157.3574
