* Measurement data measured by REW V5.31.3
* Source: Mic In (Elgato Wave:XLR), MICROPHONE (Master Volume), R, volume: 0.660
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 5, 2024 8:03:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mega5est 3.9 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.000000, 96.187, -113.9393
20.299999, 96.269, -115.1137
20.600000, 96.358, -116.2618
20.900000, 96.451, -117.4260
21.200001, 96.542, -118.6339
21.400000, 96.598, -119.4634
21.799999, 96.690, -121.1382
22.000000, 96.725, -121.9531
22.400000, 96.778, -123.4644
22.700001, 96.815, -124.4668
23.000000, 96.860, -125.3767
23.299999, 96.920, -126.2520
23.600000, 96.994, -127.1637
24.000000, 97.101, -128.5258
24.299999, 97.173, -129.6654
24.700001, 97.240, -131.2621
25.000000, 97.267, -132.4304
25.400000, 97.281, -133.8378
25.799999, 97.291, -135.0284
26.200001, 97.314, -136.0497
26.500000, 97.345, -136.7643
26.900000, 97.400, -137.7177
27.200001, 97.448, -138.4565
27.600000, 97.512, -139.4777
28.000000, 97.573, -140.5320
28.500000, 97.640, -141.8789
29.000000, 97.692, -143.2185
29.500000, 97.730, -144.4895
30.000000, 97.767, -145.6821
30.400000, 97.803, -146.6373
30.700001, 97.831, -147.3933
31.100000, 97.863, -148.4662
31.500000, 97.877, -149.5713
32.000000, 97.874, -150.8766
32.500000, 97.872, -152.0314
33.000000, 97.893, -153.1326
33.500000, 97.932, -154.3347
34.000000, 97.964, -155.6539
34.500000, 97.980, -156.9635
35.000000, 97.992, -158.1593
35.500000, 98.018, -159.2693
36.000000, 98.054, -160.3760
36.500000, 98.088, -161.4893
37.000000, 98.112, -162.5452
37.500000, 98.133, -163.5003
38.200001, 98.167, -164.7131
38.700001, 98.192, -165.5372
39.500000, 98.230, -166.8337
40.000000, 98.250, -167.6884
40.599998, 98.257, -168.7908
41.200001, 98.238, -169.8890
41.799999, 98.207, -170.8996
42.500000, 98.184, -172.0602
43.099998, 98.169, -173.1461
43.700001, 98.148, -174.2808
44.400002, 98.127, -175.5912
45.000000, 98.114, -176.7047
45.500000, 98.104, -177.5964
46.200001, 98.101, -178.7217
46.799999, 98.120, -179.6425
47.500000, 98.144, 179.2153
48.200001, 98.144, 178.1500
48.700001, 98.142, 177.5103
49.400002, 98.148, 176.6248
50.000000, 98.136, 175.7792
50.799999, 98.069, 174.8391
51.500000, 98.026, 174.3326
52.200001, 98.039, 173.7077
53.000000, 98.059, 172.4697
53.799999, 98.024, 170.9833
54.500000, 97.967, 169.8440
55.200001, 97.932, 168.8907
56.000000, 97.928, 167.8729
57.000000, 97.979, 166.7452
58.000000, 98.129, 165.1215
59.000000, 98.123, 162.4924
60.000000, 97.869, 161.1396
60.799999, 97.751, 161.2449
61.500000, 97.738, 161.1505
62.200001, 97.723, 160.7048
63.000000, 97.687, 160.0453
64.000000, 97.631, 159.0627
65.000000, 97.563, 158.0327
66.000000, 97.515, 156.9768
67.000000, 97.476, 155.8888
68.000000, 97.451, 154.8304
69.000000, 97.423, 153.7424
70.000000, 97.376, 152.7678
71.000000, 97.327, 151.9010
72.000000, 97.274, 151.0339
73.000000, 97.216, 150.1881
74.000000, 97.166, 149.3313
75.000000, 97.124, 148.4188
76.199997, 97.078, 147.2610
77.500000, 97.023, 146.0659
78.800003, 96.976, 144.9741
80.000000, 96.919, 143.9490
81.199997, 96.850, 143.0500
82.500000, 96.785, 142.0520
83.800003, 96.715, 140.9647
85.000000, 96.646, 139.9691
86.199997, 96.579, 139.0541
87.500000, 96.516, 138.1306
88.500000, 96.471, 137.4376
90.000000, 96.403, 136.4219
91.199997, 96.348, 135.6011
92.500000, 96.282, 134.6951
93.800003, 96.213, 133.8380
95.000000, 96.155, 133.0674
96.199997, 96.095, 132.3153
97.500000, 96.029, 131.5342
98.800003, 95.961, 130.7537
100.000000, 95.896, 130.0378
101.500000, 95.815, 129.1498
103.000000, 95.740, 128.2597
104.400002, 95.673, 127.4202
106.000000, 95.598, 126.5125
107.500000, 95.530, 125.6888
109.000000, 95.455, 124.8773
110.599998, 95.368, 124.0672
112.000000, 95.294, 123.3805
113.800003, 95.201, 122.4886
115.000000, 95.141, 121.8997
117.199997, 95.035, 120.8398
118.000000, 94.997, 120.4648
120.599998, 94.877, 119.3230
122.000000, 94.815, 118.6802
124.099998, 94.714, 117.6987
125.000000, 94.669, 117.3018
126.500000, 94.597, 116.7010
128.000000, 94.534, 116.1490
131.500000, 94.390, 114.7889
132.000000, 94.366, 114.5997
134.000000, 94.272, 113.9111
136.000000, 94.192, 113.2156
138.000000, 94.111, 112.4317
140.000000, 94.020, 111.6820
143.000000, 93.892, 110.6770
145.000000, 93.815, 110.0736
147.500000, 93.730, 109.3625
150.000000, 93.628, 108.5865
152.500000, 93.521, 107.8288
155.000000, 93.414, 107.0345
157.500000, 93.329, 106.3212
160.000000, 93.249, 105.5698
162.500000, 93.155, 104.9177
165.000000, 93.066, 104.3694
167.500000, 92.985, 103.7997
170.000000, 92.904, 103.1940
172.500000, 92.826, 102.5857
175.000000, 92.752, 101.9940
177.500000, 92.676, 101.4169
180.000000, 92.599, 100.9158
182.500000, 92.527, 100.4435
185.000000, 92.460, 99.9574
187.500000, 92.393, 99.4421
190.000000, 92.326, 98.9236
192.500000, 92.266, 98.4429
195.000000, 92.214, 97.9915
197.500000, 92.159, 97.5677
200.000000, 92.101, 97.1853
203.000000, 92.035, 96.7078
206.000000, 91.973, 96.2267
209.000000, 91.914, 95.7614
212.000000, 91.854, 95.2953
214.000000, 91.816, 94.9905
218.000000, 91.746, 94.3749
220.000000, 91.712, 94.0681
224.000000, 91.645, 93.5164
227.000000, 91.593, 93.1708
230.000000, 91.541, 92.8032
233.000000, 91.489, 92.3799
236.000000, 91.446, 91.9254
240.000000, 91.407, 91.3848
243.000000, 91.382, 91.1091
247.000000, 91.335, 90.6443
250.000000, 91.303, 90.2876
254.000000, 91.269, 89.9163
258.000000, 91.229, 89.5459
262.000000, 91.197, 89.0999
265.000000, 91.181, 88.7996
269.000000, 91.169, 88.4155
272.000000, 91.163, 88.1060
276.000000, 91.154, 87.6626
280.000000, 91.143, 87.1936
285.000000, 91.130, 86.6082
290.000000, 91.116, 86.0330
295.000000, 91.105, 85.4163
300.000000, 91.096, 84.7821
304.000000, 91.083, 84.2883
307.000000, 91.074, 83.9598
311.000000, 91.062, 83.5457
315.000000, 91.051, 83.0959
320.000000, 91.030, 82.5619
325.000000, 91.009, 82.1108
330.000000, 90.990, 81.5694
335.000000, 90.975, 80.9919
340.000000, 90.970, 80.4919
345.000000, 90.967, 80.0334
350.000000, 90.959, 79.5728
355.000000, 90.952, 79.0900
360.000000, 90.948, 78.6133
365.000000, 90.943, 78.1508
370.000000, 90.935, 77.6575
375.000000, 90.927, 77.1725
382.000000, 90.921, 76.5793
387.000000, 90.915, 76.1622
395.000000, 90.918, 75.5365
400.000000, 90.920, 75.1083
406.000000, 90.917, 74.5991
412.000000, 90.912, 74.0907
418.000000, 90.907, 73.5792
425.000000, 90.910, 73.0665
431.000000, 90.909, 72.6614
437.000000, 90.905, 72.2401
444.000000, 90.901, 71.6990
450.000000, 90.896, 71.2550
455.000000, 90.893, 70.8766
462.000000, 90.891, 70.3892
468.000000, 90.889, 69.9796
475.000000, 90.888, 69.4989
482.000000, 90.892, 69.0762
487.000000, 90.895, 68.7806
494.000000, 90.893, 68.3590
500.000000, 90.889, 67.9833
508.000000, 90.884, 67.5261
515.000000, 90.882, 67.1501
522.000000, 90.882, 66.7888
530.000000, 90.876, 66.3653
538.000000, 90.866, 65.9456
545.000000, 90.857, 65.6006
552.000000, 90.856, 65.2593
560.000000, 90.859, 64.8842
570.000000, 90.856, 64.4464
580.000000, 90.846, 64.0213
590.000000, 90.836, 63.6229
600.000000, 90.829, 63.2535
608.000000, 90.822, 62.9849
615.000000, 90.814, 62.7507
622.000000, 90.808, 62.5211
630.000000, 90.801, 62.2570
640.000000, 90.789, 61.9352
650.000000, 90.775, 61.6653
660.000000, 90.762, 61.4415
670.000000, 90.756, 61.2440
680.000000, 90.749, 61.0541
690.000000, 90.743, 60.8658
700.000000, 90.737, 60.7126
710.000000, 90.727, 60.5720
720.000000, 90.714, 60.4407
730.000000, 90.705, 60.3412
740.000000, 90.699, 60.2567
750.000000, 90.692, 60.1718
762.000000, 90.684, 60.1128
775.000000, 90.674, 60.0950
788.000000, 90.667, 60.0845
800.000000, 90.659, 60.1040
812.000000, 90.652, 60.1754
825.000000, 90.648, 60.2921
838.000000, 90.638, 60.4478
850.000000, 90.628, 60.5956
862.000000, 90.626, 60.7572
875.000000, 90.630, 61.0026
885.000000, 90.635, 61.2327
900.000000, 90.650, 61.6280
912.000000, 90.666, 61.9973
925.000000, 90.687, 62.4559
938.000000, 90.720, 62.9510
950.000000, 90.766, 63.4320
962.000000, 90.828, 63.8912
975.000000, 90.911, 64.3208
988.000000, 91.001, 64.7071
1000.000000, 91.086, 65.0018
1015.000000, 91.198, 65.2942
1030.000000, 91.314, 65.4993
1044.000000, 91.421, 65.6546
1060.000000, 91.536, 65.7662
1075.000000, 91.643, 65.7913
1090.000000, 91.750, 65.7860
1106.000000, 91.858, 65.7616
1120.000000, 91.953, 65.7231
1138.000000, 92.073, 65.6371
1150.000000, 92.148, 65.5450
1172.000000, 92.280, 65.3508
1180.000000, 92.327, 65.2644
1206.000000, 92.470, 64.9384
1220.000000, 92.542, 64.7642
1241.000000, 92.649, 64.4986
1250.000000, 92.691, 64.3793
1265.000000, 92.758, 64.1661
1280.000000, 92.822, 63.9577
1315.000000, 92.953, 63.4921
1320.000000, 92.970, 63.4286
1340.000000, 93.037, 63.1761
1360.000000, 93.096, 62.9346
1380.000000, 93.151, 62.7183
1400.000000, 93.203, 62.5206
1430.000000, 93.275, 62.2488
1450.000000, 93.321, 62.0998
1475.000000, 93.378, 61.9872
1500.000000, 93.433, 61.9101
1525.000000, 93.485, 61.8395
1550.000000, 93.534, 61.7978
1575.000000, 93.586, 61.7855
1600.000000, 93.639, 61.8041
1625.000000, 93.693, 61.8577
1650.000000, 93.743, 61.9268
1675.000000, 93.794, 62.0160
1700.000000, 93.852, 62.1169
1725.000000, 93.914, 62.2525
1750.000000, 93.977, 62.4034
1775.000000, 94.043, 62.5709
1800.000000, 94.112, 62.7535
1825.000000, 94.183, 62.9313
1850.000000, 94.259, 63.1096
1875.000000, 94.339, 63.2732
1900.000000, 94.424, 63.4648
1925.000000, 94.510, 63.6674
1950.000000, 94.596, 63.8517
1975.000000, 94.684, 64.0275
2000.000000, 94.778, 64.1980
2030.000000, 94.898, 64.3950
2060.000000, 95.020, 64.5782
2090.000000, 95.145, 64.7441
2120.000000, 95.277, 64.8884
2140.000000, 95.368, 64.9669
2180.000000, 95.555, 65.0902
2200.000000, 95.652, 65.1398
2240.000000, 95.853, 65.1895
2270.000000, 96.008, 65.1847
2300.000000, 96.166, 65.1309
2330.000000, 96.325, 65.0367
2360.000000, 96.486, 64.9039
2400.000000, 96.711, 64.6397
2430.000000, 96.884, 64.3792
2470.000000, 97.116, 63.9351
2500.000000, 97.291, 63.5306
2540.000000, 97.525, 62.8775
2580.000000, 97.756, 62.0933
2620.000000, 97.984, 61.1776
2650.000000, 98.150, 60.4056
2690.000000, 98.364, 59.2675
2720.000000, 98.518, 58.3271
2760.000000, 98.713, 56.9574
2800.000000, 98.894, 55.4600
2850.000000, 99.094, 53.4354
2900.000000, 99.261, 51.2721
2950.000000, 99.389, 48.9844
3000.000000, 99.473, 46.6194
3040.000000, 99.512, 44.7168
3070.000000, 99.524, 43.2980
3110.000000, 99.519, 41.4302
3150.000000, 99.489, 39.6053
3200.000000, 99.421, 37.4020
3250.000000, 99.319, 35.3149
3300.000000, 99.190, 33.3732
3350.000000, 99.039, 31.5967
3400.000000, 98.871, 30.0189
3450.000000, 98.686, 28.6482
3500.000000, 98.492, 27.4731
3550.000000, 98.299, 26.4870
3600.000000, 98.112, 25.6655
3650.000000, 97.929, 24.9938
3700.000000, 97.751, 24.4627
3750.000000, 97.582, 24.0493
3820.000000, 97.364, 23.6294
3870.000000, 97.225, 23.4246
3950.000000, 97.030, 23.2084
4000.000000, 96.923, 23.1006
4060.000000, 96.812, 22.9792
4120.000000, 96.720, 22.8403
4180.000000, 96.644, 22.6500
4250.000000, 96.568, 22.3324
4310.000000, 96.508, 21.9695
4370.000000, 96.447, 21.5141
4440.000000, 96.370, 20.8587
4500.000000, 96.291, 20.2183
4550.000000, 96.212, 19.6578
4620.000000, 96.077, 18.8718
4680.000000, 95.938, 18.2523
4750.000000, 95.752, 17.6888
4820.000000, 95.552, 17.3452
4870.000000, 95.408, 17.2561
4940.000000, 95.213, 17.3622
5000.000000, 95.061, 17.6515
5080.000000, 94.897, 18.2770
5150.000000, 94.798, 18.9648
5220.000000, 94.743, 19.6817
5300.000000, 94.739, 20.4310
5380.000000, 94.791, 20.9429
5450.000000, 94.868, 21.1393
5520.000000, 94.959, 21.0699
5600.000000, 95.065, 20.6060
5700.000000, 95.178, 19.5337
5800.000000, 95.242, 18.0734
5900.000000, 95.240, 16.3910
6000.000000, 95.168, 14.6921
6080.000000, 95.064, 13.4419
6150.000000, 94.950, 12.4823
6220.000000, 94.821, 11.6793
6300.000000, 94.665, 10.9723
6400.000000, 94.472, 10.4104
6500.000000, 94.294, 10.1713
6600.000000, 94.149, 10.1839
6700.000000, 94.047, 10.3914
6800.000000, 93.995, 10.6984
6900.000000, 93.991, 10.9958
7000.000000, 94.023, 11.2957
7100.000000, 94.111, 11.6945
7200.000000, 94.293, 11.9886
7300.000000, 94.556, 11.7784
7400.000000, 94.857, 10.9554
7500.000000, 95.165, 9.5471
7620.000000, 95.519, 7.1066
7750.000000, 95.849, 3.5526
7880.000000, 96.078, -0.8201
8000.000000, 96.170, -5.3674
8120.000000, 96.134, -10.1701
8250.000000, 95.939, -15.4258
8380.000000, 95.579, -20.4328
8500.000000, 95.115, -24.5126
8620.000000, 94.555, -27.8240
8750.000000, 93.890, -30.3690
8850.000000, 93.371, -31.5874
9000.000000, 92.634, -32.3694
9120.000000, 92.112, -32.2453
9250.000000, 91.632, -31.5722
9380.000000, 91.246, -30.5494
9500.000000, 90.975, -29.4565
9620.000000, 90.783, -28.3254
9750.000000, 90.657, -27.1723
9880.000000, 90.607, -26.2458
10000.000000, 90.618, -25.7051
10150.000000, 90.688, -25.5814
10300.000000, 90.789, -26.1621
10440.000000, 90.871, -27.4112
10600.000000, 90.901, -29.6417
10750.000000, 90.826, -32.3051
10900.000000, 90.618, -35.2070
11060.000000, 90.239, -38.1735
11200.000000, 89.790, -40.3671
11380.000000, 89.102, -42.3672
11500.000000, 88.606, -43.1544
11720.000000, 87.661, -43.6523
11800.000000, 87.306, -43.5552
12060.000000, 86.113, -42.0158
12200.000000, 85.470, -40.3336
12410.000000, 84.555, -36.6699
12500.000000, 84.192, -34.7137
12650.000000, 83.643, -31.0192
12800.000000, 83.173, -26.8692
13150.000000, 82.403, -15.9277
13200.000000, 82.331, -14.2784
13400.000000, 82.141, -7.5737
13600.000000, 82.112, -0.7687
13800.000000, 82.244, 5.9800
14000.000000, 82.538, 12.5413
14300.000000, 83.302, 21.8244
14500.000000, 84.064, 27.3636
14750.000000, 85.350, 32.8180
15000.000000, 87.007, 35.3285
15250.000000, 88.868, 32.8914
15500.000000, 90.443, 24.0491
15750.000000, 91.069, 10.3798
16000.000000, 90.470, -3.0751
16250.000000, 89.037, -11.7490
16500.000000, 87.427, -14.7929
16750.000000, 86.073, -14.1308
17000.000000, 85.060, -12.0494
17250.000000, 84.260, -9.8620
17500.000000, 83.529, -7.5046
17750.000000, 82.865, -4.1938
18000.000000, 82.427, 0.2032
18250.000000, 82.371, 4.3799
18500.000000, 82.633, 6.4142
18750.000000, 82.937, 5.2448
19000.000000, 82.989, 1.3552
19250.000000, 82.616, -3.7395
19500.000000, 81.815, -8.3009
19750.000000, 80.731, -11.1666
20000.000000, 79.553, -12.2281
