* Measurement data measured by REW V5.31.1
* Source: CUBILUX HLMS-C5 MIC IN, MICROPHONE, R, volume: 1.000
* Format: 4M Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Sep 13, 2024 9:10:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CCA Duo L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 31.734, 126.9933
1.015000, 31.488, 131.1475
1.030000, 31.292, 135.9508
1.044000, 31.160, 140.9743
1.060000, 31.074, 147.2135
1.075000, 31.063, 153.3280
1.090000, 31.126, 159.4403
1.106000, 31.277, 165.7220
1.120000, 31.484, 170.9256
1.138000, 31.844, 177.0948
1.150000, 32.138, -179.1775
1.172000, 32.782, -173.2034
1.180000, 33.046, -171.3043
1.206000, 34.000, -166.0611
1.220000, 34.567, -163.7684
1.241000, 35.474, -160.9228
1.250000, 35.880, -159.8955
1.265000, 36.576, -158.4079
1.280000, 37.290, -157.1702
1.315000, 38.992, -155.0898
1.320000, 39.236, -154.8716
1.340000, 40.208, -154.1665
1.360000, 41.160, -153.7015
1.380000, 42.079, -153.4450
1.400000, 42.951, -153.3713
1.430000, 44.143, -153.5598
1.450000, 44.843, -153.8585
1.475000, 45.615, -154.3713
1.500000, 46.316, -154.9413
1.525000, 46.971, -155.5272
1.550000, 47.588, -156.1288
1.575000, 48.169, -156.7504
1.600000, 48.718, -157.3954
1.625000, 49.239, -158.0669
1.650000, 49.735, -158.7675
1.675000, 50.210, -159.4993
1.700000, 50.667, -160.2644
1.725000, 51.110, -161.0646
1.750000, 51.543, -161.9015
1.775000, 51.969, -162.7766
1.800000, 52.391, -163.6910
1.825000, 52.812, -164.6434
1.850000, 53.226, -165.6216
1.875000, 53.625, -166.6072
1.900000, 54.008, -167.5916
1.925000, 54.375, -168.5714
1.950000, 54.728, -169.5454
1.975000, 55.069, -170.5131
2.000000, 55.397, -171.4745
2.030000, 55.777, -172.6208
2.060000, 56.144, -173.7608
2.090000, 56.501, -174.8969
2.120000, 56.849, -176.0321
2.140000, 57.078, -176.7899
2.180000, 57.529, -178.3128
2.200000, 57.751, -179.0798
2.240000, 58.184, 179.3749
2.270000, 58.495, 178.2115
2.300000, 58.796, 177.0499
2.330000, 59.086, 175.8943
2.360000, 59.368, 174.7475
2.400000, 59.730, 173.2357
2.430000, 59.992, 172.1161
2.470000, 60.333, 170.6430
2.500000, 60.582, 169.5526
2.540000, 60.907, 168.1153
2.580000, 61.224, 166.6882
2.620000, 61.530, 165.2570
2.650000, 61.751, 164.1810
2.690000, 62.036, 162.7497
2.720000, 62.242, 161.6833
2.760000, 62.509, 160.2766
2.800000, 62.767, 158.8919
2.850000, 63.078, 157.1982
2.900000, 63.379, 155.5493
2.950000, 63.671, 153.9362
3.000000, 63.950, 152.3320
3.040000, 64.164, 151.0522
3.070000, 64.319, 150.0978
3.110000, 64.520, 148.8372
3.150000, 64.715, 147.5949
3.200000, 64.950, 146.0744
3.250000, 65.178, 144.5957
3.300000, 65.398, 143.1583
3.350000, 65.611, 141.7444
3.400000, 65.815, 140.3412
3.450000, 66.009, 138.9529
3.500000, 66.197, 137.5867
3.550000, 66.378, 136.2496
3.600000, 66.553, 134.9477
3.650000, 66.724, 133.6842
3.700000, 66.889, 132.4515
3.750000, 67.048, 131.2376
3.820000, 67.261, 129.5667
3.870000, 67.407, 128.3981
3.950000, 67.632, 126.5813
4.000000, 67.768, 125.4836
4.060000, 67.927, 124.2024
4.120000, 68.080, 122.9498
4.180000, 68.228, 121.7217
4.250000, 68.393, 120.3223
4.310000, 68.531, 119.1546
4.370000, 68.666, 118.0186
4.440000, 68.818, 116.7306
4.500000, 68.945, 115.6522
4.550000, 69.048, 114.7700
4.620000, 69.188, 113.5607
4.680000, 69.305, 112.5490
4.750000, 69.439, 111.3982
4.820000, 69.569, 110.2767
4.870000, 69.660, 109.4909
4.940000, 69.784, 108.4115
5.000000, 69.888, 107.5054
5.080000, 70.023, 106.3256
5.150000, 70.139, 105.3192
5.220000, 70.252, 104.3345
5.300000, 70.378, 103.2333
5.380000, 70.501, 102.1575
5.450000, 70.607, 101.2371
5.520000, 70.711, 100.3360
5.600000, 70.827, 99.3279
5.700000, 70.969, 98.0973
5.800000, 71.108, 96.8970
5.900000, 71.245, 95.7251
6.000000, 71.379, 94.5803
6.080000, 71.484, 93.6815
6.150000, 71.575, 92.9054
6.220000, 71.665, 92.1378
6.300000, 71.766, 91.2705
6.400000, 71.891, 90.2007
6.500000, 72.014, 89.1444
6.600000, 72.134, 88.0984
6.700000, 72.251, 87.0603
6.800000, 72.366, 86.0309
6.900000, 72.477, 85.0115
7.000000, 72.585, 84.0015
7.100000, 72.690, 82.9984
7.200000, 72.791, 82.0055
7.300000, 72.888, 81.0281
7.400000, 72.981, 80.0664
7.500000, 73.070, 79.1185
7.620000, 73.173, 78.0054
7.750000, 73.280, 76.8381
7.880000, 73.383, 75.7079
8.000000, 73.474, 74.6973
8.120000, 73.565, 73.7211
8.250000, 73.663, 72.6999
8.380000, 73.760, 71.7056
8.500000, 73.852, 70.8067
8.620000, 73.946, 69.9238
8.750000, 74.048, 68.9702
8.850000, 74.129, 68.2309
9.000000, 74.250, 67.1120
9.120000, 74.347, 66.1990
9.250000, 74.451, 65.1826
9.380000, 74.552, 64.1401
9.500000, 74.640, 63.1582
9.620000, 74.724, 62.1557
9.750000, 74.806, 61.0521
9.880000, 74.874, 59.9468
10.000000, 74.921, 58.9301
10.150000, 74.960, 57.6731
10.300000, 74.980, 56.4604
10.440000, 74.987, 55.3757
10.600000, 74.990, 54.2055
10.750000, 74.986, 53.1910
10.900000, 74.979, 52.2522
11.060000, 74.974, 51.3307
11.200000, 74.973, 50.5870
11.380000, 74.980, 49.6854
11.500000, 74.990, 49.1080
11.720000, 75.022, 48.0614
11.800000, 75.037, 47.6737
12.060000, 75.093, 46.3693
12.200000, 75.124, 45.6257
12.410000, 75.170, 44.4613
12.500000, 75.191, 43.9487
12.650000, 75.226, 43.0808
12.800000, 75.257, 42.2115
13.150000, 75.310, 40.2434
13.200000, 75.316, 39.9751
13.400000, 75.335, 38.9427
13.600000, 75.353, 37.9744
13.800000, 75.374, 37.0643
14.000000, 75.400, 36.1886
14.300000, 75.451, 34.8916
14.500000, 75.490, 34.0053
14.750000, 75.539, 32.8574
15.000000, 75.581, 31.6710
15.250000, 75.612, 30.4762
15.500000, 75.631, 29.3125
15.750000, 75.643, 28.2112
16.000000, 75.655, 27.1882
16.250000, 75.672, 26.2316
16.500000, 75.699, 25.3133
16.750000, 75.733, 24.3962
17.000000, 75.771, 23.4512
17.250000, 75.808, 22.4692
17.500000, 75.837, 21.4599
17.750000, 75.857, 20.4517
18.000000, 75.868, 19.4755
18.250000, 75.871, 18.5565
18.500000, 75.874, 17.7038
18.750000, 75.879, 16.9076
19.000000, 75.891, 16.1459
19.250000, 75.908, 15.3895
19.500000, 75.928, 14.6176
19.750000, 75.949, 13.8213
20.000000, 75.966, 13.0061
