* Measurement data measured by REW V5.31.1
* Source: CUBILUX HLMS-C5 MIC IN, MICROPHONE, R, volume: 1.000
* Format: 4M Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Oct 4, 2024 1:47:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Audio A8000 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 57.266, 101.7670
1.015000, 57.234, 100.1639
1.030000, 57.205, 98.5683
1.044000, 57.180, 97.0881
1.060000, 57.157, 95.4098
1.075000, 57.138, 93.8515
1.090000, 57.124, 92.3088
1.106000, 57.113, 90.6754
1.120000, 57.106, 89.2456
1.138000, 57.101, 87.3976
1.150000, 57.098, 86.1583
1.172000, 57.098, 83.8708
1.180000, 57.099, 83.0341
1.206000, 57.108, 80.2972
1.220000, 57.115, 78.8133
1.241000, 57.130, 76.5759
1.250000, 57.138, 75.6133
1.265000, 57.153, 74.0055
1.280000, 57.171, 72.3943
1.315000, 57.221, 68.6318
1.320000, 57.230, 68.0951
1.340000, 57.266, 65.9531
1.360000, 57.307, 63.8234
1.380000, 57.353, 61.7117
1.400000, 57.403, 59.6241
1.430000, 57.488, 56.5510
1.450000, 57.551, 54.5493
1.475000, 57.637, 52.1028
1.500000, 57.734, 49.7065
1.525000, 57.842, 47.3546
1.550000, 57.960, 45.0483
1.575000, 58.087, 42.7893
1.600000, 58.221, 40.5786
1.625000, 58.362, 38.4173
1.650000, 58.509, 36.3057
1.675000, 58.660, 34.2439
1.700000, 58.814, 32.2316
1.725000, 58.971, 30.2684
1.750000, 59.129, 28.3535
1.775000, 59.287, 26.4860
1.800000, 59.444, 24.6646
1.825000, 59.600, 22.8874
1.850000, 59.756, 21.1506
1.875000, 59.915, 19.4499
1.900000, 60.077, 17.7842
1.925000, 60.243, 16.1539
1.950000, 60.411, 14.5593
1.975000, 60.581, 13.0007
2.000000, 60.752, 11.4783
2.030000, 60.959, 9.6993
2.060000, 61.166, 7.9724
2.090000, 61.373, 6.2974
2.120000, 61.577, 4.6739
2.140000, 61.712, 3.6199
2.180000, 61.977, 1.5784
2.200000, 62.108, 0.5892
2.240000, 62.366, -1.3349
2.270000, 62.558, -2.7355
2.300000, 62.750, -4.1011
2.330000, 62.940, -5.4328
2.360000, 63.129, -6.7315
2.400000, 63.379, -8.4137
2.430000, 63.564, -9.6396
2.470000, 63.808, -11.2288
2.500000, 63.988, -12.3882
2.540000, 64.223, -13.8932
2.580000, 64.455, -15.3558
2.620000, 64.682, -16.7820
2.650000, 64.849, -17.8294
2.690000, 65.070, -19.1969
2.720000, 65.233, -20.2011
2.760000, 65.446, -21.5122
2.800000, 65.656, -22.7925
2.850000, 65.912, -24.3516
2.900000, 66.162, -25.8681
2.950000, 66.405, -27.3495
3.000000, 66.642, -28.8076
3.040000, 66.826, -29.9581
3.070000, 66.962, -30.8099
3.110000, 67.140, -31.9286
3.150000, 67.313, -33.0256
3.200000, 67.525, -34.3633
3.250000, 67.731, -35.6611
3.300000, 67.931, -36.9202
3.350000, 68.124, -38.1522
3.400000, 68.312, -39.3652
3.450000, 68.493, -40.5571
3.500000, 68.669, -41.7234
3.550000, 68.840, -42.8600
3.600000, 69.007, -43.9633
3.650000, 69.169, -45.0317
3.700000, 69.326, -46.0711
3.750000, 69.479, -47.0902
3.820000, 69.684, -48.4844
3.870000, 69.825, -49.4528
3.950000, 70.045, -50.9457
4.000000, 70.180, -51.8386
4.060000, 70.339, -52.8687
4.120000, 70.493, -53.8608
4.180000, 70.642, -54.8208
4.250000, 70.813, -55.9042
4.310000, 70.957, -56.8036
4.370000, 71.101, -57.6770
4.440000, 71.268, -58.6607
4.500000, 71.409, -59.4730
4.550000, 71.526, -60.1318
4.620000, 71.688, -61.0350
4.680000, 71.827, -61.7983
4.750000, 71.989, -62.6827
4.820000, 72.151, -63.5570
4.870000, 72.267, -64.1721
4.940000, 72.429, -65.0245
5.000000, 72.567, -65.7541
5.080000, 72.749, -66.7368
5.150000, 72.906, -67.6119
5.220000, 73.062, -68.4978
5.300000, 73.239, -69.5191
5.380000, 73.411, -70.5509
5.450000, 73.558, -71.4654
5.520000, 73.699, -72.3951
5.600000, 73.856, -73.4795
5.700000, 74.043, -74.8557
5.800000, 74.219, -76.2342
5.900000, 74.382, -77.6092
6.000000, 74.531, -78.9963
6.080000, 74.641, -80.1037
6.150000, 74.731, -81.0556
6.220000, 74.814, -81.9837
6.300000, 74.902, -83.0218
6.400000, 74.999, -84.2950
