* Measurement data measured by REW V5.31.1
* Source: CUBILUX HLMS-C5 MIC IN, MICROPHONE, R, volume: 1.000
* Format: 4M Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Sep 13, 2024 11:43:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Castor Bass UUUU R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 59.109, 82.2766
1.015000, 59.190, 80.5433
1.030000, 59.274, 78.8376
1.044000, 59.355, 77.2707
1.060000, 59.451, 75.5099
1.075000, 59.543, 73.8879
1.090000, 59.638, 72.2924
1.106000, 59.743, 70.6154
1.120000, 59.839, 69.1621
1.138000, 59.968, 67.3096
1.150000, 60.059, 66.0850
1.172000, 60.231, 63.8637
1.180000, 60.296, 63.0643
1.206000, 60.514, 60.4994
1.220000, 60.635, 59.1409
1.241000, 60.822, 57.1353
1.250000, 60.903, 56.2880
1.265000, 61.040, 54.8931
1.280000, 61.179, 53.5204
1.315000, 61.509, 50.4077
1.320000, 61.557, 49.9736
1.340000, 61.747, 48.2650
1.360000, 61.938, 46.6011
1.380000, 62.129, 44.9825
1.400000, 62.318, 43.4099
1.430000, 62.597, 41.1377
1.450000, 62.779, 39.6805
1.475000, 63.004, 37.9198
1.500000, 63.228, 36.2165
1.525000, 63.455, 34.5649
1.550000, 63.683, 32.9629
1.575000, 63.911, 31.4089
1.600000, 64.141, 29.9009
1.625000, 64.370, 28.4370
1.650000, 64.599, 27.0151
1.675000, 64.827, 25.6330
1.700000, 65.053, 24.2886
1.725000, 65.277, 22.9799
1.750000, 65.498, 21.7046
1.775000, 65.716, 20.4607
1.800000, 65.931, 19.2461
1.825000, 66.141, 18.0583
1.850000, 66.348, 16.8937
1.875000, 66.552, 15.7491
1.900000, 66.753, 14.6241
1.925000, 66.952, 13.5196
1.950000, 67.149, 12.4365
1.975000, 67.343, 11.3752
2.000000, 67.536, 10.3364
2.030000, 67.763, 9.1200
2.060000, 67.987, 7.9368
2.090000, 68.208, 6.7871
2.120000, 68.426, 5.6709
2.140000, 68.570, 4.9453
2.180000, 68.853, 3.5377
2.200000, 68.992, 2.8542
2.240000, 69.265, 1.5191
2.270000, 69.466, 0.5418
2.300000, 69.664, -0.4156
2.330000, 69.858, -1.3528
2.360000, 70.049, -2.2697
2.400000, 70.299, -3.4603
2.430000, 70.483, -4.3294
2.470000, 70.725, -5.4560
2.500000, 70.904, -6.2770
2.540000, 71.140, -7.3399
2.580000, 71.372, -8.3686
2.620000, 71.600, -9.3681
2.650000, 71.767, -10.1006
2.690000, 71.986, -11.0558
2.720000, 72.148, -11.7566
2.760000, 72.360, -12.6710
2.800000, 72.569, -13.5635
2.850000, 72.826, -14.6493
2.900000, 73.080, -15.7034
2.950000, 73.329, -16.7272
3.000000, 73.574, -17.7223
3.040000, 73.766, -18.4993
3.070000, 73.909, -19.0717
3.110000, 74.096, -19.8223
3.150000, 74.281, -20.5593
3.200000, 74.509, -21.4630
3.250000, 74.734, -22.3488
3.300000, 74.957, -23.2174
3.350000, 75.176, -24.0673
3.400000, 75.393, -24.8985
3.450000, 75.606, -25.7137
3.500000, 75.815, -26.5160
3.550000, 76.022, -27.3087
3.600000, 76.226, -28.0944
3.650000, 76.428, -28.8753
3.700000, 76.627, -29.6509
3.750000, 76.823, -30.4191
3.820000, 77.093, -31.4822
3.870000, 77.282, -32.2341
3.950000, 77.579, -33.4278
4.000000, 77.761, -34.1700
4.060000, 77.976, -35.0581
4.120000, 78.186, -35.9432
4.180000, 78.392, -36.8239
4.250000, 78.627, -37.8447
4.310000, 78.824, -38.7133
4.370000, 79.017, -39.5765
4.440000, 79.235, -40.5796
4.500000, 79.418, -41.4386
4.550000, 79.567, -42.1521
4.620000, 79.770, -43.1437
4.680000, 79.939, -43.9835
4.750000, 80.131, -44.9491
4.820000, 80.318, -45.9039
4.870000, 80.447, -46.5821
4.940000, 80.623, -47.5239
5.000000, 80.769, -48.3198
5.080000, 80.959, -49.3586
5.150000, 81.120, -50.2452
5.220000, 81.275, -51.1165
5.300000, 81.447, -52.0958
5.380000, 81.613, -53.0520
5.450000, 81.754, -53.8653
5.520000, 81.892, -54.6556
5.600000, 82.045, -55.5350
5.700000, 82.230, -56.6022
5.800000, 82.410, -57.6313
5.900000, 82.586, -58.6199
6.000000, 82.757, -59.5712
6.080000, 82.892, -60.3090
6.150000, 83.007, -60.9394
6.220000, 83.122, -61.5565
6.300000, 83.252, -62.2456
6.400000, 83.412, -63.0842
6.500000, 83.570, -63.9025
6.600000, 83.726, -64.7056
6.700000, 83.880, -65.4944
6.800000, 84.032, -66.2695
6.900000, 84.182, -67.0339
7.000000, 84.329, -67.7903
7.100000, 84.474, -68.5394
7.200000, 84.616, -69.2802
7.300000, 84.755, -70.0121
7.400000, 84.891, -70.7360
7.500000, 85.024, -71.4523
7.620000, 85.180, -72.2992
7.750000, 85.344, -73.1982
7.880000, 85.503, -74.0795
8.000000, 85.647, -74.8762
8.120000, 85.787, -75.6550
8.250000, 85.935, -76.4801
8.380000, 86.080, -77.2880
8.500000, 86.212, -78.0193
8.620000, 86.342, -78.7379
8.750000, 86.480, -79.5053
8.850000, 86.584, -80.0894
9.000000, 86.738, -80.9565
9.120000, 86.859, -81.6436
9.250000, 86.987, -82.3831
9.380000, 87.111, -83.1175
9.500000, 87.223, -83.7891
9.620000, 87.333, -84.4545
9.750000, 87.447, -85.1676
9.880000, 87.552, -85.8692
10.000000, 87.639, -86.5052
10.150000, 87.735, -87.2842
10.300000, 87.823, -88.0424
10.440000, 87.900, -88.7309
10.600000, 87.983, -89.4975
10.750000, 88.059, -90.1976
10.900000, 88.135, -90.8831
11.060000, 88.215, -91.6040
11.200000, 88.285, -92.2281
11.380000, 88.373, -93.0268
11.500000, 88.430, -93.5591
11.720000, 88.532, -94.5337
11.800000, 88.567, -94.8878
12.060000, 88.677, -96.0311
12.200000, 88.732, -96.6366
12.410000, 88.813, -97.5246
12.500000, 88.849, -97.8948
12.650000, 88.913, -98.4967
12.800000, 88.978, -99.0788
13.150000, 89.134, -100.3619
13.200000, 89.156, -100.5385
13.400000, 89.248, -101.2336
13.600000, 89.343, -101.9234
13.800000, 89.440, -102.6205
14.000000, 89.539, -103.3377
14.300000, 89.685, -104.4636
14.500000, 89.778, -105.2486
14.750000, 89.886, -106.2559
15.000000, 89.984, -107.2729
15.250000, 90.070, -108.2730
15.500000, 90.146, -109.2336
15.750000, 90.216, -110.1394
16.000000, 90.284, -110.9843
16.250000, 90.355, -111.7735
16.500000, 90.430, -112.5189
16.750000, 90.508, -113.2367
17.000000, 90.589, -113.9431
17.250000, 90.673, -114.6504
17.500000, 90.758, -115.3664
17.750000, 90.841, -116.0931
18.000000, 90.922, -116.8280
18.250000, 90.999, -117.5658
18.500000, 91.073, -118.2995
18.750000, 91.142, -119.0229
19.000000, 91.208, -119.7310
19.250000, 91.272, -120.4214
19.500000, 91.333, -121.0943
19.750000, 91.394, -121.7522
20.000000, 91.453, -122.3987
20.299999, 91.524, -123.1643
20.600000, 91.592, -123.9217
20.900000, 91.657, -124.6696
21.200001, 91.718, -125.4023
21.400000, 91.757, -125.8785
21.799999, 91.832, -126.7952
22.000000, 91.869, -127.2357
