* Measurement data measured by REW V5.31.1
* Source: CUBILUX HLMS-C5 MIC IN, MICROPHONE, R, volume: 1.000
* Format: 4M Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Sep 13, 2024 10:39:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Castor DDDD R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 53.093, -148.8055
1.015000, 53.363, -147.6080
1.030000, 53.633, -146.5727
1.044000, 53.885, -145.7499
1.060000, 54.171, -144.9745
1.075000, 54.436, -144.4012
1.090000, 54.698, -143.9663
1.106000, 54.977, -143.6237
1.120000, 55.228, -143.3815
1.138000, 55.563, -143.1195
1.150000, 55.794, -142.9740
1.172000, 56.233, -142.7690
1.180000, 56.397, -142.7145
1.206000, 56.941, -142.6113
1.220000, 57.241, -142.6022
1.241000, 57.698, -142.6483
1.250000, 57.895, -142.6897
1.265000, 58.226, -142.7869
1.280000, 58.557, -142.9188
1.315000, 59.330, -143.3574
1.320000, 59.439, -143.4347
1.340000, 59.874, -143.7795
1.360000, 60.302, -144.1805
1.380000, 60.721, -144.6367
1.400000, 61.127, -145.1475
1.430000, 61.709, -146.0147
1.450000, 62.075, -146.6589
1.475000, 62.508, -147.5250
1.500000, 62.922, -148.4231
1.525000, 63.320, -149.3339
1.550000, 63.705, -150.2537
1.575000, 64.078, -151.1816
1.600000, 64.438, -152.1176
1.625000, 64.787, -153.0621
1.650000, 65.127, -154.0159
1.675000, 65.457, -154.9803
1.700000, 65.779, -155.9567
1.725000, 66.094, -156.9471
1.750000, 66.403, -157.9533
1.775000, 66.706, -158.9776
1.800000, 67.004, -160.0221
1.825000, 67.299, -161.0890
1.850000, 67.587, -162.1781
1.875000, 67.868, -163.2849
1.900000, 68.141, -164.4030
1.925000, 68.405, -165.5263
1.950000, 68.662, -166.6503
1.975000, 68.912, -167.7713
2.000000, 69.156, -168.8866
2.030000, 69.440, -170.2145
2.060000, 69.716, -171.5292
2.090000, 69.986, -172.8298
2.120000, 70.249, -174.1165
2.140000, 70.421, -174.9670
2.180000, 70.759, -176.6540
2.200000, 70.925, -177.4946
2.240000, 71.247, -179.1870
2.270000, 71.480, 179.5313
2.300000, 71.705, 178.2456
2.330000, 71.924, 176.9623
2.360000, 72.136, 175.6870
2.400000, 72.409, 174.0070
2.430000, 72.608, 172.7668
2.470000, 72.865, 171.1450
2.500000, 73.053, 169.9548
2.540000, 73.298, 168.4033
2.580000, 73.535, 166.8810
2.620000, 73.763, 165.3601
2.650000, 73.928, 164.2163
2.690000, 74.140, 162.6942
2.720000, 74.294, 161.5606
2.760000, 74.492, 160.0679
2.800000, 74.683, 158.6047
2.850000, 74.913, 156.8286
2.900000, 75.136, 155.1214
2.950000, 75.351, 153.4763
3.000000, 75.555, 151.8574
3.040000, 75.711, 150.5733
3.070000, 75.825, 149.6194
3.110000, 75.971, 148.3648
3.150000, 76.112, 147.1351
3.200000, 76.283, 145.6417
3.250000, 76.449, 144.2060
3.300000, 76.610, 142.8315
3.350000, 76.766, 141.5026
3.400000, 76.915, 140.2037
3.450000, 77.059, 138.9343
3.500000, 77.197, 137.6977
3.550000, 77.332, 136.4984
3.600000, 77.464, 135.3408
3.650000, 77.595, 134.2287
3.700000, 77.725, 133.1604
3.750000, 77.851, 132.1289
3.820000, 78.022, 130.7374
3.870000, 78.143, 129.7771
3.950000, 78.333, 128.2937
4.000000, 78.451, 127.3982
4.060000, 78.594, 126.3568
4.120000, 78.736, 125.3536
4.180000, 78.877, 124.3835
4.250000, 79.040, 123.2835
4.310000, 79.180, 122.3593
4.370000, 79.319, 121.4462
4.440000, 79.482, 120.3954
4.500000, 79.622, 119.5120
4.550000, 79.739, 118.7868
4.620000, 79.901, 117.7826
4.680000, 80.039, 116.9263
4.750000, 80.198, 115.9261
4.820000, 80.355, 114.9238
4.870000, 80.466, 114.2086
4.940000, 80.621, 113.2097
5.000000, 80.751, 112.3556
5.080000, 80.920, 111.2183
5.150000, 81.064, 110.2218
5.220000, 81.205, 109.2207
5.300000, 81.361, 108.0741
5.380000, 81.512, 106.9325
5.450000, 81.639, 105.9425
5.520000, 81.762, 104.9605
5.600000, 81.896, 103.8411
5.700000, 82.056, 102.4499
5.800000, 82.207, 101.0845
5.900000, 82.350, 99.7542
6.000000, 82.484, 98.4482
6.080000, 82.585, 97.4223
6.150000, 82.670, 96.5443
6.220000, 82.753, 95.6882
6.300000, 82.843, 94.7350
6.400000, 82.951, 93.5747
6.500000, 83.053, 92.4505
6.600000, 83.153, 91.3667
6.700000, 83.250, 90.3232
6.800000, 83.343, 89.3144
6.900000, 83.435, 88.3355
7.000000, 83.527, 87.3850
7.100000, 83.617, 86.4627
7.200000, 83.707, 85.5625
7.300000, 83.797, 84.6759
7.400000, 83.887, 83.8003
7.500000, 83.977, 82.9359
7.620000, 84.084, 81.9050
7.750000, 84.198, 80.7848
7.880000, 84.311, 79.6602
8.000000, 84.412, 78.6177
8.120000, 84.509, 77.5667
8.250000, 84.609, 76.4179
8.380000, 84.703, 75.2695
