* Measurement data measured by REW V5.31.1
* Source: CUBILUX HLMS-C5 MIC IN, MICROPHONE, R, volume: 1.000
* Format: 4M Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Sep 13, 2024 10:28:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Krila UUUU L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 63.499, 72.8960
1.015000, 63.648, 71.0873
1.030000, 63.799, 69.3135
1.044000, 63.941, 67.6881
1.060000, 64.105, 65.8647
1.075000, 64.259, 64.1865
1.090000, 64.415, 62.5363
1.106000, 64.582, 60.8048
1.120000, 64.733, 59.3133
1.138000, 64.933, 57.4291
1.150000, 65.071, 56.1948
1.172000, 65.330, 53.9789
1.180000, 65.426, 53.1886
1.206000, 65.747, 50.6779
1.220000, 65.924, 49.3628
1.241000, 66.193, 47.4387
1.250000, 66.309, 46.6318
1.265000, 66.505, 45.3102
1.280000, 66.701, 44.0174
1.315000, 67.163, 41.1097
1.320000, 67.229, 40.7064
1.340000, 67.493, 39.1224
1.360000, 67.755, 37.5835
1.380000, 68.015, 36.0879
1.400000, 68.271, 34.6336
1.430000, 68.647, 32.5247
1.450000, 68.890, 31.1643
1.475000, 69.186, 29.5130
1.500000, 69.479, 27.9172
1.525000, 69.769, 26.3758
1.550000, 70.058, 24.8853
1.575000, 70.344, 23.4420
1.600000, 70.628, 22.0418
1.625000, 70.909, 20.6809
1.650000, 71.188, 19.3553
1.675000, 71.463, 18.0612
1.700000, 71.735, 16.7948
1.725000, 72.004, 15.5525
1.750000, 72.268, 14.3309
1.775000, 72.529, 13.1267
1.800000, 72.785, 11.9369
1.825000, 73.036, 10.7590
1.850000, 73.283, 9.5926
1.875000, 73.526, 8.4400
1.900000, 73.765, 7.3032
1.925000, 74.000, 6.1831
