* Measurement data measured by REW V5.31.1
* Source: CUBILUX HLMS-C5 MIC IN, MICROPHONE, R, volume: 1.000
* Format: 4M Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Sep 13, 2024 11:59:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tangzu Fudu Verse 1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 57.292, 84.1659
1.015000, 57.521, 82.4002
1.030000, 57.750, 80.6590
1.044000, 57.963, 79.0535
1.060000, 58.205, 77.2388
1.075000, 58.430, 75.5544
1.090000, 58.654, 73.8843
1.106000, 58.892, 72.1221
1.120000, 59.102, 70.6057
1.138000, 59.378, 68.7010
1.150000, 59.565, 67.4611
1.172000, 59.913, 65.2522
1.180000, 60.042, 64.4698
1.206000, 60.464, 62.0027
1.220000, 60.694, 60.7213
1.241000, 61.041, 58.8587
1.250000, 61.191, 58.0814
1.265000, 61.440, 56.8126
1.280000, 61.690, 55.5757
1.315000, 62.272, 52.8035
1.320000, 62.355, 52.4195
1.340000, 62.684, 50.9105
1.360000, 63.010, 49.4418
1.380000, 63.332, 48.0088
1.400000, 63.648, 46.6072
1.430000, 64.111, 44.5551
1.450000, 64.409, 43.2151
1.475000, 64.772, 41.5716
1.500000, 65.128, 39.9735
1.525000, 65.477, 38.4259
1.550000, 65.821, 36.9268
1.575000, 66.160, 35.4726
1.600000, 66.494, 34.0596
1.625000, 66.822, 32.6838
1.650000, 67.145, 31.3408
1.675000, 67.463, 30.0265
1.700000, 67.775, 28.7368
1.725000, 68.082, 27.4676
1.750000, 68.384, 26.2149
1.775000, 68.681, 24.9750
1.800000, 68.973, 23.7443
1.825000, 69.259, 22.5196
1.850000, 69.540, 21.3004
1.875000, 69.815, 20.0896
1.900000, 70.084, 18.8908
1.925000, 70.347, 17.7064
1.950000, 70.604, 16.5386
1.975000, 70.857, 15.3884
2.000000, 71.104, 14.2567
2.030000, 71.395, 12.9234
2.060000, 71.679, 11.6169
2.090000, 71.958, 10.3363
2.120000, 72.231, 9.0802
2.140000, 72.410, 8.2556
2.180000, 72.762, 6.6334
2.200000, 72.935, 5.8331
2.240000, 73.272, 4.2441
2.270000, 73.517, 3.0610
2.300000, 73.756, 1.8883
2.330000, 73.989, 0.7289
2.360000, 74.217, -0.4148
2.400000, 74.512, -1.9122
2.430000, 74.728, -3.0129
2.470000, 75.010, -4.4491
2.500000, 75.216, -5.5022
2.540000, 75.486, -6.8752
