* Measurement data measured by REW V5.31.1
* Source: CUBILUX HLMS-C5 MIC IN, MICROPHONE, R, volume: 1.000
* Format: 4M Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Sep 13, 2024 2:44:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Thieaudio Oracle MK3 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 58.925, -141.2031
1.015000, 59.162, -142.1112
1.030000, 59.397, -143.0218
1.044000, 59.614, -143.8757
1.060000, 59.861, -144.8584
1.075000, 60.090, -145.7878
1.090000, 60.317, -146.7261
1.106000, 60.557, -147.7333
1.120000, 60.765, -148.6118
1.138000, 61.029, -149.7302
1.150000, 61.203, -150.4679
1.172000, 61.518, -151.8028
1.180000, 61.632, -152.2825
1.206000, 61.996, -153.8203
1.220000, 62.189, -154.6352
1.241000, 62.476, -155.8407
1.250000, 62.597, -156.3514
1.265000, 62.798, -157.1951
1.280000, 62.997, -158.0298
1.315000, 63.453, -159.9458
1.320000, 63.518, -160.2162
1.340000, 63.773, -161.2909
1.360000, 64.025, -162.3554
1.380000, 64.274, -163.4115
1.400000, 64.520, -164.4609
1.430000, 64.884, -166.0264
1.450000, 65.123, -167.0666
1.475000, 65.418, -168.3620
1.500000, 65.708, -169.6436
1.525000, 65.992, -170.9064
1.550000, 66.271, -172.1503
1.575000, 66.544, -173.3763
1.600000, 66.813, -174.5858
1.625000, 67.076, -175.7808
1.650000, 67.335, -176.9634
1.675000, 67.590, -178.1359
1.700000, 67.840, -179.3010
1.725000, 68.086, 179.5387
1.750000, 68.328, 178.3805
1.775000, 68.566, 177.2214
1.800000, 68.801, 176.0587
1.825000, 69.032, 174.8894
1.850000, 69.259, 173.7117
1.875000, 69.482, 172.5270
1.900000, 69.700, 171.3392
1.925000, 69.914, 170.1523
1.950000, 70.123, 168.9698
1.975000, 70.329, 167.7942
2.000000, 70.531, 166.6274
2.030000, 70.768, 165.2408
2.060000, 70.999, 163.8706
2.090000, 71.226, 162.5172
2.120000, 71.448, 161.1803
2.140000, 71.593, 160.2977
2.180000, 71.878, 158.5505
2.200000, 72.018, 157.6824
2.240000, 72.291, 155.9409
2.270000, 72.489, 154.6274
2.300000, 72.682, 153.3127
2.330000, 72.870, 152.0019
2.360000, 73.053, 150.6993
2.400000, 73.290, 148.9818
2.430000, 73.463, 147.7117
2.470000, 73.687, 146.0463
2.500000, 73.851, 144.8200
2.540000, 74.064, 143.2153
2.580000, 74.269, 141.6342
2.620000, 74.468, 140.0517
2.650000, 74.611, 138.8601
2.690000, 74.796, 137.2721
2.720000, 74.930, 136.0871
2.760000, 75.103, 134.5224
2.800000, 75.269, 132.9827
2.850000, 75.469, 131.1035
2.900000, 75.660, 129.2832
2.950000, 75.843, 127.5127
3.000000, 76.016, 125.7535
3.040000, 76.148, 124.3474
3.070000, 76.242, 123.2977
3.110000, 76.364, 121.9109
3.150000, 76.480, 120.5453
