* Measurement data measured by REW V5.31.1
* Source: CUBILUX HLMS-C5 MIC IN, MICROPHONE, R, volume: 1.000
* Format: 4M Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Sep 16, 2024 1:36:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Thieaudio Prestige LTD R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 55.070, -103.9137
1.015000, 55.243, -105.9075
1.030000, 55.417, -107.8697
1.044000, 55.582, -109.6749
1.060000, 55.771, -111.7100
1.075000, 55.950, -113.5939
1.090000, 56.129, -115.4576
1.106000, 56.323, -117.4250
1.120000, 56.497, -119.1267
1.138000, 56.729, -121.2813
1.150000, 56.888, -122.6938
1.172000, 57.189, -125.2280
1.180000, 57.301, -126.1306
1.206000, 57.673, -128.9912
1.220000, 57.878, -130.4842
1.241000, 58.189, -132.6611
1.250000, 58.324, -133.5712
1.265000, 58.550, -135.0582
1.280000, 58.778, -136.5087
1.315000, 59.311, -139.7582
1.320000, 59.387, -140.2077
1.340000, 59.690, -141.9717
1.360000, 59.990, -143.6840
1.380000, 60.287, -145.3489
1.400000, 60.578, -146.9707
1.430000, 61.003, -149.3322
1.450000, 61.276, -150.8652
1.475000, 61.607, -152.7410
1.500000, 61.931, -154.5717
1.525000, 62.252, -156.3548
1.550000, 62.568, -158.0895
1.575000, 62.881, -159.7764
1.600000, 63.190, -161.4170
1.625000, 63.494, -163.0141
1.650000, 63.794, -164.5707
1.675000, 64.088, -166.0904
1.700000, 64.378, -167.5772
1.725000, 64.663, -169.0352
1.750000, 64.943, -170.4688
1.775000, 65.217, -171.8821
1.800000, 65.485, -173.2798
1.825000, 65.747, -174.6667
1.850000, 66.003, -176.0495
1.875000, 66.253, -177.4309
1.900000, 66.497, -178.8075
1.925000, 66.736, 179.8257
1.950000, 66.969, 178.4730
1.975000, 67.197, 177.1378
2.000000, 67.420, 175.8224
2.030000, 67.681, 174.2727
2.060000, 67.936, 172.7562
2.090000, 68.184, 171.2733
2.120000, 68.426, 169.8240
2.140000, 68.584, 168.8758
2.180000, 68.894, 167.0188
2.200000, 69.044, 166.1050
2.240000, 69.338, 164.2828
2.270000, 69.550, 162.9146
2.300000, 69.755, 161.5502
2.330000, 69.954, 160.1956
2.360000, 70.147, 158.8560
2.400000, 70.395, 157.1007
2.430000, 70.575, 155.8123
2.470000, 70.807, 154.1367
2.500000, 70.976, 152.9144
2.540000, 71.195, 151.3315
2.580000, 71.407, 149.7896
2.620000, 71.609, 148.2574
2.650000, 71.754, 147.1087
2.690000, 71.940, 145.5840
2.720000, 72.073, 144.4514
2.760000, 72.245, 142.9637
2.800000, 72.409, 141.5098
2.850000, 72.606, 139.7523
2.900000, 72.794, 138.0724
2.950000, 72.973, 136.4634
3.000000, 73.141, 134.8857
3.040000, 73.268, 133.6365
3.070000, 73.359, 132.7101
3.110000, 73.474, 131.4940
3.150000, 73.585, 130.3055
3.200000, 73.718, 128.8687
3.250000, 73.845, 127.4973
3.300000, 73.968, 126.1965
3.350000, 74.085, 124.9509
3.400000, 74.195, 123.7428
3.450000, 74.298, 122.5699
3.500000, 74.396, 121.4348
3.550000, 74.490, 120.3409
3.600000, 74.584, 119.2927
3.650000, 74.676, 118.2944
3.700000, 74.767, 117.3467
3.750000, 74.856, 116.4445
3.820000, 74.976, 115.2454
3.870000, 75.060, 114.4271
3.950000, 75.194, 113.1720
4.000000, 75.280, 112.4171
4.060000, 75.385, 111.5441
4.120000, 75.492, 110.7151
4.180000, 75.600, 109.9239
4.250000, 75.728, 109.0298
4.310000, 75.839, 108.2725
4.370000, 75.951, 107.5119
4.440000, 76.085, 106.6215
4.500000, 76.202, 105.8670
4.550000, 76.301, 105.2432
4.620000, 76.441, 104.3681
4.680000, 76.560, 103.6068
4.750000, 76.697, 102.6948
4.820000, 76.833, 101.7553
4.870000, 76.930, 101.0719
4.940000, 77.065, 100.1017
5.000000, 77.177, 99.2591
5.080000, 77.323, 98.1198
5.150000, 77.443, 97.1040
5.220000, 77.559, 96.0640
5.300000, 77.685, 94.8524
5.380000, 77.804, 93.6336
5.450000, 77.901, 92.5734
5.520000, 77.991, 91.5197
5.600000, 78.086, 90.3102
5.700000, 78.192, 88.7974
5.800000, 78.286, 87.3186
5.900000, 78.369, 85.8967
6.000000, 78.440, 84.5145
6.080000, 78.489, 83.4380
6.150000, 78.529, 82.5274
6.220000, 78.565, 81.6536
6.300000, 78.604, 80.6998
6.400000, 78.647, 79.5646
6.500000, 78.687, 78.4877
6.600000, 78.727, 77.4709
6.700000, 78.769, 76.5184
6.800000, 78.811, 75.6214
6.900000, 78.856, 74.7611
7.000000, 78.906, 73.9278
7.100000, 78.959, 73.1252
7.200000, 79.016, 72.3435
7.300000, 79.076, 71.5639
7.400000, 79.139, 70.7787
7.500000, 79.205, 69.9914
7.620000, 79.284, 69.0387
7.750000, 79.368, 67.9843
7.880000, 79.451, 66.9064
