* Measurement data measured by REW V5.31.1
* Source: CUBILUX HLMS-C5 MIC IN, MICROPHONE, R, volume: 1.000
* Format: 4M Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Sep 16, 2024 12:12:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ultimate Ears UE 250 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 62.173, 14.2508
1.015000, 62.401, 12.7780
1.030000, 62.625, 11.3438
1.044000, 62.831, 10.0362
1.060000, 63.060, 8.5739
1.075000, 63.268, 7.2299
1.090000, 63.469, 5.9069
1.106000, 63.678, 4.5102
1.120000, 63.857, 3.2913
1.138000, 64.085, 1.7256
1.150000, 64.235, 0.6845
1.172000, 64.508, -1.2130
1.180000, 64.606, -1.8980
1.206000, 64.921, -4.1006
1.220000, 65.088, -5.2688
1.241000, 65.336, -6.9934
1.250000, 65.441, -7.7215
1.265000, 65.614, -8.9192
1.280000, 65.786, -10.0963
1.315000, 66.178, -12.7573
1.320000, 66.233, -13.1273
1.340000, 66.451, -14.5812
1.360000, 66.666, -15.9928
1.380000, 66.877, -17.3618
1.400000, 67.084, -18.6880
1.430000, 67.388, -20.5980
1.450000, 67.585, -21.8201
1.475000, 67.827, -23.3005
1.500000, 68.061, -24.7519
1.525000, 68.289, -26.1841
1.550000, 68.510, -27.5964
1.575000, 68.725, -28.9870
1.600000, 68.934, -30.3545
1.625000, 69.138, -31.6979
1.650000, 69.336, -33.0165
1.675000, 69.529, -34.3099
1.700000, 69.718, -35.5781
1.725000, 69.903, -36.8211
1.750000, 70.084, -38.0391
1.775000, 70.261, -39.2329
1.800000, 70.435, -40.4032
1.825000, 70.606, -41.5530
1.850000, 70.773, -42.6919
1.875000, 70.935, -43.8308
1.900000, 71.092, -44.9708
1.925000, 71.245, -46.1087
1.950000, 71.394, -47.2411
1.975000, 71.538, -48.3646
2.000000, 71.678, -49.4763
2.030000, 71.842, -50.7910
2.060000, 72.001, -52.0805
2.090000, 72.155, -53.3413
2.120000, 72.306, -54.5700
2.140000, 72.405, -55.3701
2.180000, 72.597, -56.9227
2.200000, 72.691, -57.6780
2.240000, 72.874, -59.1691
2.270000, 73.005, -60.2805
2.300000, 73.131, -61.3849
2.330000, 73.253, -62.4795
2.360000, 73.371, -63.5614
2.400000, 73.523, -64.9791
2.430000, 73.633, -66.0201
2.470000, 73.775, -67.3735
2.500000, 73.878, -68.3595
2.540000, 74.013, -69.6320
2.580000, 74.144, -70.8606
2.620000, 74.269, -72.0636
2.650000, 74.359, -72.9547
2.690000, 74.475, -74.1275
2.720000, 74.558, -74.9940
2.760000, 74.665, -76.1298
2.800000, 74.769, -77.2404
2.850000, 74.893, -78.5881
2.900000, 75.014, -79.8857
2.950000, 75.132, -81.1339
3.000000, 75.244, -82.3470
3.040000, 75.330, -83.2975
3.070000, 75.392, -83.9989
3.110000, 75.473, -84.9178
3.150000, 75.551, -85.8172
3.200000, 75.646, -86.9123
3.250000, 75.738, -87.9724
3.300000, 75.830, -88.9960
3.350000, 75.918, -89.9861
3.400000, 76.004, -90.9480
3.450000, 76.087, -91.8846
3.500000, 76.168, -92.7982
3.550000, 76.247, -93.6905
3.600000, 76.324, -94.5628
3.650000, 76.401, -95.4159
3.700000, 76.476, -96.2504
3.750000, 76.550, -97.0664
3.820000, 76.651, -98.1806
3.870000, 76.722, -98.9581
3.950000, 76.832, -100.1744
4.000000, 76.899, -100.9191
4.060000, 76.979, -101.7984
4.120000, 77.056, -102.6623
4.180000, 77.133, -103.5115
4.250000, 77.219, -104.4847
4.310000, 77.291, -105.3047
4.370000, 77.361, -106.1128
4.440000, 77.440, -107.0429
4.500000, 77.505, -107.8312
4.550000, 77.558, -108.4811
4.620000, 77.630, -109.3786
4.680000, 77.689, -110.1344
4.750000, 77.755, -110.9993
4.820000, 77.818, -111.8484
4.870000, 77.861, -112.4474
4.940000, 77.919, -113.2744
5.000000, 77.967, -113.9704
5.080000, 78.027, -114.8758
5.150000, 78.077, -115.6457
5.220000, 78.125, -116.3977
5.300000, 78.176, -117.2370
5.380000, 78.225, -118.0533
5.450000, 78.266, -118.7465
5.520000, 78.306, -119.4190
5.600000, 78.350, -120.1638
5.700000, 78.402, -121.0624
5.800000, 78.452, -121.9275
5.900000, 78.502, -122.7597
6.000000, 78.551, -123.5587
6.080000, 78.590, -124.1772
6.150000, 78.623, -124.7061
6.220000, 78.657, -125.2253
6.300000, 78.695, -125.8065
6.400000, 78.744, -126.5144
6.500000, 78.792, -127.2058
6.600000, 78.839, -127.8855
6.700000, 78.886, -128.5546
6.800000, 78.933, -129.2125
6.900000, 78.979, -129.8606
7.000000, 79.024, -130.5004
7.100000, 79.068, -131.1326
7.200000, 79.111, -131.7560
7.300000, 79.152, -132.3689
7.400000, 79.191, -132.9714
7.500000, 79.229, -133.5641
7.620000, 79.273, -134.2604
7.750000, 79.319, -134.9936
7.880000, 79.362, -135.7056
8.000000, 79.401, -136.3444
8.120000, 79.439, -136.9648
8.250000, 79.479, -137.6168
8.380000, 79.518, -138.2506
8.500000, 79.554, -138.8208
8.620000, 79.590, -139.3774
8.750000, 79.628, -139.9675
8.850000, 79.656, -140.4137
9.000000, 79.699, -141.0708
9.120000, 79.732, -141.5869
9.250000, 79.767, -142.1374
9.380000, 79.801, -142.6788
9.500000, 79.832, -143.1700
9.620000, 79.861, -143.6528
