* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2024 11:47:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; With the actual cable it came with and not some random ass 3.5mm cable, plus deuce impedance adapter
* Measurement: Hexa Green 10 ohm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 76.435, 29.2855
1.015000, 76.678, 28.6639
1.030000, 76.919, 28.0332
1.044000, 77.142, 27.4352
1.060000, 77.396, 26.7397
1.075000, 77.632, 26.0750
1.090000, 77.867, 25.3983
1.106000, 78.116, 24.6689
1.120000, 78.331, 24.0348
1.138000, 78.605, 23.2323
1.150000, 78.785, 22.7055
1.172000, 79.111, 21.7552
1.180000, 79.228, 21.4142
1.206000, 79.603, 20.3203
1.220000, 79.802, 19.7392
1.241000, 80.097, 18.8763
1.250000, 80.222, 18.5091
1.265000, 80.428, 17.9001
1.280000, 80.632, 17.2941
1.315000, 81.100, 15.8874
1.320000, 81.166, 15.6869
1.340000, 81.427, 14.8851
1.360000, 81.686, 14.0824
1.380000, 81.941, 13.2774
1.400000, 82.193, 12.4685
1.430000, 82.566, 11.2454
1.450000, 82.812, 10.4221
1.475000, 83.115, 9.3873
1.500000, 83.412, 8.3585
1.525000, 83.704, 7.3424
1.550000, 83.990, 6.3397
1.575000, 84.270, 5.3496
1.600000, 84.546, 4.3713
1.625000, 84.816, 3.4036
1.650000, 85.082, 2.4450
1.675000, 85.343, 1.4937
1.700000, 85.599, 0.5481
1.725000, 85.852, -0.3937
1.750000, 86.101, -1.3337
1.775000, 86.346, -2.2740
1.800000, 86.587, -3.2164
1.825000, 86.825, -4.1627
1.850000, 87.059, -5.1130
1.875000, 87.289, -6.0647
1.900000, 87.514, -7.0152
1.925000, 87.735, -7.9625
1.950000, 87.951, -8.9048
