* Measurement data measured by REW V5.31.3
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Gizaudio DaVinci (R) 1, Gizaudio DaVinci (R) 2, Gizaudio DaVinci (R) 3
* Dated: Aug 8, 2024 7:29:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of Gizaudio DaVinci (R) 1, Gizaudio DaVinci (R) 2, Gizaudio DaVinci (R) 3
* Measurement: Gizaudio DaVinci S&S R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz), SPL(dB)
2.200000, 96.190
2.240000, 96.395
2.270000, 96.582
2.300000, 96.767
2.330000, 96.947
2.360000, 97.122
2.400000, 97.350
2.430000, 97.515
2.470000, 97.730
2.500000, 97.887
2.540000, 98.090
2.580000, 98.287
2.620000, 98.477
2.650000, 98.615
2.690000, 98.793
2.720000, 98.921
2.760000, 99.088
2.800000, 99.249
2.850000, 99.442
2.900000, 99.627
2.950000, 99.805
3.000000, 99.973
3.040000, 100.102
3.070000, 100.196
3.110000, 100.316
3.150000, 100.432
3.200000, 100.571
3.250000, 100.704
3.300000, 100.832
3.350000, 100.954
3.400000, 101.070
3.450000, 101.180
3.500000, 101.285
3.550000, 101.386
3.600000, 101.484
3.650000, 101.578
3.700000, 101.669
3.750000, 101.757
3.820000, 101.874
3.870000, 101.954
3.950000, 102.078
4.000000, 102.154
4.060000, 102.243
4.120000, 102.330
4.180000, 102.416
4.250000, 102.513
4.310000, 102.596
4.370000, 102.677
4.440000, 102.771
4.500000, 102.852
4.550000, 102.918
4.620000, 103.010
4.680000, 103.088
4.750000, 103.178
4.820000, 103.267
4.870000, 103.330
4.940000, 103.417
5.000000, 103.491
5.080000, 103.586
5.150000, 103.668
5.220000, 103.747
5.300000, 103.835
5.380000, 103.920
5.450000, 103.991
5.520000, 104.059
5.600000, 104.134
5.700000, 104.223
5.800000, 104.306
5.900000, 104.384
6.000000, 104.458
6.080000, 104.513
6.150000, 104.560
6.220000, 104.605
6.300000, 104.654
6.400000, 104.714
6.500000, 104.772
6.600000, 104.828
6.700000, 104.883
6.800000, 104.937
6.900000, 104.991
7.000000, 105.044
7.100000, 105.097
7.200000, 105.149
7.300000, 105.201
7.400000, 105.253
7.500000, 105.303
7.620000, 105.362
7.750000, 105.424
7.880000, 105.483
8.000000, 105.535
8.120000, 105.585
8.250000, 105.636
8.380000, 105.684
8.500000, 105.725
8.620000, 105.765
8.750000, 105.805
8.850000, 105.835
9.000000, 105.878
9.120000, 105.911
9.250000, 105.945
9.380000, 105.978
9.500000, 106.007
9.620000, 106.035
9.750000, 106.065
9.880000, 106.093
10.000000, 106.118
10.150000, 106.148
10.300000, 106.177
10.440000, 106.203
10.600000, 106.232
10.750000, 106.258
10.900000, 106.284
11.060000, 106.311
11.200000, 106.334
11.380000, 106.363
11.500000, 106.382
11.720000, 106.416
11.800000, 106.428
12.060000, 106.466
12.200000, 106.485
12.410000, 106.514
12.500000, 106.525
12.650000, 106.544
12.800000, 106.562
13.150000, 106.602
13.200000, 106.607
13.400000, 106.628
13.600000, 106.647
13.800000, 106.665
14.000000, 106.682
14.300000, 106.705
