* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 9, 2024 11:51:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; down
* Measurement: Blue D L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 92.765, -11.0439
1.015000, 92.961, -12.1213
1.030000, 93.155, -13.1873
1.044000, 93.334, -14.1741
1.060000, 93.537, -15.2950
1.075000, 93.725, -16.3419
1.090000, 93.912, -17.3881
1.106000, 94.109, -18.5089
1.120000, 94.278, -19.4995
1.138000, 94.491, -20.7867
1.150000, 94.631, -21.6511
1.172000, 94.881, -23.2425
1.180000, 94.971, -23.8219
1.206000, 95.255, -25.7010
1.220000, 95.404, -26.7071
1.241000, 95.624, -28.2042
1.250000, 95.716, -28.8404
1.265000, 95.868, -29.8920
1.280000, 96.018, -30.9318
1.315000, 96.357, -33.3056
1.320000, 96.405, -33.6383
1.340000, 96.593, -34.9516
1.360000, 96.777, -36.2366
1.380000, 96.958, -37.4924
1.400000, 97.137, -38.7186
1.430000, 97.399, -40.5024
1.450000, 97.571, -41.6558
1.475000, 97.783, -43.0674
1.500000, 97.988, -44.4682
1.525000, 98.188, -45.8664
1.550000, 98.381, -47.2592
1.575000, 98.568, -48.6430
1.600000, 98.750, -50.0149
1.625000, 98.927, -51.3721
1.650000, 99.099, -52.7126
1.675000, 99.266, -54.0348
1.700000, 99.429, -55.3373
1.725000, 99.588, -56.6194
1.750000, 99.744, -57.8805
1.775000, 99.896, -59.1204
1.800000, 100.044, -60.3394
1.825000, 100.190, -61.5405
1.850000, 100.333, -62.7354
1.875000, 100.471, -63.9378
1.900000, 100.604, -65.1489
1.925000, 100.733, -66.3647
1.950000, 100.859, -67.5809
1.975000, 100.980, -68.7931
2.000000, 101.097, -69.9975
2.030000, 101.234, -71.4273
2.060000, 101.366, -72.8349
2.090000, 101.493, -74.2150
2.120000, 101.617, -75.5631
2.140000, 101.697, -76.4422
2.180000, 101.854, -78.1505
2.200000, 101.930, -78.9829
2.240000, 102.076, -80.6329
2.270000, 102.180, -81.8702
2.300000, 102.280, -83.1058
2.330000, 102.375, -84.3359
2.360000, 102.467, -85.5562
2.400000, 102.583, -87.1611
2.430000, 102.666, -88.3427
2.470000, 102.772, -89.8815
2.500000, 102.849, -91.0032
2.540000, 102.948, -92.4502
2.580000, 103.043, -93.8468
2.620000, 103.132, -95.2174
2.650000, 103.195, -96.2361
2.690000, 103.274, -97.5809
2.720000, 103.330, -98.5774
2.760000, 103.400, -99.8860
2.800000, 103.467, -101.1672
2.850000, 103.547, -102.7220
2.900000, 103.622, -104.2154
2.950000, 103.695, -105.6462
3.000000, 103.762, -107.0333
3.040000, 103.812, -108.1191
3.070000, 103.847, -108.9199
3.110000, 103.891, -109.9687
3.150000, 103.933, -110.9948
3.200000, 103.984, -112.2428
3.250000, 104.034, -113.4484
3.300000, 104.083, -114.6084
3.350000, 104.130, -115.7246
3.400000, 104.174, -116.8032
