* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 8:46:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Celest Wyvern Abyss R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 68.878, 48.2475
1.015000, 69.311, 47.6306
1.030000, 69.736, 46.9787
1.044000, 70.125, 46.3388
1.060000, 70.560, 45.5704
1.075000, 70.959, 44.8147
1.090000, 71.347, 44.0276
1.106000, 71.751, 43.1687
1.120000, 72.095, 42.4257
1.138000, 72.524, 41.4988
1.150000, 72.802, 40.8987
1.172000, 73.297, 39.8319
1.180000, 73.472, 39.4536
1.206000, 74.026, 38.2545
1.220000, 74.315, 37.6253
1.241000, 74.736, 36.6985
1.250000, 74.913, 36.3065
1.265000, 75.202, 35.6587
1.280000, 75.486, 35.0163
1.315000, 76.127, 33.5294
1.320000, 76.216, 33.3176
1.340000, 76.570, 32.4697
1.360000, 76.917, 31.6186
1.380000, 77.259, 30.7614
1.400000, 77.596, 29.8955
1.430000, 78.096, 28.5750
1.450000, 78.426, 27.6779
1.475000, 78.835, 26.5445
1.500000, 79.234, 25.4219
1.525000, 79.621, 24.3215
1.550000, 79.996, 23.2425
1.575000, 80.360, 22.1822
1.600000, 80.714, 21.1376
1.625000, 81.058, 20.1056
1.650000, 81.393, 19.0832
1.675000, 81.721, 18.0672
1.700000, 82.041, 17.0546
1.725000, 82.354, 16.0422
1.750000, 82.662, 15.0273
1.775000, 82.964, 14.0068
1.800000, 83.262, 12.9781
1.825000, 83.557, 11.9392
1.850000, 83.845, 10.8912
1.875000, 84.127, 9.8392
1.900000, 84.402, 8.7880
1.925000, 84.670, 7.7412
1.950000, 84.930, 6.7014
1.975000, 85.185, 5.6705
2.000000, 85.433, 4.6497
2.030000, 85.724, 3.4394
2.060000, 86.007, 2.2453
2.090000, 86.284, 1.0674
2.120000, 86.555, -0.0954
2.140000, 86.732, -0.8629
2.180000, 87.080, -2.3824
2.200000, 87.251, -3.1373
2.240000, 87.584, -4.6486
2.270000, 87.825, -5.7845
2.300000, 88.060, -6.9178
2.330000, 88.287, -8.0445
2.360000, 88.508, -9.1608
2.400000, 88.795, -10.6283
2.430000, 89.003, -11.7103
2.470000, 89.274, -13.1252
2.500000, 89.472, -14.1642
2.540000, 89.731, -15.5202
2.580000, 89.982, -16.8509
2.620000, 90.224, -18.1756
2.650000, 90.400, -19.1680
2.690000, 90.627, -20.4844
2.720000, 90.792, -21.4626
2.760000, 91.005, -22.7492
2.800000, 91.211, -24.0102
2.850000, 91.461, -25.5430
2.900000, 91.704, -27.0209
2.950000, 91.938, -28.4495
3.000000, 92.163, -29.8548
3.040000, 92.336, -30.9676
3.070000, 92.461, -31.7933
3.110000, 92.624, -32.8792
3.150000, 92.782, -33.9439
3.200000, 92.974, -35.2393
3.250000, 93.161, -36.4890
3.300000, 93.343, -37.6911
3.350000, 93.520, -38.8572
3.400000, 93.690, -39.9983
3.450000, 93.855, -41.1151
3.500000, 94.014, -42.2052
3.550000, 94.170, -43.2661
3.600000, 94.322, -44.2949
3.650000, 94.473, -45.2896
3.700000, 94.621, -46.2520
3.750000, 94.766, -47.1872
3.820000, 94.963, -48.4573
3.870000, 95.100, -49.3391
3.950000, 95.316, -50.7095
4.000000, 95.450, -51.5419
4.060000, 95.609, -52.5165
4.120000, 95.766, -53.4642
4.180000, 95.921, -54.3881
4.250000, 96.099, -55.4423
4.310000, 96.250, -56.3308
4.370000, 96.399, -57.2090
