* Measurement data measured by REW V5.31.3
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Dusk Analog (L) 1, Dusk Analog (L) 2, Dusk Analog (L) 3
* Dated: Aug 8, 2024 9:10:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of Dusk Analog (L) 1, Dusk Analog (L) 2, Dusk Analog (L) 3
* Measurement: Moondrop Dusk Analog L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz), SPL(dB)
2.200000, 89.804
2.240000, 90.008
2.270000, 90.195
2.300000, 90.380
2.330000, 90.561
2.360000, 90.737
2.400000, 90.967
2.430000, 91.135
2.470000, 91.354
2.500000, 91.514
2.540000, 91.722
2.580000, 91.925
2.620000, 92.121
2.650000, 92.264
2.690000, 92.450
2.720000, 92.585
2.760000, 92.760
2.800000, 92.931
2.850000, 93.137
2.900000, 93.336
2.950000, 93.528
3.000000, 93.713
3.040000, 93.855
3.070000, 93.959
3.110000, 94.093
3.150000, 94.224
3.200000, 94.382
3.250000, 94.535
3.300000, 94.683
3.350000, 94.826
3.400000, 94.964
3.450000, 95.097
3.500000, 95.225
3.550000, 95.349
3.600000, 95.470
3.650000, 95.588
3.700000, 95.703
3.750000, 95.814
3.820000, 95.965
3.870000, 96.070
3.950000, 96.232
4.000000, 96.332
4.060000, 96.449
4.120000, 96.563
4.180000, 96.676
4.250000, 96.804
4.310000, 96.912
4.370000, 97.018
4.440000, 97.140
4.500000, 97.243
4.550000, 97.327
4.620000, 97.444
4.680000, 97.542
4.750000, 97.655
4.820000, 97.766
4.870000, 97.844
4.940000, 97.951
5.000000, 98.040
5.080000, 98.157
5.150000, 98.257
5.220000, 98.354
5.300000, 98.461
5.380000, 98.565
5.450000, 98.653
5.520000, 98.737
5.600000, 98.831
5.700000, 98.943
5.800000, 99.049
5.900000, 99.151
6.000000, 99.247
6.080000, 99.321
6.150000, 99.383
6.220000, 99.444
6.300000, 99.511
6.400000, 99.592
6.500000, 99.670
6.600000, 99.746
6.700000, 99.820
6.800000, 99.892
6.900000, 99.962
7.000000, 100.031
7.100000, 100.099
7.200000, 100.165
7.300000, 100.230
7.400000, 100.294
7.500000, 100.356
7.620000, 100.428
7.750000, 100.504
7.880000, 100.577
8.000000, 100.641
8.120000, 100.703
8.250000, 100.766
8.380000, 100.827
8.500000, 100.880
8.620000, 100.930
8.750000, 100.983
8.850000, 101.021
9.000000, 101.076
9.120000, 101.119
9.250000, 101.163
9.380000, 101.206
9.500000, 101.244
9.620000, 101.281
9.750000, 101.321
9.880000, 101.359
10.000000, 101.393
10.150000, 101.435
10.300000, 101.476
10.440000, 101.513
10.600000, 101.553
10.750000, 101.588
10.900000, 101.622
11.060000, 101.655
11.200000, 101.682
11.380000, 101.713
11.500000, 101.731
11.720000, 101.760
11.800000, 101.770
12.060000, 101.796
12.200000, 101.808
12.410000, 101.824
12.500000, 101.831
12.650000, 101.843
12.800000, 101.856
13.150000, 101.889
13.200000, 101.895
13.400000, 101.917
13.600000, 101.940
13.800000, 101.964
14.000000, 101.986
14.300000, 102.013
14.500000, 102.026
14.750000, 102.037
15.000000, 102.041
