* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2024 1:53:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Duality BH S- R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 76.262, -158.3165
1.015000, 76.479, -159.5435
1.030000, 76.694, -160.7444
1.044000, 76.891, -161.8444
1.060000, 77.112, -163.0798
1.075000, 77.315, -164.2198
1.090000, 77.514, -165.3455
1.106000, 77.721, -166.5351
1.120000, 77.900, -167.5710
1.138000, 78.127, -168.8970
1.150000, 78.276, -169.7761
1.172000, 78.547, -171.3744
1.180000, 78.644, -171.9505
1.206000, 78.956, -173.8007
1.220000, 79.121, -174.7814
1.241000, 79.366, -176.2296
1.250000, 79.470, -176.8415
1.265000, 79.642, -177.8488
1.280000, 79.812, -178.8401
1.315000, 80.200, 178.9119
1.320000, 80.255, 178.5984
1.340000, 80.472, 177.3639
1.360000, 80.686, 176.1607
1.380000, 80.897, 174.9891
1.400000, 81.105, 173.8490
1.430000, 81.411, 172.1973
1.450000, 81.612, 171.1341
1.475000, 81.859, 169.8423
1.500000, 82.100, 168.5793
1.525000, 82.336, 167.3395
1.550000, 82.566, 166.1221
1.575000, 82.791, 164.9270
1.600000, 83.011, 163.7538
1.625000, 83.227, 162.6022
1.650000, 83.437, 161.4715
1.675000, 83.644, 160.3610
1.700000, 83.847, 159.2698
1.725000, 84.047, 158.1971
1.750000, 84.243, 157.1418
1.775000, 84.436, 156.1031
1.800000, 84.627, 155.0797
1.825000, 84.815, 154.0695
1.850000, 84.999, 153.0679
1.875000, 85.180, 152.0700
1.900000, 85.357, 151.0761
1.925000, 85.530, 150.0880
1.950000, 85.699, 149.1078
1.975000, 85.864, 148.1374
2.000000, 86.027, 147.1783
2.030000, 86.218, 146.0445
2.060000, 86.404, 144.9310
2.090000, 86.588, 143.8398
2.120000, 86.767, 142.7721
2.140000, 86.885, 142.0739
2.180000, 87.118, 140.7103
2.200000, 87.233, 140.0433
2.240000, 87.457, 138.7261
2.270000, 87.620, 137.7479
2.300000, 87.780, 136.7787
2.330000, 87.935, 135.8201
2.360000, 88.088, 134.8737
2.400000, 88.286, 133.6334
2.430000, 88.431, 132.7209
2.470000, 88.621, 131.5303
2.500000, 88.761, 130.6581
2.540000, 88.945, 129.5241
2.580000, 89.125, 128.4199
2.620000, 89.300, 127.3355
2.650000, 89.429, 126.5323
2.690000, 89.596, 125.4751
2.720000, 89.718, 124.6934
2.760000, 89.878, 123.6669
2.800000, 90.035, 122.6599
2.850000, 90.226, 121.4306
2.900000, 90.414, 120.2357
2.950000, 90.599, 119.0736
3.000000, 90.778, 117.9356
3.040000, 90.918, 117.0399
3.070000, 91.022, 116.3767
3.110000, 91.157, 115.5045
3.150000, 91.290, 114.6466
3.200000, 91.453, 113.5952
