* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.759
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 7:52:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony WF1000-XM4 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 79.900, 11.9009
1.015000, 80.053, 11.2574
1.030000, 80.203, 10.6145
1.044000, 80.343, 10.0143
1.060000, 80.501, 9.3272
1.075000, 80.648, 8.6812
1.090000, 80.794, 8.0323
1.106000, 80.949, 7.3343
1.120000, 81.083, 6.7160
1.138000, 81.253, 5.9106
1.150000, 81.364, 5.3683
1.172000, 81.564, 4.3660
1.180000, 81.636, 3.9997
1.206000, 81.865, 2.8063
1.220000, 81.985, 2.1636
1.241000, 82.164, 1.2019
1.250000, 82.239, 0.7912
1.265000, 82.363, 0.1097
1.280000, 82.485, -0.5674
1.315000, 82.765, -2.1258
1.320000, 82.804, -2.3455
1.340000, 82.959, -3.2164
1.360000, 83.112, -4.0734
1.380000, 83.262, -4.9153
1.400000, 83.410, -5.7410
1.430000, 83.628, -6.9478
1.450000, 83.772, -7.7306
1.475000, 83.947, -8.6898
1.500000, 84.119, -9.6410
1.525000, 84.287, -10.5897
1.550000, 84.450, -11.5343
1.575000, 84.609, -12.4727
1.600000, 84.765, -13.4031
1.625000, 84.916, -14.3237
1.650000, 85.064, -15.2333
1.675000, 85.208, -16.1305
1.700000, 85.349, -17.0145
1.725000, 85.486, -17.8842
1.750000, 85.621, -18.7391
1.775000, 85.752, -19.5787
1.800000, 85.881, -20.4027
1.825000, 86.007, -21.2128
1.850000, 86.130, -22.0166
1.875000, 86.249, -22.8236
1.900000, 86.365, -23.6346
1.925000, 86.477, -24.4468
1.950000, 86.586, -25.2570
1.975000, 86.692, -26.0619
2.000000, 86.795, -26.8588
2.030000, 86.914, -27.8003
2.060000, 87.030, -28.7216
2.090000, 87.141, -29.6184
2.120000, 87.249, -30.4866
2.140000, 87.320, -31.0479
2.180000, 87.455, -32.1251
2.200000, 87.521, -32.6433
2.240000, 87.647, -33.6601
2.270000, 87.737, -34.4153
2.300000, 87.822, -35.1628
2.330000, 87.903, -35.8991
2.360000, 87.981, -36.6206
2.400000, 88.080, -37.5532
2.430000, 88.150, -38.2258
2.470000, 88.241, -39.0800
2.500000, 88.306, -39.6840
2.540000, 88.390, -40.4351
2.580000, 88.471, -41.1265
2.620000, 88.546, -41.7768
2.650000, 88.598, -42.2434
2.690000, 88.663, -42.8361
2.720000, 88.709, -43.2568
2.760000, 88.767, -43.7827
2.800000, 88.824, -44.2648
2.850000, 88.894, -44.7987
2.900000, 88.965, -45.2484
2.950000, 89.038, -45.6093
3.000000, 89.107, -45.8888
3.040000, 89.160, -46.0595
3.070000, 89.200, -46.1587
3.110000, 89.253, -46.2544
3.150000, 89.307, -46.3105
3.200000, 89.380, -46.3283
3.250000, 89.461, -46.2916
3.300000, 89.552, -46.2001
3.350000, 89.650, -46.0415
3.400000, 89.755, -45.8144
3.450000, 89.865, -45.5349
3.500000, 89.983, -45.2230
3.550000, 90.109, -44.8983
3.600000, 90.244, -44.5793
3.650000, 90.390, -44.2776
3.700000, 90.547, -43.9824
3.750000, 90.715, -43.6749
3.820000, 90.968, -43.2416
3.870000, 91.158, -42.9568
3.950000, 91.473, -42.5948
4.000000, 91.675, -42.4487
4.060000, 91.923, -42.3524
4.120000, 92.179, -42.3116
4.180000, 92.444, -42.3220
4.250000, 92.757, -42.4169
4.310000, 93.026, -42.5849
4.370000, 93.290, -42.8432
4.440000, 93.592, -43.2540
4.500000, 93.850, -43.6803
4.550000, 94.063, -44.0799
4.620000, 94.357, -44.7018
4.680000, 94.602, -45.2906
4.750000, 94.878, -46.0420
4.820000, 95.141, -46.8656
4.870000, 95.324, -47.4955
4.940000, 95.570, -48.4211
5.000000, 95.774, -49.2418
5.080000, 96.031, -50.3579
5.150000, 96.243, -51.3528
5.220000, 96.443, -52.3793
5.300000, 96.656, -53.5842
5.380000, 96.855, -54.7922
5.450000, 97.018, -55.8292
5.520000, 97.170, -56.8436
5.600000, 97.331, -57.9963
5.700000, 97.512, -59.4209
5.800000, 97.676, -60.7809
5.900000, 97.825, -62.0453
6.000000, 97.958, -63.2375
6.080000, 98.054, -64.1395
6.150000, 98.135, -64.8790
6.220000, 98.212, -65.5631
6.300000, 98.297, -66.2778
6.400000, 98.397, -67.0836
6.500000, 98.496, -67.7993
6.600000, 98.598, -68.4246
6.700000, 98.704, -68.9543
6.800000, 98.814, -69.4023
6.900000, 98.931, -69.7973
7.000000, 99.058, -70.1536
7.100000, 99.195, -70.4659
7.200000, 99.341, -70.7549
7.300000, 99.495, -71.0546
7.400000, 99.658, -71.3747
7.500000, 99.830, -71.7102
7.620000, 100.044, -72.1571
7.750000, 100.280, -72.7275
7.880000, 100.520, -73.3801
8.000000, 100.740, -74.0535
8.120000, 100.955, -74.8018
8.250000, 101.182, -75.6893
8.380000, 101.398, -76.6336
8.500000, 101.587, -77.5465
8.620000, 101.764, -78.4948
8.750000, 101.943, -79.5341
8.850000, 102.071, -80.3300
9.000000, 102.248, -81.5180
9.120000, 102.378, -82.4414
9.250000, 102.508, -83.3981
9.380000, 102.628, -84.3113
9.500000, 102.732, -85.1054
9.620000, 102.833, -85.8459
9.750000, 102.937, -86.5926
9.880000, 103.041, -87.2859
10.000000, 103.137, -87.8787
10.150000, 103.260, -88.5676
10.300000, 103.387, -89.2201
10.440000, 103.510, -89.8039
10.600000, 103.657, -90.4661
10.750000, 103.799, -91.1011
10.900000, 103.946, -91.7582
11.060000, 104.102, -92.5022
11.200000, 104.240, -93.1924
11.380000, 104.412, -94.1349
11.500000, 104.523, -94.7985
11.720000, 104.715, -96.0717
11.800000, 104.780, -96.5492
12.060000, 104.975, -98.1326
12.200000, 105.068, -98.9879
12.410000, 105.193, -100.2549
12.500000, 105.241, -100.7841
12.650000, 105.315, -101.6438
12.800000, 105.383, -102.4678
13.150000, 105.523, -104.2213
13.200000, 105.542, -104.4511
13.400000, 105.617, -105.3189
13.600000, 105.693, -106.1113
13.800000, 105.775, -106.8393
14.000000, 105.864, -107.5253
14.300000, 106.013, -108.5250
14.500000, 106.123, -109.2108
14.750000, 106.267, -110.1290
15.000000, 106.412, -111.1376
15.250000, 106.548, -112.2394
15.500000, 106.669, -113.4051
15.750000, 106.767, -114.5862
16.000000, 106.842, -115.7194
16.250000, 106.898, -116.7431
16.500000, 106.943, -117.6181
16.750000, 106.988, -118.3322
17.000000, 107.044, -118.9157
17.250000, 107.118, -119.4265
17.500000, 107.209, -119.9362
17.750000, 107.312, -120.5084
18.000000, 107.419, -121.1744
18.250000, 107.519, -121.9337
18.500000, 107.605, -122.7528
18.750000, 107.674, -123.5839
19.000000, 107.728, -124.3817
19.250000, 107.774, -125.1156
19.500000, 107.816, -125.7835
19.750000, 107.863, -126.4044
20.000000, 107.914, -127.0120
20.299999, 107.982, -127.7691
20.600000, 108.049, -128.5838
20.900000, 108.109, -129.4504
21.200001, 108.158, -130.3352
21.400000, 108.186, -130.9160
21.799999, 108.234, -132.0264
22.000000, 108.258, -132.5556
22.400000, 108.312, -133.5876
22.700001, 108.356, -134.3638
23.000000, 108.402, -135.1543
23.299999, 108.447, -135.9571
23.600000, 108.490, -136.7634
24.000000, 108.543, -137.8306
24.299999, 108.580, -138.6182
24.700001, 108.621, -139.6339
25.000000, 108.647, -140.3456
25.400000, 108.675, -141.1850
25.799999, 108.710, -141.8853
26.200001, 108.761, -142.5048
26.500000, 108.812, -142.9855
26.900000, 108.885, -143.7228
27.200001, 108.932, -144.3518
27.600000, 108.969, -145.2200
28.000000, 108.981, -146.0061
28.500000, 108.985, -146.7764
29.000000, 109.007, -147.4142
29.500000, 109.045, -148.1319
30.000000, 109.071, -148.9908
30.400000, 109.072, -149.6985
30.700001, 109.065, -150.1927
31.100000, 109.054, -150.7879
31.500000, 109.050, -151.3407
32.000000, 109.052, -152.0374
32.500000, 109.057, -152.7555
33.000000, 109.062, -153.4593
33.500000, 109.073, -154.1412
34.000000, 109.092, -154.8377
34.500000, 109.110, -155.5652
35.000000, 109.122, -156.2868
35.500000, 109.128, -156.9568
36.000000, 109.135, -157.5682
36.500000, 109.143, -158.1433
37.000000, 109.150, -158.6987
37.500000, 109.156, -159.2370
38.200001, 109.161, -159.9708
38.700001, 109.162, -160.4926
39.500000, 109.153, -161.3145
40.000000, 109.143, -161.8021
40.599998, 109.130, -162.3536
41.200001, 109.120, -162.8772
41.799999, 109.116, -163.3944
42.500000, 109.117, -164.0326
43.099998, 109.114, -164.6179
43.700001, 109.104, -165.1927
44.400002, 109.088, -165.7864
45.000000, 109.079, -166.2432
45.500000, 109.075, -166.6222
46.200001, 109.070, -167.1689
46.799999, 109.063, -167.6370
47.500000, 109.052, -168.1787
48.200001, 109.037, -168.7170
48.700001, 109.024, -169.0802
49.400002, 109.007, -169.5461
50.000000, 109.000, -169.9398
50.799999, 108.993, -170.5188
51.500000, 108.981, -171.0507
52.200001, 108.963, -171.5544
53.000000, 108.943, -172.0915
53.799999, 108.923, -172.5995
54.500000, 108.905, -173.0188
55.200001, 108.890, -173.4303
56.000000, 108.871, -173.9057
57.000000, 108.844, -174.4751
58.000000, 108.817, -175.0109
59.000000, 108.790, -175.5398
60.000000, 108.762, -176.0531
