* Measurement data measured by REW V5.31.3
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 21, 2024 2:39:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; With the actual cable it came with and not some random ass 3.5mm cable
* Measurement: Symphonium Meteor R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 86.469, -25.2473
1.015000, 86.653, -25.9077
1.030000, 86.835, -26.5689
1.044000, 87.002, -27.1877
1.060000, 87.191, -27.8981
1.075000, 87.367, -28.5682
1.090000, 87.540, -29.2435
1.106000, 87.723, -29.9704
1.120000, 87.880, -30.6117
1.138000, 88.080, -31.4416
1.150000, 88.210, -31.9971
1.172000, 88.446, -33.0174
1.180000, 88.531, -33.3885
1.206000, 88.801, -34.5916
1.220000, 88.944, -35.2366
1.241000, 89.155, -36.1984
1.250000, 89.244, -36.6081
1.265000, 89.391, -37.2872
1.280000, 89.536, -37.9611
1.315000, 89.868, -39.5114
1.320000, 89.914, -39.7302
1.340000, 90.098, -40.5981
1.360000, 90.280, -41.4543
1.380000, 90.459, -42.2987
1.400000, 90.635, -43.1311
1.430000, 90.895, -44.3578
1.450000, 91.065, -45.1614
1.475000, 91.274, -46.1538
1.500000, 91.479, -47.1404
1.525000, 91.679, -48.1237
1.550000, 91.873, -49.1023
1.575000, 92.063, -50.0749
1.600000, 92.248, -51.0402
1.625000, 92.429, -51.9972
1.650000, 92.606, -52.9452
1.675000, 92.779, -53.8839
1.700000, 92.948, -54.8128
1.725000, 93.114, -55.7318
1.750000, 93.277, -56.6410
1.775000, 93.436, -57.5405
1.800000, 93.593, -58.4309
1.825000, 93.748, -59.3137
1.850000, 93.899, -60.1944
1.875000, 94.047, -61.0792
1.900000, 94.190, -61.9680
1.925000, 94.330, -62.8584
1.950000, 94.467, -63.7477
1.975000, 94.600, -64.6337
2.000000, 94.730, -65.5140
2.030000, 94.882, -66.5603
2.060000, 95.030, -67.5926
2.090000, 95.175, -68.6084
2.120000, 95.316, -69.6053
2.140000, 95.408, -70.2585
2.180000, 95.589, -71.5362
2.200000, 95.677, -72.1628
2.240000, 95.849, -73.4068
2.270000, 95.973, -74.3384
2.300000, 96.093, -75.2675
2.330000, 96.209, -76.1914
2.360000, 96.322, -77.1077
2.400000, 96.467, -78.3132
2.430000, 96.573, -79.2023
2.470000, 96.710, -80.3634
2.500000, 96.810, -81.2136
2.540000, 96.940, -82.3169
2.580000, 97.066, -83.3893
2.620000, 97.188, -84.4455
2.650000, 97.275, -85.2312
2.690000, 97.388, -86.2688
2.720000, 97.469, -87.0379
2.760000, 97.574, -88.0487
2.800000, 97.675, -89.0396
2.850000, 97.798, -90.2456
2.900000, 97.917, -91.4103
2.950000, 98.032, -92.5344
3.000000, 98.141, -93.6316
3.040000, 98.225, -94.4943
3.070000, 98.286, -95.1323
3.110000, 98.365, -95.9695
3.150000, 98.442, -96.7903
3.200000, 98.535, -97.7907
3.250000, 98.625, -98.7595
3.300000, 98.714, -99.6953
3.350000, 98.800, -100.6017
3.400000, 98.882, -101.4842
3.450000, 98.962, -102.3445
3.500000, 99.040, -103.1837
3.550000, 99.115, -104.0020
3.600000, 99.190, -104.7996
3.650000, 99.263, -105.5768
3.700000, 99.335, -106.3338
3.750000, 99.406, -107.0718
3.820000, 99.502, -108.0760
3.870000, 99.569, -108.7743
3.950000, 99.674, -109.8617
4.000000, 99.738, -110.5240
4.060000, 99.815, -111.3019
4.120000, 99.890, -112.0612
4.180000, 99.963, -112.8030
4.250000, 100.048, -113.6488
4.310000, 100.118, -114.3587
4.370000, 100.188, -115.0565
4.440000, 100.267, -115.8565
4.500000, 100.334, -116.5306
4.550000, 100.388, -117.0840
4.620000, 100.463, -117.8460
4.680000, 100.525, -118.4875
4.750000, 100.596, -119.2224
4.820000, 100.665, -119.9443
4.870000, 100.713, -120.4528
4.940000, 100.779, -121.1544
5.000000, 100.833, -121.7453
5.080000, 100.904, -122.5167
5.150000, 100.964, -123.1761
5.220000, 101.022, -123.8228
5.300000, 101.086, -124.5470
5.380000, 101.147, -125.2545
5.450000, 101.200, -125.8586
5.520000, 101.251, -126.4485
5.600000, 101.307, -127.1064
5.700000, 101.376, -127.9062
5.800000, 101.442, -128.6818
5.900000, 101.507, -129.4330
6.000000, 101.570, -130.1605
6.080000, 101.619, -130.7273
6.150000, 101.661, -131.2136
6.220000, 101.703, -131.6918
6.300000, 101.751, -132.2284
6.400000, 101.809, -132.8844
6.500000, 101.866, -133.5267
6.600000, 101.922, -134.1581
6.700000, 101.977, -134.7792
6.800000, 102.031, -135.3903
6.900000, 102.083, -135.9924
7.000000, 102.134, -136.5869
7.100000, 102.184, -137.1742
7.200000, 102.232, -137.7539
7.300000, 102.279, -138.3251
7.400000, 102.323, -138.8882
7.500000, 102.366, -139.4435
7.620000, 102.416, -140.0981
7.750000, 102.467, -140.7908
