* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 9:25:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim 4U Monitoring L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 56.625, -92.2894
1.015000, 56.606, -93.6246
1.030000, 56.586, -94.9357
1.044000, 56.566, -96.1361
1.060000, 56.542, -97.4786
1.075000, 56.517, -98.7076
1.090000, 56.490, -99.9084
1.106000, 56.460, -101.1674
1.120000, 56.432, -102.2686
1.138000, 56.395, -103.6981
1.150000, 56.369, -104.6615
1.172000, 56.320, -106.4507
1.180000, 56.301, -107.1088
1.206000, 56.239, -109.2758
1.220000, 56.203, -110.4603
1.241000, 56.148, -112.2593
1.250000, 56.123, -113.0382
1.265000, 56.082, -114.3461
1.280000, 56.039, -115.6654
1.315000, 55.933, -118.7806
1.320000, 55.917, -119.2289
1.340000, 55.853, -121.0279
1.360000, 55.786, -122.8318
1.380000, 55.717, -124.6350
1.400000, 55.646, -126.4309
1.430000, 55.534, -129.0957
1.450000, 55.456, -130.8436
1.475000, 55.355, -133.0046
1.500000, 55.246, -135.1888
1.525000, 55.129, -137.4236
1.550000, 55.005, -139.7117
1.575000, 54.876, -142.0520
1.600000, 54.743, -144.4422
1.625000, 54.607, -146.8798
1.650000, 54.468, -149.3614
1.675000, 54.329, -151.8831
1.700000, 54.191, -154.4408
1.725000, 54.054, -157.0296
1.750000, 53.920, -159.6448
1.775000, 53.790, -162.2814
1.800000, 53.665, -164.9356
1.825000, 53.546, -167.6108
1.850000, 53.427, -170.3403
1.875000, 53.304, -173.1745
1.900000, 53.176, -176.1341
1.925000, 53.046, -179.2224
1.950000, 52.914, 177.5625
1.975000, 52.784, 174.2261
2.000000, 52.659, 170.7776
2.030000, 52.517, 166.5098
2.060000, 52.390, 162.1284
2.090000, 52.280, 157.6687
2.120000, 52.193, 153.1709
2.140000, 52.149, 150.1716
2.180000, 52.101, 144.2177
2.200000, 52.099, 141.2639
2.240000, 52.136, 135.3066
2.270000, 52.196, 130.7550
2.300000, 52.281, 126.1552
2.330000, 52.388, 121.5457
2.360000, 52.514, 116.9686
2.400000, 52.706, 110.9884
2.430000, 52.866, 106.6443
2.470000, 53.094, 101.0985
2.500000, 53.273, 97.1525
2.540000, 53.517, 92.1945
2.580000, 53.772, 87.5427
2.620000, 54.050, 83.0784
2.650000, 54.276, 79.8250
2.690000, 54.597, 75.6259
2.720000, 54.847, 72.5936
2.760000, 55.189, 68.7231
2.800000, 55.532, 65.0638
2.850000, 55.953, 60.8018
2.900000, 56.351, 56.8894
2.950000, 56.721, 53.2768
3.000000, 57.075, 49.8384
3.040000, 57.351, 47.1816
3.070000, 57.553, 45.2477
3.110000, 57.818, 42.7557
3.150000, 58.074, 40.3705
3.200000, 58.383, 37.5507
3.250000, 58.677, 34.9190
3.300000, 58.956, 32.4649
3.350000, 59.218, 30.1265
3.400000, 59.465, 27.8562
3.450000, 59.699, 25.6570
3.500000, 59.919, 23.5436
3.550000, 60.127, 21.5320
3.600000, 60.325, 19.6364
3.650000, 60.512, 17.8632
3.700000, 60.689, 16.1889
3.750000, 60.854, 14.5757
3.820000, 61.065, 12.4091
3.870000, 61.204, 10.9394
3.950000, 61.407, 8.7531
4.000000, 61.524, 7.5039
4.060000, 61.654, 6.1152
4.120000, 61.771, 4.8093
4.180000, 61.874, 3.5779
4.250000, 61.982, 2.2557
4.310000, 62.065, 1.2428
4.370000, 62.141, 0.3587
4.440000, 62.219, -0.5150
4.500000, 62.276, -1.1538
4.550000, 62.316, -1.6108
4.620000, 62.368, -2.1228
4.680000, 62.411, -2.4285
