* Measurement data measured by REW V5.31.3
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 9:18:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim 4U Monitoring R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 54.475, 48.0313
1.015000, 54.574, 48.0975
1.030000, 54.670, 48.1467
1.044000, 54.759, 48.1768
1.060000, 54.858, 48.1924
1.075000, 54.948, 48.1883
1.090000, 55.037, 48.1658
1.106000, 55.129, 48.1218
1.120000, 55.208, 48.0669
1.138000, 55.308, 47.9759
1.150000, 55.374, 47.9033
1.172000, 55.491, 47.7476
1.180000, 55.533, 47.6842
1.206000, 55.666, 47.4560
1.220000, 55.736, 47.3202
1.241000, 55.839, 47.1016
1.250000, 55.882, 47.0030
1.265000, 55.952, 46.8327
1.280000, 56.021, 46.6556
1.315000, 56.175, 46.2204
1.320000, 56.196, 46.1561
1.340000, 56.280, 45.8946
1.360000, 56.360, 45.6273
1.380000, 56.437, 45.3556
1.400000, 56.512, 45.0810
1.430000, 56.617, 44.6662
1.450000, 56.684, 44.3891
1.475000, 56.763, 44.0384
1.500000, 56.837, 43.6708
1.525000, 56.906, 43.2822
1.550000, 56.971, 42.8751
1.575000, 57.031, 42.4527
1.600000, 57.087, 42.0182
1.625000, 57.138, 41.5745
1.650000, 57.184, 41.1243
1.675000, 57.226, 40.6705
1.700000, 57.263, 40.2154
1.725000, 57.295, 39.7616
1.750000, 57.323, 39.3113
1.775000, 57.347, 38.8667
1.800000, 57.366, 38.4296
1.825000, 57.380, 37.9997
1.850000, 57.390, 37.5676
1.875000, 57.395, 37.1207
1.900000, 57.395, 36.6570
1.925000, 57.390, 36.1793
1.950000, 57.380, 35.6915
1.975000, 57.366, 35.1975
2.000000, 57.348, 34.7012
2.030000, 57.320, 34.1083
2.060000, 57.286, 33.5253
2.090000, 57.246, 32.9595
2.120000, 57.200, 32.4188
2.140000, 57.167, 32.0761
2.180000, 57.093, 31.4425
2.200000, 57.053, 31.1514
2.240000, 56.961, 30.5974
2.270000, 56.883, 30.1941
2.300000, 56.798, 29.8018
2.330000, 56.707, 29.4241
2.360000, 56.610, 29.0655
2.400000, 56.474, 28.6254
2.430000, 56.369, 28.3310
2.470000, 56.225, 27.9976
2.500000, 56.116, 27.8004
2.540000, 55.971, 27.6211
2.580000, 55.823, 27.5493
2.620000, 55.665, 27.5868
2.650000, 55.538, 27.6846
2.690000, 55.363, 27.9052
2.720000, 55.230, 28.1365
2.760000, 55.054, 28.5294
2.800000, 54.886, 29.0141
2.850000, 54.696, 29.7383
2.900000, 54.537, 30.5794
2.950000, 54.414, 31.5463
3.000000, 54.316, 32.6980
3.040000, 54.251, 33.7509
3.070000, 54.212, 34.5987
3.110000, 54.174, 35.7780
3.150000, 54.153, 36.9781
3.200000, 54.155, 38.4465
3.250000, 54.190, 39.8090
3.300000, 54.265, 41.0203
3.350000, 54.385, 42.1273
3.400000, 54.549, 43.1661
3.450000, 54.748, 44.0991
3.500000, 54.972, 44.8783
3.550000, 55.211, 45.4632
3.600000, 55.456, 45.8222
3.650000, 55.698, 45.9377
3.700000, 55.943, 45.8285
3.750000, 56.197, 45.5408
3.820000, 56.569, 44.8875
3.870000, 56.839, 44.2614
3.950000, 57.265, 43.0105
4.000000, 57.518, 42.0808
4.060000, 57.808, 40.8096
4.120000, 58.086, 39.3676
4.180000, 58.355, 37.7935
4.250000, 58.658, 35.8560
4.310000, 58.906, 34.1556
4.370000, 59.142, 32.4437
4.440000, 59.403, 30.4082
4.500000, 59.614, 28.5932
4.550000, 59.781, 27.0479
4.620000, 60.004, 24.8892
4.680000, 60.186, 23.0909
4.750000, 60.390, 21.0943
4.820000, 60.582, 19.1787
4.870000, 60.712, 17.8296
4.940000, 60.884, 15.9831
5.000000, 61.027, 14.4745
5.080000, 61.215, 12.6297
5.150000, 61.378, 11.1997
5.220000, 61.536, 9.9124
5.300000, 61.713, 8.5884
