* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 9, 24 9:52:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 0.11 xeno L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	50.853	83.7058
1.015000	50.850	83.6271
1.030000	50.847	83.5843
1.044000	50.843	83.5774
1.060000	50.839	83.6095
1.075000	50.835	83.6788
1.090000	50.833	83.7870
1.106000	50.830	83.9472
1.120000	50.822	84.1322
1.138000	50.803	84.4313
1.150000	50.785	84.6672
1.172000	50.744	85.1718
1.180000	50.726	85.3774
1.206000	50.663	86.1220
1.220000	50.626	86.5687
1.241000	50.567	87.2943
1.250000	50.542	87.6245
1.265000	50.500	88.1986
1.280000	50.458	88.8010
1.315000	50.368	90.3047
1.320000	50.357	90.5296
1.340000	50.315	91.4515
1.360000	50.282	92.4053
1.380000	50.259	93.3863
1.400000	50.248	94.3895
1.430000	50.259	95.9256
1.450000	50.287	96.9634
1.475000	50.348	98.2818
1.500000	50.430	99.7347
1.525000	50.531	101.3271
1.550000	50.649	103.0331
1.575000	50.783	104.8265
1.600000	50.931	106.6812
1.625000	51.091	108.5711
1.650000	51.263	110.4702
1.675000	51.446	112.3523
1.700000	51.636	114.1913
1.725000	51.834	115.9612
1.750000	52.038	117.6359
1.775000	52.246	119.1892
1.800000	52.456	120.5951
1.825000	52.669	121.8275
1.850000	52.886	122.8909
1.875000	53.120	123.8488
1.900000	53.368	124.7098
1.925000	53.628	125.4798
1.950000	53.897	126.1646
1.975000	54.174	126.7702
2.000000	54.455	127.3025
2.030000	54.794	127.8525
2.060000	55.132	128.3155
2.090000	55.464	128.7015
2.120000	55.787	129.0208
2.140000	55.995	129.2015
2.180000	56.386	129.4994
2.200000	56.568	129.6223
2.240000	56.916	129.7371
2.270000	57.169	129.6964
2.300000	57.415	129.5620
2.330000	57.653	129.3470
2.360000	57.884	129.0651
2.400000	58.179	128.6080
2.430000	58.390	128.2217
2.470000	58.658	127.6740
2.500000	58.848	127.2561
2.540000	59.086	126.7150
2.580000	59.307	126.2084
2.620000	59.511	125.6511
2.650000	59.652	125.1938
2.690000	59.825	124.5450
2.720000	59.945	124.0385
2.760000	60.091	123.3503
2.800000	60.224	122.6629
