* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 22, 24 11:35:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: K1 l
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	48.561	-70.4688
1.015000	48.363	-71.3138
1.030000	48.174	-72.1632
1.044000	48.009	-72.9596
1.060000	47.829	-73.8721
1.075000	47.666	-74.7277
1.090000	47.507	-75.5817
1.106000	47.338	-76.4886
1.120000	47.187	-77.2770
1.138000	46.987	-78.2811
1.150000	46.847	-78.9430
1.172000	46.573	-80.1374
1.180000	46.465	-80.5647
1.206000	46.084	-81.9226
1.220000	45.854	-82.6319
1.241000	45.470	-83.6630
1.250000	45.290	-84.0917
1.265000	44.966	-84.7871
1.280000	44.611	-85.4571
1.315000	43.645	-86.9107
1.320000	43.490	-87.1048
1.340000	42.823	-87.8445
1.360000	42.046	-88.6510
1.380000	41.088	-89.8402
1.400000	39.972	-91.3443
1.430000	38.064	-93.9929
1.450000	36.679	-95.8880
1.475000	34.870	-98.2432
1.500000	33.028	-100.4181
1.525000	31.210	-102.2355
1.550000	29.472	-103.5186
1.575000	27.870	-104.0903
1.600000	26.461	-103.7736
1.625000	25.300	-102.3916
1.650000	24.444	-99.7672
1.675000	23.950	-95.7236
1.700000	23.863	-89.8765
1.725000	24.152	-81.7431
1.750000	24.765	-71.6709
1.775000	25.652	-60.0506
1.800000	26.761	-47.2727
1.825000	28.040	-33.7279
1.850000	29.437	-19.8068
1.875000	30.901	-5.9001
1.900000	32.380	7.6016
1.925000	33.823	20.3077
1.950000	35.179	31.8277
1.975000	36.395	41.7708
2.000000	37.420	49.7464
2.030000	38.347	56.2645
2.060000	39.107	60.1133
2.090000	39.767	61.8387
2.120000	40.337	61.7917
2.140000	40.674	60.9490
2.180000	41.262	57.7848
2.200000	41.520	55.6714
2.240000	41.982	50.9018
2.270000	42.298	47.2594
2.300000	42.600	43.9514
2.330000	42.902	41.3287
2.360000	43.215	39.7252
2.400000	43.599	38.1645
2.430000	43.845	36.9980
2.470000	44.128	35.4605
2.500000	44.311	34.3290
2.540000	44.526	32.8618
2.580000	44.717	31.4559
2.620000	44.895	30.1269
2.650000	45.028	29.1897
2.690000	45.210	28.0321
2.720000	45.346	27.2195
2.760000	45.508	26.1757
2.800000	45.651	25.1914
2.850000	45.812	24.0684
2.900000	45.962	23.0933
2.950000	46.111	22.2965
3.000000	46.268	21.7084
3.040000	46.406	21.4056
3.070000	46.509	21.2557
3.110000	46.643	21.1491
3.150000	46.776	21.1567
3.200000	46.945	21.3392
3.250000	47.123	21.7286
3.300000	47.316	22.3408
3.350000	47.528	23.1917
3.400000	47.762	24.3008
3.450000	48.013	25.6732
3.500000	48.277	27.2834
3.550000	48.557	29.1047
3.600000	48.850	31.1107
3.650000	49.157	33.2747
3.700000	49.478	35.5699
3.750000	49.817	38.0844
3.820000	50.322	42.0483
3.870000	50.699	45.0760
3.950000	51.321	50.0146
4.000000	51.714	53.0216
4.060000	52.185	56.4348
4.120000	52.667	59.8581
4.180000	53.158	63.2808
4.250000	53.736	67.1380
4.310000	54.229	70.2116
4.370000	54.712	72.9634
4.440000	55.268	75.7509
4.500000	55.742	77.8617
4.550000	56.133	79.4399
4.620000	56.673	81.3968
4.680000	57.127	82.8616
4.750000	57.644	84.3221
4.820000	58.148	85.4363
4.870000	58.502	86.0566
4.940000	58.989	86.7457
5.000000	59.397	87.2288
5.080000	59.930	87.7917
5.150000	60.383	88.1153
5.220000	60.826	88.2949
5.300000	61.321	88.3873
5.380000	61.807	88.4303
5.450000	62.224	88.4253
