* Measurement data measured by REW V5.30.9
* Source: EQ panda L Filtered
* Format: 
* Dated: 07 18, 24 9:21:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Personal Projects\IEM Review Pics\MEETS\JUE MEET\panda L.txt Format: Comma/Tab/Space delimited data 686 values loaded, 1 Hz to 20,054 Hz log spaced  PK       Fc    7900 Hz  Gain  -9.00 dB  Q  5.000 PK       Fc    6500 Hz  Gain   2.00 dB  Q  5.000 LS       Fc   300.0 Hz  Gain   5.00 dB PK       Fc   17000 Hz  Gain  10.00 dB  Q  8.000 PK       Fc   18000 Hz  Gain  10.00 dB  Q  4.000 HS       Fc   15000 Hz  Gain  -4.00 dB LS       Fc   300.0 Hz  Gain  -5.00 dB HS       Fc    8000 Hz  Gain   4.00 dB
* Measurement: EQ panda L
* Smoothing: 1/3 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	46.793	-94.6592
1.015000	46.786	-94.8810
1.030000	46.777	-95.1753
1.044000	46.767	-95.5033
1.060000	46.752	-95.9269
1.075000	46.736	-96.3584
1.090000	46.717	-96.8120
1.106000	46.695	-97.3105
1.120000	46.674	-97.7525
1.138000	46.644	-98.3214
1.150000	46.622	-98.6981
1.172000	46.578	-99.3780
1.180000	46.561	-99.6209
1.206000	46.501	-100.3908
1.220000	46.466	-100.7920
1.241000	46.409	-101.3750
1.250000	46.383	-101.6176
1.265000	46.338	-102.0121
1.280000	46.290	-102.3938
1.315000	46.167	-103.2322
1.320000	46.148	-103.3457
1.340000	46.069	-103.7833
1.360000	45.984	-104.1932
1.380000	45.893	-104.5738
1.400000	45.796	-104.9232
1.430000	45.638	-105.3844
1.450000	45.525	-105.6469
1.475000	45.375	-105.9201
1.500000	45.215	-106.1277
1.525000	45.046	-106.2640
1.550000	44.867	-106.3222
1.575000	44.679	-106.2946
1.600000	44.483	-106.1724
1.625000	44.280	-105.9460
1.650000	44.071	-105.6044
1.675000	43.856	-105.1360
1.700000	43.636	-104.5286
1.725000	43.411	-103.7698
1.750000	43.184	-102.8472
1.775000	42.953	-101.7489
1.800000	42.721	-100.4638
