* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 29, 24 3:58:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SM1 Lite F R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	45.767	-48.0207
1.015000	45.593	-48.2123
1.030000	45.415	-48.3720
1.044000	45.244	-48.4914
1.060000	45.043	-48.5922
1.075000	44.849	-48.6512
1.090000	44.649	-48.6751
1.106000	44.429	-48.6694
1.120000	44.224	-48.6828
1.138000	43.945	-48.7288
1.150000	43.749	-48.7712
1.172000	43.374	-48.8582
1.180000	43.233	-48.8888
1.206000	42.760	-48.9655
1.220000	42.498	-48.9817
1.241000	42.099	-48.9557
1.250000	41.925	-48.9214
1.265000	41.635	-48.8270
1.280000	41.344	-48.6792
1.315000	40.669	-48.0825
1.320000	40.574	-47.9641
1.340000	40.198	-47.3962
1.360000	39.831	-46.6631
1.380000	39.477	-45.7460
1.400000	39.139	-44.6261
1.430000	38.667	-42.5251
1.450000	38.380	-40.8162
1.475000	38.055	-38.2793
1.500000	37.731	-35.1179
1.525000	37.405	-31.3719
1.550000	37.083	-27.1340
1.575000	36.768	-22.4969
1.600000	36.467	-17.5534
1.625000	36.184	-12.3963
1.650000	35.925	-7.1181
1.675000	35.695	-1.8117
1.700000	35.499	3.4303
1.725000	35.342	8.5151
1.750000	35.230	13.3500
1.775000	35.168	17.8423
1.800000	35.160	21.8993
1.825000	35.212	25.4281
1.850000	35.336	28.4573
1.875000	35.543	31.2360
1.900000	35.824	33.7873
1.925000	36.168	36.1231
1.950000	36.565	38.2552
1.975000	37.004	40.1953
2.000000	37.476	41.9552
2.030000	38.069	43.8458
2.060000	38.676	45.5143
2.090000	39.277	46.9811
2.120000	39.856	48.2664
2.140000	40.221	49.0326
2.180000	40.874	50.3743
2.200000	41.152	50.9611
2.240000	41.661	51.7791
2.270000	42.021	52.0563
2.300000	42.364	52.0844
2.330000	42.693	51.8983
2.360000	43.007	51.5333
2.400000	43.409	50.8290
2.430000	43.700	50.1830
2.470000	44.076	49.2314
2.500000	44.352	48.4956
2.540000	44.716	47.5518
2.580000	45.075	46.6979
2.620000	45.418	45.7447
2.650000	45.664	44.9439
2.690000	45.979	43.7825
2.720000	46.208	42.8552
2.760000	46.504	41.5648
2.800000	46.795	40.2363
2.850000	47.154	38.5615
2.900000	47.514	36.9183
2.950000	47.880	35.3364
3.000000	48.242	33.6803
3.040000	48.527	32.3054
3.070000	48.738	31.2627
3.110000	49.019	29.8789
3.150000	49.298	28.5272
3.200000	49.648	26.9239
