* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.270
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 1:52:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ace 2 ambient L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	32.401	81.8986
1.015000	32.202	78.6693
1.030000	32.034	75.4261
1.044000	31.908	72.3913
1.060000	31.804	68.9196
1.075000	31.748	65.6671
1.090000	31.737	62.4226
1.106000	31.777	58.9563
1.120000	31.854	55.8119
1.138000	32.006	51.6033
1.150000	32.139	48.7060
1.172000	32.441	43.2332
1.180000	32.568	41.1992
1.206000	33.039	34.4638
1.220000	33.326	30.7785
1.241000	33.791	25.2078
1.250000	34.002	22.8136
1.265000	34.367	18.8265
1.280000	34.746	14.8567
1.315000	35.667	5.7477
1.320000	35.802	4.4723
1.340000	36.342	-0.5418
1.360000	36.880	-5.3886
1.380000	37.411	-10.0319
1.400000	37.927	-14.4352
1.430000	38.657	-20.5108
1.450000	39.105	-24.1553
1.475000	39.616	-28.2016
1.500000	40.117	-31.7561
1.525000	40.621	-34.8820
1.550000	41.124	-37.6253
1.575000	41.627	-40.0317
1.600000	42.126	-42.1472
1.625000	42.622	-44.0174
1.650000	43.112	-45.6883
1.675000	43.595	-47.2057
1.700000	44.070	-48.6154
1.725000	44.534	-49.9633
1.750000	44.987	-51.2952
1.775000	45.427	-52.6568
1.800000	45.853	-54.0941
1.825000	46.263	-55.6529
1.850000	46.657	-57.3030
1.875000	47.035	-58.8889
1.900000	47.400	-60.4097
1.925000	47.752	-61.8715
1.950000	48.092	-63.2809
1.975000	48.422	-64.6441
2.000000	48.742	-65.9675
2.030000	49.115	-67.5118
2.060000	49.478	-69.0190
2.090000	49.832	-70.4998
2.120000	50.179	-71.9653
2.140000	50.407	-72.9391
2.180000	50.859	-74.8940
2.200000	51.084	-75.8813
2.240000	51.524	-77.8347
2.270000	51.842	-79.2688
2.300000	52.151	-80.6786
2.330000	52.452	-82.0664
2.360000	52.746	-83.4341
2.400000	53.127	-85.2303
2.430000	53.406	-86.5596
2.470000	53.770	-88.3121
2.500000	54.038	-89.6143
2.540000	54.390	-91.3384
2.580000	54.736	-93.0516
2.620000	55.074	-94.7433
2.650000	55.320	-95.9966
2.690000	55.640	-97.6480
2.720000	55.875	-98.8724
2.760000	56.181	-100.4868
2.800000	56.479	-102.0815
