* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 23, 24 5:55:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: castor DDDD L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	48.987	-76.8677
1.015000	48.856	-77.7620
1.030000	48.725	-78.6492
1.044000	48.602	-79.4698
1.060000	48.461	-80.3986
1.075000	48.328	-81.2603
1.090000	48.194	-82.1130
1.106000	48.048	-83.0124
1.120000	47.918	-83.7905
1.138000	47.748	-84.7786
1.150000	47.631	-85.4293
1.172000	47.411	-86.6054
1.180000	47.328	-87.0275
1.206000	47.050	-88.3784
1.220000	46.893	-89.0922
1.241000	46.647	-90.1444
1.250000	46.538	-90.5884
1.265000	46.350	-91.3191
1.280000	46.154	-92.0379
1.315000	45.664	-93.6673
1.320000	45.590	-93.8945
1.340000	45.284	-94.7889
1.360000	44.961	-95.7583
1.380000	44.627	-97.0436
1.400000	44.281	-98.5901
1.430000	43.741	-101.2418
1.450000	43.367	-103.1255
1.475000	42.882	-105.4836
1.500000	42.378	-107.7138
1.525000	41.855	-109.6751
1.550000	41.313	-111.2263
1.575000	40.752	-112.2265
1.600000	40.172	-112.5345
1.625000	39.571	-112.0092
1.650000	38.951	-110.5096
1.675000	38.310	-107.8947
1.700000	37.614	-103.9166
1.725000	36.781	-98.3282
1.750000	35.837	-91.3623
1.775000	34.816	-83.2757
1.800000	33.749	-74.3248
1.825000	32.670	-64.7664
1.850000	31.612	-54.8571
1.875000	30.607	-44.8535
1.900000	29.689	-35.0123
1.925000	28.889	-25.5900
1.950000	28.242	-16.8432
1.975000	27.779	-9.0287
2.000000	27.533	-2.4031
2.030000	27.574	3.7044
2.060000	28.010	8.4663
2.090000	28.787	12.2181
2.120000	29.840	15.0907
2.140000	30.661	16.5821
2.180000	32.502	18.7224
2.200000	33.482	19.4489
2.240000	35.463	20.4089
2.270000	36.889	20.8502
2.300000	38.190	21.1981
2.330000	39.299	21.5837
2.360000	40.152	22.1284
2.400000	41.033	22.5157
2.430000	41.581	22.3845
2.470000	42.186	21.7688
2.500000	42.563	21.0590
2.540000	42.990	19.9035
2.580000	43.357	18.6476
2.620000	43.697	17.4426
2.650000	43.954	16.6632
2.690000	44.322	15.9112
2.720000	44.607	15.5180
2.760000	44.951	15.0046
2.800000	45.259	14.5200
2.850000	45.606	13.9828
2.900000	45.922	13.5554
2.950000	46.220	13.2739
3.000000	46.514	13.1742
3.040000	46.754	13.2461
3.070000	46.928	13.3632
3.110000	47.148	13.5927
3.150000	47.356	13.9151
3.200000	47.607	14.4645
3.250000	47.851	15.1949
3.300000	48.096	16.1261
3.350000	48.346	17.2781
3.400000	48.604	18.6672
3.450000	48.859	20.2852
3.500000	49.114	22.1144
3.550000	49.370	24.1373
3.600000	49.629	26.3362
3.650000	49.894	28.6934
3.700000	50.167	31.1914
3.750000	50.448	33.9144
3.820000	50.852	38.1650
3.870000	51.146	41.3955
3.950000	51.626	46.6591
4.000000	51.931	49.8719
4.060000	52.300	53.5375
4.120000	52.677	57.2239
4.180000	53.061	60.9154
4.250000	53.513	65.0840
4.310000	53.902	68.4149
4.370000	54.288	71.4076
4.440000	54.739	74.4601
4.500000	55.126	76.7906
4.550000	55.449	78.5430
4.620000	55.899	80.7247
4.680000	56.282	82.3595
4.750000	56.723	83.9876
4.820000	57.160	85.2428
4.870000	57.471	85.9474
4.940000	57.902	86.7313
5.000000	58.269	87.2731
5.080000	58.751	87.8804
5.150000	59.169	88.2095
5.220000	59.582	88.3660
5.300000	60.049	88.4006
5.380000	60.510	88.3567
5.450000	60.910	88.2493
5.520000	61.305	88.0375
5.600000	61.751	87.7123
5.700000	62.302	87.2575
5.800000	62.845	86.7854
5.900000	63.380	86.2485
6.000000	63.906	85.6913
6.080000	64.322	85.2612
6.150000	64.681	84.8903
6.220000	65.036	84.5194
6.300000	65.437	84.0970
6.400000	65.930	83.5741
6.500000	66.414	83.0620
6.600000	66.890	82.5552
6.700000	67.357	82.0418
6.800000	67.816	81.5132
6.900000	68.267	80.9737
7.000000	68.711	80.4287
7.100000	69.148	79.8828
7.200000	69.578	79.3355
7.300000	70.002	78.7850
7.400000	70.421	78.2304
7.500000	70.835	77.6671
7.620000	71.324	76.9847
7.750000	71.848	76.2589
7.880000	72.364	75.5531
8.000000	72.834	74.9148
8.120000	73.297	74.2903
8.250000	73.791	73.6299
8.380000	74.275	72.9836
8.500000	74.712	72.3972
8.620000	75.140	71.8211
8.750000	75.592	71.2122
8.850000	75.931	70.7560
9.000000	76.427	70.0893
9.120000	76.811	69.5684
9.250000	77.216	69.0134
9.380000	77.609	68.4771
9.500000	77.964	68.0072
9.620000	78.310	67.5593
9.750000	78.677	67.0939
9.880000	79.037	66.6501
10.000000	79.364	66.2574
10.150000	79.766	65.7759
10.300000	80.161	65.3060
10.440000	80.523	64.8742
10.600000	80.931	64.3883
10.750000	81.305	63.9354
10.900000	81.671	63.4770
11.060000	82.051	62.9884
11.200000	82.374	62.5658
11.380000	82.776	62.0317
11.500000	83.037	61.6992
11.720000	83.499	61.1354
11.800000	83.664	60.9499
12.060000	84.187	60.4210
12.200000	84.465	60.1720
12.410000	84.880	59.8408
12.500000	85.058	59.7055
12.650000	85.356	59.4969
12.800000	85.654	59.2679
13.150000	86.330	58.5922
13.200000	86.393	58.4696
13.400000	86.576	57.9242
13.600000	86.696	57.3327
13.800000	86.771	56.7056
14.000000	86.838	56.0589
14.300000	86.916	55.1321
14.500000	86.955	54.6045
14.750000	86.986	54.1346
15.000000	87.023	53.8305
15.250000	87.082	53.6297
15.500000	87.165	53.4784
15.750000	87.264	53.3384
16.000000	87.383	53.0894
16.250000	87.516	52.6971
16.500000	87.652	52.1588
16.750000	87.769	51.5388
17.000000	87.873	50.8574
17.250000	87.964	50.1497
17.500000	88.043	49.4557
17.750000	88.102	48.8386
18.000000	88.155	48.2883
18.250000	88.206	47.8071
18.500000	88.260	47.3986
18.750000	88.311	47.0792
19.000000	88.373	46.8032
19.250000	88.446	46.5405
19.500000	88.531	46.2631
19.750000	88.618	45.9510
20.000000	88.708	45.5648
20.299999	88.813	45.0008
20.600000	88.905	44.3707
20.900000	88.975	43.7495
21.200001	89.033	43.1766
21.400000	89.069	42.8473
21.799999	89.140	42.3205
22.000000	89.182	42.0793
22.400000	89.278	41.5584
22.700001	89.349	41.1160
23.000000	89.409	40.6410
23.299999	89.461	40.1725
23.600000	89.504	39.7922
24.000000	89.567	39.4789
24.299999	89.639	39.2981
24.700001	89.766	38.9748
25.000000	89.872	38.5556
25.400000	90.002	37.7031
25.799999	90.080	36.7155
26.200001	90.112	35.8273
26.500000	90.119	35.3415
26.900000	90.129	34.9557
27.200001	90.155	34.7640
27.600000	90.212	34.5119
28.000000	90.278	34.1887
28.500000	90.363	33.6684
29.000000	90.441	33.1396
29.500000	90.532	32.5133
30.000000	90.611	31.6739
30.400000	90.648	30.8293
30.700001	90.647	30.2057
31.100000	90.612	29.5402
31.500000	90.568	29.1890
32.000000	90.553	29.1824
32.500000	90.631	29.2220
33.000000	90.764	28.8671
33.500000	90.891	27.9990
34.000000	90.965	26.9815
34.500000	91.014	26.0762
35.000000	91.064	25.2898
35.500000	91.117	24.4239
36.000000	91.137	23.5869
36.500000	91.138	23.0114
37.000000	91.166	22.7743
37.500000	91.253	22.4774
38.200001	91.369	21.5121
38.700001	91.384	20.8238
39.500000	91.420	20.5482
40.000000	91.526	20.3072
40.599998	91.640	19.2992
41.200001	91.632	18.2082
41.799999	91.590	17.8346
42.500000	91.666	17.6403
43.099998	91.753	16.7369
43.700001	91.728	15.6413
44.400002	91.654	15.3311
45.000000	91.719	15.4296
45.500000	91.838	14.9306
46.200001	91.913	13.3748
46.799999	91.844	12.3207
47.500000	91.794	12.1425
48.200001	91.911	11.8240
48.700001	91.991	10.8457
49.400002	91.932	9.4033
50.000000	91.829	9.2295
50.799999	91.905	9.5916
51.500000	92.030	8.8758
52.200001	92.031	8.2076
53.000000	92.125	8.2800
53.799999	92.339	6.9928
54.500000	92.299	5.0871
55.200001	92.114	4.5569
56.000000	92.123	5.1183
57.000000	92.319	4.1148
58.000000	92.370	2.5064
59.000000	92.393	0.7295
60.000000	92.223	-0.6268
60.799999	92.145	-0.2285
61.500000	92.248	-0.1269
62.200001	92.325	-1.0179
63.000000	92.238	-2.0990
64.000000	92.088	-1.9997
65.000000	92.184	-1.8886
66.000000	92.278	-3.5771
67.000000	92.177	-5.0104
68.000000	92.216	-5.6217
69.000000	92.293	-7.0149
70.000000	92.280	-7.6892
71.000000	92.368	-8.1361
72.000000	92.312	-8.8723
73.000000	92.219	-8.4116
74.000000	92.216	-8.6913
75.000000	92.041	-9.4405
76.199997	91.854	-10.0084
77.500000	91.732	-10.4882
78.800003	91.967	-12.1956
80.000000	92.007	-15.0779
81.199997	91.900	-16.5522
82.500000	91.911	-16.4159
83.800003	91.880	-17.0871
85.000000	91.820	-16.3289
86.199997	91.911	-16.7612
87.500000	91.925	-17.8561
88.500000	91.929	-19.3396
90.000000	91.660	-20.6779
91.199997	91.707	-20.1635
92.500000	91.761	-21.4871
93.800003	91.678	-22.1256
95.000000	91.623	-22.4544
96.199997	91.665	-23.0298
97.500000	91.584	-24.2156
98.800003	91.544	-24.7570
100.000000	91.457	-25.7493
101.500000	91.328	-25.7616
103.000000	91.394	-26.7531
104.400002	91.293	-27.8348
106.000000	91.229	-28.6799
107.500000	91.175	-29.3759
109.000000	91.089	-30.0460
110.599998	90.945	-30.8491
112.000000	90.900	-31.5521
113.800003	90.798	-32.4305
115.000000	90.880	-32.9801
117.199997	90.758	-33.0855
118.000000	90.787	-34.0716
120.599998	90.863	-33.5178
122.000000	90.360	-36.0581
124.099998	90.371	-37.5342
125.000000	90.262	-37.5624
126.500000	90.292	-38.0757
128.000000	90.235	-38.3518
131.500000	89.983	-39.3730
132.000000	89.949	-39.5467
134.000000	89.840	-40.4959
