* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 5, 24 10:54:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: cra 2024 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	49.213	-50.2350
1.015000	48.968	-50.0971
1.030000	48.698	-49.9305
1.044000	48.423	-49.7572
1.060000	48.084	-49.5319
1.075000	47.747	-49.2882
1.090000	47.393	-49.0069
1.106000	47.002	-48.6590
1.120000	46.651	-48.3084
1.138000	46.191	-47.7864
1.150000	45.881	-47.3893
1.172000	45.315	-46.5478
1.180000	45.111	-46.2024
1.206000	44.462	-44.9208
1.220000	44.126	-44.1220
1.241000	43.647	-42.7680
1.250000	43.452	-42.1271
1.265000	43.145	-40.9733
1.280000	42.861	-39.7074
1.315000	42.312	-36.2847
1.320000	42.248	-35.7389
1.340000	42.032	-33.4052
1.360000	41.880	-30.7450
1.380000	41.775	-27.5755
1.400000	41.711	-23.9535
1.430000	41.689	-17.8262
1.450000	41.719	-13.3815
1.475000	41.801	-7.5448
1.500000	41.927	-1.5248
1.525000	42.092	4.5408
1.550000	42.291	10.5140
1.575000	42.517	16.2570
1.600000	42.765	21.6320
1.625000	43.029	26.5011
1.650000	43.304	30.7264
1.675000	43.584	34.1703
1.700000	43.879	35.0538
1.725000	44.225	35.2673
1.750000	44.616	35.6263
1.775000	45.045	36.1018
1.800000	45.503	36.6650
1.825000	45.982	37.2867
1.850000	46.475	37.9380
1.875000	46.972	38.5899
1.900000	47.467	39.2134
1.925000	47.950	39.7795
1.950000	48.415	40.2592
1.975000	48.851	40.6235
2.000000	49.253	40.8435
2.030000	49.679	40.8021
2.060000	50.068	40.3973
2.090000	50.430	39.7920
2.120000	50.769	39.0158
2.140000	50.983	38.4181
2.180000	51.388	37.0695
2.200000	51.581	36.3363
