* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 08 20, 24 11:23:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: draco R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	77.285	-95.5509
1.015000	77.471	-95.6556
1.030000	77.655	-95.7652
1.044000	77.824	-95.8720
1.060000	78.015	-95.9996
1.075000	78.191	-96.1249
1.090000	78.364	-96.2558
1.106000	78.547	-96.4018
1.120000	78.706	-96.5353
1.138000	78.912	-96.7147
1.150000	79.048	-96.8388
1.172000	79.298	-97.0755
1.180000	79.388	-97.1644
1.206000	79.677	-97.4629
1.220000	79.831	-97.6295
1.241000	80.057	-97.8864
1.250000	80.152	-97.9990
1.265000	80.309	-98.1898
1.280000	80.461	-98.3842
1.315000	80.801	-98.8507
1.320000	80.848	-98.9187
1.340000	81.029	-99.1936
1.360000	81.200	-99.4730
1.380000	81.360	-99.7560
1.400000	81.509	-100.0423
1.430000	81.709	-100.4766
1.450000	81.825	-100.7684
1.475000	81.950	-101.1355
1.500000	82.045	-101.5112
1.525000	82.113	-101.8961
1.550000	82.158	-102.2897
1.575000	82.182	-102.6910
1.600000	82.189	-103.0994
1.625000	82.183	-103.5141
1.650000	82.167	-103.9343
1.675000	82.144	-104.3593
1.700000	82.117	-104.7883
1.725000	82.091	-105.2205
1.750000	82.068	-105.6552
1.775000	82.052	-106.0917
1.800000	82.046	-106.5292
1.825000	82.053	-106.9669
1.850000	82.073	-107.4058
1.875000	82.094	-107.8496
1.900000	82.118	-108.2980
1.925000	82.143	-108.7505
1.950000	82.170	-109.2066
1.975000	82.197	-109.6656
2.000000	82.226	-110.1272
2.030000	82.262	-110.6838
2.060000	82.299	-111.2424
2.090000	82.337	-111.8022
2.120000	82.375	-112.3622
2.140000	82.401	-112.7352
2.180000	82.454	-113.4795
2.200000	82.480	-113.8502
2.240000	82.533	-114.5924
2.270000	82.575	-115.1507
2.300000	82.618	-115.7101
2.330000	82.661	-116.2704
2.360000	82.706	-116.8314
2.400000	82.766	-117.5798
2.430000	82.811	-118.1411
2.470000	82.873	-118.8891
2.500000	82.918	-119.4493
2.540000	82.979	-120.1948
2.580000	83.040	-120.9385
2.620000	83.102	-121.6837
2.650000	83.148	-122.2433
2.690000	83.211	-122.9898
2.720000	83.259	-123.5491
2.760000	83.322	-124.2934
2.800000	83.385	-125.0349
2.850000	83.462	-125.9560
2.900000	83.538	-126.8687
2.950000	83.612	-127.7715
3.000000	83.685	-128.6692
3.040000	83.742	-129.3838
3.070000	83.785	-129.9173
3.110000	83.841	-130.6245
3.150000	83.897	-131.3264
3.200000	83.965	-132.1953
3.250000	84.031	-133.0533
3.300000	84.095	-133.8991
3.350000	84.158	-134.7343
3.400000	84.219	-135.5605
3.450000	84.279	-136.3768
3.500000	84.338	-137.1826
3.550000	84.394	-137.9770
3.600000	84.449	-138.7593
3.650000	84.501	-139.5288
3.700000	84.552	-140.2858
3.750000	84.601	-141.0322
3.820000	84.667	-142.0580
3.870000	84.711	-142.7757
3.950000	84.779	-143.8957
4.000000	84.819	-144.5767
4.060000	84.865	-145.3738
4.120000	84.908	-146.1515
4.180000	84.948	-146.9095
4.250000	84.992	-147.7675
4.310000	85.028	-148.4793
4.370000	85.061	-149.1682
4.440000	85.097	-149.9423
4.500000	85.125	-150.5817
4.550000	85.147	-151.0975
4.620000	85.176	-151.7935
4.680000	85.198	-152.3658
4.750000	85.224	-153.0050
4.820000	85.248	-153.6123
4.870000	85.264	-154.0262
4.940000	85.285	-154.5792
5.000000	85.302	-155.0301
5.080000	85.324	-155.6006
5.150000	85.343	-156.0725
5.220000	85.362	-156.5130
5.300000	85.382	-156.9809
5.380000	85.403	-157.4187
5.450000	85.421	-157.7834
5.520000	85.440	-158.1352
5.600000	85.463	-158.5105
5.700000	85.492	-158.9460
5.800000	85.521	-159.3601
5.900000	85.552	-159.7669
6.000000	85.584	-160.1544
6.080000	85.611	-160.4547
6.150000	85.634	-160.7161
6.220000	85.656	-160.9808
6.300000	85.681	-161.2866
6.400000	85.713	-161.6681
6.500000	85.742	-162.0526
6.600000	85.769	-162.4443
6.700000	85.792	-162.8463
6.800000	85.813	-163.2551
6.900000	85.829	-163.6649
7.000000	85.839	-164.0721
7.100000	85.845	-164.4854
7.200000	85.845	-164.8949
7.300000	85.840	-165.2859
7.400000	85.828	-165.6547
7.500000	85.810	-166.0112
7.620000	85.782	-166.4011
7.750000	85.745	-166.7520
7.880000	85.699	-167.0403
8.000000	85.654	-167.2388
8.120000	85.611	-167.3549
8.250000	85.561	-167.3886
8.380000	85.518	-167.3502
8.500000	85.489	-167.2580
8.620000	85.469	-167.0967
8.750000	85.460	-166.9042
8.850000	85.464	-166.7721
9.000000	85.489	-166.5588
9.120000	85.520	-166.4427
9.250000	85.566	-166.4204
9.380000	85.626	-166.4786
9.500000	85.682	-166.6340
9.620000	85.736	-166.9109
9.750000	85.796	-167.3321
9.880000	85.839	-167.8503
10.000000	85.856	-168.4276
10.150000	85.854	-169.2606
10.300000	85.821	-170.0833
10.440000	85.758	-170.8684
10.600000	85.659	-171.6759
10.750000	85.541	-172.2517
10.900000	85.404	-172.6801
11.060000	85.260	-172.9142
11.200000	85.133	-172.9298
11.380000	84.995	-172.7273
11.500000	84.925	-172.4148
11.720000	84.843	-171.7070
11.800000	84.835	-171.4653
12.060000	84.871	-170.7571
12.200000	84.916	-170.6380
12.410000	85.008	-170.7558
12.500000	85.043	-170.9093
12.650000	85.103	-171.3308
12.800000	85.146	-171.8432
13.150000	85.133	-173.1652
13.200000	85.122	-173.3084
13.400000	85.044	-173.7701
13.600000	84.958	-173.8815
13.800000	84.874	-173.5372
14.000000	84.844	-172.9487
14.300000	84.914	-171.8031
14.500000	85.053	-171.2455
14.750000	85.271	-171.0889
15.000000	85.506	-171.6519
15.250000	85.682	-172.9214
15.500000	85.767	-174.4980
15.750000	85.748	-176.1232
16.000000	85.635	-177.4073
16.250000	85.483	-178.1366
16.500000	85.328	-178.2870
16.750000	85.226	-177.8964
17.000000	85.206	-177.4309
17.250000	85.253	-177.1255
17.500000	85.341	-177.2783
17.750000	85.407	-177.8773
18.000000	85.428	-178.7769
18.250000	85.380	-179.8078
18.500000	85.268	179.4032
18.750000	85.123	178.9799
19.000000	84.972	179.0328
19.250000	84.867	179.4525
19.500000	84.819	-179.9787
19.750000	84.836	-179.4346
20.000000	84.896	-179.1888
20.299999	84.981	-179.3088
20.600000	85.044	-179.7958
20.900000	85.063	179.5627
21.200001	85.038	178.9848
21.400000	85.010	178.7196
21.799999	84.955	178.4802
22.000000	84.939	178.4654
22.400000	84.946	178.4657
22.700001	84.976	178.3838
23.000000	85.010	178.1637
23.299999	85.036	177.8130
23.600000	85.043	177.4032
24.000000	85.021	176.8943
24.299999	84.988	176.6293
24.700001	84.941	176.4924
25.000000	84.920	176.5121
25.400000	84.921	176.5504
25.799999	84.943	176.4425
26.200001	84.957	176.1361
26.500000	84.953	175.8489
26.900000	84.929	175.5275
27.200001	84.911	175.3647
27.600000	84.904	175.1874
28.000000	84.917	174.8976
28.500000	84.924	174.2471
29.000000	84.885	173.5078
29.500000	84.812	173.0078
30.000000	84.762	172.7981
30.400000	84.755	172.6373
30.700001	84.761	172.4390
31.100000	84.762	172.0723
31.500000	84.748	171.6815
32.000000	84.716	171.3322
32.500000	84.694	171.1556
33.000000	84.695	171.0288
33.500000	84.707	170.8242
34.000000	84.712	170.5325
34.500000	84.696	170.2448
35.000000	84.666	170.1129
35.500000	84.649	170.1644
36.000000	84.667	170.2086
36.500000	84.701	169.9992
37.000000	84.701	169.5729
37.500000	84.655	169.2397
38.200001	84.595	169.2648
38.700001	84.607	169.3032
39.500000	84.623	168.7679
40.000000	84.584	168.4086
40.599998	84.538	168.2814
41.200001	84.541	168.1204
41.799999	84.538	167.6149
42.500000	84.463	167.0767
43.099998	84.404	167.0544
43.700001	84.408	167.0648
44.400002	84.438	166.6540
45.000000	84.426	166.1212
45.500000	84.395	165.7694
46.200001	84.354	165.4705
46.799999	84.335	165.2792
47.500000	84.318	165.0127
48.200001	84.291	164.7829
48.700001	84.276	164.7188
49.400002	84.284	164.6234
50.000000	84.294	164.3256
50.799999	84.254	163.8767
51.500000	84.210	163.7887
52.200001	84.201	163.7095
53.000000	84.182	163.4453
53.799999	84.166	163.2821
54.500000	84.176	162.9659
55.200001	84.150	162.4588
56.000000	84.090	162.1874
57.000000	84.082	161.9373
58.000000	84.049	161.4041
59.000000	84.008	161.1415
60.000000	83.984	160.7893
60.799999	83.959	160.5411
61.500000	83.946	160.2992
62.200001	83.929	159.9743
63.000000	83.895	159.6078
64.000000	83.839	159.2239
65.000000	83.792	159.0486
66.000000	83.781	158.8598
67.000000	83.783	158.4973
68.000000	83.758	157.9088
69.000000	83.685	157.5748
70.000000	83.655	157.4593
71.000000	83.623	157.1246
72.000000	83.583	156.8856
73.000000	83.536	156.6376
74.000000	83.509	156.6597
75.000000	83.533	156.2606
76.199997	83.457	155.6936
77.500000	83.417	155.4908
78.800003	83.364	155.1907
80.000000	83.348	154.8893
81.199997	83.292	154.4713
82.500000	83.248	154.2546
83.800003	83.210	153.9483
85.000000	83.186	153.6597
86.199997	83.147	153.2587
87.500000	83.095	152.9395
88.500000	83.055	152.7593
90.000000	83.021	152.4502
91.199997	82.972	152.1657
92.500000	82.936	151.8932
93.800003	82.859	151.7491
95.000000	82.868	151.7462
96.199997	82.830	151.1225
97.500000	82.753	150.9250
98.800003	82.694	150.6498
100.000000	82.670	150.5262
101.500000	82.632	149.9725
103.000000	82.583	149.6865
104.400002	82.542	149.4626
106.000000	82.486	149.1882
107.500000	82.445	149.1122
109.000000	82.398	148.8766
110.599998	82.359	148.5803
112.000000	82.340	148.2177
113.800003	82.251	147.7740
115.000000	82.236	147.5120
117.199997	82.168	147.3607
118.000000	82.157	147.1290
120.599998	82.070	146.6170
122.000000	82.001	146.5923
124.099998	81.942	146.2762
125.000000	81.889	146.2648
126.500000	81.882	146.1410
128.000000	81.815	145.7134
131.500000	81.733	145.1800
132.000000	81.710	144.9856
134.000000	81.652	144.8192
136.000000	81.622	144.7823
138.000000	81.551	144.2849
140.000000	81.506	144.1360
143.000000	81.428	143.8632
145.000000	81.384	143.6017
147.500000	81.306	143.2994
150.000000	81.249	143.0448
152.500000	81.185	142.8680
155.000000	81.114	142.6564
157.500000	81.056	142.3072
160.000000	80.991	142.2056
162.500000	80.894	142.0334
165.000000	80.808	141.5833
167.500000	80.723	141.4862
170.000000	80.663	141.1609
172.500000	80.599	141.1487
175.000000	80.501	140.8685
177.500000	80.427	140.5861
180.000000	80.365	140.4639
182.500000	80.293	140.3389
185.000000	80.211	140.2302
187.500000	80.160	140.0385
190.000000	80.091	139.9052
192.500000	80.009	139.8200
195.000000	79.921	139.5844
197.500000	79.860	139.4596
200.000000	79.798	139.2117
203.000000	79.741	138.9771
206.000000	79.672	138.8868
209.000000	79.614	138.7399
212.000000	79.514	138.5609
214.000000	79.491	138.3873
218.000000	79.400	138.1077
220.000000	79.365	138.1287
224.000000	79.267	137.8899
227.000000	79.207	137.7455
230.000000	79.137	137.6369
233.000000	79.082	137.5077
236.000000	79.017	137.3853
240.000000	78.929	137.1804
243.000000	78.869	137.1234
247.000000	78.789	137.0147
250.000000	78.720	136.9594
254.000000	78.630	136.9370
258.000000	78.547	136.8249
262.000000	78.467	136.6733
265.000000	78.399	136.5927
269.000000	78.312	136.5704
272.000000	78.251	136.5784
276.000000	78.185	136.5143
280.000000	78.088	136.5057
285.000000	77.983	136.5617
290.000000	77.905	136.5235
295.000000	77.823	136.5031
300.000000	77.727	136.4449
304.000000	77.656	136.4338
307.000000	77.627	136.4695
311.000000	77.569	136.5464
315.000000	77.497	136.4742
320.000000	77.397	136.3847
325.000000	77.331	136.4782
330.000000	77.261	136.5433
335.000000	77.172	136.5923
340.000000	77.091	136.4870
345.000000	77.039	136.4252
350.000000	76.959	136.5937
355.000000	76.900	136.6487
360.000000	76.827	136.5916
365.000000	76.750	136.6082
370.000000	76.676	136.7689
375.000000	76.618	136.7630
382.000000	76.524	136.8749
387.000000	76.457	136.7685
395.000000	76.360	137.0141
400.000000	76.296	137.0976
406.000000	76.219	137.1635
412.000000	76.138	137.2448
418.000000	76.075	137.3143
425.000000	75.991	137.4435
431.000000	75.928	137.6424
437.000000	75.865	137.7499
444.000000	75.800	137.8547
450.000000	75.738	138.0231
455.000000	75.684	138.1380
462.000000	75.623	138.3138
468.000000	75.555	138.4612
475.000000	75.494	138.7384
482.000000	75.414	138.8814
487.000000	75.376	139.0318
494.000000	75.325	139.2170
500.000000	75.275	139.4038
508.000000	75.215	139.6220
515.000000	75.169	139.8348
522.000000	75.116	140.1042
530.000000	75.062	140.3164
538.000000	75.010	140.4953
545.000000	74.946	140.8091
552.000000	74.905	141.1318
560.000000	74.859	141.4070
570.000000	74.805	141.6208
580.000000	74.767	142.0417
590.000000	74.717	142.3389
600.000000	74.668	142.6331
608.000000	74.624	142.9897
615.000000	74.590	143.3270
622.000000	74.555	143.5296
630.000000	74.523	143.7781
640.000000	74.489	144.1917
650.000000	74.448	144.6170
660.000000	74.419	145.0871
670.000000	74.396	145.4328
680.000000	74.380	145.8307
690.000000	74.354	146.1866
700.000000	74.344	146.6321
710.000000	74.319	146.9583
720.000000	74.298	147.3710
730.000000	74.284	147.7996
740.000000	74.269	148.2210
750.000000	74.271	148.6013
762.000000	74.264	149.2112
775.000000	74.250	149.8956
788.000000	74.243	150.6092
800.000000	74.253	151.2563
812.000000	74.278	151.8139
825.000000	74.298	152.5469
838.000000	74.339	153.3250
850.000000	74.374	153.8975
862.000000	74.437	154.4412
875.000000	74.509	155.0761
885.000000	74.561	155.5076
900.000000	74.647	156.1881
912.000000	74.719	156.8297
925.000000	74.788	157.3030
938.000000	74.875	157.8026
950.000000	74.962	158.3252
962.000000	75.051	158.7558
975.000000	75.147	159.1198
988.000000	75.250	159.5950
1000.000000	75.347	159.9922
1015.000000	75.489	160.3163
1030.000000	75.634	160.5840
1044.000000	75.767	160.9070
1060.000000	75.924	161.2116
1075.000000	76.086	161.2676
1090.000000	76.245	161.3718
1106.000000	76.395	161.5600
1120.000000	76.534	161.5272
1138.000000	76.723	161.4986
1150.000000	76.841	161.4133
1172.000000	77.058	161.2634
1180.000000	77.139	161.1767
1206.000000	77.400	160.7854
1220.000000	77.535	160.5350
1241.000000	77.742	160.0944
1250.000000	77.823	159.8687
1265.000000	77.964	159.5389
1280.000000	78.097	159.0854
1315.000000	78.385	158.1526
1320.000000	78.433	157.9659
1340.000000	78.594	157.2841
1360.000000	78.742	156.6342
1380.000000	78.888	155.9761
1400.000000	79.030	155.2083
1430.000000	79.237	154.0997
1450.000000	79.351	153.3621
1475.000000	79.503	152.3731
1500.000000	79.644	151.4037
1525.000000	79.771	150.3973
1550.000000	79.890	149.3476
