* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 26, 24 10:41:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: e6 black R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	48.689	-68.0672
1.015000	48.496	-68.7757
1.030000	48.306	-69.5330
1.044000	48.131	-70.2883
1.060000	47.932	-71.1971
1.075000	47.747	-72.0819
1.090000	47.560	-72.9869
1.106000	47.358	-73.9621
1.120000	47.179	-74.8134
1.138000	46.941	-75.8900
1.150000	46.777	-76.5878
1.172000	46.464	-77.8044
1.180000	46.345	-78.2211
1.206000	45.938	-79.4539
1.220000	45.703	-80.0259
1.241000	45.329	-80.7388
1.250000	45.159	-80.9846
1.265000	44.863	-81.3055
1.280000	44.549	-81.5060
1.315000	43.741	-81.4431
1.320000	43.616	-81.3674
1.340000	43.090	-80.8815
1.360000	42.500	-80.1182
1.380000	41.793	-79.1646
1.400000	40.984	-78.0287
1.430000	39.621	-75.9885
1.450000	38.642	-74.4075
1.475000	37.371	-72.1871
1.500000	36.085	-69.6999
1.525000	34.821	-66.9506
1.550000	33.615	-63.9439
1.575000	32.507	-60.6845
1.600000	31.534	-57.1772
1.625000	30.734	-53.4266
1.650000	30.143	-49.4377
1.675000	29.801	-45.2149
1.700000	29.735	-40.5818
1.725000	29.928	-35.1109
1.750000	30.343	-28.9341
1.775000	30.947	-22.2158
1.800000	31.705	-15.1207
1.825000	32.583	-7.8133
1.850000	33.546	-0.4584
1.875000	34.561	6.7795
1.900000	35.592	13.7358
1.925000	36.606	20.2459
1.950000	37.568	26.1451
1.975000	38.443	31.2689
2.000000	39.198	35.4527
2.030000	39.912	39.0310
2.060000	40.534	41.2299
2.090000	41.108	42.2878
2.120000	41.637	42.3892
2.140000	41.967	42.0165
2.180000	42.580	40.4606
2.200000	42.865	39.3866
2.240000	43.399	36.9201
2.270000	43.774	35.0067
2.300000	44.132	33.2440
2.330000	44.477	31.8164
2.360000	44.814	30.8989
2.400000	45.223	29.9070
2.430000	45.495	29.1102
2.470000	45.817	28.0017
2.500000	46.034	27.1521
2.540000	46.298	26.0197
2.580000	46.540	24.9154
2.620000	46.771	23.8694
2.650000	46.943	23.1416
2.690000	47.177	22.2710
2.720000	47.351	21.6768
2.760000	47.566	20.9097
2.800000	47.765	20.1845
2.850000	47.997	19.3594
2.900000	48.219	18.6515
2.950000	48.438	18.0896
3.000000	48.663	17.7023
3.040000	48.852	17.5346
3.070000	48.994	17.4707
3.110000	49.180	17.4592
3.150000	49.365	17.5403
3.200000	49.597	17.7852
3.250000	49.834	18.2063
3.300000	50.080	18.8209
3.350000	50.339	19.6466
3.400000	50.613	20.6983
3.450000	50.898	21.9694
3.500000	51.191	23.4435
3.550000	51.494	25.1046
3.600000	51.805	26.9362
3.650000	52.126	28.9221
3.700000	52.454	31.0460
3.750000	52.793	33.3872
3.820000	53.288	37.0857
3.870000	53.651	39.9167
3.950000	54.243	44.5470
4.000000	54.616	47.3759
4.060000	55.063	50.5999
4.120000	55.516	53.8510
4.180000	55.975	57.1148
4.250000	56.513	60.8034
4.310000	56.972	63.7473
4.370000	57.424	66.3832
4.440000	57.946	69.0560
4.500000	58.391	71.0859
4.550000	58.760	72.6068
4.620000	59.270	74.4950
4.680000	59.700	75.9082
4.750000	60.193	77.3149
4.820000	60.677	78.3884
4.870000	61.018	78.9863
4.940000	61.489	79.6507
5.000000	61.886	80.1161
5.080000	62.408	80.6574
5.150000	62.855	80.9687
5.220000	63.295	81.1409
5.300000	63.790	81.2270
5.380000	64.279	81.2614
5.450000	64.702	81.2481
5.520000	65.119	81.1594
5.600000	65.590	80.9987
5.700000	66.172	80.7655
5.800000	66.749	80.5281
5.900000	67.319	80.2515
6.000000	67.883	79.9521
6.080000	68.329	79.7081
6.150000	68.717	79.4942
6.220000	69.102	79.2745
6.300000	69.537	79.0089
6.400000	70.073	78.6423
6.500000	70.600	78.2426
6.600000	71.120	77.8096
6.700000	71.628	77.3275
6.800000	72.123	76.7818
6.900000	72.608	76.1772
7.000000	73.080	75.5310
7.100000	73.539	74.8579
7.200000	73.985	74.1453
7.300000	74.417	73.4051
7.400000	74.838	72.6592
7.500000	75.246	71.9015
7.620000	75.719	70.9785
7.750000	76.217	70.0248
7.880000	76.697	69.1315
8.000000	77.128	68.3555
8.120000	77.551	67.6447
8.250000	77.999	66.9504
8.380000	78.439	66.3171
8.500000	78.842	65.7804
8.620000	79.240	65.2939
8.750000	79.666	64.7894
8.850000	79.993	64.4153
9.000000	80.477	63.8735
9.120000	80.859	63.4177
9.250000	81.267	62.9005
9.380000	81.668	62.3625
9.500000	82.030	61.8432
9.620000	82.385	61.3025
9.750000	82.759	60.7028
9.880000	83.121	60.0880
10.000000	83.446	59.5108
10.150000	83.840	58.8020
10.300000	84.218	58.1011
10.440000	84.561	57.4803
10.600000	84.942	56.8254
10.750000	85.290	56.2558
10.900000	85.633	55.7336
11.060000	85.993	55.2191
11.200000	86.306	54.7890
11.380000	86.706	54.2641
11.500000	86.970	53.9129
11.720000	87.452	53.2696
11.800000	87.625	53.0261
12.060000	88.176	52.1979
12.200000	88.463	51.7300
12.410000	88.880	51.0065
12.500000	89.054	50.7073
12.650000	89.335	50.2184
12.800000	89.608	49.7523
13.150000	90.204	48.7696
13.200000	90.256	48.6399
13.400000	90.394	48.1492
13.600000	90.488	47.7199
13.800000	90.556	47.3183
14.000000	90.642	46.8915
14.300000	90.787	46.1168
14.500000	90.883	45.5092
14.750000	90.985	44.6801
15.000000	91.068	43.7766
15.250000	91.133	42.8471
15.500000	91.179	41.9563
15.750000	91.198	41.2152
16.000000	91.215	40.6083
16.250000	91.242	40.1063
16.500000	91.284	39.6804
16.750000	91.330	39.3103
17.000000	91.388	38.9044
17.250000	91.454	38.4370
17.500000	91.520	37.9054
17.750000	91.569	37.3633
18.000000	91.610	36.8287
18.250000	91.647	36.3257
18.500000	91.683	35.8770
18.750000	91.717	35.5063
19.000000	91.760	35.1570
19.250000	91.814	34.7932
19.500000	91.877	34.3840
19.750000	91.936	33.9213
20.000000	91.993	33.3893
20.299999	92.053	32.6799
20.600000	92.099	31.9528
20.900000	92.126	31.2727
21.200001	92.149	30.6474
21.400000	92.165	30.2701
21.799999	92.194	29.6137
22.000000	92.213	29.3049
22.400000	92.262	28.6858
22.700001	92.301	28.2203
23.000000	92.341	27.7353
23.299999	92.385	27.2096
23.600000	92.425	26.6640
24.000000	92.467	25.9335
24.299999	92.495	25.3749
24.700001	92.519	24.6774
25.000000	92.530	24.2099
25.400000	92.543	23.6511
25.799999	92.555	23.2081
26.200001	92.578	22.8335
26.500000	92.605	22.5741
26.900000	92.649	22.2255
