* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.300
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 7, 24 7:36:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ea500 bn L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	63.238	16.3701
1.015000	63.341	15.0574
1.030000	63.446	13.7393
1.044000	63.547	12.5052
1.060000	63.666	11.0916
1.075000	63.781	9.7647
1.090000	63.900	8.4374
1.106000	64.031	7.0185
1.120000	64.151	5.7509
1.138000	64.313	4.0826
1.150000	64.425	2.9487
1.172000	64.638	0.8311
1.180000	64.717	0.0502
1.206000	64.981	-2.5197
1.220000	65.126	-3.9196
1.241000	65.347	-6.0334
1.250000	65.442	-6.9426
1.265000	65.601	-8.4596
1.280000	65.760	-9.9760
1.315000	66.128	-13.4940
1.320000	66.180	-13.9925
1.340000	66.385	-15.9716
1.360000	66.585	-17.9210
1.380000	66.779	-19.8332
1.400000	66.965	-21.7005
1.430000	67.226	-24.4008
1.450000	67.387	-26.1227
1.475000	67.570	-28.1792
1.500000	67.736	-30.1711
1.525000	67.887	-32.1106
1.550000	68.026	-33.9992
1.575000	68.154	-35.8380
1.600000	68.273	-37.6282
1.625000	68.384	-39.3712
1.650000	68.490	-41.0681
1.675000	68.593	-42.7203
1.700000	68.694	-44.3290
1.725000	68.795	-45.8954
1.750000	68.898	-47.4208
1.775000	69.005	-48.9065
1.800000	69.117	-50.3536
1.825000	69.237	-51.7636
1.850000	69.364	-53.1301
1.875000	69.494	-54.4383
1.900000	69.627	-55.6915
1.925000	69.761	-56.8941
1.950000	69.896	-58.0501
1.975000	70.032	-59.1638
2.000000	70.169	-60.2394
2.030000	70.332	-61.4856
2.060000	70.495	-62.6902
2.090000	70.656	-63.8605
2.120000	70.815	-65.0036
2.140000	70.919	-65.7542
2.180000	71.121	-67.2374
2.200000	71.219	-67.9741
2.240000	71.411	-69.4027
2.270000	71.553	-70.4265
2.300000	71.693	-71.4134
2.330000	71.831	-72.3673
2.360000	71.967	-73.2918
2.400000	72.145	-74.4850
2.430000	72.275	-75.3553
2.470000	72.445	-76.4897
2.500000	72.570	-77.3259
2.540000	72.733	-78.4283
2.580000	72.891	-79.5214
2.620000	73.044	-80.5854
2.650000	73.157	-81.3623
2.690000	73.303	-82.3718
2.720000	73.410	-83.1107
2.760000	73.548	-84.0737
2.800000	73.683	-85.0138
2.850000	73.845	-86.1606
2.900000	74.002	-87.2807
2.950000	74.151	-88.3780
3.000000	74.294	-89.4444
3.040000	74.403	-90.2742
3.070000	74.482	-90.8834
3.110000	74.584	-91.6786
3.150000	74.682	-92.4549
3.200000	74.800	-93.3996
3.250000	74.914	-94.3170
3.300000	75.023	-95.2082
3.350000	75.127	-96.0721
3.400000	75.225	-96.9075
3.450000	75.318	-97.7148
3.500000	75.406	-98.4943
3.550000	75.490	-99.2465
3.600000	75.570	-99.9715
3.650000	75.648	-100.6699
3.700000	75.723	-101.3414
3.750000	75.793	-101.9850
3.820000	75.885	-102.8400
3.870000	75.946	-103.4186
3.950000	76.040	-104.2897
4.000000	76.097	-104.8009
4.060000	76.164	-105.3802
4.120000	76.227	-105.9179
4.180000	76.287	-106.4164
4.250000	76.354	-106.9533
4.310000	76.410	-107.3790
4.370000	76.467	-107.7765
4.440000	76.534	-108.2041
4.500000	76.590	-108.5304
4.550000	76.636	-108.7776
4.620000	76.701	-109.0931
4.680000	76.757	-109.3416
4.750000	76.825	-109.6143
4.820000	76.896	-109.8654
4.870000	76.948	-110.0240
4.940000	77.021	-110.2243
5.000000	77.085	-110.3824
5.080000	77.173	-110.5851
5.150000	77.252	-110.7639
5.220000	77.333	-110.9321
5.300000	77.429	-111.1124
5.380000	77.526	-111.2895
5.450000	77.612	-111.4498
5.520000	77.698	-111.6210
5.600000	77.797	-111.8233
5.700000	77.923	-112.0842
5.800000	78.049	-112.3561
5.900000	78.172	-112.6421
6.000000	78.294	-112.9443
6.080000	78.390	-113.1942
6.150000	78.474	-113.4161
6.220000	78.556	-113.6386
6.300000	78.648	-113.8946
6.400000	78.761	-114.2198
6.500000	78.872	-114.5473
6.600000	78.982	-114.8733
6.700000	79.090	-115.1951
6.800000	79.197	-115.5158
6.900000	79.303	-115.8404
7.000000	79.409	-116.1722
7.100000	79.516	-116.5052
7.200000	79.622	-116.8456
7.300000	79.727	-117.2025
7.400000	79.832	-117.5798
7.500000	79.937	-117.9718
7.620000	80.060	-118.4685
7.750000	80.188	-119.0490
7.880000	80.312	-119.6753
8.000000	80.420	-120.2810
8.120000	80.519	-120.9053
8.250000	80.617	-121.6138
8.380000	80.704	-122.3263
8.500000	80.775	-122.9697
8.620000	80.835	-123.6133
8.750000	80.891	-124.2758
8.850000	80.928	-124.7417
9.000000	80.970	-125.3896
9.120000	81.000	-125.8448
9.250000	81.031	-126.2553
9.380000	81.058	-126.5883
9.500000	81.087	-126.8396
9.620000	81.122	-127.0336
9.750000	81.165	-127.1786
9.880000	81.211	-127.3047
10.000000	81.256	-127.4161
10.150000	81.316	-127.5402
10.300000	81.381	-127.6970
10.440000	81.449	-127.8714
10.600000	81.528	-128.1125
10.750000	81.603	-128.3903
10.900000	81.679	-128.7157
11.060000	81.755	-129.1349
11.200000	81.820	-129.5731
11.380000	81.895	-130.1359
11.500000	81.937	-130.4935
11.720000	82.008	-131.1141
11.800000	82.032	-131.3171
12.060000	82.108	-131.9221
12.200000	82.153	-132.2389
12.410000	82.228	-132.7041
12.500000	82.267	-132.9077
12.650000	82.343	-133.2415
12.800000	82.423	-133.6079
13.150000	82.611	-134.6806
13.200000	82.635	-134.8553
13.400000	82.729	-135.6237
13.600000	82.806	-136.4222
13.800000	82.862	-137.2269
14.000000	82.901	-137.9965
14.300000	82.930	-139.0464
14.500000	82.938	-139.6029
14.750000	82.946	-140.1445
15.000000	82.960	-140.5349
15.250000	82.991	-140.9018
15.500000	83.033	-141.2673
15.750000	83.082	-141.6562
16.000000	83.131	-142.1113
16.250000	83.176	-142.6166
16.500000	83.215	-143.1450
16.750000	83.241	-143.6352
17.000000	83.263	-144.0856
