* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.300
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 7, 24 7:30:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ea500 rn R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	70.246	-95.4166
1.015000	70.402	-95.1416
1.030000	70.555	-94.8763
1.044000	70.695	-94.6379
1.060000	70.851	-94.3766
1.075000	70.994	-94.1427
1.090000	71.134	-93.9201
1.106000	71.278	-93.6956
1.120000	71.405	-93.5113
1.138000	71.570	-93.2905
1.150000	71.679	-93.1530
1.172000	71.880	-92.9200
1.180000	71.953	-92.8411
1.206000	72.187	-92.6045
1.220000	72.311	-92.4890
1.241000	72.493	-92.3301
1.250000	72.570	-92.2669
1.265000	72.696	-92.1677
1.280000	72.818	-92.0755
1.315000	73.088	-91.8849
1.320000	73.124	-91.8601
1.340000	73.265	-91.7664
1.360000	73.396	-91.6801
1.380000	73.516	-91.5999
1.400000	73.625	-91.5243
1.430000	73.764	-91.4168
1.450000	73.839	-91.3470
1.475000	73.910	-91.2611
1.500000	73.953	-91.1904
1.525000	73.968	-91.1371
1.550000	73.959	-91.0992
1.575000	73.930	-91.0753
1.600000	73.884	-91.0635
1.625000	73.824	-91.0621
1.650000	73.754	-91.0696
1.675000	73.678	-91.0840
1.700000	73.598	-91.1038
1.725000	73.518	-91.1273
1.750000	73.442	-91.1527
1.775000	73.373	-91.1783
1.800000	73.315	-91.2025
1.825000	73.270	-91.2235
1.850000	73.238	-91.2432
1.875000	73.207	-91.2689
1.900000	73.179	-91.3002
1.925000	73.151	-91.3363
1.950000	73.125	-91.3763
1.975000	73.100	-91.4194
2.000000	73.077	-91.4649
2.030000	73.051	-91.5214
2.060000	73.027	-91.5786
2.090000	73.005	-91.6352
2.120000	72.984	-91.6898
2.140000	72.971	-91.7243
2.180000	72.948	-91.7871
2.200000	72.938	-91.8146
2.240000	72.919	-91.8651
2.270000	72.907	-91.9006
2.300000	72.897	-91.9344
2.330000	72.889	-91.9668
2.360000	72.882	-91.9978
2.400000	72.876	-92.0377
2.430000	72.874	-92.0667
2.470000	72.874	-92.1045
2.500000	72.877	-92.1327
2.540000	72.883	-92.1703
2.580000	72.893	-92.2079
2.620000	72.907	-92.2418
2.650000	72.920	-92.2649
2.690000	72.940	-92.2940
2.720000	72.957	-92.3154
2.760000	72.983	-92.3445
2.800000	73.012	-92.3758
2.850000	73.053	-92.4203
2.900000	73.097	-92.4738
2.950000	73.145	-92.5379
3.000000	73.199	-92.6044
3.040000	73.245	-92.6594
3.070000	73.281	-92.7030
3.110000	73.332	-92.7654
3.150000	73.386	-92.8342
3.200000	73.455	-92.9322
3.250000	73.528	-93.0463
3.300000	73.602	-93.1800
3.350000	73.679	-93.3301
3.400000	73.761	-93.4933
3.450000	73.846	-93.6707
3.500000	73.933	-93.8631
3.550000	74.021	-94.0716
3.600000	74.111	-94.2970
3.650000	74.200	-94.5403
3.700000	74.288	-94.8031
3.750000	74.379	-95.0864
3.820000	74.508	-95.5133
3.870000	74.601	-95.8367
3.950000	74.747	-96.3801
4.000000	74.837	-96.7325
4.060000	74.943	-97.1672
4.120000	75.048	-97.6251
4.180000	75.151	-98.1022
4.250000	75.270	-98.6752
4.310000	75.369	-99.1735
4.370000	75.466	-99.6718
4.440000	75.575	-100.2520
4.500000	75.665	-100.7595
4.550000	75.739	-101.1867
4.620000	75.839	-101.7853
4.680000	75.923	-102.2930
4.750000	76.018	-102.8715
4.820000	76.111	-103.4354
4.870000	76.175	-103.8345
4.940000	76.262	-104.3854
5.000000	76.335	-104.8478
5.080000	76.431	-105.4460
5.150000	76.514	-105.9483
5.220000	76.596	-106.4305
5.300000	76.688	-106.9608
5.380000	76.779	-107.4730
5.450000	76.859	-107.9095
5.520000	76.940	-108.3371
5.600000	77.032	-108.8071
5.700000	77.148	-109.3730
5.800000	77.265	-109.9295
5.900000	77.382	-110.4895
6.000000	77.501	-111.0432
6.080000	77.596	-111.4843
6.150000	77.679	-111.8732
6.220000	77.761	-112.2684
6.300000	77.854	-112.7291
6.400000	77.969	-113.3139
6.500000	78.081	-113.9048
6.600000	78.189	-114.4981
6.700000	78.291	-115.1006
6.800000	78.390	-115.7086
6.900000	78.484	-116.3075
7.000000	78.572	-116.8859
7.100000	78.654	-117.4562
7.200000	78.731	-118.0091
7.300000	78.804	-118.5287
7.400000	78.873	-119.0069
7.500000	78.938	-119.4525
7.620000	79.012	-119.9401
7.750000	79.095	-120.4023
7.880000	79.177	-120.7908
8.000000	79.255	-121.1051
8.120000	79.339	-121.3906
8.250000	79.436	-121.6496
8.380000	79.539	-121.9014
8.500000	79.642	-122.1589
8.620000	79.752	-122.4215
8.750000	79.874	-122.7432
8.850000	79.968	-123.0365
9.000000	80.112	-123.5363
9.120000	80.224	-123.9867
9.250000	80.338	-124.5321
9.380000	80.448	-125.1363
9.500000	80.541	-125.7184
9.620000	80.622	-126.3169
9.750000	80.701	-126.9914
9.880000	80.763	-127.6513
10.000000	80.802	-128.2412
