* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07 14, 24 8:54:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: edc pro R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	50.850	88.3233
1.015000	50.799	87.4776
1.030000	50.746	86.6398
1.044000	50.695	85.8638
1.060000	50.634	84.9822
1.075000	50.574	84.1593
1.090000	50.513	83.3382
1.106000	50.444	82.4642
1.120000	50.382	81.7096
1.138000	50.300	80.7559
1.150000	50.245	80.1301
1.172000	50.139	79.0039
1.180000	50.100	78.6010
1.206000	49.968	77.3157
1.220000	49.895	76.6388
1.241000	49.783	75.6431
1.250000	49.733	75.2236
1.265000	49.649	74.5337
1.280000	49.564	73.8556
1.315000	49.356	72.3180
1.320000	49.326	72.1035
1.340000	49.202	71.2576
1.360000	49.074	70.4316
1.380000	48.943	69.6251
1.400000	48.809	68.8378
1.430000	48.600	67.6923
1.450000	48.456	66.9519
1.475000	48.271	66.0525
1.500000	48.077	65.1856
1.525000	47.874	64.3516
1.550000	47.662	63.5499
1.575000	47.444	62.7799
1.600000	47.219	62.0410
1.625000	46.990	61.3326
1.650000	46.757	60.6542
1.675000	46.521	60.0052
1.700000	46.284	59.3850
1.725000	46.045	58.7930
1.750000	45.808	58.2287
1.775000	45.571	57.6914
1.800000	45.338	57.1806
1.825000	45.107	56.6957
1.850000	44.876	56.2562
1.875000	44.632	55.9022
1.900000	44.377	55.6214
1.925000	44.115	55.3994
1.950000	43.849	55.2217
1.975000	43.583	55.0739
2.000000	43.319	54.9413
2.030000	43.010	54.7822
2.060000	42.715	54.5993
2.090000	42.440	54.3677
2.120000	42.190	54.0623
2.140000	42.040	53.8054
2.180000	41.787	53.1304
2.200000	41.688	52.6978
2.240000	41.517	51.7141
2.270000	41.406	50.9007
2.300000	41.313	50.0239
2.330000	41.241	49.0848
2.360000	41.193	48.0848
2.400000	41.169	46.6588
2.430000	41.185	45.5213
2.470000	41.257	43.9166
2.500000	41.352	42.6485
2.540000	41.539	40.8741
2.580000	41.802	38.9858
2.620000	42.158	36.8310
2.650000	42.480	35.0580
2.690000	42.972	32.5494
2.720000	43.379	30.6037
2.760000	43.962	27.9884
2.800000	44.575	25.4232
2.850000	45.365	22.4101
2.900000	46.151	19.7589
2.950000	46.916	17.5919
3.000000	47.716	15.6999
3.040000	48.386	14.3427
3.070000	48.899	13.4194
3.110000	49.591	12.3186
3.150000	50.286	11.3715
3.200000	51.143	10.4114
3.250000	51.974	9.7094
3.300000	52.761	9.2755
3.350000	53.516	9.1266
3.400000	54.254	9.2566
3.450000	54.974	9.6464
3.500000	55.675	10.2766
3.550000	56.357	11.1282
3.600000	57.018	12.1818
3.650000	57.658	13.4183
3.700000	58.276	14.8797
3.750000	58.871	16.6645
3.820000	59.668	19.5773
3.870000	60.215	21.8533
3.950000	61.053	25.6291
4.000000	61.558	27.9576
4.060000	62.144	30.6624
4.120000	62.703	33.5070
4.180000	63.238	36.4405
4.250000	63.835	39.8386
4.310000	64.325	42.6134
4.370000	64.799	45.1527
4.440000	65.332	47.7421
4.500000	65.766	49.7463
4.550000	66.114	51.2826
4.620000	66.582	53.2428
4.680000	66.968	54.7594
4.750000	67.406	56.3549
4.820000	67.828	57.7352
4.870000	68.116	58.5626
4.940000	68.505	59.5453
5.000000	68.828	60.2666
5.080000	69.248	61.1254
5.150000	69.611	61.8369
5.220000	69.962	62.4407
5.300000	70.351	63.0013
5.380000	70.732	63.4784
5.450000	71.065	63.8723
5.520000	71.399	64.2786
5.600000	71.779	64.7230
5.700000	72.251	65.2320
5.800000	72.725	65.6939
5.900000	73.207	66.1163
6.000000	73.695	66.5165
6.080000	74.088	66.8006
6.150000	74.433	67.0057
6.220000	74.778	67.1559
6.300000	75.173	67.2654
6.400000	75.671	67.3267
6.500000	76.166	67.2821
6.600000	76.651	67.1077
6.700000	77.130	66.7931
6.800000	77.601	66.3537
6.900000	78.061	65.8063
7.000000	78.505	65.1622
7.100000	78.936	64.3970
7.200000	79.353	63.5377
7.300000	79.756	62.6240
7.400000	80.143	61.6643
7.500000	80.515	60.6308
7.620000	80.943	59.3601
7.750000	81.389	58.0242
7.880000	81.813	56.6963
8.000000	82.190	55.5074
8.120000	82.558	54.3918
8.250000	82.943	53.2507
8.380000	83.319	52.1786
8.500000	83.662	51.2561
8.620000	83.999	50.3995
8.750000	84.361	49.5257
8.850000	84.638	48.8826
9.000000	85.050	47.9791
9.120000	85.377	47.2857
9.250000	85.729	46.5452
9.380000	86.079	45.8255
9.500000	86.400	45.1770
9.620000	86.718	44.5433
9.750000	87.061	43.8744
9.880000	87.401	43.2147
10.000000	87.713	42.6114
10.150000	88.101	41.8670
10.300000	88.486	41.1262
10.440000	88.843	40.4416
10.600000	89.247	39.6539
10.750000	89.620	38.9000
10.900000	89.986	38.1342
11.060000	90.365	37.2955
11.200000	90.686	36.5382
11.380000	91.079	35.5784
11.500000	91.328	34.9451
11.720000	91.757	33.8523
11.800000	91.903	33.4944
12.060000	92.351	32.4753
12.200000	92.581	32.0648
12.410000	92.915	31.6208
12.500000	93.063	31.4965
12.650000	93.310	31.3978
12.800000	93.567	31.3436
13.150000	94.243	31.2080
13.200000	94.314	31.1499
13.400000	94.504	30.8171
13.600000	94.646	30.2439
13.800000	94.782	29.3925
14.000000	94.892	28.2676
14.300000	94.994	26.1420
14.500000	94.989	24.6191
14.750000	94.900	22.8758
15.000000	94.724	21.4582
15.250000	94.511	20.5650
15.500000	94.295	20.3584
15.750000	94.106	20.8376
16.000000	94.013	21.8202
16.250000	94.043	22.8314
16.500000	94.184	23.6209
16.750000	94.394	23.8801
17.000000	94.627	23.4874
17.250000	94.853	22.4961
17.500000	95.034	21.0128
17.750000	95.141	19.3104
18.000000	95.182	17.5210
18.250000	95.165	15.7813
18.500000	95.097	14.3068
18.750000	94.994	13.1556
19.000000	94.875	12.3800
19.250000	94.779	11.9215
19.500000	94.709	11.7065
19.750000	94.671	11.6650
20.000000	94.671	11.6211
20.299999	94.707	11.4468
20.600000	94.760	11.0864
20.900000	94.803	10.5668
21.200001	94.833	9.9434
21.400000	94.842	9.5370
21.799999	94.840	8.8221
22.000000	94.837	8.5152
22.400000	94.844	7.9135
22.700001	94.853	7.4500
23.000000	94.858	6.9242
23.299999	94.856	6.3188
23.600000	94.839	5.7146
24.000000	94.797	5.0035
24.299999	94.764	4.5566
24.700001	94.730	4.0560
25.000000	94.713	3.6947
25.400000	94.703	3.1469
25.799999	94.690	2.5803
26.200001	94.678	2.0361
26.500000	94.678	1.6474
26.900000	94.688	1.1347
27.200001	94.704	0.6848
27.600000	94.725	-0.0375
28.000000	94.727	-0.8227
28.500000	94.706	-1.7578
29.000000	94.674	-2.5478
29.500000	94.644	-3.3287
30.000000	94.584	-4.0875
30.400000	94.514	-4.5556
30.700001	94.457	-4.7132
31.100000	94.408	-4.7064
31.500000	94.414	-4.6829
32.000000	94.470	-5.0434
32.500000	94.502	-5.9926
33.000000	94.442	-7.0537
33.500000	94.328	-7.7237
34.000000	94.239	-7.8947
34.500000	94.223	-8.0267
35.000000	94.237	-8.4327
35.500000	94.237	-9.0398
36.000000	94.220	-9.5796
36.500000	94.219	-10.0701
37.000000	94.230	-10.6777
37.500000	94.224	-11.4540
38.200001	94.153	-12.3725
38.700001	94.099	-12.7342
39.500000	94.059	-13.2846
40.000000	94.021	-13.7819
40.599998	93.937	-14.2953
41.200001	93.848	-14.4864
41.799999	93.798	-14.5682
42.500000	93.777	-14.9312
43.099998	93.749	-15.5807
43.700001	93.674	-16.4396
44.400002	93.509	-17.2203
45.000000	93.362	-17.2521
45.500000	93.318	-17.0207
46.200001	93.373	-17.2112
