* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 5, 24 10:45:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: edx pro 2024 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	49.136	-73.4359
1.015000	48.958	-74.2717
1.030000	48.783	-75.1635
1.044000	48.623	-76.0514
1.060000	48.443	-77.1189
1.075000	48.276	-78.1583
1.090000	48.108	-79.2229
1.106000	47.927	-80.3726
1.120000	47.766	-81.3793
1.138000	47.553	-82.6582
1.150000	47.406	-83.4917
1.172000	47.123	-84.9570
1.180000	47.015	-85.4637
1.206000	46.643	-86.9849
1.220000	46.427	-87.7084
1.241000	46.078	-88.6414
1.250000	45.919	-88.9783
1.265000	45.640	-89.4463
1.280000	45.343	-89.7868
1.315000	44.566	-90.0183
1.320000	44.445	-89.9805
1.340000	43.933	-89.6341
1.360000	43.352	-88.9880
1.380000	42.644	-88.1254
1.400000	41.825	-87.0576
1.430000	40.437	-85.0844
1.450000	39.436	-83.5298
1.475000	38.135	-81.3284
1.500000	36.819	-78.8508
1.525000	35.527	-76.1090
1.550000	34.302	-73.1145
1.575000	33.185	-69.8792
1.600000	32.216	-66.4148
1.625000	31.436	-62.7329
1.650000	30.887	-58.8454
1.675000	30.610	-54.7640
1.700000	30.638	-50.3144
1.725000	30.950	-45.0581
1.750000	31.509	-39.1228
1.775000	32.276	-32.6696
1.800000	33.214	-25.8597
1.825000	34.283	-18.8542
1.850000	35.446	-11.8144
1.875000	36.665	-4.9014
1.900000	37.902	1.7236
1.925000	39.118	7.8994
1.950000	40.275	13.4650
1.975000	41.336	18.2591
2.000000	42.261	22.1205
2.030000	43.157	25.3242
2.060000	43.945	27.1403
2.090000	44.674	27.8041
2.120000	45.349	27.5036
2.140000	45.773	26.8605
2.180000	46.567	24.7622
2.200000	46.941	23.4185
2.240000	47.654	20.4208
2.270000	48.164	18.1204
2.300000	48.662	15.9843
2.330000	49.153	14.2006
2.360000	49.644	12.9477
2.400000	50.270	11.5377
2.430000	50.708	10.4448
2.470000	51.257	8.9611
2.500000	51.647	7.8426
2.540000	52.144	6.3641
2.580000	52.620	4.9241
2.620000	53.085	3.5483
2.650000	53.430	2.5741
2.690000	53.891	1.3726
2.720000	54.236	0.5316
2.760000	54.680	-0.5539
2.800000	55.110	-1.5881
2.850000	55.631	-2.7912
2.900000	56.136	-3.8738
2.950000	56.631	-4.8135
3.000000	57.119	-5.5877
3.040000	57.507	-6.0758
3.070000	57.795	-6.3859
3.110000	58.172	-6.7316
3.150000	58.542	-6.9896
3.200000	58.996	-7.1719
3.250000	59.444	-7.1781
3.300000	59.885	-6.9867
3.350000	60.323	-6.5759
3.400000	60.756	-5.9338
3.450000	61.183	-5.0803
3.500000	61.605	-4.0241
3.550000	62.020	-2.7727
3.600000	62.431	-1.3334
3.650000	62.838	0.2864
3.700000	63.241	2.0793
3.750000	63.640	4.1209
3.820000	64.192	7.4380
3.870000	64.580	10.0256
3.950000	65.193	14.3206
4.000000	65.571	16.9761
4.060000	66.019	20.0322
4.120000	66.461	23.1675
4.180000	66.898	26.3603
4.250000	67.399	30.0082
4.310000	67.822	32.9405
4.370000	68.239	35.5746
4.440000	68.718	38.2684
4.500000	69.122	40.3469
4.550000	69.454	41.9210
4.620000	69.912	43.8896
4.680000	70.297	45.3647
4.750000	70.740	46.8266
4.820000	71.174	47.9575
4.870000	71.479	48.5947
4.940000	71.899	49.3041
5.000000	72.254	49.7920
5.080000	72.718	50.3307
5.150000	73.115	50.6155
5.220000	73.505	50.7413
5.300000	73.943	50.7500
