* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 13, 24 8:28:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ee merlin L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	57.812	67.1656
1.015000	57.645	64.9528
1.030000	57.505	62.6221
1.044000	57.404	60.3326
1.060000	57.327	57.5715
1.075000	57.295	54.8340
1.090000	57.307	51.9432
1.106000	57.370	48.6621
1.120000	57.462	45.5210
1.138000	57.628	41.1177
1.150000	57.765	37.9765
1.172000	58.067	31.8454
1.180000	58.192	29.5108
1.206000	58.648	21.6058
1.220000	58.921	17.1861
1.241000	59.360	10.4060
1.250000	59.558	7.4618
1.265000	59.899	2.5262
1.280000	60.251	-2.4202
1.315000	61.102	-13.8430
1.320000	61.225	-15.4457
1.340000	61.719	-21.7411
1.360000	62.210	-27.8012
1.380000	62.692	-33.5580
1.400000	63.158	-38.9438
1.430000	63.814	-46.1783
1.450000	64.214	-50.3395
1.475000	64.666	-54.7058
1.500000	65.106	-58.3404
1.525000	65.544	-61.3599
1.550000	65.979	-63.8310
1.575000	66.410	-65.8209
1.600000	66.835	-67.3965
1.625000	67.252	-68.6247
1.650000	67.661	-69.5724
1.675000	68.061	-70.3067
1.700000	68.449	-70.8946
1.725000	68.825	-71.4029
1.750000	69.187	-71.8986
1.775000	69.534	-72.4487
1.800000	69.865	-73.1202
1.825000	70.178	-73.9800
1.850000	70.473	-74.9854
1.875000	70.748	-75.9124
1.900000	71.006	-76.7583
1.925000	71.247	-77.5314
1.950000	71.475	-78.2398
1.975000	71.689	-78.8918
2.000000	71.891	-79.4954
2.030000	72.121	-80.1675
2.060000	72.339	-80.7958
2.090000	72.548	-81.3946
2.120000	72.750	-81.9780
2.140000	72.882	-82.3652
2.180000	73.144	-83.1547
2.200000	73.276	-83.5650
2.240000	73.527	-84.3664
2.270000	73.704	-84.9347
2.300000	73.871	-85.4772
2.330000	74.030	-85.9960
2.360000	74.181	-86.4931
2.400000	74.372	-87.1256
2.430000	74.508	-87.5800
2.470000	74.683	-88.1630
2.500000	74.810	-88.5858
2.540000	74.975	-89.1341
2.580000	75.137	-89.6680
2.620000	75.290	-90.1791
2.650000	75.399	-90.5460
2.690000	75.536	-91.0132
2.720000	75.634	-91.3471
2.760000	75.758	-91.7704
2.800000	75.877	-92.1686
2.850000	76.019	-92.6311
2.900000	76.157	-93.0544
2.950000	76.291	-93.4381
3.000000	76.416	-93.7787
3.040000	76.510	-94.0211
3.070000	76.577	-94.1861
3.110000	76.663	-94.3848
3.150000	76.747	-94.5602
3.200000	76.849	-94.7486
3.250000	76.951	-94.9052
3.300000	77.056	-95.0321
3.350000	77.159	-95.1173
3.400000	77.259	-95.1570
3.450000	77.357	-95.1602
3.500000	77.454	-95.1361
3.550000	77.553	-95.0935
3.600000	77.654	-95.0415
3.650000	77.759	-94.9891
3.700000	77.869	-94.9313
3.750000	77.981	-94.8446
3.820000	78.141	-94.6939
3.870000	78.258	-94.5807
3.950000	78.451	-94.4216
4.000000	78.574	-94.3536
4.060000	78.726	-94.3141
4.120000	78.884	-94.2893
4.180000	79.047	-94.2829
