* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 13, 24 8:26:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ee merlin R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	55.265	-76.8100
1.015000	56.003	-74.5933
1.030000	56.713	-72.5154
1.044000	57.346	-70.7145
1.060000	58.027	-68.8360
1.075000	58.619	-67.2645
1.090000	59.159	-65.8918
1.106000	59.678	-64.6601
1.120000	60.111	-63.7643
1.138000	60.651	-62.8421
1.150000	61.000	-62.3614
1.172000	61.618	-61.7359
1.180000	61.835	-61.5846
1.206000	62.519	-61.3442
1.220000	62.871	-61.3582
1.241000	63.381	-61.5412
1.250000	63.593	-61.6721
1.265000	63.937	-61.9507
1.280000	64.270	-62.2947
1.315000	65.006	-63.2842
1.320000	65.107	-63.4405
1.340000	65.499	-64.0853
1.360000	65.875	-64.7404
1.380000	66.235	-65.3775
1.400000	66.580	-65.9685
1.430000	67.070	-66.7068
1.450000	67.380	-67.0591
1.475000	67.748	-67.3161
1.500000	68.075	-67.5457
1.525000	68.360	-67.7932
1.550000	68.608	-68.0561
1.575000	68.824	-68.3324
1.600000	69.011	-68.6197
1.625000	69.176	-68.9158
1.650000	69.321	-69.2184
1.675000	69.453	-69.5253
1.700000	69.575	-69.8342
1.725000	69.692	-70.1428
1.750000	69.809	-70.4488
1.775000	69.930	-70.7501
1.800000	70.060	-71.0443
1.825000	70.204	-71.3293
1.850000	70.359	-71.6062
1.875000	70.510	-71.8826
1.900000	70.657	-72.1586
1.925000	70.800	-72.4340
1.950000	70.940	-72.7085
1.975000	71.076	-72.9820
2.000000	71.210	-73.2542
2.030000	71.366	-73.5789
2.060000	71.520	-73.9011
2.090000	71.670	-74.2204
2.120000	71.819	-74.5365
2.140000	71.917	-74.7452
2.180000	72.111	-75.1575
2.200000	72.207	-75.3608
2.240000	72.397	-75.7618
2.270000	72.536	-76.0581
2.300000	72.671	-76.3509
2.330000	72.804	-76.6404
2.360000	72.935	-76.9270
2.400000	73.106	-77.3050
2.430000	73.231	-77.5858
2.470000	73.397	-77.9572
2.500000	73.519	-78.2337
2.540000	73.680	-78.6004
2.580000	73.840	-78.9652
2.620000	73.996	-79.3272
2.650000	74.112	-79.5966
2.690000	74.263	-79.9530
2.720000	74.375	-80.2180
2.760000	74.521	-80.5683
2.800000	74.665	-80.9150
2.850000	74.842	-81.3431
2.900000	75.016	-81.7652
2.950000	75.187	-82.1810
3.000000	75.353	-82.5902
3.040000	75.483	-82.9130
3.070000	75.579	-83.1527
3.110000	75.706	-83.4690
3.150000	75.830	-83.7818
3.200000	75.983	-84.1683
3.250000	76.134	-84.5501
3.300000	76.284	-84.9274
3.350000	76.431	-85.2990
3.400000	76.575	-85.6641
3.450000	76.716	-86.0239
3.500000	76.856	-86.3794
3.550000	76.993	-86.7318
