* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 30, 24 3:30:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: em6l L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	50.440	-104.7179
1.015000	50.699	-105.3137
1.030000	50.958	-105.9079
1.044000	51.198	-106.4630
1.060000	51.470	-107.1004
1.075000	51.723	-107.7030
1.090000	51.974	-108.3128
1.106000	52.240	-108.9705
1.120000	52.472	-109.5373
1.138000	52.768	-110.2504
1.150000	52.965	-110.7166
1.172000	53.325	-111.5538
1.180000	53.455	-111.8530
1.206000	53.876	-112.8079
1.220000	54.101	-113.3120
1.241000	54.437	-114.0568
1.250000	54.580	-114.3723
1.265000	54.818	-114.8937
1.280000	55.054	-115.4104
1.315000	55.601	-116.6016
1.320000	55.679	-116.7706
1.340000	55.988	-117.4446
1.360000	56.294	-118.1171
1.380000	56.598	-118.7898
1.400000	56.900	-119.4646
1.430000	57.347	-120.4847
1.450000	57.642	-121.1727
1.475000	58.006	-122.0433
1.500000	58.367	-122.9120
1.525000	58.724	-123.7762
1.550000	59.077	-124.6365
1.575000	59.427	-125.4936
1.600000	59.772	-126.3482
1.625000	60.114	-127.2012
1.650000	60.452	-128.0532
1.675000	60.786	-128.9049
1.700000	61.117	-129.7570
1.725000	61.443	-130.6104
1.750000	61.766	-131.4658
1.775000	62.085	-132.3237
1.800000	62.401	-133.1851
1.825000	62.712	-134.0506
1.850000	63.020	-134.9201
1.875000	63.323	-135.7919
1.900000	63.623	-136.6657
1.925000	63.919	-137.5414
1.950000	64.211	-138.4188
1.975000	64.499	-139.2977
2.000000	64.783	-140.1779
2.030000	65.119	-141.2355
2.060000	65.450	-142.2945
2.090000	65.776	-143.3544
2.120000	66.098	-144.4149
2.140000	66.309	-145.1221
2.180000	66.725	-146.5365
2.200000	66.930	-147.2436
2.240000	67.333	-148.6609
2.270000	67.629	-149.7271
2.300000	67.920	-150.7952
2.330000	68.206	-151.8646
2.360000	68.486	-152.9345
2.400000	68.853	-154.3607
2.430000	69.122	-155.4291
2.470000	69.475	-156.8508
2.500000	69.734	-157.9138
2.540000	70.073	-159.3258
2.580000	70.405	-160.7308
2.620000	70.729	-162.1349
2.650000	70.966	-163.1877
2.690000	71.275	-164.5892
2.720000	71.502	-165.6380
2.760000	71.797	-167.0316
2.800000	72.085	-168.4181
2.850000	72.436	-170.1388
2.900000	72.777	-171.8423
2.950000	73.108	-173.5266
3.000000	73.428	-175.2001
3.040000	73.676	-176.5311
3.070000	73.857	-177.5238
3.110000	74.093	-178.8387
3.150000	74.323	179.8578
3.200000	74.602	178.2471
3.250000	74.873	176.6599
3.300000	75.137	175.0992
3.350000	75.391	173.5605
3.400000	75.636	172.0406
3.450000	75.872	170.5417
3.500000	76.100	169.0662
3.550000	76.320	167.6163
3.600000	76.534	166.1943
3.650000	76.743	164.8026
3.700000	76.946	163.4412
3.750000	77.141	162.1063
3.820000	77.402	160.2830
3.870000	77.581	159.0140
3.950000	77.858	157.0436
4.000000	78.026	155.8506
4.060000	78.224	154.4596
4.120000	78.415	153.1143
4.180000	78.598	151.8125
4.250000	78.805	150.3447
4.310000	78.979	149.1273
4.370000	79.150	147.9444
4.440000	79.348	146.6093
4.500000	79.514	145.5121
4.550000	79.649	144.6271
4.620000	79.835	143.4255
4.680000	79.993	142.4234
4.750000	80.177	141.2781
4.820000	80.361	140.1618
4.870000	80.491	139.3904
4.940000	80.673	138.3388
5.000000	80.827	137.4559
5.080000	81.032	136.2927
5.150000	81.210	135.2779
5.220000	81.389	134.2785
5.300000	81.592	133.1547
5.380000	81.793	132.0407
5.450000	81.968	131.0657
5.520000	82.140	130.0842
5.600000	82.334	128.9618
5.700000	82.575	127.5595
5.800000	82.809	126.1554
5.900000	83.036	124.7460
6.000000	83.257	123.3281
6.080000	83.428	122.1924
6.150000	83.575	121.2013
6.220000	83.716	120.2157
6.300000	83.873	119.0936
6.400000	84.062	117.6936
6.500000	84.243	116.3065
6.600000	84.416	114.9428
6.700000	84.581	113.6005
6.800000	84.738	112.2776
6.900000	84.889	110.9800
7.000000	85.034	109.7129
7.100000	85.173	108.4745
7.200000	85.306	107.2634
7.300000	85.435	106.0788
7.400000	85.560	104.9217
7.500000	85.681	103.7930
7.620000	85.821	102.4700
7.750000	85.968	101.0691
7.880000	86.109	99.7055
8.000000	86.235	98.4748
8.120000	86.358	97.2653
8.250000	86.485	95.9814
8.380000	86.608	94.7239
8.500000	86.717	93.5845
8.620000	86.822	92.4663
8.750000	86.931	91.2800
8.850000	87.012	90.3862
9.000000	87.128	89.0753
9.120000	87.218	88.0521
9.250000	87.313	86.9700
9.380000	87.404	85.9154
9.500000	87.486	84.9614
9.620000	87.566	84.0252
9.750000	87.652	83.0323
9.880000	87.736	82.0528
10.000000	87.812	81.1584
10.150000	87.905	80.0551
10.300000	87.995	78.9590
10.440000	88.077	77.9418
10.600000	88.167	76.7877
10.750000	88.246	75.7124
10.900000	88.322	74.6456
11.060000	88.397	73.5251
11.200000	88.459	72.5578
11.380000	88.532	71.3423
11.500000	88.578	70.5514
11.720000	88.657	69.1425
11.800000	88.685	68.6450
12.060000	88.770	67.0782
12.200000	88.814	66.2631
12.410000	88.879	65.0753
12.500000	88.907	64.5750
12.650000	88.953	63.7548
12.800000	88.998	62.9478
13.150000	89.100	61.1068
13.200000	89.114	60.8489
13.400000	89.170	59.8296
13.600000	89.223	58.8327
13.800000	89.275	57.8597
14.000000	89.326	56.9096
14.300000	89.401	55.5246
14.500000	89.452	54.6221
14.750000	89.513	53.5089
15.000000	89.574	52.4088
15.250000	89.631	51.3195
15.500000	89.684	50.2496
15.750000	89.733	49.2056
