* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 22, 24 11:12:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ew100p r
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	48.523	-75.2303
1.015000	48.350	-76.1388
1.030000	48.179	-77.0468
1.044000	48.024	-77.8930
1.060000	47.850	-78.8574
1.075000	47.689	-79.7579
1.090000	47.527	-80.6537
1.106000	47.353	-81.6028
1.120000	47.198	-82.4269
1.138000	46.993	-83.4762
1.150000	46.852	-84.1685
1.172000	46.581	-85.4206
1.180000	46.478	-85.8699
1.206000	46.121	-87.3051
1.220000	45.914	-88.0607
1.241000	45.581	-89.1691
1.250000	45.429	-89.6344
1.265000	45.162	-90.3958
1.280000	44.877	-91.1389
1.315000	44.134	-92.7953
1.320000	44.018	-93.0224
1.340000	43.528	-93.9060
1.360000	42.976	-94.8755
1.380000	42.322	-96.2454
1.400000	41.578	-97.9465
1.430000	40.328	-100.9172
1.450000	39.430	-103.0424
1.475000	38.263	-105.6996
1.500000	37.075	-108.1894
1.525000	35.898	-110.3314
1.550000	34.764	-111.9456
1.575000	33.704	-112.8517
1.600000	32.750	-112.8694
1.625000	31.934	-111.8186
1.650000	31.286	-109.5190
1.675000	30.839	-105.7904
1.700000	30.608	-100.2567
1.725000	30.556	-92.4612
1.750000	30.662	-82.7466
1.775000	30.904	-71.4967
1.800000	31.261	-59.0952
1.825000	31.714	-45.9259
1.850000	32.241	-32.3727
1.875000	32.822	-18.8192
1.900000	33.436	-5.6493
1.925000	34.063	6.7534
1.950000	34.681	18.0051
1.975000	35.271	27.7219
2.000000	35.811	35.5200
2.030000	36.379	41.8996
2.060000	36.960	45.6965
2.090000	37.578	47.4453
2.120000	38.220	47.4834
2.140000	38.658	46.7252
2.180000	39.538	43.7782
2.200000	39.975	41.7894
2.240000	40.825	37.2816
2.270000	41.429	33.8305
2.300000	41.992	30.6943
2.330000	42.504	28.2107
2.360000	42.953	26.7003
2.400000	43.465	25.2183
2.430000	43.797	24.0929
2.470000	44.182	22.5926
2.500000	44.434	21.4807
2.540000	44.733	20.0348
2.580000	45.002	18.6525
2.620000	45.255	17.3576
2.650000	45.442	16.4579
2.690000	45.699	15.3729
2.720000	45.890	14.6294
2.760000	46.123	13.6860
2.800000	46.333	12.8119
2.850000	46.571	11.8415
2.900000	46.794	11.0362
2.950000	47.010	10.4276
3.000000	47.229	10.0472
3.040000	47.413	9.9256
3.070000	47.548	9.9221
3.110000	47.722	10.0244
3.150000	47.891	10.2546
3.200000	48.101	10.7311
3.250000	48.316	11.4283
3.300000	48.541	12.3579
3.350000	48.783	13.5315
3.400000	49.045	14.9715
3.450000	49.317	16.6961
3.500000	49.599	18.6726
3.550000	49.893	20.8655
3.600000	50.199	23.2397
3.650000	50.518	25.7597
3.700000	50.850	28.3903
3.750000	51.199	31.2257
3.820000	51.716	35.6312
3.870000	52.101	38.9621
3.950000	52.732	44.3511
4.000000	53.130	47.6105
4.060000	53.607	51.2897
4.120000	54.093	54.9432
4.180000	54.589	58.5646
4.250000	55.169	62.6172
4.310000	55.663	65.8298
4.370000	56.147	68.6973
4.440000	56.702	71.5850
4.500000	57.173	73.7489
4.550000	57.562	75.3527
4.620000	58.097	77.3234
4.680000	58.545	78.7856
4.750000	59.054	80.2298
4.820000	59.550	81.3011
4.870000	59.896	81.8775
4.940000	60.371	82.4935
5.000000	60.770	82.9086
5.080000	61.288	83.3809
5.150000	61.728	83.6157
5.220000	62.157	83.6991
5.300000	62.635	83.6791
5.380000	63.104	83.6142
5.450000	63.507	83.5193
5.520000	63.900	83.3478
5.600000	64.341	83.0971
5.700000	64.884	82.7685
5.800000	65.420	82.4605
5.900000	65.945	82.1322
6.000000	66.463	81.8017
6.080000	66.875	81.5494
6.150000	67.232	81.3414
6.220000	67.586	81.1387
6.300000	67.987	80.9040
6.400000	68.482	80.5900
6.500000	68.971	80.2607
6.600000	69.454	79.9151
6.700000	69.928	79.5310
6.800000	70.393	79.0909
6.900000	70.850	78.6033
7.000000	71.298	78.0804
7.100000	71.735	77.5326
7.200000	72.162	76.9505
7.300000	72.580	76.3432
7.400000	72.988	75.7272
7.500000	73.387	75.0969
7.620000	73.853	74.3242
7.750000	74.348	73.5183
7.880000	74.830	72.7566
8.000000	75.266	72.0863
8.120000	75.696	71.4586
8.250000	76.154	70.8297
8.380000	76.606	70.2382
8.500000	77.018	69.7177
8.620000	77.425	69.2258
8.750000	77.860	68.7049
8.850000	78.190	68.3106
9.000000	78.679	67.7292
9.120000	79.061	67.2520
9.250000	79.467	66.7190
9.380000	79.864	66.1807
9.500000	80.222	65.6850
9.620000	80.571	65.1876
9.750000	80.941	64.6555
9.880000	81.302	64.1333
10.000000	81.628	63.6595
10.150000	82.026	63.0876
10.300000	82.415	62.5368
10.440000	82.773	62.0466
10.600000	83.174	61.5222
10.750000	83.545	61.0517
10.900000	83.911	60.5925
11.060000	84.296	60.1136
11.200000	84.627	59.6914
11.380000	85.045	59.1485
11.500000	85.317	58.7886
11.720000	85.804	58.1329
11.800000	85.977	57.8996
12.060000	86.522	57.1597
12.200000	86.807	56.7817
12.410000	87.223	56.2443
12.500000	87.399	56.0322
12.650000	87.688	55.7057
12.800000	87.974	55.3894
13.150000	88.617	54.6553
13.200000	88.676	54.5408
13.400000	88.845	54.0620
13.600000	88.961	53.5630
13.800000	89.039	53.0358
14.000000	89.120	52.4625
14.300000	89.228	51.5475
14.500000	89.288	50.9477
14.750000	89.341	50.2904
15.000000	89.387	49.7242
15.250000	89.439	49.2307
15.500000	89.501	48.7981
15.750000	89.566	48.4335
16.000000	89.645	48.0380
16.250000	89.739	47.5726
16.500000	89.840	47.0236
16.750000	89.930	46.4321
17.000000	90.015	45.7917
17.250000	90.096	45.1190
17.500000	90.172	44.4370
17.750000	90.234	43.7923
18.000000	90.293	43.1643
18.250000	90.351	42.5541
18.500000	90.408	41.9695
18.750000	90.456	41.4442
19.000000	90.505	40.9622
19.250000	90.561	40.5168
19.500000	90.623	40.1016
19.750000	90.688	39.7073
20.000000	90.760	39.2786
20.299999	90.853	38.6860
20.600000	90.939	38.0093
20.900000	91.006	37.2955
21.200001	91.056	36.5907
21.400000	91.082	36.1720
21.799999	91.124	35.5289
22.000000	91.151	35.2757
22.400000	91.233	34.7867
22.700001	91.309	34.3277
23.000000	91.382	33.7149
23.299999	91.439	32.9506
23.600000	91.464	32.1518
24.000000	91.448	31.2927
24.299999	91.426	30.9059
24.700001	91.423	30.7560
25.000000	91.464	30.7416
25.400000	91.580	30.5032
25.799999	91.713	29.8249
26.200001	91.811	28.7556
26.500000	91.845	27.8808
26.900000	91.841	26.8941
27.200001	91.827	26.3557
27.600000	91.826	25.8755
28.000000	91.856	25.4835
28.500000	91.927	24.7924
29.000000	91.977	23.9203
29.500000	91.996	23.1071
30.000000	92.013	22.5483
30.400000	92.054	22.1422
30.700001	92.095	21.7718
31.100000	92.148	21.1121
31.500000	92.177	20.3095
32.000000	92.162	19.4141
32.500000	92.129	18.8595
33.000000	92.128	18.6092
33.500000	92.181	18.2639
34.000000	92.240	17.6322
34.500000	92.268	16.8160
35.000000	92.258	16.1447
35.500000	92.252	15.6908
36.000000	92.270	15.3304
36.500000	92.306	14.8320
37.000000	92.329	14.2231
37.500000	92.335	13.5931
38.200001	92.318	12.8632
38.700001	92.305	12.4524
39.500000	92.302	11.8907
40.000000	92.312	11.4933
40.599998	92.326	10.8630
41.200001	92.316	10.1648
41.799999	92.289	9.5531
42.500000	92.272	8.9894
43.099998	92.281	8.4861
43.700001	92.296	7.8431
44.400002	92.296	7.0468
45.000000	92.283	6.4819
45.500000	92.278	6.0920
46.200001	92.284	5.5731
46.799999	92.285	5.1123
47.500000	92.279	4.6321
48.200001	92.271	4.1411
48.700001	92.251	3.7510
49.400002	92.200	3.3492
50.000000	92.172	3.1743
50.799999	92.179	2.7653
51.500000	92.183	2.0938
52.200001	92.160	1.2940
53.000000	92.093	0.5009
53.799999	92.061	0.2829
54.500000	92.139	-0.1098
55.200001	92.156	-1.1589
56.000000	92.049	-1.2648
57.000000	92.326	-0.6925
58.000000	92.442	-4.0464
59.000000	91.955	-4.5810
60.000000	91.976	-3.0651
60.799999	91.983	-3.8898
61.500000	91.861	-4.0676
62.200001	91.838	-3.9499
63.000000	91.826	-4.6063
64.000000	91.714	-5.1627
65.000000	91.704	-5.5616
66.000000	91.664	-6.3887
67.000000	91.606	-6.7867
68.000000	91.589	-7.1940
69.000000	91.541	-7.5935
70.000000	91.521	-7.7017
71.000000	91.528	-8.2725
72.000000	91.454	-8.7919
73.000000	91.411	-9.0186
74.000000	91.358	-9.3766
75.000000	91.329	-9.4003
76.199997	91.338	-10.0863
77.500000	91.209	-10.5756
78.800003	91.179	-10.7264
80.000000	91.126	-11.3698
81.199997	91.047	-11.7030
82.500000	91.009	-12.1145
83.800003	90.949	-12.4218
85.000000	90.924	-12.8112
86.199997	90.844	-13.0719
87.500000	90.804	-13.3168
88.500000	90.740	-13.5548
90.000000	90.700	-13.9211
91.199997	90.632	-14.3119
92.500000	90.602	-14.5841
93.800003	90.528	-14.8961
95.000000	90.531	-14.8522
96.199997	90.489	-15.5877
97.500000	90.363	-15.6249
98.800003	90.321	-15.5701
100.000000	90.324	-15.8868
101.500000	90.215	-16.3785
103.000000	90.172	-16.5085
104.400002	90.083	-16.5905
106.000000	90.045	-16.6976
107.500000	89.955	-16.9334
109.000000	89.902	-17.3515
110.599998	89.861	-17.6775
112.000000	89.718	-17.9277
113.800003	89.732	-17.5158
115.000000	89.789	-17.6602
117.199997	89.518	-18.8019
118.000000	89.560	-18.0120
120.599998	89.261	-20.0733
122.000000	89.417	-18.6567
124.099998	89.304	-19.1239
125.000000	89.217	-18.8292
126.500000	89.119	-18.1372
128.000000	89.163	-17.7843
131.500000	88.896	-19.2074
132.000000	88.880	-18.8035
134.000000	88.918	-18.7524
136.000000	88.887	-19.3013
138.000000	88.777	-18.6394
140.000000	88.622	-18.6036
143.000000	88.549	-18.6251
145.000000	88.438	-18.5968
147.500000	88.319	-18.3623
150.000000	88.131	-18.6415
152.500000	87.929	-16.5375
155.000000	87.926	-16.8870
157.500000	88.106	-16.4829
160.000000	87.764	-14.7235
162.500000	88.041	-13.9337
165.000000	88.068	-13.2075
167.500000	88.073	-12.7488
170.000000	88.192	-13.2540
172.500000	88.366	-13.1724
175.000000	88.313	-13.8764
177.500000	88.419	-14.9004
180.000000	88.413	-15.0944
182.500000	88.174	-16.5149
185.000000	88.270	-16.0188
187.500000	88.246	-16.0769
190.000000	88.181	-16.3718
192.500000	88.107	-16.5715
195.000000	87.990	-16.7186
197.500000	87.938	-16.7041
200.000000	87.851	-17.0698
203.000000	87.796	-17.2811
206.000000	87.735	-17.2846
209.000000	87.672	-17.2353
212.000000	87.620	-17.1163
214.000000	87.565	-17.1819
218.000000	87.475	-17.1164
220.000000	87.446	-16.9743
224.000000	87.365	-16.9291
227.000000	87.343	-17.1300
230.000000	87.275	-16.6184
233.000000	87.203	-16.7841
236.000000	87.138	-16.4702
240.000000	87.108	-17.6474
243.000000	87.049	-16.4674
247.000000	86.980	-15.9263
250.000000	86.910	-15.8972
254.000000	86.825	-15.5907
258.000000	86.752	-15.3456
262.000000	86.719	-15.0660
265.000000	86.661	-15.0403
269.000000	86.545	-14.7868
272.000000	86.521	-14.5950
276.000000	86.445	-14.1158
280.000000	86.382	-13.7635
285.000000	86.250	-13.1682
290.000000	86.125	-12.9027
295.000000	86.089	-10.9022
300.000000	86.074	-9.6464
304.000000	86.189	-9.0907
307.000000	86.299	-8.7578
311.000000	86.430	-8.7210
315.000000	86.513	-9.1148
320.000000	86.540	-9.4492
325.000000	86.499	-9.7161
330.000000	86.438	-9.8955
335.000000	86.393	-9.9013
340.000000	86.333	-9.8320
345.000000	86.277	-9.7188
350.000000	86.198	-9.5617
355.000000	86.173	-9.3186
360.000000	86.010	-9.7737
365.000000	86.085	-9.2298
370.000000	86.032	-8.9221
375.000000	85.999	-8.5951
382.000000	85.942	-8.2377
387.000000	85.921	-8.0244
395.000000	85.855	-7.5279
400.000000	85.831	-7.3580
406.000000	85.794	-7.0609
412.000000	85.755	-6.6421
418.000000	85.730	-6.3854
425.000000	85.690	-6.0148
431.000000	85.657	-5.6442
437.000000	85.630	-5.3094
444.000000	85.590	-4.9458
450.000000	85.580	-4.6788
455.000000	85.560	-4.3125
462.000000	85.532	-3.9349
468.000000	85.497	-3.6425
475.000000	85.479	-3.1951
482.000000	85.443	-2.8250
487.000000	85.439	-2.6537
494.000000	85.404	-2.2077
500.000000	85.386	-1.7420
508.000000	85.366	-1.4096
515.000000	85.337	-1.0722
522.000000	85.340	-0.7033
530.000000	85.312	-0.1751
538.000000	85.283	0.2819
545.000000	85.272	0.6614
552.000000	85.264	1.0816
560.000000	85.241	1.4474
570.000000	85.231	1.9965
580.000000	85.218	2.5594
590.000000	85.192	3.1377
600.000000	85.182	3.7579
608.000000	85.168	4.0958
615.000000	85.166	4.5790
622.000000	85.165	4.9346
630.000000	85.147	5.4047
640.000000	85.136	5.9458
650.000000	85.131	6.4833
660.000000	85.129	7.1503
670.000000	85.135	7.7044
680.000000	85.129	8.2929
690.000000	85.144	8.8889
700.000000	85.144	9.4317
710.000000	85.147	10.0654
