* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 3, 24 1:10:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ew300 gg R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	50.420	-79.8858
1.015000	51.070	-83.9486
1.030000	51.701	-87.8398
1.044000	52.269	-91.3010
1.060000	52.889	-95.0362
1.075000	53.437	-98.3059
1.090000	53.949	-101.3328
1.106000	54.454	-104.2786
1.120000	54.882	-106.6365
1.138000	55.421	-109.3909
1.150000	55.774	-111.0646
1.172000	56.405	-113.8217
1.180000	56.630	-114.7311
1.206000	57.346	-117.3770
1.220000	57.721	-118.6237
1.241000	58.272	-120.2903
1.250000	58.504	-120.9379
1.265000	58.885	-121.9391
1.280000	59.258	-122.8547
1.315000	60.105	-124.7347
1.320000	60.224	-124.9813
1.340000	60.690	-125.9336
1.360000	61.146	-126.8550
1.380000	61.593	-127.7779
1.400000	62.032	-128.7348
1.430000	62.673	-130.3045
1.450000	63.092	-131.4878
1.475000	63.605	-133.1496
1.500000	64.097	-134.8037
1.525000	64.569	-136.3982
1.550000	65.021	-137.9387
1.575000	65.456	-139.4301
1.600000	65.874	-140.8779
1.625000	66.278	-142.2872
1.650000	66.668	-143.6633
1.675000	67.047	-145.0115
1.700000	67.416	-146.3369
1.725000	67.776	-147.6449
1.750000	68.129	-148.9407
1.775000	68.477	-150.2296
1.800000	68.821	-151.5167
1.825000	69.162	-152.8074
1.850000	69.500	-154.0978
1.875000	69.827	-155.3691
1.900000	70.144	-156.6217
1.925000	70.452	-157.8564
1.950000	70.751	-159.0744
1.975000	71.043	-160.2766
2.000000	71.326	-161.4642
2.030000	71.658	-162.8715
2.060000	71.980	-164.2611
2.090000	72.295	-165.6346
2.120000	72.603	-166.9941
2.140000	72.805	-167.8934
2.180000	73.202	-169.6778
2.200000	73.398	-170.5639
2.240000	73.780	-172.3166
2.270000	74.055	-173.6122
2.300000	74.323	-174.8918
2.330000	74.583	-176.1562
2.360000	74.835	-177.4057
2.400000	75.162	-179.0494
2.430000	75.400	179.7339
2.470000	75.710	178.1323
2.500000	75.936	176.9460
2.540000	76.232	175.3831
2.580000	76.522	173.8410
2.620000	76.801	172.3225
2.650000	77.004	171.1994
2.690000	77.265	169.7225
2.720000	77.456	168.6301
2.760000	77.702	167.1937
2.800000	77.941	165.7800
2.850000	78.230	164.0441
2.900000	78.512	162.3422
2.950000	78.785	160.6742
3.000000	79.047	159.0421
3.040000	79.249	157.7621
3.070000	79.396	156.8168
3.110000	79.586	155.5756
3.150000	79.771	154.3560
3.200000	79.996	152.8609
3.250000	80.215	151.3977
3.300000	80.429	149.9654
3.350000	80.636	148.5671
3.400000	80.835	147.2041
3.450000	81.027	145.8741
3.500000	81.212	144.5753
3.550000	81.393	143.3053
3.600000	81.570	142.0623
3.650000	81.744	140.8439
3.700000	81.914	139.6520
3.750000	82.080	138.4924
3.820000	82.303	136.9178
3.870000	82.459	135.8235
3.950000	82.701	134.1165
4.000000	82.850	133.0720
4.060000	83.027	131.8392
4.120000	83.199	130.6406
4.180000	83.368	129.4730
4.250000	83.561	128.1418
4.310000	83.724	127.0207
4.370000	83.884	125.9115
4.440000	84.069	124.6306
4.500000	84.224	123.5544
4.550000	84.352	122.6706
4.620000	84.528	121.4483
4.680000	84.677	120.4100
4.750000	84.846	119.2035
4.820000	85.013	118.0020
4.870000	85.131	117.1509
4.940000	85.292	115.9678
5.000000	85.427	114.9600
5.080000	85.603	113.6228
5.150000	85.753	112.4565
5.220000	85.899	111.2937
5.300000	86.060	109.9712
5.380000	86.217	108.6576
5.450000	86.349	107.5173
5.520000	86.476	106.3864
5.600000	86.617	105.1011
5.700000	86.784	103.5092
5.800000	86.943	101.9417
5.900000	87.094	100.4057
6.000000	87.235	98.8953
6.080000	87.343	97.7075
6.150000	87.433	96.6859
6.220000	87.521	95.6834
6.300000	87.618	94.5609
6.400000	87.732	93.1899
6.500000	87.840	91.8547
6.600000	87.945	90.5556
6.700000	88.046	89.2956
6.800000	88.143	88.0725
6.900000	88.237	86.8801
7.000000	88.329	85.7138
