* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 09 3, 24 12:57:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ew300 ms R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	62.996	-68.8406
1.015000	63.857	-71.0005
1.030000	64.684	-73.0665
1.044000	65.420	-74.9088
1.060000	66.211	-76.9113
1.075000	66.897	-78.6877
1.090000	67.522	-80.3650
1.106000	68.121	-82.0349
1.120000	68.617	-83.3485
1.138000	69.225	-84.8339
1.150000	69.613	-85.7051
1.172000	70.290	-87.0745
1.180000	70.525	-87.5046
1.206000	71.254	-88.6772
1.220000	71.624	-89.1796
1.241000	72.152	-89.7869
1.250000	72.369	-89.9994
1.265000	72.718	-90.2981
1.280000	73.053	-90.5364
1.315000	73.784	-90.9155
1.320000	73.883	-90.9550
1.340000	74.268	-91.0917
1.360000	74.635	-91.2125
1.380000	74.987	-91.3419
1.400000	75.325	-91.5041
1.430000	75.811	-91.8625
1.450000	76.125	-92.2137
1.475000	76.505	-92.8011
1.500000	76.844	-93.3984
1.525000	77.140	-93.9667
1.550000	77.397	-94.5085
1.575000	77.620	-95.0268
1.600000	77.814	-95.5242
1.625000	77.984	-96.0035
1.650000	78.133	-96.4676
1.675000	78.268	-96.9190
1.700000	78.392	-97.3606
1.725000	78.510	-97.7952
1.750000	78.628	-98.2255
1.775000	78.749	-98.6542
1.800000	78.879	-99.0842
1.825000	79.022	-99.5181
1.850000	79.175	-99.9539
1.875000	79.324	-100.3819
1.900000	79.468	-100.8021
1.925000	79.607	-101.2150
1.950000	79.742	-101.6212
1.975000	79.873	-102.0213
2.000000	80.000	-102.4158
2.030000	80.148	-102.8826
2.060000	80.292	-103.3432
2.090000	80.433	-103.7984
2.120000	80.570	-104.2494
2.140000	80.661	-104.5480
2.180000	80.840	-105.1420
2.200000	80.928	-105.4379
2.240000	81.101	-106.0226
2.270000	81.225	-106.4539
2.300000	81.347	-106.8796
2.330000	81.464	-107.3001
2.360000	81.579	-107.7160
2.400000	81.728	-108.2642
2.430000	81.836	-108.6712
2.470000	81.978	-109.2094
2.500000	82.082	-109.6103
2.540000	82.218	-110.1421
2.580000	82.352	-110.6716
2.620000	82.482	-111.1972
2.650000	82.576	-111.5884
2.690000	82.699	-112.1059
2.720000	82.789	-112.4907
2.760000	82.906	-112.9994
2.800000	83.019	-113.5026
2.850000	83.157	-114.1239
2.900000	83.290	-114.7359
2.950000	83.420	-115.3385
3.000000	83.544	-115.9324
3.040000	83.640	-116.4012
3.070000	83.709	-116.7493
3.110000	83.800	-117.2083
3.150000	83.888	-117.6616
3.200000	83.995	-118.2200
3.250000	84.099	-118.7691
3.300000	84.201	-119.3089
3.350000	84.300	-119.8386
3.400000	84.395	-120.3582
3.450000	84.487	-120.8685
3.500000	84.576	-121.3699
3.550000	84.663	-121.8632
3.600000	84.747	-122.3490
3.650000	84.830	-122.8279
3.700000	84.910	-123.2996
3.750000	84.989	-123.7626
3.820000	85.094	-124.3973
3.870000	85.167	-124.8419
3.950000	85.281	-125.5401
4.000000	85.350	-125.9692
4.060000	85.432	-126.4772
4.120000	85.511	-126.9749
4.180000	85.588	-127.4634
4.250000	85.675	-128.0231
4.310000	85.747	-128.4959
4.370000	85.818	-128.9637
4.440000	85.900	-129.5034
4.500000	85.967	-129.9586
4.550000	86.022	-130.3331
4.620000	86.098	-130.8513
4.680000	86.161	-131.2909
4.750000	86.233	-131.7998
4.820000	86.304	-132.3044
4.870000	86.353	-132.6614
4.940000	86.421	-133.1566
5.000000	86.477	-133.5770
5.080000	86.551	-134.1325
5.150000	86.614	-134.6141
5.220000	86.675	-135.0910
5.300000	86.742	-135.6302
5.380000	86.808	-136.1639
5.450000	86.863	-136.6269
5.520000	86.917	-137.0865
5.600000	86.977	-137.6080
5.700000	87.048	-138.2530
5.800000	87.117	-138.8888
5.900000	87.182	-139.5139
6.000000	87.244	-140.1300
6.080000	87.292	-140.6156
6.150000	87.332	-141.0343
6.220000	87.371	-141.4465
6.300000	87.414	-141.9096
6.400000	87.466	-142.4774
6.500000	87.515	-143.0329
6.600000	87.563	-143.5761
6.700000	87.610	-144.1057
6.800000	87.655	-144.6227
6.900000	87.698	-145.1297
7.000000	87.742	-145.6287
7.100000	87.784	-146.1176
7.200000	87.826	-146.5980
7.300000	87.868	-147.0729
7.400000	87.908	-147.5434
7.500000	87.948	-148.0075
7.620000	87.995	-148.5592
7.750000	88.044	-149.1545
7.880000	88.091	-149.7470
8.000000	88.134	-150.2889
8.120000	88.174	-150.8243
8.250000	88.214	-151.3982
8.380000	88.253	-151.9640
8.500000	88.287	-152.4780
8.620000	88.319	-152.9851
8.750000	88.353	-153.5235
8.850000	88.376	-153.9279
9.000000	88.409	-154.5204
9.120000	88.434	-154.9812
9.250000	88.460	-155.4655
9.380000	88.486	-155.9350
9.500000	88.509	-156.3578
9.620000	88.533	-156.7704
9.750000	88.558	-157.2055
9.880000	88.577	-157.6350
10.000000	88.587	-158.0321
10.150000	88.592	-158.5228
10.300000	88.593	-158.9920
10.440000	88.588	-159.4111
10.600000	88.581	-159.8649
10.750000	88.572	-160.2534
10.900000	88.564	-160.6182
11.060000	88.557	-161.0251
11.200000	88.555	-161.3974
11.380000	88.552	-161.8615
11.500000	88.549	-162.1514
11.720000	88.545	-162.6683
