* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 13, 24 7:33:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: explorer R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	73.883	-82.2142
1.015000	74.251	-82.5772
1.030000	74.611	-82.9436
1.044000	74.942	-83.2947
1.060000	75.313	-83.7138
1.075000	75.653	-84.1311
1.090000	75.985	-84.5788
1.106000	76.331	-85.0897
1.120000	76.630	-85.5241
1.138000	77.008	-86.0542
1.150000	77.257	-86.3908
1.172000	77.705	-86.9754
1.180000	77.865	-87.1782
1.206000	78.376	-87.8041
1.220000	78.645	-88.1218
1.241000	79.038	-88.5757
1.250000	79.203	-88.7626
1.265000	79.473	-89.0651
1.280000	79.737	-89.3572
1.315000	80.328	-90.0057
1.320000	80.409	-90.0952
1.340000	80.727	-90.4474
1.360000	81.031	-90.7922
1.380000	81.322	-91.1326
1.400000	81.599	-91.4716
1.430000	81.987	-91.9838
1.450000	82.227	-92.3320
1.475000	82.504	-92.7772
1.500000	82.746	-93.2114
1.525000	82.954	-93.6301
1.550000	83.133	-94.0346
1.575000	83.285	-94.4263
1.600000	83.415	-94.8065
1.625000	83.527	-95.1766
1.650000	83.624	-95.5380
1.675000	83.711	-95.8921
1.700000	83.790	-96.2401
1.725000	83.867	-96.5834
1.750000	83.944	-96.9235
1.775000	84.026	-97.2617
1.800000	84.116	-97.5993
1.825000	84.219	-97.9376
1.850000	84.332	-98.2757
1.875000	84.443	-98.6081
1.900000	84.552	-98.9352
1.925000	84.660	-99.2573
1.950000	84.765	-99.5749
1.975000	84.869	-99.8881
2.000000	84.971	-100.1976
2.030000	85.092	-100.5645
2.060000	85.211	-100.9271
2.090000	85.328	-101.2862
2.120000	85.443	-101.6424
2.140000	85.519	-101.8786
2.180000	85.670	-102.3488
2.200000	85.744	-102.5832
2.240000	85.891	-103.0467
2.270000	85.999	-103.3890
2.300000	86.105	-103.7272
2.330000	86.209	-104.0619
2.360000	86.312	-104.3935
2.400000	86.447	-104.8318
2.430000	86.546	-105.1583
2.470000	86.676	-105.5916
2.500000	86.773	-105.9156
2.540000	86.900	-106.3475
2.580000	87.025	-106.7799
2.620000	87.148	-107.2111
2.650000	87.239	-107.5333
2.690000	87.358	-107.9612
2.720000	87.446	-108.2807
2.760000	87.561	-108.7047
2.800000	87.674	-109.1265
2.850000	87.813	-109.6502
2.900000	87.948	-110.1698
2.950000	88.080	-110.6851
3.000000	88.209	-111.1969
3.040000	88.309	-111.6036
3.070000	88.382	-111.9071
3.110000	88.479	-112.3095
3.150000	88.573	-112.7092
3.200000	88.689	-113.2050
3.250000	88.802	-113.6963
3.300000	88.913	-114.1828
3.350000	89.022	-114.6646
3.400000	89.127	-115.1418
3.450000	89.231	-115.6145
3.500000	89.331	-116.0829
3.550000	89.429	-116.5471
3.600000	89.526	-117.0073
3.650000	89.620	-117.4635
3.700000	89.712	-117.9159
3.750000	89.802	-118.3646
3.820000	89.925	-118.9861
3.870000	90.009	-119.4249
3.950000	90.141	-120.1178
4.000000	90.222	-120.5447
4.060000	90.316	-121.0505
4.120000	90.408	-121.5500
4.180000	90.496	-122.0430
4.250000	90.597	-122.6097
4.310000	90.681	-123.0878
4.370000	90.763	-123.5585
4.440000	90.856	-124.0984
4.500000	90.934	-124.5534
4.550000	90.997	-124.9271
4.620000	91.083	-125.4420
4.680000	91.155	-125.8755
4.750000	91.238	-126.3724
4.820000	91.319	-126.8591
4.870000	91.375	-127.2005
4.940000	91.453	-127.6699
5.000000	91.518	-128.0650
5.080000	91.604	-128.5822
5.150000	91.678	-129.0262
5.220000	91.751	-129.4597
5.300000	91.833	-129.9438
5.380000	91.913	-130.4190
5.450000	91.983	-130.8303
5.520000	92.052	-131.2393
5.600000	92.130	-131.7000
5.700000	92.226	-132.2674
5.800000	92.320	-132.8302
5.900000	92.412	-133.3928
6.000000	92.504	-133.9526
6.080000	92.576	-134.3987
6.150000	92.637	-134.7887
6.220000	92.698	-135.1793
6.300000	92.766	-135.6265
6.400000	92.849	-136.1860
6.500000	92.930	-136.7450
6.600000	93.009	-137.3028
6.700000	93.085	-137.8603
6.800000	93.158	-138.4172
6.900000	93.229	-138.9712
7.000000	93.298	-139.5208
7.100000	93.365	-140.0677
7.200000	93.429	-140.6106
7.300000	93.491	-141.1473
7.400000	93.550	-141.6763
7.500000	93.608	-142.1988
7.620000	93.674	-142.8176
7.750000	93.744	-143.4781
7.880000	93.811	-144.1279
8.000000	93.871	-144.7188
8.120000	93.929	-145.3012
8.250000	93.988	-145.9215
8.380000	94.046	-146.5347
8.500000	94.098	-147.0979
8.620000	94.149	-147.6569
8.750000	94.202	-148.2573
8.850000	94.240	-148.7157
9.000000	94.295	-149.3987
9.120000	94.336	-149.9372
9.250000	94.378	-150.5102
9.380000	94.419	-151.0740
9.500000	94.454	-151.5832
9.620000	94.489	-152.0793
9.750000	94.524	-152.6034
9.880000	94.554	-153.1175
10.000000	94.574	-153.5861
10.150000	94.590	-154.1602
10.300000	94.604	-154.7117
10.440000	94.612	-155.2039
10.600000	94.621	-155.7472
10.750000	94.630	-156.2323
10.900000	94.640	-156.7050
11.060000	94.652	-157.2486
11.200000	94.666	-157.7594
11.380000	94.682	-158.4194
11.500000	94.690	-158.8533
11.720000	94.700	-159.6436
11.800000	94.702	-159.9277
12.060000	94.702	-160.8434
12.200000	94.698	-161.3400
12.410000	94.691	-162.0757
12.500000	94.692	-162.3698
12.650000	94.697	-162.8321
12.800000	94.704	-163.2748
13.150000	94.725	-164.2604
13.200000	94.729	-164.3986
13.400000	94.745	-164.9474
13.600000	94.763	-165.4850
13.800000	94.781	-166.0050
14.000000	94.799	-166.5439
14.300000	94.826	-167.3877
14.500000	94.840	-167.9462
14.750000	94.854	-168.6203
15.000000	94.863	-169.2657
15.250000	94.874	-169.9287
15.500000	94.883	-170.5693
15.750000	94.893	-171.1826
16.000000	94.903	-171.7928
16.250000	94.915	-172.4190
16.500000	94.927	-173.0560
16.750000	94.934	-173.6781
17.000000	94.937	-174.2932
17.250000	94.936	-174.8946
17.500000	94.932	-175.4705
17.750000	94.928	-176.0059
18.000000	94.924	-176.5185
18.250000	94.923	-177.0316
18.500000	94.923	-177.5352
