* Measurement data measured by REW V5.30.9
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 10 11, 24 8:13:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: f1 pro R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	52.288	59.6131
1.015000	52.486	58.9650
1.030000	52.684	58.3171
1.044000	52.867	57.7124
1.060000	53.075	57.0215
1.075000	53.269	56.3740
1.090000	53.462	55.7268
1.106000	53.668	55.0365
1.120000	53.846	54.4310
1.138000	54.071	53.6504
1.150000	54.219	53.1287
1.172000	54.487	52.1704
1.180000	54.583	51.8214
1.206000	54.892	50.6859
1.220000	55.055	50.0739
1.241000	55.297	49.1559
1.250000	55.399	48.7626
1.265000	55.568	48.1073
1.280000	55.736	47.4527
1.315000	56.119	45.9290
1.320000	56.173	45.7119
1.340000	56.387	44.8452
1.360000	56.598	43.9819
1.380000	56.807	43.1224
1.400000	57.013	42.2673
1.430000	57.318	40.9942
1.450000	57.519	40.1528
1.475000	57.766	39.1093
1.500000	58.009	38.0687
1.525000	58.247	37.0302
1.550000	58.481	35.9947
1.575000	58.709	34.9631
1.600000	58.933	33.9363
1.625000	59.153	32.9152
1.650000	59.369	31.9008
1.675000	59.581	30.8939
1.700000	59.790	29.8954
1.725000	59.995	28.9063
1.750000	60.197	27.9274
1.775000	60.395	26.9598
1.800000	60.591	26.0042
1.825000	60.785	25.0616
1.850000	60.975	24.1307
1.875000	61.162	23.2072
1.900000	61.344	22.2916
1.925000	61.522	21.3843
1.950000	61.697	20.4860
1.975000	61.869	19.5973
2.000000	62.037	18.7188
2.030000	62.235	17.6789
2.060000	62.430	16.6557
2.090000	62.621	15.6502
2.120000	62.808	14.6635
2.140000	62.932	14.0165
2.180000	63.176	12.7503
2.200000	63.297	12.1317
2.240000	63.533	10.9198
2.270000	63.705	10.0319
2.300000	63.872	9.1622
2.330000	64.037	8.3107
2.360000	64.198	7.4774
2.400000	64.408	6.3948
2.430000	64.564	5.6043
2.470000	64.769	4.5790
2.500000	64.921	3.8315
2.540000	65.123	2.8638
2.580000	65.325	1.9301
2.620000	65.522	1.0370
2.650000	65.668	0.3928
2.690000	65.859	-0.4347
2.720000	66.000	-1.0339
2.760000	66.187	-1.8072
2.800000	66.373	-2.5547
2.850000	66.606	-3.4583
2.900000	66.841	-4.3347
2.950000	67.079	-5.1870
3.000000	67.317	-5.9892
3.040000	67.507	-6.5970
3.070000	67.649	-7.0372
3.110000	67.840	-7.6083
3.150000	68.031	-8.1674
3.200000	68.272	-8.8588
3.250000	68.514	-9.5537
3.300000	68.759	-10.2644
3.350000	69.007	-10.9720
3.400000	69.259	-11.6640
3.450000	69.512	-12.3496
3.500000	69.766	-13.0381
3.550000	70.021	-13.7387
3.600000	70.276	-14.4608
3.650000	70.529	-15.2137
3.700000	70.782	-15.9985
3.750000	71.036	-16.8012
3.820000	71.393	-17.9567
3.870000	71.646	-18.8066
3.950000	72.047	-20.2129
4.000000	72.292	-21.1232
4.060000	72.579	-22.2507
4.120000	72.863	-23.4210
4.180000	73.142	-24.6282
4.250000	73.462	-26.0737
4.310000	73.728	-27.3364
4.370000	73.985	-28.6137
4.440000	74.274	-30.1227
4.500000	74.514	-31.4487
4.550000	74.707	-32.5708
4.620000	74.970	-34.1558
4.680000	75.185	-35.5166
4.750000	75.426	-37.0924
4.820000	75.654	-38.6597
4.870000	75.810	-39.7864
4.940000	76.017	-41.3628
5.000000	76.187	-42.7031
5.080000	76.401	-44.4573
5.150000	76.579	-45.9479
5.220000	76.745	-47.4146
5.300000	76.922	-49.0604
5.380000	77.087	-50.6601
5.450000	77.225	-52.0105
5.520000	77.358	-53.3063
5.600000	77.499	-54.7295
5.700000	77.664	-56.4256
5.800000	77.820	-58.0274
5.900000	77.975	-59.5303
6.000000	78.123	-60.9222
6.080000	78.239	-61.9695
6.150000	78.341	-62.8494
6.220000	78.445	-63.7048
6.300000	78.566	-64.6424
6.400000	78.720	-65.7430
6.500000	78.876	-66.8030
6.600000	79.036	-67.8636
6.700000	79.202	-68.9141
6.800000	79.372	-69.9488
6.900000	79.543	-70.9968
7.000000	79.712	-72.0835
7.100000	79.883	-73.1981
7.200000	80.052	-74.3366
7.300000	80.216	-75.5003
7.400000	80.371	-76.6957
7.500000	80.521	-77.9253
7.620000	80.691	-79.4172
7.750000	80.858	-81.0239
7.880000	81.007	-82.6438
8.000000	81.131	-84.1113
8.120000	81.241	-85.5140
8.250000	81.344	-86.9843
8.380000	81.435	-88.3730
8.500000	81.513	-89.5543
8.620000	81.581	-90.6494
8.750000	81.654	-91.7441
8.850000	81.712	-92.5191
9.000000	81.800	-93.5620
9.120000	81.875	-94.3360
9.250000	81.967	-95.1363
9.380000	82.067	-95.8809
9.500000	82.166	-96.5713
9.620000	82.274	-97.2875
9.750000	82.399	-98.0734
9.880000	82.520	-98.9040
10.000000	82.624	-99.7267
10.150000	82.748	-100.8137
10.300000	82.859	-101.9584
10.440000	82.952	-103.0893
10.600000	83.046	-104.4160
10.750000	83.121	-105.6711
10.900000	83.184	-106.9370
11.060000	83.238	-108.2485
11.200000	83.274	-109.3693
11.380000	83.311	-110.7519
11.500000	83.331	-111.6287
11.720000	83.359	-113.1611
11.800000	83.369	-113.6953
12.060000	83.396	-115.3559
12.200000	83.409	-116.2240
12.410000	83.427	-117.4922
12.500000	83.438	-118.0295
12.650000	83.461	-118.9176
12.800000	83.483	-119.7867
13.150000	83.517	-121.7241
13.200000	83.520	-121.9840
13.400000	83.529	-122.9800
13.600000	83.537	-123.8950
13.800000	83.546	-124.7191
14.000000	83.562	-125.4814
14.300000	83.603	-126.5365
14.500000	83.644	-127.2335
14.750000	83.706	-128.1491
15.000000	83.775	-129.1368
15.250000	83.841	-130.2099
15.500000	83.899	-131.3376
15.750000	83.948	-132.4985
16.000000	83.985	-133.6551
16.250000	84.016	-134.7894
16.500000	84.041	-135.8944
16.750000	84.057	-136.9682
17.000000	84.064	-138.0015
17.250000	84.062	-138.9763
17.500000	84.050	-139.8675
17.750000	84.033	-140.6295
18.000000	84.017	-141.2547
18.250000	84.011	-141.7346
18.500000	84.025	-142.1279
18.750000	84.062	-142.5068
19.000000	84.121	-142.9393
19.250000	84.190	-143.5160
19.500000	84.256	-144.2339
19.750000	84.309	-145.0854
20.000000	84.335	-145.9896
20.299999	84.334	-147.0201
20.600000	84.307	-147.8831
20.900000	84.271	-148.5146
21.200001	84.248	-148.9416
21.400000	84.247	-149.1798
21.799999	84.275	-149.6735
22.000000	84.299	-149.9799
22.400000	84.349	-150.7471
22.700001	84.382	-151.4217
23.000000	84.409	-152.1531
23.299999	84.433	-152.9626
23.600000	84.445	-153.8774
24.000000	84.425	-155.2377
24.299999	84.367	-156.2251
24.700001	84.239	-157.1795
25.000000	84.144	-157.4371
25.400000	84.099	-157.2489
25.799999	84.208	-157.1504
26.200001	84.411	-158.0189
26.500000	84.529	-159.4517
26.900000	84.533	-161.9550
27.200001	84.394	-163.6312
27.600000	84.082	-164.7023
28.000000	83.815	-163.9923
28.500000	83.837	-161.9082
29.000000	84.203	-161.2695
29.500000	84.569	-162.8410
30.000000	84.740	-165.4200
30.400000	84.757	-167.5759
30.700001	84.713	-169.2394
31.100000	84.540	-171.5180
31.500000	84.175	-173.3754
32.000000	83.480	-173.2828
32.500000	82.985	-168.8776
33.000000	83.321	-163.4106
33.500000	84.202	-162.2792
34.000000	84.847	-165.6408
34.500000	84.956	-170.1049
35.000000	84.705	-173.0002
35.500000	84.469	-173.8760
36.000000	84.406	-174.3891
36.500000	84.355	-175.4983
37.000000	84.195	-176.3348
37.500000	84.055	-176.0824
38.200001	84.140	-175.5756
38.700001	84.242	-176.4058
39.500000	84.132	-177.9081
40.000000	84.037	-177.9283
40.599998	84.038	-177.8377
41.200001	84.055	-178.3406
41.799999	84.025	-178.9686
42.500000	83.993	-179.8132
43.099998	83.902	179.0677
43.700001	83.705	178.4935
44.400002	83.588	179.1656
45.000000	83.732	179.2854
45.500000	83.856	178.1270
46.200001	83.782	175.8762
46.799999	83.565	175.1846
47.500000	83.471	175.7561
48.200001	83.562	175.6955
48.700001	83.577	175.0793
49.400002	83.479	174.7247
50.000000	83.459	175.2155
50.799999	83.609	175.1364
51.500000	83.646	173.7988
52.200001	83.508	172.7976
53.000000	83.397	172.5990
53.799999	83.379	171.7342
54.500000	83.231	170.5964
55.200001	83.010	170.6006
56.000000	82.991	171.6138
57.000000	83.170	171.0547
58.000000	83.162	170.2114
59.000000	83.253	169.2476
60.000000	83.058	167.6818
60.799999	82.960	168.1682
61.500000	83.040	167.2546
62.200001	82.809	165.3029
63.000000	82.345	166.1781
64.000000	82.520	168.2309
65.000000	82.599	166.4176
66.000000	82.530	165.9938
67.000000	82.495	164.7114
68.000000	82.293	165.0364
69.000000	82.358	165.6451
70.000000	82.370	165.6878
71.000000	82.471	165.5417
72.000000	82.426	164.4214
73.000000	82.327	164.1855
74.000000	82.297	163.5078
75.000000	82.155	162.8749
76.199997	82.070	163.0363
77.500000	82.066	162.4518
78.800003	81.944	161.9370
80.000000	81.838	161.9967
81.199997	81.806	161.8665
82.500000	81.699	161.4622
83.800003	81.661	161.1325
85.000000	81.604	160.6604
86.199997	81.556	159.9555
87.500000	81.434	159.9661
88.500000	81.469	160.1374
90.000000	81.486	158.9986
91.199997	81.298	158.8380
92.500000	81.296	158.8130
93.800003	81.156	158.6526
95.000000	81.113	158.1502
96.199997	80.869	158.5621
97.500000	80.951	159.2856
98.800003	80.931	158.8429
100.000000	80.953	158.3491
101.500000	80.799	157.6018
103.000000	80.776	157.6172
104.400002	80.683	157.4625
106.000000	80.614	156.7458
107.500000	80.501	157.1620
109.000000	80.466	156.9294
110.599998	80.418	156.1968
112.000000	80.311	156.3775
113.800003	80.333	156.2686
115.000000	80.204	155.9098
117.199997	80.129	156.5334
118.000000	80.121	156.6376
120.599998	80.021	155.3991
122.000000	79.922	156.1598
124.099998	79.760	156.3105
125.000000	79.809	156.6470
126.500000	79.793	156.5463
128.000000	79.792	155.8381
131.500000	79.681	155.6823
132.000000	79.600	155.3451
134.000000	79.558	156.4002
136.000000	79.444	156.7935
138.000000	79.219	156.4913
140.000000	79.343	156.7530
143.000000	79.176	157.5143
145.000000	79.143	156.6416
147.500000	79.056	156.1888
150.000000	79.105	155.6129
152.500000	79.071	155.9398
155.000000	78.938	156.3444
157.500000	78.916	156.3887
160.000000	78.753	156.6002
162.500000	78.724	156.9099
165.000000	78.601	156.8828
167.500000	78.518	156.5818
170.000000	78.488	157.3813
172.500000	78.524	157.0687
175.000000	78.407	157.3005
177.500000	78.420	157.1941
180.000000	78.314	157.0014
182.500000	78.240	156.7778
185.000000	78.205	156.8302
187.500000	78.111	157.2705
190.000000	78.056	157.0724
192.500000	77.970	157.3123
195.000000	77.887	157.3561
197.500000	77.812	157.2631
200.000000	77.757	157.4688
203.000000	77.703	157.4279
206.000000	77.615	157.7023
209.000000	77.576	157.7585
212.000000	77.531	157.8888
214.000000	77.483	158.1609
218.000000	77.376	158.0010
220.000000	77.359	158.3654
224.000000	77.269	158.3606
227.000000	77.199	158.4902
230.000000	77.145	158.6053
233.000000	77.141	159.1077
236.000000	77.066	159.5545
240.000000	76.997	159.6835
243.000000	76.950	159.6330
247.000000	76.890	159.9606
250.000000	76.845	160.1602
254.000000	76.789	160.4763
258.000000	76.728	160.7679
262.000000	76.653	160.7828
265.000000	76.609	161.2296
269.000000	76.583	161.4180
272.000000	76.495	161.4258
276.000000	76.454	162.2102
280.000000	76.460	162.2849
285.000000	76.333	162.6318
290.000000	76.277	163.2264
295.000000	76.228	163.5296
300.000000	76.152	163.8990
304.000000	76.120	164.4402
307.000000	76.059	164.6187
311.000000	76.020	164.9311
315.000000	75.995	165.1873
320.000000	75.969	165.5957
325.000000	75.906	165.7754
330.000000	75.891	166.1125
335.000000	75.822	166.4735
340.000000	75.762	166.9120
345.000000	75.714	167.1752
350.000000	75.672	167.4283
355.000000	75.637	167.9027
360.000000	75.576	168.3133
365.000000	75.542	168.7109
370.000000	75.490	169.2025
375.000000	75.491	169.6473
382.000000	75.444	169.9452
387.000000	75.409	170.3526
395.000000	75.367	170.8977
400.000000	75.317	171.3019
406.000000	75.279	171.7429
412.000000	75.249	172.3204
418.000000	75.209	172.7212
425.000000	75.176	173.1523
431.000000	75.150	173.5396
437.000000	75.123	173.9520
444.000000	75.098	174.5859
450.000000	75.031	174.9577
455.000000	75.021	175.3703
462.000000	75.004	175.8077
468.000000	74.979	176.3428
475.000000	74.954	176.8515
482.000000	74.940	177.3983
487.000000	74.918	177.8647
494.000000	74.893	178.3391
500.000000	74.890	178.6928
508.000000	74.884	179.3165
515.000000	74.876	179.9466
522.000000	74.874	-179.7240
530.000000	74.863	-179.1614
538.000000	74.843	-178.6095
545.000000	74.837	-178.0975
552.000000	74.847	-177.7602
560.000000	74.860	-177.2889
570.000000	74.842	-176.4947
580.000000	74.804	-175.8322
590.000000	74.779	-175.1681
600.000000	74.767	-174.4421
608.000000	74.759	-174.0246
615.000000	74.744	-173.4206
622.000000	74.746	-173.0549
630.000000	74.727	-172.5144
640.000000	74.732	-171.8271
650.000000	74.729	-171.1523
660.000000	74.732	-170.4713
670.000000	74.728	-169.7544
680.000000	74.735	-169.1631
690.000000	74.733	-168.3708
700.000000	74.747	-167.7482
710.000000	74.755	-167.0182
720.000000	74.779	-166.3476
730.000000	74.786	-165.6694
740.000000	74.801	-165.0235
750.000000	74.824	-164.2731
762.000000	74.846	-163.4701
775.000000	74.876	-162.6465
788.000000	74.922	-161.7726
800.000000	74.953	-160.9103
812.000000	74.999	-160.1342
825.000000	75.027	-159.3195
838.000000	75.073	-158.4024
850.000000	75.126	-157.6002
862.000000	75.162	-156.7773
875.000000	75.232	-156.1052
885.000000	75.292	-155.2638
900.000000	75.349	-154.3251
912.000000	75.422	-153.6900
925.000000	75.495	-152.8372
938.000000	75.557	-152.0621
950.000000	75.644	-151.4050
962.000000	75.725	-150.7445
975.000000	75.805	-150.0430
988.000000	75.905	-149.3900
1000.000000	75.970	-148.8830
1015.000000	76.092	-148.0998
1030.000000	76.195	-147.4386
1044.000000	76.309	-146.8108
1060.000000	76.426	-146.1276
1075.000000	76.544	-145.5658
1090.000000	76.657	-145.0238
1106.000000	76.792	-144.4405
1120.000000	76.892	-144.0532
1138.000000	77.036	-143.5424
1150.000000	77.127	-143.1057
1172.000000	77.278	-142.5376
1180.000000	77.360	-142.3494
1206.000000	77.551	-141.7232
1220.000000	77.665	-141.3837
1241.000000	77.818	-140.9387
1250.000000	77.886	-140.7766
1265.000000	77.977	-140.4715
1280.000000	78.106	-140.1832
1315.000000	78.367	-139.5297
1320.000000	78.400	-139.4376
1340.000000	78.551	-139.1752
1360.000000	78.707	-138.7767
1380.000000	78.844	-138.5473
1400.000000	78.999	-138.2796
1430.000000	79.215	-137.9681
1450.000000	79.369	-137.7875
1475.000000	79.570	-137.6843
1500.000000	79.748	-137.4850
1525.000000	79.927	-137.2781
1550.000000	80.107	-137.2869
1575.000000	80.293	-137.1802
1600.000000	80.470	-137.1701
1625.000000	80.645	-137.0985
1650.000000	80.821	-137.1261
1675.000000	80.996	-137.1135
1700.000000	81.173	-137.1526
1725.000000	81.354	-137.1909
1750.000000	81.535	-137.2443
1775.000000	81.714	-137.3431
1800.000000	81.900	-137.4761
1825.000000	82.079	-137.6609
1850.000000	82.266	-137.8361
1875.000000	82.456	-138.1365
1900.000000	82.650	-138.4599
1925.000000	82.835	-138.8074
1950.000000	83.025	-139.2554
1975.000000	83.215	-139.7783
2000.000000	83.399	-140.3528
2030.000000	83.613	-141.1489
2060.000000	83.813	-141.9965
2090.000000	83.994	-142.9306
2120.000000	84.161	-143.8016
2140.000000	84.265	-144.3742
2180.000000	84.481	-145.2146
2200.000000	84.600	-145.6999
2240.000000	84.877	-146.7027
2270.000000	85.095	-147.7602
2300.000000	85.302	-148.9386
2330.000000	85.504	-150.3596
2360.000000	85.702	-151.8542
2400.000000	85.938	-154.2344
2430.000000	86.074	-156.2863
2470.000000	86.167	-159.1074
2500.000000	86.193	-161.1716
2540.000000	86.201	-163.8252
2580.000000	86.162	-166.3646
2620.000000	86.071	-168.8092
2650.000000	85.970	-170.5517
2690.000000	85.807	-172.6603
2720.000000	85.656	-174.0625
2760.000000	85.457	-175.6291
2800.000000	85.229	-177.0508
2850.000000	84.907	-178.6402
2900.000000	84.488	-179.4819
2950.000000	84.085	-179.1495
3000.000000	83.833	-177.7389
3040.000000	83.784	-176.4670
3070.000000	83.817	-175.9188
3110.000000	83.894	-175.6655
3150.000000	83.951	-175.9047
3200.000000	83.962	-176.5988
3250.000000	83.907	-177.2809
3300.000000	83.822	-177.9604
3350.000000	83.706	-178.4470
3400.000000	83.583	-178.8187
3450.000000	83.464	-178.9343
3500.000000	83.361	-179.0132
3550.000000	83.268	-179.0434
3600.000000	83.193	-179.1205
3650.000000	83.106	-179.1970
3700.000000	83.019	-179.3899
3750.000000	82.910	-179.5332
3820.000000	82.734	-179.7288
3870.000000	82.571	-179.7003
3950.000000	82.294	-179.0683
4000.000000	82.155	-178.3715
4060.000000	82.024	-177.1994
4120.000000	81.964	-176.1418
4180.000000	81.906	-175.0025
4250.000000	81.895	-173.9545
4310.000000	81.867	-172.9208
4370.000000	81.872	-172.3129
4440.000000	81.811	-171.2413
4500.000000	81.773	-170.1332
4550.000000	81.773	-168.8917
4620.000000	81.859	-167.2358
4680.000000	81.981	-165.9123
4750.000000	82.171	-164.7751
4820.000000	82.375	-163.9284
4870.000000	82.529	-163.5052
4940.000000	82.730	-163.1138
5000.000000	82.906	-162.9352
5080.000000	83.078	-162.8272
5150.000000	83.236	-162.9999
5220.000000	83.375	-163.4137
5300.000000	83.494	-164.2009
5380.000000	83.557	-165.3618
5450.000000	83.491	-166.7088
5520.000000	83.207	-167.8647
5600.000000	82.662	-166.6819
5700.000000	82.470	-160.8326
5800.000000	83.015	-156.5360
5900.000000	83.684	-155.2892
6000.000000	84.264	-155.7447
6080.000000	84.637	-156.7283
6150.000000	84.914	-157.9032
6220.000000	85.142	-159.0872
6300.000000	85.357	-160.6267
6400.000000	85.617	-162.5614
6500.000000	85.825	-164.3964
6600.000000	85.994	-166.1538
6700.000000	86.127	-167.7552
6800.000000	86.236	-169.1201
6900.000000	86.351	-170.2461
7000.000000	86.508	-171.2961
7100.000000	86.673	-172.3848
7200.000000	86.865	-173.4330
7300.000000	87.108	-174.4887
7400.000000	87.419	-175.8522
7500.000000	87.775	-177.7103
7620.000000	88.263	179.1786
7750.000000	88.824	174.2848
7880.000000	89.330	167.2217
8000.000000	89.564	158.6414
8120.000000	89.346	148.5684
8250.000000	88.508	137.1603
8380.000000	86.933	127.9037
8500.000000	85.139	124.2065
8620.000000	83.604	124.3974
8750.000000	82.305	125.6826
8850.000000	81.397	126.8148
9000.000000	80.096	129.5705
9120.000000	79.192	132.5100
9250.000000	78.344	136.0255
9380.000000	77.641	139.8013
9500.000000	77.081	143.4476
9620.000000	76.622	147.0907
9750.000000	76.196	151.2177
9880.000000	75.891	155.3891
10000.000000	75.710	159.0170
10150.000000	75.653	162.9038
10300.000000	75.680	165.3744
10440.000000	75.505	166.1010
10600.000000	74.799	167.5327
10750.000000	74.050	173.4251
10900.000000	73.913	-178.5080
11060.000000	74.286	-171.2790
11200.000000	74.766	-166.5709
11380.000000	75.483	-162.0964
11500.000000	76.055	-160.2939
11720.000000	77.036	-159.1889
11800.000000	77.351	-159.4632
12060.000000	78.103	-161.7145
12200.000000	78.364	-163.5957
12410.000000	78.556	-166.8406
12500.000000	78.585	-168.2926
12650.000000	78.535	-170.8809
12800.000000	78.374	-173.8097
13150.000000	76.838	-178.9831
13200.000000	76.496	-178.5706
13400.000000	75.332	-173.3093
13600.000000	74.852	-165.5310
13800.000000	74.831	-158.0377
14000.000000	75.175	-151.1615
14300.000000	76.310	-143.0309
14500.000000	77.405	-139.8071
14750.000000	79.004	-139.2005
15000.000000	80.620	-143.1877
15250.000000	81.894	-152.8315
15500.000000	82.231	-166.0597
15750.000000	81.674	-177.5154
16000.000000	80.751	174.6201
16250.000000	80.025	169.0174
16500.000000	79.073	165.1332
16750.000000	78.105	164.3922
17000.000000	77.454	165.1671
17250.000000	77.060	165.2944
17500.000000	76.705	164.8186
17750.000000	76.377	164.2029
18000.000000	76.005	163.8081
18250.000000	75.647	163.6860
18500.000000	75.386	162.8755
18750.000000	75.220	159.8917
19000.000000	74.787	152.9083
19250.000000	73.325	144.5415
19500.000000	70.938	142.5923
19750.000000	68.570	148.2038
