* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 27, 24 6:56:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: falcuti stock ss L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	48.205	-62.1033
1.015000	47.980	-62.6836
1.030000	47.753	-63.3523
1.044000	47.539	-64.0649
1.060000	47.293	-64.9638
1.075000	47.059	-65.8690
1.090000	46.821	-66.8154
1.106000	46.562	-67.8492
1.120000	46.331	-68.7567
1.138000	46.026	-69.9020
1.150000	45.817	-70.6374
1.172000	45.421	-71.8910
1.180000	45.272	-72.3071
1.206000	44.771	-73.4673
1.220000	44.488	-73.9453
1.241000	44.046	-74.4281
1.250000	43.849	-74.5379
1.265000	43.511	-74.5766
1.280000	43.159	-74.4183
1.315000	42.281	-73.1780
1.320000	42.149	-72.8910
1.340000	41.602	-71.4409
1.360000	41.001	-69.4543
1.380000	40.294	-66.8846
1.400000	39.495	-63.7897
1.430000	38.162	-58.3001
1.450000	37.211	-54.1672
1.475000	35.985	-48.5793
1.500000	34.750	-42.6371
1.525000	33.542	-36.4634
1.550000	32.397	-30.1809
1.575000	31.351	-23.9123
1.600000	30.440	-17.7804
1.625000	29.698	-11.9079
1.650000	29.163	-6.4176
1.675000	28.869	-1.4320
1.700000	28.851	3.1192
1.725000	29.100	7.6944
1.750000	29.580	12.2806
1.775000	30.254	16.8332
1.800000	31.084	21.3077
1.825000	32.034	25.6596
1.850000	33.065	29.8442
1.875000	34.141	33.8170
1.900000	35.225	37.5335
1.925000	36.279	40.9491
1.950000	37.266	44.0192
1.975000	38.148	46.6993
2.000000	38.889	48.9448
2.030000	39.553	50.9938
2.060000	40.090	52.2313
2.090000	40.547	52.7377
2.120000	40.932	52.6319
2.140000	41.155	52.2800
2.180000	41.531	51.0591
2.200000	41.691	50.2607
2.240000	41.968	48.4639
2.270000	42.150	47.0800
2.300000	42.321	45.7972
2.330000	42.492	44.7342
2.360000	42.672	44.0036
2.400000	42.883	43.1724
2.430000	43.008	42.5098
2.470000	43.136	41.5965
2.500000	43.210	40.9044
2.540000	43.285	39.9946
2.580000	43.341	39.1252
2.620000	43.390	38.3241
2.650000	43.426	37.7849
2.690000	43.481	37.1705
2.720000	43.521	36.7737
2.760000	43.555	36.2810
2.800000	43.573	35.8419
2.850000	43.582	35.3883
2.900000	43.590	35.0647
2.950000	43.611	34.8967
3.000000	43.659	34.9100
3.040000	43.725	35.0670
3.070000	43.781	35.2610
3.110000	43.861	35.6130
3.150000	43.949	36.0706
3.200000	44.076	36.7897
3.250000	44.228	37.6700
3.300000	44.413	38.7095
3.350000	44.636	39.9061
3.400000	44.903	41.2699
3.450000	45.210	42.8239
3.500000	45.553	44.5487
3.550000	45.925	46.4223
3.600000	46.322	48.4231
3.650000	46.737	50.5292
3.700000	47.166	52.7188
3.750000	47.616	55.0580
3.820000	48.295	58.6440
3.870000	48.804	61.3373
3.950000	49.638	65.6912
4.000000	50.160	68.3368
4.060000	50.778	71.3504
4.120000	51.402	74.3658
4.180000	52.033	77.3682
4.250000	52.770	80.7390
4.310000	53.396	83.4157
4.370000	54.008	85.8045
4.440000	54.709	88.2161
4.500000	55.302	90.0336
4.550000	55.790	91.3836
4.620000	56.462	93.0393
4.680000	57.027	94.2569
4.750000	57.671	95.4398
4.820000	58.300	96.3038
4.870000	58.741	96.7563
4.940000	59.346	97.2152
5.000000	59.854	97.4953
5.080000	60.515	97.7675
5.150000	61.078	97.8322
5.220000	61.628	97.7473
5.300000	62.240	97.5216
5.380000	62.835	97.2196
5.450000	63.343	96.8871
5.520000	63.838	96.4582
5.600000	64.389	95.8903
5.700000	65.056	95.1334
5.800000	65.698	94.3551
5.900000	66.317	93.5121
6.000000	66.912	92.6523
6.080000	67.373	91.9844
6.150000	67.765	91.4063
6.220000	68.145	90.8301
6.300000	68.567	90.1782
6.400000	69.078	89.3808
6.500000	69.569	88.6070
6.600000	70.040	87.8505
6.700000	70.495	87.1035
6.800000	70.936	86.3602
