* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04 19, 24 12:40:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: hydra uuuu R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	48.057	-67.5032
1.015000	47.798	-67.9756
1.030000	47.518	-68.5225
1.044000	47.236	-69.1115
1.060000	46.893	-69.8567
1.075000	46.554	-70.6051
1.090000	46.199	-71.3817
1.106000	45.807	-72.2194
1.120000	45.454	-72.9420
1.138000	44.991	-73.8304
1.150000	44.678	-74.3820
1.172000	44.099	-75.2714
1.180000	43.888	-75.5461
1.206000	43.208	-76.2116
1.220000	42.848	-76.4002
1.241000	42.321	-76.4173
1.250000	42.101	-76.3156
1.265000	41.745	-75.9851
1.280000	41.404	-75.4365
1.315000	40.678	-73.1993
1.320000	40.584	-72.7597
1.340000	40.234	-70.6728
1.360000	39.918	-67.9478
1.380000	39.605	-64.3958
1.400000	39.295	-60.1090
1.430000	38.847	-52.5362
1.450000	38.563	-46.8829
1.475000	38.231	-39.3250
1.500000	37.931	-31.4172
1.525000	37.670	-23.3696
1.550000	37.455	-15.3922
1.575000	37.291	-7.6952
1.600000	37.187	-0.4886
1.625000	37.149	6.0176
1.650000	37.183	11.6132
1.675000	37.297	16.0883
1.700000	37.508	19.4028
1.725000	37.842	21.9638
1.750000	38.284	23.8698
1.775000	38.815	25.1949
1.800000	39.418	26.0130
1.825000	40.075	26.3982
1.850000	40.768	26.4243
1.875000	41.478	26.1653
1.900000	42.189	25.6952
1.925000	42.882	25.0881
1.950000	43.539	24.4178
1.975000	44.142	23.7583
2.000000	44.674	23.1837
2.030000	45.199	22.6641
2.060000	45.655	21.9485
2.090000	46.063	20.9589
2.120000	46.431	19.7396
2.140000	46.657	18.8210
2.180000	47.069	16.7890
2.200000	47.259	15.7018
2.240000	47.616	13.4507
2.270000	47.871	11.7467
2.300000	48.122	10.0785
2.330000	48.375	8.4903
2.360000	48.635	7.0238
2.400000	48.969	5.0931
2.430000	49.203	3.6083
2.470000	49.496	1.6017
2.500000	49.705	0.0918
2.540000	49.972	-1.9056
2.580000	50.229	-3.8597
2.620000	50.483	-5.7427
2.650000	50.674	-7.0915
2.690000	50.932	-8.7832
2.720000	51.127	-9.9903
2.760000	51.380	-11.5717
2.800000	51.627	-13.1034
2.850000	51.931	-14.9188
2.900000	52.231	-16.5888
2.950000	52.531	-18.0757
3.000000	52.834	-19.3418
3.040000	53.081	-20.1743
3.070000	53.266	-20.7211
3.110000	53.514	-21.3583
3.150000	53.761	-21.8796
3.200000	54.071	-22.3502
3.250000	54.384	-22.5978
3.300000	54.700	-22.5995
3.350000	55.020	-22.3318
3.400000	55.345	-21.7774
3.450000	55.675	-20.9491
3.500000	56.007	-19.8645
3.550000	56.343	-18.5406
3.600000	56.682	-16.9946
3.650000	57.024	-15.2437
3.700000	57.369	-13.3048
3.750000	57.717	-11.0910
3.820000	58.212	-7.4693
3.870000	58.569	-4.6321
3.950000	59.143	0.0903
4.000000	59.501	3.0152
4.060000	59.930	6.3833
4.120000	60.360	9.8388
4.180000	60.792	13.3617
4.250000	61.295	17.3983
4.310000	61.722	20.6596
4.370000	62.143	23.6120
4.440000	62.628	26.6631
4.500000	63.041	29.0411
4.550000	63.382	30.8607
4.620000	63.853	33.1679
4.680000	64.249	34.9292
4.750000	64.704	36.7207
4.820000	65.150	38.1734
4.870000	65.463	39.0370
4.940000	65.895	40.0610
5.000000	66.260	40.8183
5.080000	66.737	41.7194
5.150000	67.145	42.3233
5.220000	67.545	42.7680
5.300000	67.994	43.1393
5.380000	68.436	43.4290
5.450000	68.817	43.6124
5.520000	69.190	43.6963
5.600000	69.610	43.7068
5.700000	70.126	43.6547
5.800000	70.633	43.5619
5.900000	71.130	43.3895
6.000000	71.616	43.1672
6.080000	71.997	42.9738
6.150000	72.326	42.7904
6.220000	72.649	42.5896
6.300000	73.013	42.3380
6.400000	73.455	41.9887
6.500000	73.885	41.6023
6.600000	74.303	41.1780
6.700000	74.707	40.7124
6.800000	75.096	40.1977
6.900000	75.470	39.6319
7.000000	75.831	39.0390
7.100000	76.179	38.4410
7.200000	76.511	37.8221
7.300000	76.830	37.1952
7.400000	77.138	36.5849
7.500000	77.434	35.9871
7.620000	77.775	35.2854
7.750000	78.133	34.6027
7.880000	78.479	34.0159
8.000000	78.790	33.5489
8.120000	79.099	33.1612
8.250000	79.430	32.8388
8.380000	79.760	32.5876
8.500000	80.066	32.4034
8.620000	80.374	32.2733
8.750000	80.707	32.1504
8.850000	80.965	32.0640
9.000000	81.354	31.9474
9.120000	81.662	31.8255
9.250000	81.996	31.6631
9.380000	82.326	31.4743
9.500000	82.626	31.2739
9.620000	82.921	31.0488
9.750000	83.236	30.7825
9.880000	83.543	30.4931
10.000000	83.821	30.2068
10.150000	84.160	29.8347
10.300000	84.491	29.4434
10.440000	84.792	29.0750
10.600000	85.127	28.6578
10.750000	85.432	28.2672
10.900000	85.728	27.8766
11.060000	86.035	27.4634
11.200000	86.294	27.1085
11.380000	86.614	26.6645
11.500000	86.819	26.3944
11.720000	87.178	25.9505
11.800000	87.304	25.8172
12.060000	87.698	25.4866
12.200000	87.905	25.3877
12.410000	88.210	25.3437
12.500000	88.343	25.3644
12.650000	88.567	25.4590
12.800000	88.796	25.5800
13.150000	89.345	25.8872
13.200000	89.395	25.9145
13.400000	89.537	25.9789
13.600000	89.636	25.9488
13.800000	89.705	25.8152
14.000000	89.780	25.5495
14.300000	89.877	24.9626
14.500000	89.924	24.5136
14.750000	89.950	23.9962
15.000000	89.958	23.5634
15.250000	89.960	23.2292
15.500000	89.965	23.0072
15.750000	89.969	22.9230
16.000000	89.989	22.8744
16.250000	90.029	22.8079
16.500000	90.082	22.6929
16.750000	90.131	22.5487
17.000000	90.181	22.3525
17.250000	90.231	22.1146
17.500000	90.280	21.8542
17.750000	90.316	21.6182
18.000000	90.352	21.3846
18.250000	90.390	21.1497
18.500000	90.429	20.9148
18.750000	90.460	20.7015
19.000000	90.493	20.4864
19.250000	90.529	20.2652
19.500000	90.565	20.0383
19.750000	90.596	19.8204
20.000000	90.626	19.5858
20.299999	90.662	19.2799
20.600000	90.692	18.9717
20.900000	90.709	18.7030
21.200001	90.725	18.4850
21.400000	90.736	18.3876
21.799999	90.767	18.3218
22.000000	90.796	18.3112
22.400000	90.882	18.2252
22.700001	90.963	18.0258
23.000000	91.045	17.6530
23.299999	91.118	17.0984
23.600000	91.165	16.4440
24.000000	91.181	15.6023
24.299999	91.170	15.0868
24.700001	91.143	14.6742
25.000000	91.130	14.5447
25.400000	91.147	14.4631
25.799999	91.190	14.3596
26.200001	91.246	14.1135
26.500000	91.285	13.8494
26.900000	91.318	13.4892
27.200001	91.336	13.2405
27.600000	91.356	12.9970
28.000000	91.381	12.8420
28.500000	91.434	12.6263
29.000000	91.490	12.3180
29.500000	91.538	11.9004
30.000000	91.568	11.5087
30.400000	91.592	11.2169
30.700001	91.610	11.0132
31.100000	91.638	10.7166
31.500000	91.664	10.3560
32.000000	91.680	9.9006
32.500000	91.687	9.5111
33.000000	91.698	9.2618
33.500000	91.734	8.9963
34.000000	91.778	8.6172
34.500000	91.814	8.1003
35.000000	91.825	7.6181
35.500000	91.832	7.2398
36.000000	91.846	6.9682
36.500000	91.875	6.6585
37.000000	91.903	6.3044
37.500000	91.927	5.9161
38.200001	91.952	5.4202
38.700001	91.973	5.0789
39.500000	92.004	4.4859
40.000000	92.018	4.0936
40.599998	92.031	3.6273
41.200001	92.040	3.2076
41.799999	92.056	2.7949
42.500000	92.077	2.2553
43.099998	92.084	1.7769
43.700001	92.087	1.3552
44.400002	92.103	0.9378
45.000000	92.125	0.5208
45.500000	92.138	0.1128
46.200001	92.140	-0.4074
46.799999	92.146	-0.7867
47.500000	92.158	-1.2597
48.200001	92.163	-1.7701
48.700001	92.163	-2.1088
49.400002	92.167	-2.5665
50.000000	92.171	-3.0013
50.799999	92.164	-3.5787
51.500000	92.156	-3.9861
52.200001	92.162	-4.3752
53.000000	92.169	-4.9164
53.799999	92.162	-5.4423
54.500000	92.158	-5.8209
55.200001	92.161	-6.2360
56.000000	92.151	-6.7730
