* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 29, 24 1:24:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: kbxw R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	52.583	-136.0834
1.015000	52.614	-135.9871
1.030000	52.641	-135.8782
1.044000	52.661	-135.7672
1.060000	52.679	-135.6284
1.075000	52.692	-135.4860
1.090000	52.700	-135.3309
1.106000	52.705	-135.1505
1.120000	52.706	-134.9793
1.138000	52.704	-134.7399
1.150000	52.700	-134.5677
1.172000	52.689	-134.2240
1.180000	52.683	-134.0897
1.206000	52.663	-133.6169
1.220000	52.649	-133.3384
1.241000	52.628	-132.8875
1.250000	52.618	-132.6815
1.265000	52.602	-132.3209
1.280000	52.585	-131.9377
1.315000	52.547	-130.9517
1.320000	52.542	-130.8000
1.340000	52.522	-130.1644
1.360000	52.501	-129.4837
1.380000	52.474	-128.7625
1.400000	52.440	-128.0015
1.430000	52.380	-126.7870
1.450000	52.336	-125.9296
1.475000	52.278	-124.8054
1.500000	52.219	-123.6240
1.525000	52.162	-122.3867
1.550000	52.108	-121.0947
1.575000	52.061	-119.7493
1.600000	52.022	-118.3519
1.625000	51.995	-116.9036
1.650000	51.980	-115.4058
1.675000	51.982	-113.8598
1.700000	51.998	-112.2459
1.725000	52.022	-110.5152
1.750000	52.053	-108.6820
1.775000	52.091	-106.7644
1.800000	52.138	-104.7804
1.825000	52.192	-102.7480
1.850000	52.255	-100.6855
1.875000	52.327	-98.6107
1.900000	52.409	-96.5418
1.925000	52.499	-94.4968
1.950000	52.600	-92.4939
1.975000	52.710	-90.5509
2.000000	52.832	-88.6862
2.030000	52.992	-86.5675
2.060000	53.174	-84.5008
2.090000	53.376	-82.4655
2.120000	53.596	-80.4659
2.140000	53.752	-79.1546
2.180000	54.079	-76.5901
2.200000	54.248	-75.3394
2.240000	54.597	-72.9071
