* Measurement data measured by REW V5.31.3
* Source: Headset (Odo By VECLAN.COM), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01 9, 25 2:39:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: lc12 2025 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 61.712 14.7490
0.732422 60.296 -28.8486
1.098633 64.555 -68.7333
1.464844 70.675 -81.1474
1.831055 73.358 -84.9356
2.197266 75.766 -88.5321
2.563477 77.761 -93.1167
2.929688 79.336 -98.4748
3.295898 80.499 -103.9253
3.662109 81.324 -108.8609
4.028320 81.897 -112.8389
4.394531 82.326 -115.5779
4.760742 82.730 -117.1399
5.126953 83.208 -117.9921
5.493164 83.789 -118.8260
5.859375 84.428 -120.2375
6.225586 85.049 -122.4196
6.591797 85.588 -125.2190
6.958008 86.012 -128.3231
7.324219 86.322 -131.4132
7.690430 86.536 -134.2215
8.056641 86.684 -136.5744
8.422852 86.804 -138.3766
8.789062 86.948 -139.6954
9.155273 87.143 -140.7436
9.521484 87.406 -141.8528
9.887695 87.709 -143.3534
10.253906 87.955 -145.4266
10.620117 88.111 -147.8739
10.986328 88.164 -150.3432
11.352539 88.135 -152.6291
11.718750 88.050 -154.2678
12.084961 87.977 -155.2592
12.451172 87.970 -155.9607
12.817383 88.059 -156.6585
13.183594 88.178 -157.6687
13.549805 88.276 -158.9466
13.916016 88.331 -160.1923
14.282227 88.367 -161.2924
14.648438 88.417 -162.2163
15.014648 88.496 -163.1750
15.380859 88.584 -164.4805
15.747070 88.632 -166.0373
16.113281 88.618 -167.6114
16.479492 88.560 -168.9034
16.845703 88.503 -169.7323
17.211914 88.501 -170.3374
17.578125 88.557 -171.1218
17.944336 88.621 -172.3248
18.310547 88.631 -173.8690
18.676758 88.561 -175.2781
19.042969 88.448 -176.0960
19.409180 88.380 -176.2438
19.775391 88.430 -176.1025
20.141602 88.596 -176.3570
20.507812 88.799 -177.4193
20.874023 88.947 -179.1507
21.240234 88.993 178.8908
21.606445 88.952 177.2103
21.972656 88.880 176.0710
22.338867 88.840 175.3432
22.705078 88.852 174.7213
23.071289 88.893 173.9314
23.437500 88.926 172.9299
23.803711 88.928 171.9052
24.169922 88.910 171.0211
24.536133 88.896 170.3120
24.902344 88.902 169.6777
25.268555 88.926 168.9564
25.634766 88.945 168.0983
26.000977 88.944 167.1717
26.367188 88.922 166.2702
26.733398 88.886 165.4942
27.099609 88.853 164.8408
27.465820 88.829 164.2525
27.832031 88.816 163.6838
28.198242 88.810 163.0988
28.564453 88.809 162.4881
28.930664 88.812 161.8453
29.296875 88.816 161.1442
29.663086 88.815 160.3941
30.029297 88.803 159.6288
30.395508 88.784 158.8881
30.761719 88.760 158.2130
31.127930 88.739 157.5915
31.494141 88.724 156.9815
31.860352 88.714 156.3557
32.226562 88.702 155.6987
32.592773 88.685 155.0332
32.958984 88.663 154.3902
33.325195 88.639 153.7775
33.691406 88.615 153.1950
34.057617 88.593 152.6286
34.423828 88.574 152.0593
34.790039 88.557 151.4883
35.156250 88.542 150.9020
35.522461 88.528 150.2879
35.888672 88.510 149.6465
36.254883 88.487 148.9868
36.621094 88.458 148.3397
36.987305 88.425 147.7305
37.353516 88.393 147.1575
37.719727 88.363 146.6074
38.085938 88.336 146.0614
38.452148 88.309 145.5176
38.818359 88.281 145.0026
39.184570 88.255 144.5297
39.550781 88.237 144.0854
39.916992 88.230 143.6284
40.283203 88.229 143.1089
40.649414 88.226 142.5160
41.015625 88.212 141.8834
41.381836 88.186 141.2665
41.748047 88.152 140.7172
42.114258 88.119 140.2397
42.480469 88.092 139.7984
42.846680 88.071 139.3569
43.212891 88.051 138.8928
43.579102 88.028 138.4145
43.945312 88.002 137.9471
44.311523 87.974 137.5057
44.677734 87.949 137.0883
45.043945 87.928 136.6735
45.410156 87.909 136.2360
45.776367 87.889 135.7755
46.142578 87.867 135.3026
46.508789 87.842 134.8353
46.875000 87.815 134.3862
47.241211 87.790 133.9490
47.607422 87.767 133.5101
47.973633 87.745 133.0569
48.339844 87.722 132.5867
48.706055 87.695 132.1183
49.072266 87.665 131.6745
49.438477 87.636 131.2653
49.804688 87.611 130.8824
50.170898 87.592 130.4953
50.537109 87.577 130.0761
50.903320 87.559 129.6224
51.269531 87.535 129.1599
51.635742 87.506 128.7288
52.001953 87.476 128.3510
52.368164 87.452 128.0057
52.734375 87.436 127.6532
53.100586 87.423 127.2536
53.466797 87.407 126.8031
53.833008 87.381 126.3407
54.199219 87.348 125.9168
54.565430 87.315 125.5561
54.931641 87.288 125.2379
55.297852 87.270 124.9095
55.664062 87.256 124.5325
56.030273 87.239 124.1065
56.396484 87.213 123.6664
56.762695 87.182 123.2612
57.128906 87.150 122.9101
57.495117 87.125 122.5915
57.861328 87.107 122.2610
58.227539 87.091 121.8864
58.593750 87.071 121.4760
58.959961 87.045 121.0681
59.326172 87.013 120.6975
59.692383 86.983 120.3718
60.058594 86.958 120.0651
60.424805 86.938 119.7432
60.791016 86.918 119.3971
61.157227 86.892 119.0504
61.523438 86.864 118.7393
61.889648 86.840 118.4756
62.255859 86.826 118.2217
62.622070 86.822 117.9096
62.988281 86.816 117.4970
63.354492 86.795 117.0068
63.720703 86.753 116.5384
64.086914 86.699 116.1943
64.453125 86.650 116.0084
64.819336 86.623 115.9026
65.185547 86.620 115.7328
65.551758 86.624 115.3955
65.917969 86.612 114.9091
66.284180 86.572 114.4056
66.650391 86.508 114.0446
67.016602 86.443 113.9034
67.382812 86.403 113.9160
67.749023 86.396 113.9212
68.115234 86.408 113.7775
68.481445 86.417 113.4643
68.847656 86.407 113.0817
69.213867 86.379 112.7627
69.580078 86.350 112.5715
69.946289 86.337 112.4603
70.312500 86.344 112.3137
70.678711 86.360 112.0457
71.044922 86.369 111.6588
71.411133 86.362 111.2297
71.777344 86.342 110.8466
72.143555 86.318 110.5461
72.509766 86.301 110.3018
72.875977 86.293 110.0579
73.242188 86.289 109.7749
73.608398 86.284 109.4517
73.974609 86.276 109.1069
74.340820 86.266 108.7523
74.707031 86.254 108.3865
75.073242 86.239 108.0064
75.439453 86.217 107.6222
75.805664 86.190 107.2610
76.171875 86.161 106.9416
76.538086 86.135 106.6580
76.904297 86.113 106.3833
77.270508 86.095 106.0923
77.636719 86.076 105.7841
78.002930 86.054 105.4794
78.369141 86.031 105.1965
78.735352 86.012 104.9336
79.101562 85.998 104.6615
79.467773 85.988 104.3490
79.833984 85.974 103.9916
80.200195 85.951 103.6227
80.566406 85.920 103.2932
80.932617 85.887 103.0377
81.298828 85.860 102.8478
81.665039 85.843 102.6810
82.031250 85.836 102.4843
82.397461 85.833 102.2281
82.763672 85.826 101.9243
83.129883 85.812 101.6095
83.496094 85.793 101.3181
83.862305 85.773 101.0583
84.228516 85.755 100.8137
84.594727 85.739 100.5640
84.960938 85.721 100.3049
85.327148 85.701 100.0502
85.693359 85.679 99.8238
86.059570 85.660 99.6314
86.425781 85.648 99.4525
86.791992 85.642 99.2433
87.158203 85.638 98.9739
87.524414 85.628 98.6503
87.890625 85.610 98.3128
88.256836 85.584 98.0069
88.623047 85.555 97.7510
88.989258 85.529 97.5323
89.355469 85.507 97.3196
89.721680 85.486 97.1007
90.087891 85.465 96.8816
90.454102 85.444 96.6795
90.820312 85.424 96.5008
91.186523 85.411 96.3287
91.552734 85.402 96.1349
91.918945 85.394 95.9048
92.285156 85.381 95.6535
92.651367 85.364 95.4136
93.017578 85.346 95.2077
93.383789 85.333 95.0237
93.750000 85.326 94.8276
94.116211 85.323 94.5833
94.482422 85.315 94.2855
94.848633 85.299 93.9638
95.214844 85.273 93.6653
95.581055 85.243 93.4243
95.947266 85.216 93.2408
96.313477 85.195 93.0858
96.679688 85.182 92.9185
97.045898 85.172 92.7167
97.412109 85.160 92.4827
97.778320 85.144 92.2405
98.144531 85.126 92.0111
98.510742 85.108 91.8022
98.876953 85.093 91.6054
99.243164 85.081 91.4030
99.609375 85.070 91.1835
99.975586 85.059 90.9462
100.341797 85.044 90.7043
100.708008 85.025 90.4754
101.074219 85.005 90.2776
101.440430 84.987 90.1181
101.806641 84.973 89.9844
102.172852 84.965 89.8510
102.539062 84.962 89.6914
102.905273 84.961 89.4918
103.271484 84.956 89.2535
103.637695 84.945 88.9954
104.003906 84.927 88.7453
104.370117 84.904 88.5295
104.736328 84.881 88.3568
105.102539 84.860 88.2179
105.468750 84.844 88.0872
105.834961 84.834 87.9382
106.201172 84.825 87.7534
106.567383 84.813 87.5358
106.933594 84.797 87.3068
107.299805 84.776 87.0922
107.666016 84.754 86.9041
108.032227 84.736 86.7328
108.398438 84.723 86.5533
108.764648 84.713 86.3433
109.130859 84.701 86.1017
109.497070 84.683 85.8527
109.863281 84.662 85.6309
110.229492 84.640 85.4571
110.595703 84.623 85.3241
110.961914 84.617 85.1971
111.328125 84.619 85.0323
111.694336 84.622 84.8056
112.060547 84.622 84.5253
112.426758 84.612 84.2282
112.792969 84.593 83.9588
113.159180 84.570 83.7486
113.525391 84.547 83.6033
113.891602 84.531 83.5032
114.257812 84.524 83.4140
114.624023 84.522 83.3006
114.990234 84.522 83.1436
115.356445 84.520 82.9436
115.722656 84.512 82.7229
116.088867 84.497 82.5098
116.455078 84.477 82.3279
116.821289 84.457 82.1847
117.187500 84.439 82.0703
117.553711 84.426 81.9617
117.919922 84.418 81.8346
118.286133 84.411 81.6730
118.652344 84.401 81.4797
119.018555 84.387 81.2723
119.384766 84.368 81.0756
119.750977 84.347 80.9102
120.117188 84.327 80.7804
120.483398 84.313 80.6711
120.849609 84.305 80.5544
121.215820 84.301 80.4038
121.582031 84.298 80.2097
121.948242 84.292 79.9850
122.314453 84.279 79.7572
122.680664 84.263 79.5529
123.046875 84.247 79.3807
123.413086 84.234 79.2279
123.779297 84.224 79.0755
124.145508 84.215 78.9128
124.511719 84.205 78.7458
124.877930 84.193 78.5887
125.244141 84.183 78.4494
125.610352 84.176 78.3192
125.976562 84.172 78.1771
126.342773 84.169 78.0063
126.708984 84.162 77.8124
127.075195 84.151 77.6184
127.441406 84.135 77.4490
127.807617 84.119 77.3124
128.173828 84.107 77.1952
128.540039 84.097 77.0734
128.906250 84.089 76.9322
129.272461 84.080 76.7757
129.638672 84.068 76.6224
130.004883 84.055 76.4869
130.371094 84.043 76.3695
130.737305 84.035 76.2549
131.103516 84.029 76.1285
131.469727 84.024 75.9859
131.835938 84.018 75.8344
132.202148 84.011 75.6829
132.568359 84.005 75.5333
132.934570 83.999 75.3800
133.300781 83.993 75.2172
133.666992 83.987 75.0459
134.033203 83.978 74.8748
134.399414 83.966 74.7134
134.765625 83.954 74.5688
135.131836 83.943 74.4394
135.498047 83.935 74.3169
135.864258 83.929 74.1895
136.230469 83.923 74.0514
136.596680 83.916 73.9040
136.962891 83.908 73.7552
137.329102 83.898 73.6123
137.695312 83.888 73.4835
138.061523 83.880 73.3659
138.427734 83.875 73.2487
138.793945 83.872 73.1140
139.160156 83.868 72.9540
139.526367 83.862 72.7772
139.892578 83.852 72.6051
140.258789 83.840 72.4560
140.625000 83.829 72.3318
140.991211 83.822 72.2170
141.357422 83.818 72.0909
141.723633 83.815 71.9396
142.089844 83.810 71.7672
142.456055 83.802 71.5900
142.822266 83.790 71.4281
143.188477 83.778 71.2889
143.554688 83.767 71.1671
143.920898 83.758 71.0519
144.287109 83.751 70.9347
144.653320 83.744 70.8093
145.019531 83.738 70.6742
145.385742 83.730 70.5317
145.751953 83.721 70.3873
146.118164 83.710 70.2503
146.484375 83.698 70.1288
146.850586 83.688 70.0237
147.216797 83.682 69.9230
147.583008 83.678 69.8082
147.949219 83.675 69.6686
148.315430 83.670 69.5091
148.681641 83.661 69.3516
149.047852 83.649 69.2170
149.414062 83.639 69.1112
149.780273 83.633 69.0164
150.146484 83.631 68.9087
150.512695 83.629 68.7751
150.878906 83.625 68.6245
151.245117 83.616 68.4812
151.611328 83.605 68.3668
