* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06 29, 24 12:50:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: libra R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	51.654	-124.7685
1.015000	51.703	-124.8097
1.030000	51.748	-124.8406
1.044000	51.787	-124.8604
1.060000	51.827	-124.8721
1.075000	51.861	-124.8723
1.090000	51.891	-124.8619
1.106000	51.919	-124.8388
1.120000	51.940	-124.8084
1.138000	51.963	-124.7548
1.150000	51.976	-124.7099
1.172000	51.994	-124.6082
1.180000	51.999	-124.5649
1.206000	52.009	-124.4003
1.220000	52.012	-124.2963
1.241000	52.011	-124.1197
1.250000	52.010	-124.0363
1.265000	52.005	-123.8869
1.280000	51.998	-123.7244
1.315000	51.975	-123.2927
1.320000	51.970	-123.2249
1.340000	51.952	-122.9382
1.360000	51.929	-122.6336
1.380000	51.900	-122.3289
1.400000	51.864	-122.0205
1.430000	51.799	-121.5404
1.450000	51.750	-121.2014
1.475000	51.682	-120.7480
1.500000	51.608	-120.2527
1.525000	51.529	-119.7058
1.550000	51.445	-119.0979
1.575000	51.359	-118.4195
1.600000	51.271	-117.6611
1.625000	51.182	-116.8130
1.650000	51.092	-115.8658
1.675000	51.004	-114.8100
1.700000	50.914	-113.6450
1.725000	50.810	-112.3922
1.750000	50.695	-111.0551
1.775000	50.572	-109.6360
1.800000	50.445	-108.1370
1.825000	50.316	-106.5603
1.850000	50.189	-104.9080
1.875000	50.067	-103.1823
1.900000	49.952	-101.3854
1.925000	49.849	-99.5195
1.950000	49.761	-97.5868
1.975000	49.689	-95.5893
2.000000	49.639	-93.5294
2.030000	49.608	-90.9658
2.060000	49.597	-88.1925
2.090000	49.600	-85.2171
2.120000	49.619	-82.0834
2.140000	49.642	-79.9279
2.180000	49.710	-75.5163
2.200000	49.757	-73.2861
2.240000	49.876	-68.8419
2.270000	49.990	-65.5741
2.300000	50.125	-62.4109
2.330000	50.282	-59.3963
2.360000	50.464	-56.5715
2.400000	50.758	-52.9556
2.430000	51.017	-50.3022
2.470000	51.404	-46.8546
2.500000	51.718	-44.3449
2.540000	52.160	-41.1122
2.580000	52.616	-38.0231
2.620000	53.074	-35.0928
2.650000	53.411	-33.0084
2.690000	53.842	-30.3926
2.720000	54.156	-28.5766
2.760000	54.583	-26.3672
2.800000	55.016	-24.3618
2.850000	55.561	-22.0788
2.900000	56.101	-19.9687
2.950000	56.631	-17.9506
3.000000	57.142	-15.9432
3.040000	57.533	-14.2996
3.070000	57.819	-13.1102
3.110000	58.193	-11.6067
3.150000	58.558	-10.1689
3.200000	59.002	-8.4168
3.250000	59.433	-6.6583
3.300000	59.852	-4.8328
3.350000	60.258	-2.8798
3.400000	60.651	-0.7844
3.450000	61.030	1.3634
3.500000	61.395	3.5725
3.550000	61.749	5.8589
3.600000	62.091	8.2388
3.650000	62.424	10.7281
3.700000	62.748	13.3430
3.750000	63.062	16.1393
3.820000	63.483	20.3556
3.870000	63.771	23.4940
3.950000	64.216	28.5549
4.000000	64.485	31.6413
4.060000	64.800	35.1857
4.120000	65.103	38.7395
4.180000	65.395	42.2825
4.250000	65.724	46.2761
4.310000	65.999	49.4706
4.370000	66.271	52.3540
4.440000	66.580	55.3135
4.500000	66.836	57.5823
4.550000	67.046	59.2956
4.620000	67.336	61.4406
4.680000	67.584	63.0597
4.750000	67.873	64.6895
4.820000	68.158	65.9741
4.870000	68.360	66.7129
4.940000	68.644	67.5563
5.000000	68.889	68.1539
5.080000	69.221	68.8360
5.150000	69.515	69.2435
5.220000	69.811	69.4859
5.300000	70.154	69.6163
5.380000	70.504	69.6523
5.450000	70.817	69.6021
5.520000	71.135	69.4428
5.600000	71.504	69.1647
5.700000	71.973	68.7374
5.800000	72.451	68.2508
5.900000	72.938	67.6645
6.000000	73.429	67.0221
6.080000	73.822	66.4969
6.150000	74.169	66.0199
6.220000	74.516	65.5239
6.300000	74.913	64.9409
6.400000	75.405	64.1994
6.500000	75.893	63.4429
6.600000	76.377	62.6680
6.700000	76.854	61.8802
6.800000	77.323	61.0787
6.900000	77.785	60.2581
7.000000	78.240	59.4377
7.100000	78.687	58.6364
7.200000	79.126	57.8467
7.300000	79.558	57.0701
7.400000	79.985	56.3143
7.500000	80.406	55.5784
7.620000	80.904	54.7208
7.750000	81.438	53.8406
7.880000	81.966	53.0236
8.000000	82.449	52.3104
8.120000	82.928	51.6191
8.250000	83.442	50.9058
8.380000	83.949	50.2034
8.500000	84.409	49.5447
8.620000	84.863	48.8849
8.750000	85.342	48.1519
8.850000	85.701	47.5708
9.000000	86.223	46.6757
