* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02 22, 24 9:02:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: nd 001 r
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	49.176	-60.3023
1.015000	48.933	-60.8513
1.030000	48.683	-61.5226
1.044000	48.444	-62.2713
1.060000	48.163	-63.2446
1.075000	47.893	-64.2453
1.090000	47.616	-65.3056
1.106000	47.313	-66.4742
1.120000	47.041	-67.5052
1.138000	46.683	-68.8082
1.150000	46.438	-69.6432
1.172000	45.979	-71.0560
1.180000	45.808	-71.5194
1.206000	45.238	-72.7788
1.220000	44.923	-73.2675
1.241000	44.437	-73.6965
1.250000	44.225	-73.7540
1.265000	43.865	-73.6612
1.280000	43.498	-73.3111
1.315000	42.613	-71.3526
1.320000	42.483	-70.9287
1.340000	41.955	-68.8362
1.360000	41.393	-66.0050
1.380000	40.743	-62.2930
1.400000	40.018	-57.7958
1.430000	38.825	-49.8135
1.450000	37.982	-43.8251
1.475000	36.903	-35.7790
1.500000	35.825	-27.3067
1.525000	34.780	-18.6188
1.550000	33.797	-9.9262
1.575000	32.909	-1.4395
1.600000	32.147	6.6305
1.625000	31.542	14.0732
1.650000	31.125	20.6777
1.675000	30.926	26.2334
1.700000	30.980	30.7402
1.725000	31.287	34.7001
1.750000	31.814	38.1820
1.775000	32.524	41.2227
1.800000	33.382	43.8593
1.825000	34.351	46.1284
1.850000	35.396	48.0670
1.875000	36.481	49.7119
1.900000	37.570	51.0999
1.925000	38.626	52.2680
1.950000	39.615	53.2530
1.975000	40.500	54.0918
2.000000	41.246	54.8212
2.030000	41.919	55.5675
2.060000	42.458	55.8608
2.090000	42.909	55.6746
2.120000	43.283	55.0835
2.140000	43.496	54.5016
2.180000	43.851	52.9864
2.200000	44.000	52.0976
2.240000	44.261	50.1683
2.270000	44.437	48.6760
2.300000	44.611	47.2279
2.330000	44.794	45.8989
2.360000	44.998	44.7598
2.400000	45.255	43.2965
2.430000	45.420	42.1484
2.470000	45.612	40.5665
2.500000	45.740	39.3530
2.540000	45.897	37.7154
2.580000	46.046	36.0744
2.620000	46.199	34.4504
2.650000	46.321	33.2559
2.690000	46.503	31.7112
2.720000	46.647	30.5679
2.760000	46.836	29.0140
2.800000	47.022	27.4492
2.850000	47.259	25.5164
2.900000	47.508	23.6554
2.950000	47.776	21.9155
3.000000	48.073	20.3458
3.040000	48.336	19.2402
3.070000	48.546	18.4566
3.110000	48.841	17.4579
3.150000	49.151	16.5309
3.200000	49.559	15.5049
3.250000	49.986	14.6644
3.300000	50.429	14.0501
3.350000	50.886	13.7029
3.400000	51.358	13.6429
3.450000	51.855	13.8289
3.500000	52.371	14.2482
3.550000	52.901	14.8913
3.600000	53.437	15.7482
3.650000	53.974	16.8094
3.700000	54.504	18.0651
3.750000	55.034	19.5955
3.820000	55.787	22.2459
3.870000	56.326	24.3863
