* Measurement data measured by REW V5.30.9
* Source: Microphone (Realtek USB2.0 Audio), no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 03 13, 24 5:36:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: one L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	46.722	-72.0631
1.015000	46.542	-72.9101
1.030000	46.365	-73.7609
1.044000	46.206	-74.5582
1.060000	46.029	-75.4709
1.075000	45.865	-76.3261
1.090000	45.701	-77.1787
1.106000	45.526	-78.0831
1.120000	45.370	-78.8683
1.138000	45.163	-79.8666
1.150000	45.020	-80.5236
1.172000	44.745	-81.7065
1.180000	44.639	-82.1287
1.206000	44.272	-83.4668
1.220000	44.057	-84.1631
1.241000	43.709	-85.1712
1.250000	43.549	-85.5888
1.265000	43.266	-86.2638
1.280000	42.963	-86.9109
1.315000	42.162	-88.3011
1.320000	42.037	-88.4849
1.340000	41.503	-89.1804
1.360000	40.896	-89.9297
1.380000	40.167	-91.0303
1.400000	39.331	-92.4190
1.430000	37.919	-94.8570
1.450000	36.901	-96.5954
1.475000	35.576	-98.7467
1.500000	34.229	-100.7195
1.525000	32.896	-102.3483
1.550000	31.617	-103.4676
1.575000	30.428	-103.9120
1.600000	29.368	-103.5161
1.625000	28.475	-102.1143
1.650000	27.787	-99.5412
1.675000	27.341	-95.6313
1.700000	27.161	-90.0221
1.725000	27.216	-82.2536
1.750000	27.473	-72.6534
1.775000	27.904	-61.5901
1.800000	28.479	-49.4322
1.825000	29.169	-36.5481
1.850000	29.944	-23.3066
1.875000	30.776	-10.0760
1.900000	31.635	2.7752
1.925000	32.491	14.8783
1.950000	33.315	25.8650
1.975000	34.079	35.3666
2.000000	34.752	43.0146
2.030000	35.415	49.3166
2.060000	36.037	53.1132
2.090000	36.653	54.9183
2.120000	37.260	55.0597
2.140000	37.657	54.3915
2.180000	38.430	51.6626
2.200000	38.804	49.7960
2.240000	39.519	45.5442
2.270000	40.023	42.2840
2.300000	40.495	39.3268
2.330000	40.933	37.0004
2.360000	41.331	35.6163
2.400000	41.794	34.2874
2.430000	42.093	33.2773
2.470000	42.439	31.9289
2.500000	42.665	30.9273
2.540000	42.933	29.6208
2.580000	43.173	28.3657
2.620000	43.398	27.1822
2.650000	43.565	26.3535
2.690000	43.794	25.3434
2.720000	43.965	24.6440
2.760000	44.171	23.7506
2.800000	44.356	22.9140
2.850000	44.566	21.9683
2.900000	44.761	21.1578
2.950000	44.952	20.5084
3.000000	45.147	20.0460
3.040000	45.311	19.8254
3.070000	45.433	19.7287
3.110000	45.591	19.6833
3.150000	45.745	19.7405
3.200000	45.937	19.9679
3.250000	46.134	20.3826
3.300000	46.341	20.9997
3.350000	46.563	21.8341
3.400000	46.803	22.9028
3.450000	47.053	24.2080
3.500000	47.314	25.7282
3.550000	47.585	27.4411
3.600000	47.867	29.3242
3.650000	48.161	31.3553
3.700000	48.467	33.5118
3.750000	48.787	35.8778
3.820000	49.260	39.6095
3.870000	49.612	42.4581
3.950000	50.191	47.0960
4.000000	50.557	49.9111
4.060000	50.998	53.0944
